小区名称,小区链接
新南家园,https://sh.lianjia.com/xiaoqu/5011000012357/
文怡花园,https://sh.lianjia.com/xiaoqu/5011000009080/
巨龙台湾城,https://sh.lianjia.com/xiaoqu/5011000011212/
崧泽华城华中苑,https://sh.lianjia.com/xiaoqu/5011000000173/
江海新村,https://sh.lianjia.com/xiaoqu/5011000019388/
龙湖蔚澜香醍,https://sh.lianjia.com/xiaoqu/5011000010263/
绿地香颂(奉贤)(别墅),https://sh.lianjia.com/xiaoqu/5011000011415/
江海二村(奉贤),https://sh.lianjia.com/xiaoqu/5011000010208/
绿地时代名邸,https://sh.lianjia.com/xiaoqu/5011102207525/
解放新村,https://sh.lianjia.com/xiaoqu/5011000014838/
鸿宝一村(南区),https://sh.lianjia.com/xiaoqu/5011000013437/
惠康苑,https://sh.lianjia.com/xiaoqu/5011000001735/
清水颐园,https://sh.lianjia.com/xiaoqu/5011000010669/
龙湖郦城,https://sh.lianjia.com/xiaoqu/5011000011804/
艺泰安邦,https://sh.lianjia.com/xiaoqu/5011000012807/
绿地香颂(奉贤)(公寓),https://sh.lianjia.com/xiaoqu/5011000001587/
惠康苑西苑,https://sh.lianjia.com/xiaoqu/5011102210386/
水闸小区,https://sh.lianjia.com/xiaoqu/5011000010594/
骏丰玲珑坊,https://sh.lianjia.com/xiaoqu/5011102209936/
德盈佳园,https://sh.lianjia.com/xiaoqu/5011000013962/
鸿宝二村,https://sh.lianjia.com/xiaoqu/5011000012791/
浦江花园,https://sh.lianjia.com/xiaoqu/5011000009434/
鸿宝一村(北区),https://sh.lianjia.com/xiaoqu/5020023398721818/
万寿新村(青浦),https://sh.lianjia.com/xiaoqu/5011000005326/
海派青城,https://sh.lianjia.com/xiaoqu/5011000012174/
昆阳小区,https://sh.lianjia.com/xiaoqu/5011000012501/
新舒苑,https://sh.lianjia.com/xiaoqu/5011000011973/
金都雅苑,https://sh.lianjia.com/xiaoqu/5011000012683/
金碧汇虹苑,https://sh.lianjia.com/xiaoqu/5011000013117/
东方冠郡一期,https://sh.lianjia.com/xiaoqu/5011000015282/
首创旭辉城,https://sh.lianjia.com/xiaoqu/5011102210106/
外冈新苑,https://sh.lianjia.com/xiaoqu/5011000012504/
天居玲珑湾,https://sh.lianjia.com/xiaoqu/5011000005398/
李园二村,https://sh.lianjia.com/xiaoqu/5011000012142/
布鲁斯小镇(一期)(别墅),https://sh.lianjia.com/xiaoqu/5011000011574/
江桥万达广场(嘉定),https://sh.lianjia.com/xiaoqu/5011000013460/
绿地启航城,https://sh.lianjia.com/xiaoqu/5011000001967/
桃园小区(嘉定),https://sh.lianjia.com/xiaoqu/5011000005024/
佳兆业珊瑚湾(公寓),https://sh.lianjia.com/xiaoqu/5011000004829/
乐康苑,https://sh.lianjia.com/xiaoqu/5011000014952/
红梅小区(嘉定),https://sh.lianjia.com/xiaoqu/5011000014033/
水帘洞小区,https://sh.lianjia.com/xiaoqu/5011000018544/
庆华新村,https://sh.lianjia.com/xiaoqu/5011000011227/
都汇华庭,https://sh.lianjia.com/xiaoqu/5011000015041/
云锦新苑,https://sh.lianjia.com/xiaoqu/5011000001647/
棕榈滩海景城,https://sh.lianjia.com/xiaoqu/5011000010390/
蓝色城邦(公寓),https://sh.lianjia.com/xiaoqu/5011000005136/
南苑一村,https://sh.lianjia.com/xiaoqu/5011000009263/
晨星四季苑,https://sh.lianjia.com/xiaoqu/5011000002708/
崧泽华城和瑞东苑,https://sh.lianjia.com/xiaoqu/5017132022148539/
上海庄园三期,https://sh.lianjia.com/xiaoqu/5011000004119/
闸园新村,https://sh.lianjia.com/xiaoqu/5011000013571/
金桂一村,https://sh.lianjia.com/xiaoqu/5011000001525/
迎园新村五坊,https://sh.lianjia.com/xiaoqu/5016685074516399/
长达佳苑宜居尚城,https://sh.lianjia.com/xiaoqu/5011000013304/
育秀九区,https://sh.lianjia.com/xiaoqu/5011000003331/
招商南桥雅苑,https://sh.lianjia.com/xiaoqu/5011000012061/
海韵馨苑,https://sh.lianjia.com/xiaoqu/5011000014503/
华泽新苑,https://sh.lianjia.com/xiaoqu/5011000002489/
西民旺苑,https://sh.lianjia.com/xiaoqu/5011000011963/
江海花园,https://sh.lianjia.com/xiaoqu/5011000010787/
鹏润伊顿公馆,https://sh.lianjia.com/xiaoqu/5011000004230/
乾耀东港,https://sh.lianjia.com/xiaoqu/5011000001277/
晨星小区,https://sh.lianjia.com/xiaoqu/5011000018687/
芙蓉新村,https://sh.lianjia.com/xiaoqu/5011000011553/
绿地领海(商业类),https://sh.lianjia.com/xiaoqu/5011000013848/
港城新苑,https://sh.lianjia.com/xiaoqu/5011000011756/
绿地观邸,https://sh.lianjia.com/xiaoqu/5011000010401/
布鲁斯小镇(绿地·皇家官邸),https://sh.lianjia.com/xiaoqu/5020035950181685/
三星苑,https://sh.lianjia.com/xiaoqu/5011000014376/
南星新村,https://sh.lianjia.com/xiaoqu/5011000014463/
正阳世纪星城丽骏湾,https://sh.lianjia.com/xiaoqu/5020022738940997/
祥和花园,https://sh.lianjia.com/xiaoqu/5011000018266/
康敏苑,https://sh.lianjia.com/xiaoqu/5011000001455/
绿地时代嘉苑,https://sh.lianjia.com/xiaoqu/5015867777945213/
万达广场(松江),https://sh.lianjia.com/xiaoqu/5011000001075/
南苑五村,https://sh.lianjia.com/xiaoqu/5011000000646/
惠康苑东苑,https://sh.lianjia.com/xiaoqu/5011102210385/
李园一村,https://sh.lianjia.com/xiaoqu/5011000020419/
石笋一村,https://sh.lianjia.com/xiaoqu/5011000010189/
海尚墅林苑,https://sh.lianjia.com/xiaoqu/5011000002921/
水岸家苑,https://sh.lianjia.com/xiaoqu/5011000012906/
月厦新天地,https://sh.lianjia.com/xiaoqu/5011000009027/
