小区名称,小区链接
五桂家园,https://sr.lianjia.com/xiaoqu/8847131072381590/
罗桥文家居委会,https://sr.lianjia.com/xiaoqu/8847138665725217/
三清山西大道17号,https://sr.lianjia.com/xiaoqu/8847142921789369/
聚远华府,https://sr.lianjia.com/xiaoqu/8847136507404393/
花好悦园,https://sr.lianjia.com/xiaoqu/8847136603871556/
白天鹅花园,https://sr.lianjia.com/xiaoqu/8847136188516100/
七六东路12号,https://sr.lianjia.com/xiaoqu/8847145417922741/
信美路14号,https://sr.lianjia.com/xiaoqu/88470000000646/
恒凯凤凰名庭,https://sr.lianjia.com/xiaoqu/8847136681468428/
筑城家园,https://sr.lianjia.com/xiaoqu/88470000000170/
汪家花园,https://sr.lianjia.com/xiaoqu/8847131054423684/
三清山西大道10号,https://sr.lianjia.com/xiaoqu/8847137309549338/
北门村巷272号,https://sr.lianjia.com/xiaoqu/8847141364275044/
文博路29号,https://sr.lianjia.com/xiaoqu/8847141869751688/
胜利路68号,https://sr.lianjia.com/xiaoqu/88470000000091/
三江水系景观改造安置房,https://sr.lianjia.com/xiaoqu/8847131077497703/
胜利路30号,https://sr.lianjia.com/xiaoqu/8847134415617605/
水南街铁路党校,https://sr.lianjia.com/xiaoqu/88470000000019/
杰昌花苑,https://sr.lianjia.com/xiaoqu/8847134422959955/
化建小区,https://sr.lianjia.com/xiaoqu/8847131063859514/
书院路78号,https://sr.lianjia.com/xiaoqu/88470000000073/
龙芽亭,https://sr.lianjia.com/xiaoqu/8847134607581777/
景河小区,https://sr.lianjia.com/xiaoqu/8847131095455218/
幸福楼,https://sr.lianjia.com/xiaoqu/8847134389402731/
丰泽苑,https://sr.lianjia.com/xiaoqu/8847131084833817/
林清小区,https://sr.lianjia.com/xiaoqu/8847131057570453/
建源大厦,https://sr.lianjia.com/xiaoqu/8847134388289133/
黄金大厦公寓楼,https://sr.lianjia.com/xiaoqu/8847131087985220/
鸿运楼,https://sr.lianjia.com/xiaoqu/88470000000034/
友邦商寓楼,https://sr.lianjia.com/xiaoqu/8847135032326450/
天河大楼,https://sr.lianjia.com/xiaoqu/8847134470082461/
水南街409号,https://sr.lianjia.com/xiaoqu/88470000000025/
四高小区,https://sr.lianjia.com/xiaoqu/88470000000077/
天一公寓,https://sr.lianjia.com/xiaoqu/88470000000101/
永盛购物广场,https://sr.lianjia.com/xiaoqu/8847134885536865/
大井头4号,https://sr.lianjia.com/xiaoqu/88470000000145/
河中巷,https://sr.lianjia.com/xiaoqu/88470000000153/
信江公寓,https://sr.lianjia.com/xiaoqu/8847131086937281/
解放路5号,https://sr.lianjia.com/xiaoqu/88470000000038/
信江中路100号,https://sr.lianjia.com/xiaoqu/8847135233838560/
白鸥园工行宿舍,https://sr.lianjia.com/xiaoqu/88470000000176/
带湖路16号,https://sr.lianjia.com/xiaoqu/8847135550696678/
翰林逸苑,https://sr.lianjia.com/xiaoqu/8847131119586890/
文博路11号,https://sr.lianjia.com/xiaoqu/8847135760477408/
林家巷18号,https://sr.lianjia.com/xiaoqu/8847135302064362/
解放路22号,https://sr.lianjia.com/xiaoqu/8847135572701380/
灵山路34号,https://sr.lianjia.com/xiaoqu/8847135576938216/
茂林雅轩,https://sr.lianjia.com/xiaoqu/8847134428137604/
农副产品市场,https://sr.lianjia.com/xiaoqu/8847140410903258/
中山西路95号,https://sr.lianjia.com/xiaoqu/8847140578790979/
信江中路138号,https://sr.lianjia.com/xiaoqu/8847140880779834/
林家巷8号,https://sr.lianjia.com/xiaoqu/8847135019745798/
信江西路54号,https://sr.lianjia.com/xiaoqu/8847141611812733/
解放路15号,https://sr.lianjia.com/xiaoqu/8847140635433973/
江西致仁宝业,https://sr.lianjia.com/xiaoqu/8847141316030543/
八角塘西巷15号,https://sr.lianjia.com/xiaoqu/8847140232653753/
上饶县交通运输局,https://sr.lianjia.com/xiaoqu/8847140605008031/
水南街75号,https://sr.lianjia.com/xiaoqu/8847140610247640/
二建宿舍,https://sr.lianjia.com/xiaoqu/8847140814723438/
上饶国际家居城,https://sr.lianjia.com/xiaoqu/8847141365319321/
旭日南大道81号,https://sr.lianjia.com/xiaoqu/8847141666343460/
相府路19号,https://sr.lianjia.com/xiaoqu/8847140509483507/
前府路28号,https://sr.lianjia.com/xiaoqu/8847141860332147/
火车站站前路3号,https://sr.lianjia.com/xiaoqu/8847141842506669/
红芽楼,https://sr.lianjia.com/xiaoqu/8847139646321677/
东升路13号,https://sr.lianjia.com/xiaoqu/8847136839791470/
天地豪园,https://sr.lianjia.com/xiaoqu/8847137136538694/
水南安利小区,https://sr.lianjia.com/xiaoqu/8847137164844651/
水南街308号,https://sr.lianjia.com/xiaoqu/8847137363169877/
公路小区,https://sr.lianjia.com/xiaoqu/8847136565064084/
怡景苑,https://sr.lianjia.com/xiaoqu/8847136567170776/
瑞峰花园,https://sr.lianjia.com/xiaoqu/8847136636359057/
锦程公寓,https://sr.lianjia.com/xiaoqu/8847136638476901/
万盛花园北区,https://sr.lianjia.com/xiaoqu/8847136642659543/
相府,https://sr.lianjia.com/xiaoqu/8847136642656428/
狮江壹号,https://sr.lianjia.com/xiaoqu/8847136638455518/
前府路8号,https://sr.lianjia.com/xiaoqu/8847136005936168/
东升路13号,https://sr.lianjia.com/xiaoqu/8847136839791470/
东都花园四期,https://sr.lianjia.com/xiaoqu/8847131133072551/
前府路28号,https://sr.lianjia.com/xiaoqu/8847141860332147/
天官巷62号,https://sr.lianjia.com/xiaoqu/8847142116170513/
赣东北23号,https://sr.lianjia.com/xiaoqu/8847142393129270/
兴隆路282号,https://sr.lianjia.com/xiaoqu/8847142418290146/
赣东北大道46号,https://sr.lianjia.com/xiaoqu/88470000000318/
胜利路107号,https://sr.lianjia.com/xiaoqu/88470000000325/
扬帆公寓,https://sr.lianjia.com/xiaoqu/88470000000326/
市沿河中路5号,https://sr.lianjia.com/xiaoqu/8847138294454879/
南门路14号,https://sr.lianjia.com/xiaoqu/8847138918442870/
沿河中路38-5号,https://sr.lianjia.com/xiaoqu/8847138901660810/
八角塘,https://sr.lianjia.com/xiaoqu/8847139194397340/
蓝爵世家,https://sr.lianjia.com/xiaoqu/8847131025062191/
旭日南大道81号,https://sr.lianjia.com/xiaoqu/8847141666343460/
信江中路32号,https://sr.lianjia.com/xiaoqu/8847141990340179/
胜利路94号,https://sr.lianjia.com/xiaoqu/88470000000303/
河口人家,https://sr.lianjia.com/xiaoqu/8847136636359644/
月兔春后,https://sr.lianjia.com/xiaoqu/88470000000348/
文家小区,https://sr.lianjia.com/xiaoqu/8847139326516423/
中兴大厦,https://sr.lianjia.com/xiaoqu/8847139754338597/
带湖路49号,https://sr.lianjia.com/xiaoqu/8847139875062776/
江西致仁宝业,https://sr.lianjia.com/xiaoqu/8847141316030543/
信江西路54号,https://sr.lianjia.com/xiaoqu/8847141611812733/
外贸小区,https://sr.lianjia.com/xiaoqu/8847142144500775/
水南街80号,https://sr.lianjia.com/xiaoqu/8847142163360833/
五三大道172号,https://sr.lianjia.com/xiaoqu/8847142219998098/
相府路19号,https://sr.lianjia.com/xiaoqu/8847140509483507/
火车站站前路3号,https://sr.lianjia.com/xiaoqu/8847141842506669/
信龙公寓,https://sr.lianjia.com/xiaoqu/8847131074351467/
三清山西大道6号,https://sr.lianjia.com/xiaoqu/8847142516907417/
破塘90号,https://sr.lianjia.com/xiaoqu/88470000000332/
上饶国际家居城,https://sr.lianjia.com/xiaoqu/8847141365319321/
林家巷8号,https://sr.lianjia.com/xiaoqu/8847135019745798/
红芽楼,https://sr.lianjia.com/xiaoqu/8847139646321677/
东江汽运小区,https://sr.lianjia.com/xiaoqu/8847139478544124/
八角塘西巷15号,https://sr.lianjia.com/xiaoqu/8847140232653753/
水南街75号,https://sr.lianjia.com/xiaoqu/8847140610247640/
二建宿舍,https://sr.lianjia.com/xiaoqu/8847140814723438/
信江中路138号,https://sr.lianjia.com/xiaoqu/8847140880779834/
金典花苑,https://sr.lianjia.com/xiaoqu/8847131116445493/
锦秀园,https://sr.lianjia.com/xiaoqu/8847136604911802/
旭日南大道54号,https://sr.lianjia.com/xiaoqu/8847139952656133/
中山西路95号,https://sr.lianjia.com/xiaoqu/8847140578790979/
上饶县交通运输局,https://sr.lianjia.com/xiaoqu/8847140605008031/
农副产品市场,https://sr.lianjia.com/xiaoqu/8847140410903258/
解放路15号,https://sr.lianjia.com/xiaoqu/8847140635433973/
凤凰西苑,https://sr.lianjia.com/xiaoqu/8847131118537732/
智慧苑,https://sr.lianjia.com/xiaoqu/8847131089174469/
胜利路51号,https://sr.lianjia.com/xiaoqu/8847137562430838/
农发行宿舍,https://sr.lianjia.com/xiaoqu/8847134608635529/
解放路95号,https://sr.lianjia.com/xiaoqu/8847138265091568/
信江东路8号,https://sr.lianjia.com/xiaoqu/88470000000374/
中共上饶市委党校,https://sr.lianjia.com/xiaoqu/8847144586316216/
灵燕公司大院,https://sr.lianjia.com/xiaoqu/88470000000400/
王家坝小区,https://sr.lianjia.com/xiaoqu/88470000000401/
鄱阳中心花园,https://sr.lianjia.com/xiaoqu/8847136203183118/
智豪首府,https://sr.lianjia.com/xiaoqu/8847136262948189/
信渡口批发市场官仑弄居,https://sr.lianjia.com/xiaoqu/8847136489568182/
武安1号公馆,https://sr.lianjia.com/xiaoqu/8847136712911502/
七六大道55号,https://sr.lianjia.com/xiaoqu/8847136711856832/
天地豪园,https://sr.lianjia.com/xiaoqu/8847137136538694/
福利厂,https://sr.lianjia.com/xiaoqu/8847136889075602/
东都花园四期,https://sr.lianjia.com/xiaoqu/8847131133072551/
信江东路20号,https://sr.lianjia.com/xiaoqu/8847136888024848/
石狮阳光小区,https://sr.lianjia.com/xiaoqu/8847136910051463/
文家居委会文家166号,https://sr.lianjia.com/xiaoqu/8847136433947623/
瑞峰花园,https://sr.lianjia.com/xiaoqu/8847136636359057/
锦程公寓,https://sr.lianjia.com/xiaoqu/8847136638476901/
万盛花园北区,https://sr.lianjia.com/xiaoqu/8847136642659543/
相府,https://sr.lianjia.com/xiaoqu/8847136642656428/
狮江壹号,https://sr.lianjia.com/xiaoqu/8847136638455518/
水南安利小区,https://sr.lianjia.com/xiaoqu/8847137164844651/
东湖锦绣城,https://sr.lianjia.com/xiaoqu/8847136251415961/
昌隆楼,https://sr.lianjia.com/xiaoqu/8847131093356901/
东郡豪庭,https://sr.lianjia.com/xiaoqu/8847136363701971/
上层公寓,https://sr.lianjia.com/xiaoqu/8847137042164542/
裕丰小区,https://sr.lianjia.com/xiaoqu/8847137041114213/
乐江首府,https://sr.lianjia.com/xiaoqu/8847136531510739/
锦绣豪园,https://sr.lianjia.com/xiaoqu/8847136557736936/
公路小区,https://sr.lianjia.com/xiaoqu/8847136565064084/
五环花园,https://sr.lianjia.com/xiaoqu/8847136586045350/
灯具批发市场,https://sr.lianjia.com/xiaoqu/8847145420021388/
太极宫巷,https://sr.lianjia.com/xiaoqu/88470000000566/
下滩头78号,https://sr.lianjia.com/xiaoqu/8847145460908474/
中共上饶市委党校,https://sr.lianjia.com/xiaoqu/8847144586316216/
钟灵东路12-1号,https://sr.lianjia.com/xiaoqu/8847153695616991/
枫林华府,https://sr.lianjia.com/xiaoqu/8847136402483042/
宝泽楼汽运宿舍,https://sr.lianjia.com/xiaoqu/8847153619084448/
龙芽亭路10号,https://sr.lianjia.com/xiaoqu/8847148256769908/
胜利路91号,https://sr.lianjia.com/xiaoqu/88470000001575/
市抗建南路185号,https://sr.lianjia.com/xiaoqu/88470000001571/
世纪中央城,https://sr.lianjia.com/xiaoqu/8847136640572958/
金水湾福邸,https://sr.lianjia.com/xiaoqu/88470000001579/
吉阳东路280号附1号,https://sr.lianjia.com/xiaoqu/8847155280261119/
带湖路23号,https://sr.lianjia.com/xiaoqu/88470000001623/
新华书店家属房,https://sr.lianjia.com/xiaoqu/88470000000875/
东升路165号,https://sr.lianjia.com/xiaoqu/88470000001268/
新建路93号,https://sr.lianjia.com/xiaoqu/88470000001259/
福利巷26号,https://sr.lianjia.com/xiaoqu/8847153419857569/
玉紫佳苑,https://sr.lianjia.com/xiaoqu/8847136780023592/
闵运车队宿舍,https://sr.lianjia.com/xiaoqu/8847153311853732/
信江中路294号,https://sr.lianjia.com/xiaoqu/8847154400371918/
罗桥街道办安置小区,https://sr.lianjia.com/xiaoqu/88470000001658/
旭日中大道78号,https://sr.lianjia.com/xiaoqu/88470000001662/
沿河中路38-5号,https://sr.lianjia.com/xiaoqu/8847138901660810/
南门路14号,https://sr.lianjia.com/xiaoqu/8847138918442870/
文家小区,https://sr.lianjia.com/xiaoqu/8847139326516423/
南门路1号,https://sr.lianjia.com/xiaoqu/8847143952799040/
七六路33号,https://sr.lianjia.com/xiaoqu/8847143979023878/
水南街155号,https://sr.lianjia.com/xiaoqu/8847143780840124/
天津巷15号,https://sr.lianjia.com/xiaoqu/8847143879404974/
胜利路348号,https://sr.lianjia.com/xiaoqu/88470000000427/
信江中路45号,https://sr.lianjia.com/xiaoqu/88470000000437/
区检查院宿舍,https://sr.lianjia.com/xiaoqu/8847144328190863/
信江西路57号,https://sr.lianjia.com/xiaoqu/8847144353356060/
滨江花城,https://sr.lianjia.com/xiaoqu/8847136639523467/
蜜蜂楼,https://sr.lianjia.com/xiaoqu/8847131053375732/
道塘巷5号,https://sr.lianjia.com/xiaoqu/88470000000454/
惟义路59号,https://sr.lianjia.com/xiaoqu/8847144202368146/
