小区名称,小区链接
北海市公共汽车公司宿舍区,https://bh.lianjia.com/xiaoqu/8908132841111081/
雅馨苑三区,https://bh.lianjia.com/xiaoqu/8908134865594550/
乐城花园,https://bh.lianjia.com/xiaoqu/8908132844255971/
安美花园,https://bh.lianjia.com/xiaoqu/8908132834822274/
蓝色海岸国际家园,https://bh.lianjia.com/xiaoqu/8908133611017906/
新怡花園,https://bh.lianjia.com/xiaoqu/8908132825377002/
侨建新村,https://bh.lianjia.com/xiaoqu/8908134312796710/
鸿源生态新城,https://bh.lianjia.com/xiaoqu/8908132845305179/
海宁新区,https://bh.lianjia.com/xiaoqu/8908133241683902/
福利花园,https://bh.lianjia.com/xiaoqu/8908132975333032/
乐都大厦,https://bh.lianjia.com/xiaoqu/8908134851965177/
怡海新村开苑,https://bh.lianjia.com/xiaoqu/8908132840061509/
锦绣花园,https://bh.lianjia.com/xiaoqu/8908132822237769/
特力花园,https://bh.lianjia.com/xiaoqu/8908132834824560/
悦发花园,https://bh.lianjia.com/xiaoqu/8908133234337279/
信利公寓,https://bh.lianjia.com/xiaoqu/8908132825378499/
聚金园,https://bh.lianjia.com/xiaoqu/8908132825383408/
润德雅苑,https://bh.lianjia.com/xiaoqu/8908133470267264/
财政局宿舍,https://bh.lianjia.com/xiaoqu/8908132916608976/
宝晖大厦,https://bh.lianjia.com/xiaoqu/8908132831668254/
雲海小區,https://bh.lianjia.com/xiaoqu/8908132843209725/
侨海楼,https://bh.lianjia.com/xiaoqu/8908133834529864/
中玉花园,https://bh.lianjia.com/xiaoqu/8908132844255303/
铜鼓新村,https://bh.lianjia.com/xiaoqu/8908132958569225/
贵航公寓B区,https://bh.lianjia.com/xiaoqu/8908133351775593/
匀海公寓,https://bh.lianjia.com/xiaoqu/8908133354922650/
海兴小区,https://bh.lianjia.com/xiaoqu/8908133369606498/
泗海宿舍区,https://bh.lianjia.com/xiaoqu/8908133377999689/
海东小区,https://bh.lianjia.com/xiaoqu/8908133378000578/
银州南寨小区,https://bh.lianjia.com/xiaoqu/8908133609727830/
振业小区,https://bh.lianjia.com/xiaoqu/8908132835864923/
正天花园,https://bh.lianjia.com/xiaoqu/8908133725077842/
银州南寨小区,https://bh.lianjia.com/xiaoqu/8908133609727830/
青年大厦,https://bh.lianjia.com/xiaoqu/8908133591088086/
亿时代鑫城,https://bh.lianjia.com/xiaoqu/8908132835872879/
深港花园,https://bh.lianjia.com/xiaoqu/8908132840063429/
北园公寓,https://bh.lianjia.com/xiaoqu/8908132830623584/
木林森大厦,https://bh.lianjia.com/xiaoqu/8908133834529014/
中国人民银行宿舍,https://bh.lianjia.com/xiaoqu/8908132840058403/
铜鼓新苑小区,https://bh.lianjia.com/xiaoqu/8908132964854916/
石化生活二区,https://bh.lianjia.com/xiaoqu/8908132829577490/
宝谊大厦,https://bh.lianjia.com/xiaoqu/8908133912207190/
粮贸小区,https://bh.lianjia.com/xiaoqu/8908133822588888/
泰盛花园,https://bh.lianjia.com/xiaoqu/8908132832721339/
雅馨苑,https://bh.lianjia.com/xiaoqu/8908132844261015/
东海新村,https://bh.lianjia.com/xiaoqu/8908132843214545/
万胜公寓,https://bh.lianjia.com/xiaoqu/8908132829571358/
祥和大厦,https://bh.lianjia.com/xiaoqu/89080000000008/
华苑公寓,https://bh.lianjia.com/xiaoqu/8908133909067070/
永丰花园,https://bh.lianjia.com/xiaoqu/8908132835862671/
丽珠一区,https://bh.lianjia.com/xiaoqu/8908132832726030/
房天公寓,https://bh.lianjia.com/xiaoqu/8908132827483772/
百大花园,https://bh.lianjia.com/xiaoqu/8908133215463478/
海洋小区,https://bh.lianjia.com/xiaoqu/8908133816707492/
北海市技术交流站,https://bh.lianjia.com/xiaoqu/8908135024997232/
东海市场公寓楼,https://bh.lianjia.com/xiaoqu/8908135022895224/
西城佳园,https://bh.lianjia.com/xiaoqu/8908132835872193/
海富大厦,https://bh.lianjia.com/xiaoqu/8908133911171052/
英协花园,https://bh.lianjia.com/xiaoqu/8908135828716962/
广厦花园,https://bh.lianjia.com/xiaoqu/8908133108506815/
北海救助站宿舍,https://bh.lianjia.com/xiaoqu/8908132832716982/
泰盛花园,https://bh.lianjia.com/xiaoqu/8908132832721339/
利海花园,https://bh.lianjia.com/xiaoqu/8908133471320379/
川南明珠,https://bh.lianjia.com/xiaoqu/8908132824329846/
房天公寓,https://bh.lianjia.com/xiaoqu/8908132827483772/
永丰花园,https://bh.lianjia.com/xiaoqu/8908132835862671/
丽珠一区,https://bh.lianjia.com/xiaoqu/8908132832726030/
百大花园,https://bh.lianjia.com/xiaoqu/8908133215463478/
海洋小区,https://bh.lianjia.com/xiaoqu/8908133816707492/
北海中学住宅区,https://bh.lianjia.com/xiaoqu/8908132843208186/
东海市场公寓楼,https://bh.lianjia.com/xiaoqu/8908135022895224/
成泰公寓,https://bh.lianjia.com/xiaoqu/8908132955423149/
东海新村,https://bh.lianjia.com/xiaoqu/8908132843214545/
北海市技术交流站,https://bh.lianjia.com/xiaoqu/8908135024997232/
祥和大厦,https://bh.lianjia.com/xiaoqu/89080000000008/
华苑公寓,https://bh.lianjia.com/xiaoqu/8908133909067070/
顺怡花园C7区,https://bh.lianjia.com/xiaoqu/8908134875035397/
万胜公寓,https://bh.lianjia.com/xiaoqu/8908132829571358/
广厦花园,https://bh.lianjia.com/xiaoqu/8908133108506815/
青年大厦,https://bh.lianjia.com/xiaoqu/8908133591088086/
松涛花园,https://bh.lianjia.com/xiaoqu/8908135373368224/
西城佳园,https://bh.lianjia.com/xiaoqu/8908132835872193/
海富大厦,https://bh.lianjia.com/xiaoqu/8908133911171052/
宝丽小区陶然居,https://bh.lianjia.com/xiaoqu/8908132854739603/
祥龙公寓,https://bh.lianjia.com/xiaoqu/8908135760477134/
电机厂宿舍,https://bh.lianjia.com/xiaoqu/8908135764664906/
海警小区,https://bh.lianjia.com/xiaoqu/8908135749986309/
发展公司宿舍,https://bh.lianjia.com/xiaoqu/8908132833765490/
怡海新村地苑,https://bh.lianjia.com/xiaoqu/8908140605009524/
解放路四号宿舍,https://bh.lianjia.com/xiaoqu/8908132833774581/
云琅雅居,https://bh.lianjia.com/xiaoqu/8908136408771157/
金桂华庭,https://bh.lianjia.com/xiaoqu/8908136410871951/
国税小区,https://bh.lianjia.com/xiaoqu/8908132834822675/
财富广场,https://bh.lianjia.com/xiaoqu/8908136428711955/
福融国际广场小区,https://bh.lianjia.com/xiaoqu/8908136527320442/
天成公寓,https://bh.lianjia.com/xiaoqu/8908132825389052/
安居苑,https://bh.lianjia.com/xiaoqu/8908139225837524/
地角中寮239号,https://bh.lianjia.com/xiaoqu/8908139905468173/
湖南路一巷,https://bh.lianjia.com/xiaoqu/8908140181286492/
北海信托公司宿舍,https://bh.lianjia.com/xiaoqu/8908138264035104/
海城区石子岭七巷,https://bh.lianjia.com/xiaoqu/8908138699266393/
北海供电局生活区,https://bh.lianjia.com/xiaoqu/8908133231188987/
合浦鼎盛花园,https://bh.lianjia.com/xiaoqu/8908136441289041/
和城小区,https://bh.lianjia.com/xiaoqu/8908132955419595/
徐屋南华声花园,https://bh.lianjia.com/xiaoqu/8908133088582251/
变电东四巷,https://bh.lianjia.com/xiaoqu/8908139428221458/
海兴小区,https://bh.lianjia.com/xiaoqu/8908133369606498/
泗海宿舍区,https://bh.lianjia.com/xiaoqu/8908133377999689/
海东小区,https://bh.lianjia.com/xiaoqu/8908133378000578/
宝丽小区陶然居,https://bh.lianjia.com/xiaoqu/8908132854739603/
丽馨苑,https://bh.lianjia.com/xiaoqu/8908133214418742/
铜鼓新村,https://bh.lianjia.com/xiaoqu/8908132958569225/
景基公寓,https://bh.lianjia.com/xiaoqu/8908134355841610/
北海市太保公司宿舍,https://bh.lianjia.com/xiaoqu/8908132822241710/
北海港北云小区,https://bh.lianjia.com/xiaoqu/8908132825383018/
侨建公寓,https://bh.lianjia.com/xiaoqu/8908132823291176/
居安园,https://bh.lianjia.com/xiaoqu/8908132824331894/
中海花園,https://bh.lianjia.com/xiaoqu/8908132839016343/
木仁公寓208号,https://bh.lianjia.com/xiaoqu/8908132834814824/
文明小区,https://bh.lianjia.com/xiaoqu/8908132834815632/
民建一街197号,https://bh.lianjia.com/xiaoqu/8908143224885618/
皇家花园壹号,https://bh.lianjia.com/xiaoqu/8908136555627424/
组兴小区,https://bh.lianjia.com/xiaoqu/89080000000182/
前进里七巷14号,https://bh.lianjia.com/xiaoqu/89080000000184/
发展公司宿舍,https://bh.lianjia.com/xiaoqu/8908132833765490/
北海市罐头厂,https://bh.lianjia.com/xiaoqu/8908135922058484/
大山海湾丽都,https://bh.lianjia.com/xiaoqu/8908133806859026/
怡海新村泰苑怡誠花園,https://bh.lianjia.com/xiaoqu/8908132829571201/
菜园里工行小区,https://bh.lianjia.com/xiaoqu/8908132841113182/
海富大厦,https://bh.lianjia.com/xiaoqu/8908133911171052/
英协花园,https://bh.lianjia.com/xiaoqu/8908135828716962/
淀粉厂职工集资住宅大院,https://bh.lianjia.com/xiaoqu/8908136686693320/
