小区名称,小区链接
未来橙堡,https://xm.lianjia.com/xiaoqu/3911057492739/
禹洲大学城,https://xm.lianjia.com/xiaoqu/3911057300988/
阳光城翡丽湾一期,https://xm.lianjia.com/xiaoqu/3912941590278260/
锦绣祥安,https://xm.lianjia.com/xiaoqu/3911057434008/
阳光城翡丽湾二期,https://xm.lianjia.com/xiaoqu/3912941844294976/
金都海尚国际,https://xm.lianjia.com/xiaoqu/3911748546195660/
中海锦城国际,https://xm.lianjia.com/xiaoqu/3911633828835689/
凤凰花城,https://xm.lianjia.com/xiaoqu/3914602749095972/
融信海上城,https://xm.lianjia.com/xiaoqu/3914595620876182/
明发半岛祥湾A区,https://xm.lianjia.com/xiaoqu/3911057442606/
首开领翔上郡二期,https://xm.lianjia.com/xiaoqu/3920038218876208/
夏商新纪元,https://xm.lianjia.com/xiaoqu/3911632514183192/
万科城一期,https://xm.lianjia.com/xiaoqu/399095884582938/
美地雅登一里,https://xm.lianjia.com/xiaoqu/3911056814023/
美地雅登六里,https://xm.lianjia.com/xiaoqu/3911056808947/
泉舜星园美第,https://xm.lianjia.com/xiaoqu/3911057583110/
万达广场,https://xm.lianjia.com/xiaoqu/3911099552630/
首开领翔国际,https://xm.lianjia.com/xiaoqu/3911057287787/
庄园新城,https://xm.lianjia.com/xiaoqu/3911057606198/
美地雅登三里,https://xm.lianjia.com/xiaoqu/3911056810365/
禹洲中央海岸一期,https://xm.lianjia.com/xiaoqu/3911057563114/
宝嘉誉园,https://xm.lianjia.com/xiaoqu/3911057272065/
万科城二期,https://xm.lianjia.com/xiaoqu/3910049272950343/
首开领翔花郡,https://xm.lianjia.com/xiaoqu/3911057290440/
夏商大学康城二期,https://xm.lianjia.com/xiaoqu/3911057586780/
大唐五缘yoho,https://xm.lianjia.com/xiaoqu/3911099550456/
万科金色悦城,https://xm.lianjia.com/xiaoqu/3911057446528/
永建顶尚,https://xm.lianjia.com/xiaoqu/3911100503845/
住宅·莲花国际,https://xm.lianjia.com/xiaoqu/3914641245227821/
首开领翔上郡一期,https://xm.lianjia.com/xiaoqu/3914599809676115/
夏商大学康城一期,https://xm.lianjia.com/xiaoqu/3911057590039/
京口岩小区,https://xm.lianjia.com/xiaoqu/3911057482296/
富祥苑,https://xm.lianjia.com/xiaoqu/3911056769820/
东方新城三区,https://xm.lianjia.com/xiaoqu/3911057274563/
美地雅登二里,https://xm.lianjia.com/xiaoqu/3911056807786/
集美平阳里小区,https://xm.lianjia.com/xiaoqu/3911057469430/
汇景新城中心,https://xm.lianjia.com/xiaoqu/3911057286402/
汇景新城中心三期,https://xm.lianjia.com/xiaoqu/3920040020794667/
禹洲卢卡小镇,https://xm.lianjia.com/xiaoqu/3914599677554524/
黎安小镇B区,https://xm.lianjia.com/xiaoqu/3920032626113664/
聚镇,https://xm.lianjia.com/xiaoqu/3911057855915/
万科广场幸福里,https://xm.lianjia.com/xiaoqu/3917541315201620/
SEC泰地海西中心,https://xm.lianjia.com/xiaoqu/398235025444186/
沧翔路花园,https://xm.lianjia.com/xiaoqu/3911056779314/
沧一小区,https://xm.lianjia.com/xiaoqu/397758745710084/
瑞景双座思明,https://xm.lianjia.com/xiaoqu/3911099497881/
沧二小区,https://xm.lianjia.com/xiaoqu/399024988523598/
联发欣悦湾,https://xm.lianjia.com/xiaoqu/3915666116308339/
兴港花园三期,https://xm.lianjia.com/xiaoqu/399073301664236/
国贸商城同悦,https://xm.lianjia.com/xiaoqu/3914602210675796/
文圃花园,https://xm.lianjia.com/xiaoqu/3911058044565/
中骏四季阳光,https://xm.lianjia.com/xiaoqu/3911057478613/
大金门花园,https://xm.lianjia.com/xiaoqu/3911056765335/
夏商大学康城三期,https://xm.lianjia.com/xiaoqu/3913124994609273/
华澳花园,https://xm.lianjia.com/xiaoqu/3911057300863/
天安路,https://xm.lianjia.com/xiaoqu/3913082946449575/
集美学府soho,https://xm.lianjia.com/xiaoqu/3911768816218754/
招商雍华府,https://xm.lianjia.com/xiaoqu/3914599767230606/
龙湖嘉屿城,https://xm.lianjia.com/xiaoqu/3911063996869/
中骏蓝湾尚都,https://xm.lianjia.com/xiaoqu/3911056814565/
明发半岛祥湾B区,https://xm.lianjia.com/xiaoqu/3911057444072/
巷西一里,https://xm.lianjia.com/xiaoqu/3920032627161405/
翔安北路,https://xm.lianjia.com/xiaoqu/3920039974684849/
丰融尚城,https://xm.lianjia.com/xiaoqu/3911057841812/
未来海岸水云湾,https://xm.lianjia.com/xiaoqu/3911057508830/
兴港花园二期,https://xm.lianjia.com/xiaoqu/398344415251786/
建昌商业广场,https://xm.lianjia.com/xiaoqu/3911057847509/
泉舜信海花园,https://xm.lianjia.com/xiaoqu/3911058053468/
西雅图,https://xm.lianjia.com/xiaoqu/3914599826975800/
阳光美郡,https://xm.lianjia.com/xiaoqu/3920032626113746/
正元新都汇,https://xm.lianjia.com/xiaoqu/3913355288113266/
长荣花园,https://xm.lianjia.com/xiaoqu/3911634762853413/
黎安D小区,https://xm.lianjia.com/xiaoqu/3920032626113055/
园博湾上,https://xm.lianjia.com/xiaoqu/3912944258904386/
联合博学园,https://xm.lianjia.com/xiaoqu/3911057286948/
东方新城二区,https://xm.lianjia.com/xiaoqu/3911057272924/
亚桥花园,https://xm.lianjia.com/xiaoqu/3911056785938/
万科城四期,https://xm.lianjia.com/xiaoqu/3920027878287350/
彩虹湾,https://xm.lianjia.com/xiaoqu/3911634402144310/
华永天地,https://xm.lianjia.com/xiaoqu/3910344476191989/
集源路,https://xm.lianjia.com/xiaoqu/3911859265072175/
祥和雅筑二期,https://xm.lianjia.com/xiaoqu/3911057473497/
长欣花园,https://xm.lianjia.com/xiaoqu/3911056764359/
禹洲香溪里7#地块,https://xm.lianjia.com/xiaoqu/3914600350502272/
宁宝花园,https://xm.lianjia.com/xiaoqu/3911057808808/
新华玻璃厂综合楼,https://xm.lianjia.com/xiaoqu/39000000000247/
禹洲高尔夫,https://xm.lianjia.com/xiaoqu/398345894005870/
信洲大厦,https://xm.lianjia.com/xiaoqu/3914599896968331/
金龙商城二期,https://xm.lianjia.com/xiaoqu/3911056777919/
四季芳园,https://xm.lianjia.com/xiaoqu/3911724352925211/
五华偶寓,https://xm.lianjia.com/xiaoqu/3914599824379449/
巷西二里,https://xm.lianjia.com/xiaoqu/3920034480562527/
特房黎安小镇A区,https://xm.lianjia.com/xiaoqu/3920035489871910/
金博水岸,https://xm.lianjia.com/xiaoqu/3911057516119/
永信花园,https://xm.lianjia.com/xiaoqu/3911056786835/
马銮公寓,https://xm.lianjia.com/xiaoqu/3911057520108/
富佳苑,https://xm.lianjia.com/xiaoqu/3911056768394/
宁宝社区,https://xm.lianjia.com/xiaoqu/3911057824402/
东方牡丹园,https://xm.lianjia.com/xiaoqu/3911062018465/
冠华楼,https://xm.lianjia.com/xiaoqu/39000000000453/
兴阁里小区,https://xm.lianjia.com/xiaoqu/3911062225381/
和谐天下,https://xm.lianjia.com/xiaoqu/3912677351747432/
悦美（月美嘉园）,https://xm.lianjia.com/xiaoqu/3911057609862/
广场湖畔花园,https://xm.lianjia.com/xiaoqu/3911057295604/
王子广场,https://xm.lianjia.com/xiaoqu/3911058055079/
中澳城,https://xm.lianjia.com/xiaoqu/3920028557963327/
海青花园,https://xm.lianjia.com/xiaoqu/3911056774024/
大永固花园,https://xm.lianjia.com/xiaoqu/397443863842988/
永祥新城,https://xm.lianjia.com/xiaoqu/3911057475650/
中铁海湾豪园,https://xm.lianjia.com/xiaoqu/3911057611833/
新华园,https://xm.lianjia.com/xiaoqu/3911058045971/
星海湾,https://xm.lianjia.com/xiaoqu/3910116971377095/
集美花园东区,https://xm.lianjia.com/xiaoqu/3911057791896/
巴厘香泉,https://xm.lianjia.com/xiaoqu/3914600633879751/
龙湖嘉誉一期,https://xm.lianjia.com/xiaoqu/3912380315856607/
鑫茂花园,https://xm.lianjia.com/xiaoqu/3911056785332/
东方新城A1组团,https://xm.lianjia.com/xiaoqu/3920032741450776/
海福广场小区,https://xm.lianjia.com/xiaoqu/3911056771478/
三源弘,https://xm.lianjia.com/xiaoqu/3911057488308/
大唐世家,https://xm.lianjia.com/xiaoqu/3911057510121/
纺织路,https://xm.lianjia.com/xiaoqu/3911062030558/
万科中心云玺,https://xm.lianjia.com/xiaoqu/3910632923460550/
福建岩土工程勘查研究院,https://xm.lianjia.com/xiaoqu/3920021100596823/
湖景华庭,https://xm.lianjia.com/xiaoqu/3911058045776/
广兴新城,https://xm.lianjia.com/xiaoqu/3911057845696/
华创公寓,https://xm.lianjia.com/xiaoqu/3917720992871273/
海翼0592,https://xm.lianjia.com/xiaoqu/3914599537331789/
东方新城一区,https://xm.lianjia.com/xiaoqu/3911057283716/
碧桂园云空间,https://xm.lianjia.com/xiaoqu/3920022009969368/
广宇公寓,https://xm.lianjia.com/xiaoqu/3911634935868573/
都市恬园,https://xm.lianjia.com/xiaoqu/3911058042192/
莲福广场,https://xm.lianjia.com/xiaoqu/3911057587420/
金利蓝湾新城,https://xm.lianjia.com/xiaoqu/3911057518163/
岑西路,https://xm.lianjia.com/xiaoqu/3912496495980860/
银都花园,https://xm.lianjia.com/xiaoqu/3911058057386/
佳隆花园,https://xm.lianjia.com/xiaoqu/3920031641892427/
泉舜信宇花园,https://xm.lianjia.com/xiaoqu/3911056781726/
海岸明珠花园,https://xm.lianjia.com/xiaoqu/3911057478828/
祥和苑,https://xm.lianjia.com/xiaoqu/3911062216090/
信诚VBO,https://xm.lianjia.com/xiaoqu/3914602305548634/
福裕花园,https://xm.lianjia.com/xiaoqu/3911056768031/
泰禾红门,https://xm.lianjia.com/xiaoqu/3920028584193628/
金帝中洲滨海城,https://xm.lianjia.com/xiaoqu/3914600124795923/
美地雅登四里,https://xm.lianjia.com/xiaoqu/3920032741452455/
宁安里,https://xm.lianjia.com/xiaoqu/3913078502584791/
日东电厂生活小区,https://xm.lianjia.com/xiaoqu/3911057599242/
万科城商业街,https://xm.lianjia.com/xiaoqu/3910817004383438/
怡家园,https://xm.lianjia.com/xiaoqu/3911057607505/
海晟颐翔湾,https://xm.lianjia.com/xiaoqu/3920028431098396/
华论国际大厦,https://xm.lianjia.com/xiaoqu/3920030040105704/
国际石材中心,https://xm.lianjia.com/xiaoqu/3920028423758843/
恒祥新苑,https://xm.lianjia.com/xiaoqu/3920034248843808/
泰禾红门天街,https://xm.lianjia.com/xiaoqu/3920022865841137/
华论国际大厦,https://xm.lianjia.com/xiaoqu/3920030040105704/
杏信花园,https://xm.lianjia.com/xiaoqu/3920034441872164/
源卓阁下的海,https://xm.lianjia.com/xiaoqu/3920030009684015/
海晟颐翔湾,https://xm.lianjia.com/xiaoqu/3920028431098396/
小坪水电大楼,https://xm.lianjia.com/xiaoqu/3920032633442027/
九曜山家园,https://xm.lianjia.com/xiaoqu/3920048860944499/
东坂花园,https://xm.lianjia.com/xiaoqu/39000000001589/
同祥物业小区,https://xm.lianjia.com/xiaoqu/3920032632404647/
华泰广场,https://xm.lianjia.com/xiaoqu/3920032635535736/
西环苑联社综合楼,https://xm.lianjia.com/xiaoqu/3920032634506288/
西溪里208-211号,https://xm.lianjia.com/xiaoqu/3920050675281160/
园博公馆,https://xm.lianjia.com/xiaoqu/3920050116261469/
西安苑,https://xm.lianjia.com/xiaoqu/3920032635536587/
祥顺新村二期,https://xm.lianjia.com/xiaoqu/3920050449775768/
佳业阳光大第,https://xm.lianjia.com/xiaoqu/3920050449775767/
祥发楼,https://xm.lianjia.com/xiaoqu/3920050680474202/
同顺公寓,https://xm.lianjia.com/xiaoqu/3920032632402037/
纺织东路,https://xm.lianjia.com/xiaoqu/3920041159789892/
马銮湾1号,https://xm.lianjia.com/xiaoqu/3920040285036417/
纺织西路,https://xm.lianjia.com/xiaoqu/39000000000428/
同安商会大厦,https://xm.lianjia.com/xiaoqu/39000000000451/
巷南路,https://xm.lianjia.com/xiaoqu/39000000000499/
日东新村,https://xm.lianjia.com/xiaoqu/3920042290238857/
杏林西路,https://xm.lianjia.com/xiaoqu/3920042567234404/
禹洲香溪里3#地块,https://xm.lianjia.com/xiaoqu/3920050369000341/
同城四季南座,https://xm.lianjia.com/xiaoqu/3920050369001922/
荣发楼,https://xm.lianjia.com/xiaoqu/39000000000749/
银环佳园,https://xm.lianjia.com/xiaoqu/3920032632404654/
同安县电力公司职工住宅,https://xm.lianjia.com/xiaoqu/3920032626099544/
东方新城A6组团,https://xm.lianjia.com/xiaoqu/3920032741450706/
丁宜山庄,https://xm.lianjia.com/xiaoqu/3920032741449850/
凤岳楼,https://xm.lianjia.com/xiaoqu/3920032632405405/
磐金锦绣江南,https://xm.lianjia.com/xiaoqu/3920032632404999/
日东新村,https://xm.lianjia.com/xiaoqu/3920042290238857/
杏林西路,https://xm.lianjia.com/xiaoqu/3920042567234404/
洋坂里,https://xm.lianjia.com/xiaoqu/3920032632392882/
西柯二小教师宿舍楼,https://xm.lianjia.com/xiaoqu/3920043901421046/
后滨住宅区,https://xm.lianjia.com/xiaoqu/39000000000800/
文康花园,https://xm.lianjia.com/xiaoqu/3920041911710386/
同安商会大厦,https://xm.lianjia.com/xiaoqu/39000000000451/
磐金文化城,https://xm.lianjia.com/xiaoqu/3920032632393646/
纺织西路,https://xm.lianjia.com/xiaoqu/39000000000428/
同发大厦,https://xm.lianjia.com/xiaoqu/3920043730496349/
陆丰安置房,https://xm.lianjia.com/xiaoqu/39000000000754/
联发欣悦学府,https://xm.lianjia.com/xiaoqu/3920032627160886/
碧溪花园,https://xm.lianjia.com/xiaoqu/3920036677252590/
京口岩居住小区二期,https://xm.lianjia.com/xiaoqu/3920037040058952/
海投尚书房,https://xm.lianjia.com/xiaoqu/3914600451951827/
中铁花园,https://xm.lianjia.com/xiaoqu/3920032634489107/
华骏国际大厦,https://xm.lianjia.com/xiaoqu/39000000000002/
西池二里,https://xm.lianjia.com/xiaoqu/39000000001013/
佳鑫花园,https://xm.lianjia.com/xiaoqu/39000000001018/
后炉花园,https://xm.lianjia.com/xiaoqu/3920032626099495/
洪塘集资楼,https://xm.lianjia.com/xiaoqu/39000000000949/
瑞华商业城,https://xm.lianjia.com/xiaoqu/3920032633438537/
珩崎一里,https://xm.lianjia.com/xiaoqu/3920040359539507/
银城商厦,https://xm.lianjia.com/xiaoqu/39000000001094/
晶座公馆,https://xm.lianjia.com/xiaoqu/39000000001264/
舒安里,https://xm.lianjia.com/xiaoqu/39000000001312/
和力花园,https://xm.lianjia.com/xiaoqu/3920050669983680/
新店集资楼,https://xm.lianjia.com/xiaoqu/39000000002407/
同祥物业小区,https://xm.lianjia.com/xiaoqu/3920032632404647/
华泰广场,https://xm.lianjia.com/xiaoqu/3920032635535736/
西溪里208-211号,https://xm.lianjia.com/xiaoqu/3920050675281160/
祥发楼,https://xm.lianjia.com/xiaoqu/3920050680474202/
同城四季南座,https://xm.lianjia.com/xiaoqu/3920050369001922/
园博公馆,https://xm.lianjia.com/xiaoqu/3920050116261469/
西安苑,https://xm.lianjia.com/xiaoqu/3920032635536587/
五甲里,https://xm.lianjia.com/xiaoqu/3920032632391963/
后炉里,https://xm.lianjia.com/xiaoqu/39000000002384/
荣发楼,https://xm.lianjia.com/xiaoqu/39000000000749/
祥顺新村二期,https://xm.lianjia.com/xiaoqu/3920050449775768/
佳业阳光大第,https://xm.lianjia.com/xiaoqu/3920050449775767/
禹洲香溪里3#地块,https://xm.lianjia.com/xiaoqu/3920050369000341/
同顺公寓,https://xm.lianjia.com/xiaoqu/3920032632402037/
西环苑联社综合楼,https://xm.lianjia.com/xiaoqu/3920032634506288/
杏林东路,https://xm.lianjia.com/xiaoqu/39000000002944/
烧灰安置房,https://xm.lianjia.com/xiaoqu/3920032630306412/
兴福楼,https://xm.lianjia.com/xiaoqu/39000000001080/
小坪水电大楼,https://xm.lianjia.com/xiaoqu/3920032633442027/
九曜山家园,https://xm.lianjia.com/xiaoqu/3920048860944499/
为民楼,https://xm.lianjia.com/xiaoqu/39000000001179/
城西二里,https://xm.lianjia.com/xiaoqu/3920032635538117/
宝鹭综合楼,https://xm.lianjia.com/xiaoqu/3920055000215845/
鸿梅花园,https://xm.lianjia.com/xiaoqu/3920032625053058/
嘉盛楼,https://xm.lianjia.com/xiaoqu/3920050676325940/
西安广场,https://xm.lianjia.com/xiaoqu/3920032635538273/
公路局宿舍楼,https://xm.lianjia.com/xiaoqu/39000000001190/
晶座公馆,https://xm.lianjia.com/xiaoqu/39000000001264/
文锦路,https://xm.lianjia.com/xiaoqu/3920042188539982/
畜牧综合楼,https://xm.lianjia.com/xiaoqu/3920051204958163/
荣发楼,https://xm.lianjia.com/xiaoqu/39000000000749/
西安苑,https://xm.lianjia.com/xiaoqu/3920032635536587/
佳业阳光大第,https://xm.lianjia.com/xiaoqu/3920050449775767/
同城四季南座,https://xm.lianjia.com/xiaoqu/3920050369001922/
祥顺新村二期,https://xm.lianjia.com/xiaoqu/3920050449775768/
东溪花园一区,https://xm.lianjia.com/xiaoqu/3920032633440737/
我爱莲花,https://xm.lianjia.com/xiaoqu/3920032625053016/
海投·自贸城,https://xm.lianjia.com/xiaoqu/3920024126805354/
银安大厦,https://xm.lianjia.com/xiaoqu/39000000004964/
陆丰里,https://xm.lianjia.com/xiaoqu/39000000005271/
厦信同安综合楼,https://xm.lianjia.com/xiaoqu/3920053770065851/
荣华楼,https://xm.lianjia.com/xiaoqu/39000000000753/
马巷镇车站巷教育局集资楼,https://xm.lianjia.com/xiaoqu/39000000003503/
西安广场,https://xm.lianjia.com/xiaoqu/3920032635538273/
大同凤山二里安置楼,https://xm.lianjia.com/xiaoqu/39000000003625/
五福楼,https://xm.lianjia.com/xiaoqu/3920032626099596/
策槽水利小区,https://xm.lianjia.com/xiaoqu/39000000005689/
厦门市翔安第一中学教工之家西区,https://xm.lianjia.com/xiaoqu/3920034697839726/
新店教育局集资楼,https://xm.lianjia.com/xiaoqu/39000000004692/
同安汽车大修厂宿舍楼,https://xm.lianjia.com/xiaoqu/3920032632405248/
祥和花园,https://xm.lianjia.com/xiaoqu/3920032626098532/
新安楼,https://xm.lianjia.com/xiaoqu/39000000001066/
陆丰嘉园二期,https://xm.lianjia.com/xiaoqu/39000000001065/
兴福楼,https://xm.lianjia.com/xiaoqu/39000000001080/
建发环中楼,https://xm.lianjia.com/xiaoqu/3920032636601024/
祥和楼,https://xm.lianjia.com/xiaoqu/39000000013224/
后炉里,https://xm.lianjia.com/xiaoqu/39000000002384/
舫逸楼,https://xm.lianjia.com/xiaoqu/39000000002983/
祥发楼,https://xm.lianjia.com/xiaoqu/3920050680474202/
同顺公寓,https://xm.lianjia.com/xiaoqu/3920032632402037/
烧灰安置房,https://xm.lianjia.com/xiaoqu/3920032630306412/
杏林东路,https://xm.lianjia.com/xiaoqu/39000000002944/
西池二里,https://xm.lianjia.com/xiaoqu/39000000001013/
珩崎一里,https://xm.lianjia.com/xiaoqu/3920040359539507/
佳鑫花园,https://xm.lianjia.com/xiaoqu/39000000001018/
幸福U品,https://xm.lianjia.com/xiaoqu/39000000000997/
文锦路,https://xm.lianjia.com/xiaoqu/3920042188539982/
晶座公馆,https://xm.lianjia.com/xiaoqu/39000000001264/
为民楼,https://xm.lianjia.com/xiaoqu/39000000001179/
祥和花园,https://xm.lianjia.com/xiaoqu/3920032626098532/
兴福楼,https://xm.lianjia.com/xiaoqu/39000000001080/
银城商厦,https://xm.lianjia.com/xiaoqu/39000000001094/
舒安里,https://xm.lianjia.com/xiaoqu/39000000001312/
杜桥村（杜桥教师楼）,https://xm.lianjia.com/xiaoqu/39000000001248/
福利巷,https://xm.lianjia.com/xiaoqu/39000000009632/
汀溪镇隘头村教师宿舍楼,https://xm.lianjia.com/xiaoqu/3920032625051982/
龙湖时代上城,https://xm.lianjia.com/xiaoqu/3920033128478980/
水利局宿舍楼,https://xm.lianjia.com/xiaoqu/3920032632402679/
禹洲香溪里4#地块,https://xm.lianjia.com/xiaoqu/3920050369000357/
