小区名称,小区链接
陕二纺机小区,https://xianyang.lianjia.com/xiaoqu/895311058551743/
秦源小区,https://xianyang.lianjia.com/xiaoqu/895311059923226/
西北国棉二厂,https://xianyang.lianjia.com/xiaoqu/895311058604813/
泉南一巷毛条小区,https://xianyang.lianjia.com/xiaoqu/895311058544582/
玉珠楼小区,https://xianyang.lianjia.com/xiaoqu/895311058423019/
鑫苑尚东朝阳,https://xianyang.lianjia.com/xiaoqu/895311059967658/
新坊小区,https://xianyang.lianjia.com/xiaoqu/895311058886656/
秦宝小区西区北院,https://xianyang.lianjia.com/xiaoqu/895311060390168/
惠民小区,https://xianyang.lianjia.com/xiaoqu/895311058503712/
丽水花庭,https://xianyang.lianjia.com/xiaoqu/895311059855143/
秦宝小区东区,https://xianyang.lianjia.com/xiaoqu/895311060392619/
博尚嘉苑,https://xianyang.lianjia.com/xiaoqu/895311060455078/
金奎嘉苑,https://xianyang.lianjia.com/xiaoqu/8953132157172917/
风和日丽,https://xianyang.lianjia.com/xiaoqu/895311060570507/
秦建苑西区,https://xianyang.lianjia.com/xiaoqu/895311059902271/
陕西邮电职业技术学院家属院,https://xianyang.lianjia.com/xiaoqu/8953134291878840/
陕纺小区,https://xianyang.lianjia.com/xiaoqu/895311058553294/
文林小区,https://xianyang.lianjia.com/xiaoqu/89530000478720/
亮马河国际公寓,https://xianyang.lianjia.com/xiaoqu/895311059857368/
嘉阳新都,https://xianyang.lianjia.com/xiaoqu/895311060353675/
佳美花园,https://xianyang.lianjia.com/xiaoqu/8953132108845162/
兴业小区,https://xianyang.lianjia.com/xiaoqu/895311058900522/
咸阳市机电公司家属院,https://xianyang.lianjia.com/xiaoqu/895311060353130/
玉泉家园,https://xianyang.lianjia.com/xiaoqu/895311059180001/
泰禾馨苑,https://xianyang.lianjia.com/xiaoqu/895311060486113/
505家属院,https://xianyang.lianjia.com/xiaoqu/8953136183262935/
福园小区,https://xianyang.lianjia.com/xiaoqu/895311059159147/
玉泉小区兴秦新村,https://xianyang.lianjia.com/xiaoqu/895311058420894/
珠泉路东口泉北小区壹楼大院,https://xianyang.lianjia.com/xiaoqu/8953141031847468/
思源南路农机五号家属院,https://xianyang.lianjia.com/xiaoqu/8953132156127299/
凤凰嘉园,https://xianyang.lianjia.com/xiaoqu/895311061847674/
名仕雅居东区,https://xianyang.lianjia.com/xiaoqu/895311060387663/
丽景苑小区,https://xianyang.lianjia.com/xiaoqu/895311060596732/
电建小区,https://xianyang.lianjia.com/xiaoqu/895311060473072/
华秦大厦,https://xianyang.lianjia.com/xiaoqu/895311058495968/
咸户小区,https://xianyang.lianjia.com/xiaoqu/89530000478205/
华商大厦,https://xianyang.lianjia.com/xiaoqu/8953132145548717/
秦都区教育局玉泉路教师公寓,https://xianyang.lianjia.com/xiaoqu/8953140555724297/
天和苑小区,https://xianyang.lianjia.com/xiaoqu/89530000478208/
南阳新村,https://xianyang.lianjia.com/xiaoqu/8953134063227013/
留园小区,https://xianyang.lianjia.com/xiaoqu/895311058477487/
新运花园,https://xianyang.lianjia.com/xiaoqu/895311058893867/
红旗大厦,https://xianyang.lianjia.com/xiaoqu/895311060347915/
乐南小区,https://xianyang.lianjia.com/xiaoqu/89530000000064/
秦宝瑞源小区,https://xianyang.lianjia.com/xiaoqu/895311060389486/
安居三村小区,https://xianyang.lianjia.com/xiaoqu/895311060020083/
惠普紫薇苑,https://xianyang.lianjia.com/xiaoqu/895311060385275/
梦馨小区,https://xianyang.lianjia.com/xiaoqu/895311060601711/
中山社区,https://xianyang.lianjia.com/xiaoqu/8953139722883688/
天王第二社区,https://xianyang.lianjia.com/xiaoqu/895311058566518/
饮料厂家属院,https://xianyang.lianjia.com/xiaoqu/8953134284495569/
西北一棉社区东区,https://xianyang.lianjia.com/xiaoqu/895311058401187/
供电局小区,https://xianyang.lianjia.com/xiaoqu/895311059161554/
滨河小区(渭城区),https://xianyang.lianjia.com/xiaoqu/895311060454628/
天宏小区,https://xianyang.lianjia.com/xiaoqu/895311059055632/
建花苑小区,https://xianyang.lianjia.com/xiaoqu/895311059095125/
渭城农机家属院,https://xianyang.lianjia.com/xiaoqu/8953135553836783/
秦宝小区西区南院,https://xianyang.lianjia.com/xiaoqu/8953138237740755/
焦化厂小区,https://xianyang.lianjia.com/xiaoqu/895311058513775/
文汇路小区,https://xianyang.lianjia.com/xiaoqu/895311058583454/
华瑞苑小区,https://xianyang.lianjia.com/xiaoqu/895311059165823/
化纤小区,https://xianyang.lianjia.com/xiaoqu/895311060592804/
玉泉小区B组团2号院,https://xianyang.lianjia.com/xiaoqu/895311058419927/
惠馨苑,https://xianyang.lianjia.com/xiaoqu/8953132036496002/
宝泉花园,https://xianyang.lianjia.com/xiaoqu/895311060433056/
枫林花园,https://xianyang.lianjia.com/xiaoqu/895311059060328/
天元北区,https://xianyang.lianjia.com/xiaoqu/8953137336826400/
华林大厦,https://xianyang.lianjia.com/xiaoqu/8953134386254886/
联盟二路壹号院,https://xianyang.lianjia.com/xiaoqu/895311058465437/
兴秦丽都苑小区,https://xianyang.lianjia.com/xiaoqu/8953132201215659/
咸阳市医药总公司家属院,https://xianyang.lianjia.com/xiaoqu/895311058884097/
留园公司惠民小区贰号院,https://xianyang.lianjia.com/xiaoqu/895311058474361/
中民大厦,https://xianyang.lianjia.com/xiaoqu/8953134286593386/
凌云小区,https://xianyang.lianjia.com/xiaoqu/8953134282382352/
陈杨新界,https://xianyang.lianjia.com/xiaoqu/89530000478453/
陕玻小区,https://xianyang.lianjia.com/xiaoqu/89530000477948/
西北电力建设有限公司小区,https://xianyang.lianjia.com/xiaoqu/89530000478197/
医药公司家属院,https://xianyang.lianjia.com/xiaoqu/8953134306506195/
渭城区农机管理站家属院,https://xianyang.lianjia.com/xiaoqu/8953134314951374/
文汇房管所家属院,https://xianyang.lianjia.com/xiaoqu/8953134300207983/
中铁七局家属院,https://xianyang.lianjia.com/xiaoqu/89530000000032/
环卫处家属院,https://xianyang.lianjia.com/xiaoqu/8953134569836975/
古渡花园小区,https://xianyang.lianjia.com/xiaoqu/895311060311781/
瑞祥小区,https://xianyang.lianjia.com/xiaoqu/895311058550751/
偏转一区,https://xianyang.lianjia.com/xiaoqu/895311060360362/
朝阳苑,https://xianyang.lianjia.com/xiaoqu/895311060465104/
东明街小区,https://xianyang.lianjia.com/xiaoqu/895311060293862/
勤俭小区,https://xianyang.lianjia.com/xiaoqu/895311058532536/
工商局家属院,https://xianyang.lianjia.com/xiaoqu/895311058453323/
公园世嘉,https://xianyang.lianjia.com/xiaoqu/8953134842545121/
咸阳纺织机械厂北生活区,https://xianyang.lianjia.com/xiaoqu/895311058873459/
中宏大厦,https://xianyang.lianjia.com/xiaoqu/89530000000039/
梦园小区,https://xianyang.lianjia.com/xiaoqu/895311058494176/
留园公司惠民小区壹号院,https://xianyang.lianjia.com/xiaoqu/895311058476913/
荣发花园,https://xianyang.lianjia.com/xiaoqu/895311060406398/
西北医疗器械有限公司生活区,https://xianyang.lianjia.com/xiaoqu/895311058582819/
東風花园一区,https://xianyang.lianjia.com/xiaoqu/895311060568960/
西兰小区,https://xianyang.lianjia.com/xiaoqu/8953132131912617/
柳林花园南区,https://xianyang.lianjia.com/xiaoqu/895311058481953/
紫韵龙桥,https://xianyang.lianjia.com/xiaoqu/8953134751308077/
泾城华府,https://xianyang.lianjia.com/xiaoqu/8953134737669416/
清河湾,https://xianyang.lianjia.com/xiaoqu/8953134753400497/
毛条二区,https://xianyang.lianjia.com/xiaoqu/895311058492612/
供电局家属院,https://xianyang.lianjia.com/xiaoqu/89530000000104/
秦龙泵业,https://xianyang.lianjia.com/xiaoqu/89530000000015/
光辉小区,https://xianyang.lianjia.com/xiaoqu/895311058470947/
大地鑫园,https://xianyang.lianjia.com/xiaoqu/8953134700976411/
华电东区,https://xianyang.lianjia.com/xiaoqu/895311060349222/
龙泉时代名居,https://xianyang.lianjia.com/xiaoqu/8953134689453422/
织布厂家属楼,https://xianyang.lianjia.com/xiaoqu/8953134719860015/
瑞园小区,https://xianyang.lianjia.com/xiaoqu/8953134726136012/
文定天下小区,https://xianyang.lianjia.com/xiaoqu/8953134729302280/
丽晶雅苑,https://xianyang.lianjia.com/xiaoqu/8953134910686734/
家绮池阳国际,https://xianyang.lianjia.com/xiaoqu/8953134903360576/
交大康桥清河花园,https://xianyang.lianjia.com/xiaoqu/8953134888665278/
工商银行小区,https://xianyang.lianjia.com/xiaoqu/895311058465463/
社区公寓,https://xianyang.lianjia.com/xiaoqu/895311058571118/
咸阳市卫生学院家属院,https://xianyang.lianjia.com/xiaoqu/895311058882953/
瑞田小区,https://xianyang.lianjia.com/xiaoqu/895311058550368/
毛条生活区,https://xianyang.lianjia.com/xiaoqu/8953132107797756/
咸阳市二水厂家属院,https://xianyang.lianjia.com/xiaoqu/8953132147639919/
鑫苑大厦公寓,https://xianyang.lianjia.com/xiaoqu/8953134224771940/
华宇豪庭,https://xianyang.lianjia.com/xiaoqu/895311058499163/
西北国棉一厂西区,https://xianyang.lianjia.com/xiaoqu/895311058402062/
惠沣园西区,https://xianyang.lianjia.com/xiaoqu/895311058502344/
衔阳居,https://xianyang.lianjia.com/xiaoqu/895311058517014/
瑞泉苑,https://xianyang.lianjia.com/xiaoqu/895311058549624/
中集汽车产业园,https://xianyang.lianjia.com/xiaoqu/89530000000116/
长青花园,https://xianyang.lianjia.com/xiaoqu/89530000478464/
陈杨新界,https://xianyang.lianjia.com/xiaoqu/89530000478453/
陕玻小区,https://xianyang.lianjia.com/xiaoqu/89530000477948/
供电局家属院,https://xianyang.lianjia.com/xiaoqu/89530000000104/
秦龙泵业,https://xianyang.lianjia.com/xiaoqu/89530000000015/
光辉小区,https://xianyang.lianjia.com/xiaoqu/895311058470947/
朝阳苑,https://xianyang.lianjia.com/xiaoqu/895311060465104/
勤俭小区,https://xianyang.lianjia.com/xiaoqu/895311058532536/
留园公司惠民小区壹号院,https://xianyang.lianjia.com/xiaoqu/895311058476913/
荣发花园,https://xianyang.lianjia.com/xiaoqu/895311060406398/
西北医疗器械有限公司生活区,https://xianyang.lianjia.com/xiaoqu/895311058582819/
東風花园一区,https://xianyang.lianjia.com/xiaoqu/895311060568960/
西兰小区,https://xianyang.lianjia.com/xiaoqu/8953132131912617/
东明街小区,https://xianyang.lianjia.com/xiaoqu/895311060293862/
绿苑小区,https://xianyang.lianjia.com/xiaoqu/895311058491490/
氮肥厂小区,https://xianyang.lianjia.com/xiaoqu/8953132048030300/
三五三零家属院,https://xianyang.lianjia.com/xiaoqu/8953134313908053/
工商局家属院,https://xianyang.lianjia.com/xiaoqu/895311058453323/
文定天下小区,https://xianyang.lianjia.com/xiaoqu/8953134729302280/
织布厂家属楼,https://xianyang.lianjia.com/xiaoqu/8953134719860015/
大地鑫园,https://xianyang.lianjia.com/xiaoqu/8953134700976411/
龙泉时代名居,https://xianyang.lianjia.com/xiaoqu/8953134689453422/
瑞园小区,https://xianyang.lianjia.com/xiaoqu/8953134726136012/
泾城华府,https://xianyang.lianjia.com/xiaoqu/8953134737669416/
