小区名称,小区链接
太化新光第二小区,https://ty.lianjia.com/xiaoqu/8707131642045139/
省建四公司五处家属院,https://ty.lianjia.com/xiaoqu/8707142199025839/
东安路200号,https://ty.lianjia.com/xiaoqu/8707142264020061/
矿机宿舍(涧河路),https://ty.lianjia.com/xiaoqu/8707131200399211/
靖烨·天朗美域二期,https://ty.lianjia.com/xiaoqu/8707131524522127/
中元小区,https://ty.lianjia.com/xiaoqu/8707131169921208/
化工第四小区,https://ty.lianjia.com/xiaoqu/8707131634711027/
化肥厂小区(晋源区),https://ty.lianjia.com/xiaoqu/8707131250726695/
中泽纯境,https://ty.lianjia.com/xiaoqu/8707121984704904/
太钢118小区,https://ty.lianjia.com/xiaoqu/8707131396508194/
山西无线电厂小区,https://ty.lianjia.com/xiaoqu/8707131190941330/
背圪洞街五号院,https://ty.lianjia.com/xiaoqu/8707131219268284/
华宇国际,https://ty.lianjia.com/xiaoqu/8707138900617119/
太钢十四宿舍,https://ty.lianjia.com/xiaoqu/8707140483262027/
长风新城,https://ty.lianjia.com/xiaoqu/8707131547578026/
华浩水木云天,https://ty.lianjia.com/xiaoqu/8707131423781975/
林场宿舍,https://ty.lianjia.com/xiaoqu/8707131498222187/
鼎元时代中心,https://ty.lianjia.com/xiaoqu/8707134637005822/
省建五宿舍,https://ty.lianjia.com/xiaoqu/8707131202491244/
博文苑,https://ty.lianjia.com/xiaoqu/8707131317836192/
金属公司,https://ty.lianjia.com/xiaoqu/8707131203476786/
东泰苑,https://ty.lianjia.com/xiaoqu/8707131424831173/
泽峪园,https://ty.lianjia.com/xiaoqu/8707131111173996/
建南小区,https://ty.lianjia.com/xiaoqu/8707131175167991/
欣园小区,https://ty.lianjia.com/xiaoqu/8707131239190191/
山西化学纤维研究所住宅小区,https://ty.lianjia.com/xiaoqu/8707131088134140/
景泰花苑,https://ty.lianjia.com/xiaoqu/8707135705866433/
新源里铁路小区,https://ty.lianjia.com/xiaoqu/8707131052460048/
太涤小区,https://ty.lianjia.com/xiaoqu/8707131470967721/
鑫茂花苑,https://ty.lianjia.com/xiaoqu/8707131175165666/
汾西重工新建社区,https://ty.lianjia.com/xiaoqu/8707131228644539/
化建佳园,https://ty.lianjia.com/xiaoqu/8707131182520535/
沙沟北小区,https://ty.lianjia.com/xiaoqu/8707131146850594/
圣心苑,https://ty.lianjia.com/xiaoqu/8707131186691128/
