小区名称,小区链接
百合花城,https://baoji.lianjia.com/xiaoqu/8952132207502256/
新烽火盛華園,https://baoji.lianjia.com/xiaoqu/8952132011329752/
锦和春天,https://baoji.lianjia.com/xiaoqu/8952132069004694/
长岭祥和小区,https://baoji.lianjia.com/xiaoqu/8952132190726010/
陈仓园,https://baoji.lianjia.com/xiaoqu/8952132189682235/
玉泉花园南区,https://baoji.lianjia.com/xiaoqu/8952132050120656/
枫林苑小区,https://baoji.lianjia.com/xiaoqu/8952131992448034/
城市绿洲,https://baoji.lianjia.com/xiaoqu/8952132171754694/
建安集团小区,https://baoji.lianjia.com/xiaoqu/8952132020768384/
新福园二区,https://baoji.lianjia.com/xiaoqu/8952132062702872/
東一小區,https://baoji.lianjia.com/xiaoqu/8952132377491012/
华星雅典园小区,https://baoji.lianjia.com/xiaoqu/8952132303027942/
宝运二村,https://baoji.lianjia.com/xiaoqu/8952131866513256/
长岭安居小区,https://baoji.lianjia.com/xiaoqu/8952132151841276/
陕开社区,https://baoji.lianjia.com/xiaoqu/8952132072148456/
陈仓园铁路住宅A区,https://baoji.lianjia.com/xiaoqu/8952132183390523/
方豪花园,https://baoji.lianjia.com/xiaoqu/8952132363852949/
长青路91号院,https://baoji.lianjia.com/xiaoqu/8952131992454920/
医药公司小区,https://baoji.lianjia.com/xiaoqu/8952132425725723/
跃进铁路南区,https://baoji.lianjia.com/xiaoqu/8952132352327416/
渭工路59号楼,https://baoji.lianjia.com/xiaoqu/8952135093154633/
秦嶺泊屋,https://baoji.lianjia.com/xiaoqu/8952132355469304/
西铁宝鸡机务小区,https://baoji.lianjia.com/xiaoqu/8952131987206995/
大庆路105号院,https://baoji.lianjia.com/xiaoqu/8952139875062716/
同盟路交警队家属院,https://baoji.lianjia.com/xiaoqu/8952138724452730/
华辰小区,https://baoji.lianjia.com/xiaoqu/8952132301950447/
中宝花园,https://baoji.lianjia.com/xiaoqu/8952135532874210/
宝桥一分厂,https://baoji.lianjia.com/xiaoqu/8952135142598500/
宝鸡供电局东区家属院,https://baoji.lianjia.com/xiaoqu/8952132377483491/
豪城天下G区,https://baoji.lianjia.com/xiaoqu/8952132131913273/
宝鸡合力叉车厂家属院,https://baoji.lianjia.com/xiaoqu/8952132092072263/
宝铁华苑小区,https://baoji.lianjia.com/xiaoqu/8952131987207856/
圣和家园,https://baoji.lianjia.com/xiaoqu/8952134065338625/
广元路8号院,https://baoji.lianjia.com/xiaoqu/8952134033882845/
上马营华苑北区,https://baoji.lianjia.com/xiaoqu/8952132008178126/
金陵新村小区,https://baoji.lianjia.com/xiaoqu/8952131994547069/
金盾新都市,https://baoji.lianjia.com/xiaoqu/8952135096294695/
秦明小区,https://baoji.lianjia.com/xiaoqu/8952134027575722/
宝运花园,https://baoji.lianjia.com/xiaoqu/8952132422578673/
欣花园小区,https://baoji.lianjia.com/xiaoqu/8952132416289646/
城建局家属院(金台区),https://baoji.lianjia.com/xiaoqu/8952132353377632/
金陵新村二区,https://baoji.lianjia.com/xiaoqu/8952135452078590/
公交三公司家属院,https://baoji.lianjia.com/xiaoqu/8952135781448402/
上马营二号小区,https://baoji.lianjia.com/xiaoqu/8952132351278087/
渭工社区街道办事处家属院,https://baoji.lianjia.com/xiaoqu/8952131840302966/
药玻小区,https://baoji.lianjia.com/xiaoqu/8952132082636406/
虹桥高新花园,https://baoji.lianjia.com/xiaoqu/8952132009235548/
南山明珠,https://baoji.lianjia.com/xiaoqu/8952132174900705/
宝十路45号院,https://baoji.lianjia.com/xiaoqu/8952135949311310/
宝鸡叉车三厂住宅区,https://baoji.lianjia.com/xiaoqu/8952132354425919/
电气化社区,https://baoji.lianjia.com/xiaoqu/8952132353372389/
嘉园小区西区,https://baoji.lianjia.com/xiaoqu/8952132143446234/
群众路179号院,https://baoji.lianjia.com/xiaoqu/8952131882248851/
中山东路小区,https://baoji.lianjia.com/xiaoqu/8952131852886536/
人民路20号5号院,https://baoji.lianjia.com/xiaoqu/8952131844494404/
石油小区(中山路),https://baoji.lianjia.com/xiaoqu/8952131849741762/
宝鸡市城区生产资料有限公司,https://baoji.lianjia.com/xiaoqu/8952131832964887/
东南城巷住宅区,https://baoji.lianjia.com/xiaoqu/8952131849742106/
陕西省宝鸡市经一路61号院,https://baoji.lianjia.com/xiaoqu/8952131874906929/
宝鸡市水产公司小区,https://baoji.lianjia.com/xiaoqu/8952131835054779/
宝鸡供电局西区家属院,https://baoji.lianjia.com/xiaoqu/8952131877006602/
市科委家属院,https://baoji.lianjia.com/xiaoqu/8952131882240382/
工商局家属院,https://baoji.lianjia.com/xiaoqu/8952131853934927/
新开路社区,https://baoji.lianjia.com/xiaoqu/8952131881196533/
通天河住宅小区南区,https://baoji.lianjia.com/xiaoqu/8952132360715407/
宝工局小区,https://baoji.lianjia.com/xiaoqu/8952132422578591/
东站西区家属院,https://baoji.lianjia.com/xiaoqu/8952132425725387/
绿舟小区,https://baoji.lianjia.com/xiaoqu/8952131897970085/
姜河二区,https://baoji.lianjia.com/xiaoqu/8952132359658698/
七一七总队西院,https://baoji.lianjia.com/xiaoqu/8952132360714939/
如意小区,https://baoji.lianjia.com/xiaoqu/8952132091023609/
汉中路小区,https://baoji.lianjia.com/xiaoqu/8952131883295284/
新福园南区,https://baoji.lianjia.com/xiaoqu/8952132149735286/
盟盛花园小区,https://baoji.lianjia.com/xiaoqu/8952132024955478/
红光小区,https://baoji.lianjia.com/xiaoqu/8952132063762376/
千渭星城A区,https://baoji.lianjia.com/xiaoqu/8952132125624990/
宝鸡市邮政局宝光家属院,https://baoji.lianjia.com/xiaoqu/8952132054321390/
中行火炬路家属院,https://baoji.lianjia.com/xiaoqu/8952132016565743/
九华龙石小区,https://baoji.lianjia.com/xiaoqu/8952132054319158/
陕西二建集团广元路22号院,https://baoji.lianjia.com/xiaoqu/8952132050123421/
福苑小区,https://baoji.lianjia.com/xiaoqu/8952131963057045/
富强和平園,https://baoji.lianjia.com/xiaoqu/8952132106743433/
太金家园,https://baoji.lianjia.com/xiaoqu/8952132048030494/
众信小区,https://baoji.lianjia.com/xiaoqu/8952131990360007/
宝鸡教育学院長寿住宅小区,https://baoji.lianjia.com/xiaoqu/8952132098361551/
农牧良种场家属院,https://baoji.lianjia.com/xiaoqu/8952132035446061/
陈仓区虢镇街道东街社区服务站,https://baoji.lianjia.com/xiaoqu/8952132134008451/
宝鸡公路管理局家属院,https://baoji.lianjia.com/xiaoqu/8952132019711175/
田丰新村,https://baoji.lianjia.com/xiaoqu/8952131989311863/
锌业小区,https://baoji.lianjia.com/xiaoqu/8952132055366642/
宝光社区北区,https://baoji.lianjia.com/xiaoqu/8952132061657914/
峪泉路6号院,https://baoji.lianjia.com/xiaoqu/8952132022859793/
天健小区,https://baoji.lianjia.com/xiaoqu/8952131966198504/
宝管二区,https://baoji.lianjia.com/xiaoqu/8952132181289350/
金山社区,https://baoji.lianjia.com/xiaoqu/8952132164415665/
长岭康乐小区,https://baoji.lianjia.com/xiaoqu/8952132165462878/
中心医院家属院,https://baoji.lianjia.com/xiaoqu/8952132188633517/
公园路98号院,https://baoji.lianjia.com/xiaoqu/8952131989311683/
摩天院,https://baoji.lianjia.com/xiaoqu/8952131883294406/
群众路193号院,https://baoji.lianjia.com/xiaoqu/8952131883295899/
高家坡百合院,https://baoji.lianjia.com/xiaoqu/8952131962002259/
金利苑,https://baoji.lianjia.com/xiaoqu/8952131979867537/
燃气公司3号住宅楼,https://baoji.lianjia.com/xiaoqu/8952131993496176/
宝鸡电大家属院,https://baoji.lianjia.com/xiaoqu/8952131964105743/
八方山铅锌矿业有限责任公司家属院,https://baoji.lianjia.com/xiaoqu/8952132006081815/
北方动力社区8号小区,https://baoji.lianjia.com/xiaoqu/8952132104654307/
五里新村小区,https://baoji.lianjia.com/xiaoqu/8952131884342195/
工行家属区,https://baoji.lianjia.com/xiaoqu/8952132048030164/
中铁一局三公司滨河南路小区,https://baoji.lianjia.com/xiaoqu/8952131987211214/
金台地税局住宅楼,https://baoji.lianjia.com/xiaoqu/8952132301977426/
烽火五现场小区,https://baoji.lianjia.com/xiaoqu/8952132156033791/
宝鸡农校家属院,https://baoji.lianjia.com/xiaoqu/8952132154984530/
宝鸡氮肥厂小区,https://baoji.lianjia.com/xiaoqu/8952132184435544/
田丰园,https://baoji.lianjia.com/xiaoqu/8952132303030042/
十里铺票房巷住宅小区,https://baoji.lianjia.com/xiaoqu/8952132356516559/
三运司家属楼,https://baoji.lianjia.com/xiaoqu/8952132353377793/
恒基小区,https://baoji.lianjia.com/xiaoqu/8952132184431862/
凌云电器总公司二现场住宅小区,https://baoji.lianjia.com/xiaoqu/8952132169658914/
BSG宝鸡钢管宝管三区,https://baoji.lianjia.com/xiaoqu/8952132181296887/
新福园一区,https://baoji.lianjia.com/xiaoqu/8952134092595627/
孔家庄小区,https://baoji.lianjia.com/xiaoqu/8952134274053807/
房管所东关家属楼,https://baoji.lianjia.com/xiaoqu/8952134689441768/
恒立花园,https://baoji.lianjia.com/xiaoqu/8952134699919774/
财政局南院家属楼,https://baoji.lianjia.com/xiaoqu/8952134697843174/
渭工路67号院,https://baoji.lianjia.com/xiaoqu/8952135097353579/
中山西路97号副2号,https://baoji.lianjia.com/xiaoqu/8952135095247119/
文景园,https://baoji.lianjia.com/xiaoqu/8952134722995617/
宏鑫家园,https://baoji.lianjia.com/xiaoqu/8952134716719535/
居泰园,https://baoji.lianjia.com/xiaoqu/8952134718808203/
宝灯宜和家园,https://baoji.lianjia.com/xiaoqu/8952132311415283/
百合花园,https://baoji.lianjia.com/xiaoqu/8952134840449252/
凤泉花园A区,https://baoji.lianjia.com/xiaoqu/8952134662171706/
雍康花园,https://baoji.lianjia.com/xiaoqu/8952134668471474/
新都市花园东区,https://baoji.lianjia.com/xiaoqu/8952134667413681/
