小区名称,小区链接
红旗小区北区,https://xinxiang.lianjia.com/xiaoqu/8862131155238954/
下河线南街,https://xinxiang.lianjia.com/xiaoqu/8862136753803034/
河南省地矿局水文一队家属院东院,https://xinxiang.lianjia.com/xiaoqu/8862131174122176/
同乐花园小区,https://xinxiang.lianjia.com/xiaoqu/8862131160480051/
龙悦湾,https://xinxiang.lianjia.com/xiaoqu/88620000000077/
卫北市场华中89号院,https://xinxiang.lianjia.com/xiaoqu/88620000000089/
卫滨区新建街二号院,https://xinxiang.lianjia.com/xiaoqu/8862131098595361/
七六零厂生活区,https://xinxiang.lianjia.com/xiaoqu/8862131069235432/
惠丰社区,https://xinxiang.lianjia.com/xiaoqu/8862131213964831/
豫新6号院,https://xinxiang.lianjia.com/xiaoqu/8862131094425458/
新运十号院,https://xinxiang.lianjia.com/xiaoqu/88620000000108/
工人北街,https://xinxiang.lianjia.com/xiaoqu/88620000000084/
卫滨区围巾厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862131160481926/
市二建家属院,https://xinxiang.lianjia.com/xiaoqu/8862131058766818/
新粮小区,https://xinxiang.lianjia.com/xiaoqu/8862131049336360/
和谐花园,https://xinxiang.lianjia.com/xiaoqu/8862131220318006/
红旗区广电局家属院,https://xinxiang.lianjia.com/xiaoqu/8862131091250128/
卫滨区水厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862131166786721/
土产日杂公司家属院,https://xinxiang.lianjia.com/xiaoqu/88620000000076/
华源第二人民医院家属院,https://xinxiang.lianjia.com/xiaoqu/8862131050376064/
酒精厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862131098616320/
红旗区棉麻小区,https://xinxiang.lianjia.com/xiaoqu/8862131093370187/
水厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862131096521855/
黎明花园,https://xinxiang.lianjia.com/xiaoqu/8862131053523275/
豫新二号院生活C区,https://xinxiang.lianjia.com/xiaoqu/8862131094420408/
高村路二中小区,https://xinxiang.lianjia.com/xiaoqu/88620000000140/
道清路67号,https://xinxiang.lianjia.com/xiaoqu/8862131176212853/
中同东街145号,https://xinxiang.lianjia.com/xiaoqu/8862149016167779/
钢厂3号院,https://xinxiang.lianjia.com/xiaoqu/8862136001736216/
和平路二巷,https://xinxiang.lianjia.com/xiaoqu/8862149567792703/
城上城,https://xinxiang.lianjia.com/xiaoqu/8862135091056205/
五福家园,https://xinxiang.lianjia.com/xiaoqu/8862135128984343/
易居公馆,https://xinxiang.lianjia.com/xiaoqu/8862135150987056/
恒杰世博庄园,https://xinxiang.lianjia.com/xiaoqu/8862135153099568/
景园,https://xinxiang.lianjia.com/xiaoqu/8862135125837728/
福众花园,https://xinxiang.lianjia.com/xiaoqu/8862135148910498/
丰泽苑,https://xinxiang.lianjia.com/xiaoqu/8862135168816494/
阳城人家,https://xinxiang.lianjia.com/xiaoqu/8862135169863482/
京奥苑南区,https://xinxiang.lianjia.com/xiaoqu/8862135168826314/
友谊新村,https://xinxiang.lianjia.com/xiaoqu/8862135354509701/
锦绣温泉花园,https://xinxiang.lianjia.com/xiaoqu/8862135349256122/
红旗区日报社家属院,https://xinxiang.lianjia.com/xiaoqu/8862131095465439/
卫滨区鑫鑫小区,https://xinxiang.lianjia.com/xiaoqu/8862135528673901/
六合园小区,https://xinxiang.lianjia.com/xiaoqu/8862131095465629/
红旗区四水厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862131073452440/
高村路12-4号,https://xinxiang.lianjia.com/xiaoqu/88620000000257/
罗庄街27号院,https://xinxiang.lianjia.com/xiaoqu/8862139520506489/
化纤厂3生活区,https://xinxiang.lianjia.com/xiaoqu/8862131198296733/
客车厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862140327038546/
幸福街20号,https://xinxiang.lianjia.com/xiaoqu/8862140511568326/
中原路123号院,https://xinxiang.lianjia.com/xiaoqu/8862140558878059/
卫滨区新建街4号院,https://xinxiang.lianjia.com/xiaoqu/8862140658500908/
河南省地矿局环境一院西院,https://xinxiang.lianjia.com/xiaoqu/8862131172034185/
新粮大厦,https://xinxiang.lianjia.com/xiaoqu/8862140732952467/
西干道二巷,https://xinxiang.lianjia.com/xiaoqu/8862141165035419/
劳动路崔家巷,https://xinxiang.lianjia.com/xiaoqu/8862141184960184/
耿庄花园西区,https://xinxiang.lianjia.com/xiaoqu/8862131200395887/
珠峰花园,https://xinxiang.lianjia.com/xiaoqu/8862139224809586/
漂染厂家属院,https://xinxiang.lianjia.com/xiaoqu/8862141716663324/
预制厂内,https://xinxiang.lianjia.com/xiaoqu/8862141693596292/
