小区名称,小区链接
福川小区,https://liuzhou.lianjia.com/xiaoqu/8905136183260690/
天地楼,https://liuzhou.lianjia.com/xiaoqu/8905141014006092/
新华书店宿舍,https://liuzhou.lianjia.com/xiaoqu/8905140629128823/
新兴家苑,https://liuzhou.lianjia.com/xiaoqu/8905135048067548/
新胜安置小区,https://liuzhou.lianjia.com/xiaoqu/8905139927508310/
建中市场,https://liuzhou.lianjia.com/xiaoqu/8905140757048862/
印刷厂宿舍,https://liuzhou.lianjia.com/xiaoqu/8905139928538735/
鹿寨县人民医院职工住宿区,https://liuzhou.lianjia.com/xiaoqu/8905139470170794/
元宝小区,https://liuzhou.lianjia.com/xiaoqu/8905139903380183/
桥头路,https://liuzhou.lianjia.com/xiaoqu/8905140861910758/
水电小区,https://liuzhou.lianjia.com/xiaoqu/8905136209472456/
碧绿星城D区,https://liuzhou.lianjia.com/xiaoqu/8905136309118848/
碧绿星城C区,https://liuzhou.lianjia.com/xiaoqu/8905136309110629/
碧绿星城A区,https://liuzhou.lianjia.com/xiaoqu/8905136313313287/
叠翠苑,https://liuzhou.lianjia.com/xiaoqu/8905136311215132/
建中东路四巷8号,https://liuzhou.lianjia.com/xiaoqu/8905144109034399/
建中西路二巷2号,https://liuzhou.lianjia.com/xiaoqu/8905142943808573/
阳光花园,https://liuzhou.lianjia.com/xiaoqu/8905136184306526/
富源壹号,https://liuzhou.lianjia.com/xiaoqu/8905136226254118/
锦华苑,https://liuzhou.lianjia.com/xiaoqu/8905136227300740/
柳城花苑,https://liuzhou.lianjia.com/xiaoqu/8905136228359812/
和兴小区,https://liuzhou.lianjia.com/xiaoqu/8905136360557173/
京都商贸城,https://liuzhou.lianjia.com/xiaoqu/8905136378374295/
三〇九五小区,https://liuzhou.lianjia.com/xiaoqu/8905136312257302/
柳泥小区,https://liuzhou.lianjia.com/xiaoqu/8905140452857112/
柳长路15号之一,https://liuzhou.lianjia.com/xiaoqu/8905140209582117/
隆升小区,https://liuzhou.lianjia.com/xiaoqu/8905150777008063/
莲花城三区,https://liuzhou.lianjia.com/xiaoqu/89050000000500/
雄成国际,https://liuzhou.lianjia.com/xiaoqu/8905136225215876/
电信宿舍,https://liuzhou.lianjia.com/xiaoqu/8905139928540731/
向阳路95号,https://liuzhou.lianjia.com/xiaoqu/8905154605886149/
白阳中路三巷17号,https://liuzhou.lianjia.com/xiaoqu/8905153864439460/
罐头厂路59号,https://liuzhou.lianjia.com/xiaoqu/8905153872843622/
江景豪庭,https://liuzhou.lianjia.com/xiaoqu/8905136225215918/
柳堡路428号,https://liuzhou.lianjia.com/xiaoqu/89050000000689/
城中路六巷13号,https://liuzhou.lianjia.com/xiaoqu/8905154243054209/
融洲风情A区,https://liuzhou.lianjia.com/xiaoqu/8905155930424188/
金冠苑玉座,https://liuzhou.lianjia.com/xiaoqu/8905136305975777/
建中东路四巷8号,https://liuzhou.lianjia.com/xiaoqu/8905144109034399/
广场路32号,https://liuzhou.lianjia.com/xiaoqu/8905154727575147/
东方上城,https://liuzhou.lianjia.com/xiaoqu/8905136382573950/
河东大道五巷61号,https://liuzhou.lianjia.com/xiaoqu/8905153873882414/
阳光丽园,https://liuzhou.lianjia.com/xiaoqu/8905136309126419/
朝阳西路47号,https://liuzhou.lianjia.com/xiaoqu/8905156164272768/
柳城大埔商贸城住宅小区,https://liuzhou.lianjia.com/xiaoqu/8905150821050485/
明鑫苑,https://liuzhou.lianjia.com/xiaoqu/89050000001099/
馨怡花苑,https://liuzhou.lianjia.com/xiaoqu/8905136331145366/
横山泰和苑小区,https://liuzhou.lianjia.com/xiaoqu/8905156790261960/
建中北路32号,https://liuzhou.lianjia.com/xiaoqu/8905156767189943/
福星路33号之一,https://liuzhou.lianjia.com/xiaoqu/89050000001621/
太和街27号,https://liuzhou.lianjia.com/xiaoqu/89050000001514/
电信宿舍,https://liuzhou.lianjia.com/xiaoqu/8905139928540731/
三〇九五小区,https://liuzhou.lianjia.com/xiaoqu/8905136312257302/
科委生活区,https://liuzhou.lianjia.com/xiaoqu/8905152005174344/
柳城中学教师宿舍,https://liuzhou.lianjia.com/xiaoqu/8905152085902975/
白阳南路136号,https://liuzhou.lianjia.com/xiaoqu/8905152237941538/
白阳北路31-32号,https://liuzhou.lianjia.com/xiaoqu/8905151633878257/
白阳北路二巷,https://liuzhou.lianjia.com/xiaoqu/8905151478708914/
城中路三巷,https://liuzhou.lianjia.com/xiaoqu/8905152833677142/
日田地王国际,https://liuzhou.lianjia.com/xiaoqu/8905136227297086/
柳城大埔商贸城住宅小区,https://liuzhou.lianjia.com/xiaoqu/8905150821050485/
碧绿星城B区,https://liuzhou.lianjia.com/xiaoqu/8905136311211128/
河东大道105号,https://liuzhou.lianjia.com/xiaoqu/89050000002220/
融洲风情A区,https://liuzhou.lianjia.com/xiaoqu/8905155930424188/
金冠苑玉座,https://liuzhou.lianjia.com/xiaoqu/8905136305975777/
馨怡花苑,https://liuzhou.lianjia.com/xiaoqu/8905136331145366/
拉堡民族新区,https://liuzhou.lianjia.com/xiaoqu/89050000002375/
融水商贸城,https://liuzhou.lianjia.com/xiaoqu/89050000002031/
白阳东路20号,https://liuzhou.lianjia.com/xiaoqu/89050000004577/
明鑫苑,https://liuzhou.lianjia.com/xiaoqu/89050000001099/
