小区名称,小区链接
桔园小区,https://zhuzhou.lianjia.com/xiaoqu/8881135702793479/
瓷城大道89号,https://zhuzhou.lianjia.com/xiaoqu/8881139019287846/
果园小区,https://zhuzhou.lianjia.com/xiaoqu/8881134827859214/
国光花园,https://zhuzhou.lianjia.com/xiaoqu/8881138872286508/
永胜小区,https://zhuzhou.lianjia.com/xiaoqu/8881138670963038/
劳动村,https://zhuzhou.lianjia.com/xiaoqu/8881134031771628/
迎新二村,https://zhuzhou.lianjia.com/xiaoqu/8881134029680067/
龙山塘小区,https://zhuzhou.lianjia.com/xiaoqu/8881134072679213/
凤凰村,https://zhuzhou.lianjia.com/xiaoqu/8881130697910090/
珉阁大厦,https://zhuzhou.lianjia.com/xiaoqu/8881134212185902/
庆云山一村,https://zhuzhou.lianjia.com/xiaoqu/8881134230020940/
嵩山公寓,https://zhuzhou.lianjia.com/xiaoqu/8881130489114099/
亲和府,https://zhuzhou.lianjia.com/xiaoqu/8881134311758548/
株洲市强戒所干警生活区,https://zhuzhou.lianjia.com/xiaoqu/8881134299158545/
金园小区,https://zhuzhou.lianjia.com/xiaoqu/8881134303360583/
铁四院一分院,https://zhuzhou.lianjia.com/xiaoqu/8881134282448753/
大仙塘小区,https://zhuzhou.lianjia.com/xiaoqu/8881130847853360/
解放街193号,https://zhuzhou.lianjia.com/xiaoqu/8881134602331425/
烟山口小区,https://zhuzhou.lianjia.com/xiaoqu/8881134269867742/
明德小区,https://zhuzhou.lianjia.com/xiaoqu/8881135622015439/
丽景佳园小区,https://zhuzhou.lianjia.com/xiaoqu/8881135626224780/
熙园小区,https://zhuzhou.lianjia.com/xiaoqu/8881135627262463/
瑞和春天,https://zhuzhou.lianjia.com/xiaoqu/8881135627259128/
姚家岭小区,https://zhuzhou.lianjia.com/xiaoqu/8881135622028169/
朝阳小区(荷塘区),https://zhuzhou.lianjia.com/xiaoqu/8881130852051432/
金园大厦,https://zhuzhou.lianjia.com/xiaoqu/8881130579421058/
欣月佳园,https://zhuzhou.lianjia.com/xiaoqu/8881130696869441/
家华豪庭,https://zhuzhou.lianjia.com/xiaoqu/8881135604200637/
碧玉家园,https://zhuzhou.lianjia.com/xiaoqu/8881135702791191/
李家冲二村,https://zhuzhou.lianjia.com/xiaoqu/8881130605636549/
拥军路2号,https://zhuzhou.lianjia.com/xiaoqu/8881148756041164/
杉木塘一村,https://zhuzhou.lianjia.com/xiaoqu/8881148940646689/
碧山花园,https://zhuzhou.lianjia.com/xiaoqu/8881149035027536/
税务局宿舍,https://zhuzhou.lianjia.com/xiaoqu/8881141365305458/
曹家巷一村,https://zhuzhou.lianjia.com/xiaoqu/8881141842492612/
振兴家园,https://zhuzhou.lianjia.com/xiaoqu/8881141842489306/
姜湾上正街78号,https://zhuzhou.lianjia.com/xiaoqu/8881141787962278/
桠枝塘福利工厂,https://zhuzhou.lianjia.com/xiaoqu/8881134394642079/
解放路东段,https://zhuzhou.lianjia.com/xiaoqu/8881141644318521/
中和街115号,https://zhuzhou.lianjia.com/xiaoqu/8881142195868424/
藕塘冲,https://zhuzhou.lianjia.com/xiaoqu/8881142338585614/
凯旋门,https://zhuzhou.lianjia.com/xiaoqu/8881130755579302/
锦绣幸福里,https://zhuzhou.lianjia.com/xiaoqu/8881142491731232/
大桥南路40号,https://zhuzhou.lianjia.com/xiaoqu/8881142666870650/
建中巷6号,https://zhuzhou.lianjia.com/xiaoqu/8881142747591702/
凤凰街住宅区,https://zhuzhou.lianjia.com/xiaoqu/8881138897457204/
漉浦华庭小区,https://zhuzhou.lianjia.com/xiaoqu/8881135625179171/
月光塘街30号,https://zhuzhou.lianjia.com/xiaoqu/8881139654719090/
株洲县教师村,https://zhuzhou.lianjia.com/xiaoqu/8881135620971530/
港口街56号,https://zhuzhou.lianjia.com/xiaoqu/8881134028632242/
株洲车辆厂同心村,https://zhuzhou.lianjia.com/xiaoqu/8881130858345007/
太一街家属楼,https://zhuzhou.lianjia.com/xiaoqu/8881136888036548/
江源住宅楼,https://zhuzhou.lianjia.com/xiaoqu/8881137135496152/
阳三焦厂,https://zhuzhou.lianjia.com/xiaoqu/8881137385171987/
方正花园小区,https://zhuzhou.lianjia.com/xiaoqu/8881136659437640/
南门尚庭苑,https://zhuzhou.lianjia.com/xiaoqu/8881135702803539/
大力新村北区,https://zhuzhou.lianjia.com/xiaoqu/8881130860439759/
株洲市芦淞区楠竹小区,https://zhuzhou.lianjia.com/xiaoqu/8881137262359747/
立三路1号,https://zhuzhou.lianjia.com/xiaoqu/8881138667820910/
陶机小区,https://zhuzhou.lianjia.com/xiaoqu/8881138669919703/
解放路65号,https://zhuzhou.lianjia.com/xiaoqu/8881139477511368/
泉塘小区,https://zhuzhou.lianjia.com/xiaoqu/8881140302899430/
裕丰广场二区,https://zhuzhou.lianjia.com/xiaoqu/8881140680521743/
郭家祠堂,https://zhuzhou.lianjia.com/xiaoqu/8881140787458038/
王家巷7号,https://zhuzhou.lianjia.com/xiaoqu/8881140806342833/
文化二村,https://zhuzhou.lianjia.com/xiaoqu/8881141663183674/
解放路东段,https://zhuzhou.lianjia.com/xiaoqu/8881141644318521/
曹家巷一村,https://zhuzhou.lianjia.com/xiaoqu/8881141842492612/
振兴家园,https://zhuzhou.lianjia.com/xiaoqu/8881141842489306/
锦绣怡乐大楼,https://zhuzhou.lianjia.com/xiaoqu/8881141889681503/
鑫源广场,https://zhuzhou.lianjia.com/xiaoqu/8881135677641827/
南门尚庭苑,https://zhuzhou.lianjia.com/xiaoqu/8881135702803539/
江源住宅楼,https://zhuzhou.lianjia.com/xiaoqu/8881137135496152/
太一街家属楼,https://zhuzhou.lianjia.com/xiaoqu/8881136888036548/
百货大楼宿舍楼,https://zhuzhou.lianjia.com/xiaoqu/8881136889069201/
大力新村北区,https://zhuzhou.lianjia.com/xiaoqu/8881130860439759/
天隆小区,https://zhuzhou.lianjia.com/xiaoqu/8881135701761061/
株洲市芦淞区楠竹小区,https://zhuzhou.lianjia.com/xiaoqu/8881137262359747/
阳三焦厂,https://zhuzhou.lianjia.com/xiaoqu/8881137385171987/
方正花园小区,https://zhuzhou.lianjia.com/xiaoqu/8881136659437640/
左权北路124号,https://zhuzhou.lianjia.com/xiaoqu/8881137434460528/
立三路1号,https://zhuzhou.lianjia.com/xiaoqu/8881138667820910/
陶机小区,https://zhuzhou.lianjia.com/xiaoqu/8881138669919703/
泉湖中心小区三十九号,https://zhuzhou.lianjia.com/xiaoqu/8881139151408144/
玉瓷商业街,https://zhuzhou.lianjia.com/xiaoqu/8881139219558474/
友好村,https://zhuzhou.lianjia.com/xiaoqu/8881134034932914/
锦龙大厦,https://zhuzhou.lianjia.com/xiaoqu/8881134400938491/
黄泥坳82号,https://zhuzhou.lianjia.com/xiaoqu/8881139905467259/
沙塘路156号,https://zhuzhou.lianjia.com/xiaoqu/8881139929600822/
解放二村,https://zhuzhou.lianjia.com/xiaoqu/8881130640234985/
解放二村,https://zhuzhou.lianjia.com/xiaoqu/8881130640234985/
双联小区,https://zhuzhou.lianjia.com/xiaoqu/8881136889075511/
湖电小区,https://zhuzhou.lianjia.com/xiaoqu/8881136752754463/
解放村,https://zhuzhou.lianjia.com/xiaoqu/8881138291299630/
江源住宅楼,https://zhuzhou.lianjia.com/xiaoqu/8881137135496152/
骆家围小区,https://zhuzhou.lianjia.com/xiaoqu/8881138668881164/
立三大道61号,https://zhuzhou.lianjia.com/xiaoqu/8881143957001540/
塑料八厂综合楼,https://zhuzhou.lianjia.com/xiaoqu/8881144150988204/
华宇商住楼,https://zhuzhou.lianjia.com/xiaoqu/8881143680137761/
南华一村,https://zhuzhou.lianjia.com/xiaoqu/8881144157273745/
振兴家园,https://zhuzhou.lianjia.com/xiaoqu/8881141842489306/
锦绣怡乐大楼,https://zhuzhou.lianjia.com/xiaoqu/8881141889681503/
桠枝塘福利工厂,https://zhuzhou.lianjia.com/xiaoqu/8881134394642079/
中和街115号,https://zhuzhou.lianjia.com/xiaoqu/8881142195868424/
株化家一区,https://zhuzhou.lianjia.com/xiaoqu/8881130737753254/
建中巷6号,https://zhuzhou.lianjia.com/xiaoqu/8881142747591702/
株化广安小区,https://zhuzhou.lianjia.com/xiaoqu/8881130740897911/
县阳路67号,https://zhuzhou.lianjia.com/xiaoqu/8881144209698339/
富家垅小区,https://zhuzhou.lianjia.com/xiaoqu/8881141911712203/
大桥南路40号,https://zhuzhou.lianjia.com/xiaoqu/8881142666870650/
魏家湾1号,https://zhuzhou.lianjia.com/xiaoqu/8881143672766808/
远泰综合楼,https://zhuzhou.lianjia.com/xiaoqu/8881143533304182/
沿河三村西院,https://zhuzhou.lianjia.com/xiaoqu/8881130744052084/
