小区名称,小区链接
钵池小区,https://ha.lianjia.com/xiaoqu/8746128167721176/
黄元小区,https://ha.lianjia.com/xiaoqu/8746128155141017/
新区花园,https://ha.lianjia.com/xiaoqu/8746128233889799/
化工二村,https://ha.lianjia.com/xiaoqu/8746128190789674/
桃李花园,https://ha.lianjia.com/xiaoqu/8746128172971437/
化工新村二区,https://ha.lianjia.com/xiaoqu/8746128264290314/
金凤新村1区,https://ha.lianjia.com/xiaoqu/8746134816328505/
邮电局宿舍,https://ha.lianjia.com/xiaoqu/8746128237031703/
东城美居,https://ha.lianjia.com/xiaoqu/8746134279238724/
轻纺家园,https://ha.lianjia.com/xiaoqu/8746128149901852/
怡和家园,https://ha.lianjia.com/xiaoqu/8746133507197099/
淮河人家,https://ha.lianjia.com/xiaoqu/8746133526031586/
融汇公寓,https://ha.lianjia.com/xiaoqu/8746133532373969/
香格里拉新龙城,https://ha.lianjia.com/xiaoqu/8746133509302460/
东方名郡,https://ha.lianjia.com/xiaoqu/8746133511369196/
惠源居,https://ha.lianjia.com/xiaoqu/8746133517641891/
大明学府,https://ha.lianjia.com/xiaoqu/8746133516617386/
东方新城,https://ha.lianjia.com/xiaoqu/8746133588995092/
健力铭都,https://ha.lianjia.com/xiaoqu/8746133587943920/
东湖小区,https://ha.lianjia.com/xiaoqu/8746133540751765/
东城国际(盱眙县),https://ha.lianjia.com/xiaoqu/8746133557538846/
富润花园东区,https://ha.lianjia.com/xiaoqu/8746133627783623/
东城新天地,https://ha.lianjia.com/xiaoqu/8746128125785951/
徐杨花园,https://ha.lianjia.com/xiaoqu/8746128180306882/
砖井花园,https://ha.lianjia.com/xiaoqu/8746128198191456/
金色港湾,https://ha.lianjia.com/xiaoqu/8746134207998045/
国税局宿舍,https://ha.lianjia.com/xiaoqu/8746134419747825/
西法庭宿舍,https://ha.lianjia.com/xiaoqu/8746134632740951/
国际商城,https://ha.lianjia.com/xiaoqu/87460000000023/
九龙湖花园,https://ha.lianjia.com/xiaoqu/8746128256952557/
惠源居,https://ha.lianjia.com/xiaoqu/8746133517641891/
淮河人家,https://ha.lianjia.com/xiaoqu/8746133526031586/
东湖小区,https://ha.lianjia.com/xiaoqu/8746133540751765/
东方新城,https://ha.lianjia.com/xiaoqu/8746133588995092/
健力铭都,https://ha.lianjia.com/xiaoqu/8746133587943920/
龙泉雅苑,https://ha.lianjia.com/xiaoqu/8746133771612484/
炎黄国际花园,https://ha.lianjia.com/xiaoqu/8746134059044551/
薛行安置小区,https://ha.lianjia.com/xiaoqu/8746134068469001/
银杏花园,https://ha.lianjia.com/xiaoqu/8746134075822136/
红日金城,https://ha.lianjia.com/xiaoqu/8746134074773907/
军民中心村,https://ha.lianjia.com/xiaoqu/8746134075818730/
中央城,https://ha.lianjia.com/xiaoqu/8746134080006412/
永怀大厦,https://ha.lianjia.com/xiaoqu/8746134083160510/
荣马国际,https://ha.lianjia.com/xiaoqu/8746134067437524/
水木华都,https://ha.lianjia.com/xiaoqu/8746134069534491/
东郊华庭北区,https://ha.lianjia.com/xiaoqu/8746134071626215/
滨河新苑,https://ha.lianjia.com/xiaoqu/8746134072673549/
金安玫瑰园,https://ha.lianjia.com/xiaoqu/8746134072674514/
金碧华府,https://ha.lianjia.com/xiaoqu/8746134069539065/
五岛湖公寓,https://ha.lianjia.com/xiaoqu/8746134067440709/
东郊华庭,https://ha.lianjia.com/xiaoqu/8746134068485093/
