小区名称,小区链接
东湖国际花园,https://xy.lianjia.com/xiaoqu/8752131349298705/
铁路大院南区,https://xy.lianjia.com/xiaoqu/8752130776550817/
东津世纪城14区崇文府,https://xy.lianjia.com/xiaoqu/8752133764279667/
铁路老三院,https://xy.lianjia.com/xiaoqu/8752133888095793/
优地美舍,https://xy.lianjia.com/xiaoqu/8752130925448074/
和信名城,https://xy.lianjia.com/xiaoqu/8752131342999708/
东津世纪城13区瀚林院,https://xy.lianjia.com/xiaoqu/8752131012607426/
蔬菜公司家属院,https://xy.lianjia.com/xiaoqu/8752133387560880/
天润坐标城,https://xy.lianjia.com/xiaoqu/8752133887024595/
人民路5710号,https://xy.lianjia.com/xiaoqu/87520000000019/
襄阳新城A区,https://xy.lianjia.com/xiaoqu/8752130992561975/
锦绣家园,https://xy.lianjia.com/xiaoqu/8752130887704349/
东风电器厂家属院,https://xy.lianjia.com/xiaoqu/8752134027594532/
董台小区烟厂家属院,https://xy.lianjia.com/xiaoqu/8752133382317622/
经晨红星城市花园,https://xy.lianjia.com/xiaoqu/8752131191793667/
储运家属院,https://xy.lianjia.com/xiaoqu/8752133491335172/
轴承厂家属院 九街坊居民小区 襄城区,https://xy.lianjia.com/xiaoqu/87520000000086/
福如家园,https://xy.lianjia.com/xiaoqu/8752130879314791/
二汽新区,https://xy.lianjia.com/xiaoqu/8752130904476315/
长征小区,https://xy.lianjia.com/xiaoqu/8752130848909202/
铁三院四合院,https://xy.lianjia.com/xiaoqu/8752133937380240/
襄阳中环,https://xy.lianjia.com/xiaoqu/8752139021365428/
高庄街5号发改委家属院,https://xy.lianjia.com/xiaoqu/8752133843954345/
新嘉苑,https://xy.lianjia.com/xiaoqu/8752130791241431/
拉链厂家属院,https://xy.lianjia.com/xiaoqu/8752137089349614/
鑫鼎花苑,https://xy.lianjia.com/xiaoqu/8752130849957739/
樊城区市食品公司家属院,https://xy.lianjia.com/xiaoqu/8752138892217919/
铁四院清风园,https://xy.lianjia.com/xiaoqu/8752130938037823/
景泰公寓,https://xy.lianjia.com/xiaoqu/8752130866737403/
襄阳市气管厂家属院,https://xy.lianjia.com/xiaoqu/8752130862534260/
石油家属院南院,https://xy.lianjia.com/xiaoqu/8752136600721740/
铁四院清河园,https://xy.lianjia.com/xiaoqu/8752130948527092/
万众太阳城,https://xy.lianjia.com/xiaoqu/8752131344056627/
东方雅园,https://xy.lianjia.com/xiaoqu/8752130904487426/
银杏家园,https://xy.lianjia.com/xiaoqu/8752130901340376/
泰安路工商局家属院,https://xy.lianjia.com/xiaoqu/8752139580271330/
二印厂家属院,https://xy.lianjia.com/xiaoqu/8752130858345411/
锦绣SOHO,https://xy.lianjia.com/xiaoqu/8752131319935781/
福地小区,https://xy.lianjia.com/xiaoqu/8752130885609218/
铁三院商住小区,https://xy.lianjia.com/xiaoqu/8752130874072461/
东神公司家属院,https://xy.lianjia.com/xiaoqu/8752133867073455/
铁路金利集团院,https://xy.lianjia.com/xiaoqu/8752136173825747/
建虹公寓,https://xy.lianjia.com/xiaoqu/8752130895050656/
西苑小区,https://xy.lianjia.com/xiaoqu/8752130788088347/
农商行家属院,https://xy.lianjia.com/xiaoqu/8752142044876897/
车城新天地,https://xy.lianjia.com/xiaoqu/8752133889146642/
工行家属院(樊城东区),https://xy.lianjia.com/xiaoqu/8752130862533638/
庆德大厦,https://xy.lianjia.com/xiaoqu/8752133380185582/
国家税务总局襄阳市税务局第一稽查局家属院,https://xy.lianjia.com/xiaoqu/8752140301869118/
襄阳轴承厂十五街坊,https://xy.lianjia.com/xiaoqu/8752130994659767/
龙福鑫苑,https://xy.lianjia.com/xiaoqu/87520000000026/
102医院家属院,https://xy.lianjia.com/xiaoqu/8752137662094687/
大庆东路天香织带家属院,https://xy.lianjia.com/xiaoqu/8752133455775745/
水利水电工程团南院,https://xy.lianjia.com/xiaoqu/8752133377073898/
富康园,https://xy.lianjia.com/xiaoqu/8752131277997589/
帝皇嘉苑,https://xy.lianjia.com/xiaoqu/8752132757216758/
东城大厦,https://xy.lianjia.com/xiaoqu/8752134024442697/
开放广场,https://xy.lianjia.com/xiaoqu/87520000000021/
石油管道局家属院(襄州区),https://xy.lianjia.com/xiaoqu/8752134030722323/
小轴承厂家属院,https://xy.lianjia.com/xiaoqu/8752133890193445/
铜版纸厂家属院,https://xy.lianjia.com/xiaoqu/8752130791237433/
帝皇嘉苑,https://xy.lianjia.com/xiaoqu/8752132757216758/
人和国际,https://xy.lianjia.com/xiaoqu/8752133155760241/
枣阳新天地,https://xy.lianjia.com/xiaoqu/8752133162067364/
广源小区,https://xy.lianjia.com/xiaoqu/8752133169410917/
卧龙新港,https://xy.lianjia.com/xiaoqu/8752134241505973/
