小区名称,小区链接
解放路22号,https://ganzhou.lianjia.com/xiaoqu/8843135305233860/
明珠花苑,https://ganzhou.lianjia.com/xiaoqu/8843136122454160/
中心农贸市场,https://ganzhou.lianjia.com/xiaoqu/8843139927507471/
财富港南区,https://ganzhou.lianjia.com/xiaoqu/8843136149712935/
尚水龙城,https://ganzhou.lianjia.com/xiaoqu/8843135986021976/
华能大道83号,https://ganzhou.lianjia.com/xiaoqu/8843145746191446/
茅店兴农路,https://ganzhou.lianjia.com/xiaoqu/8843146120600692/
燕塘公寓,https://ganzhou.lianjia.com/xiaoqu/8843139855147611/
梅林大街33号,https://ganzhou.lianjia.com/xiaoqu/8843149191315915/
政协家属楼,https://ganzhou.lianjia.com/xiaoqu/8843151232242478/
解放西路15号,https://ganzhou.lianjia.com/xiaoqu/88430000000334/
松三里小区,https://ganzhou.lianjia.com/xiaoqu/8843147907595420/
东门北路258号,https://ganzhou.lianjia.com/xiaoqu/8843148030273858/
关爱路33号,https://ganzhou.lianjia.com/xiaoqu/8843147807987728/
工商银行家属楼,https://ganzhou.lianjia.com/xiaoqu/8843149398914733/
菜市北路1号,https://ganzhou.lianjia.com/xiaoqu/8843153844522518/
房管局家属楼,https://ganzhou.lianjia.com/xiaoqu/8843156591022365/
茅店新市民公寓,https://ganzhou.lianjia.com/xiaoqu/88430000002212/
迎宾东大道167号,https://ganzhou.lianjia.com/xiaoqu/8843154878576844/
盛世名城南区,https://ganzhou.lianjia.com/xiaoqu/8843135984965814/
东门北路196号,https://ganzhou.lianjia.com/xiaoqu/8843153670454711/
手工业联社家属楼,https://ganzhou.lianjia.com/xiaoqu/8843153641101374/
章贡安置区,https://ganzhou.lianjia.com/xiaoqu/8843145615062791/
奎角上71号,https://ganzhou.lianjia.com/xiaoqu/8843154524113970/
经贸大厦,https://ganzhou.lianjia.com/xiaoqu/8843153565594980/
梅林大街61号,https://ganzhou.lianjia.com/xiaoqu/8843153690392149/
二经路1号,https://ganzhou.lianjia.com/xiaoqu/8843136107645900/
赣县茅店镇上街上,https://ganzhou.lianjia.com/xiaoqu/88430000000965/
潭口镇东广场,https://ganzhou.lianjia.com/xiaoqu/88430000000900/
邮电局家属楼,https://ganzhou.lianjia.com/xiaoqu/8843153468090693/
华能大道29号,https://ganzhou.lianjia.com/xiaoqu/88430000000462/
兴业小区,https://ganzhou.lianjia.com/xiaoqu/8843152205452387/
南康市蓉江服装厂集资楼,https://ganzhou.lianjia.com/xiaoqu/88430000000492/
水城湾,https://ganzhou.lianjia.com/xiaoqu/88430000001660/
东门村,https://ganzhou.lianjia.com/xiaoqu/8843156613063356/
通站大道开发小区L区,https://ganzhou.lianjia.com/xiaoqu/88430000006578/
武装部集资房,https://ganzhou.lianjia.com/xiaoqu/88430000007289/
华能大道7号,https://ganzhou.lianjia.com/xiaoqu/88430000006280/
厚德路49号,https://ganzhou.lianjia.com/xiaoqu/88430000008606/
地税局家属楼,https://ganzhou.lianjia.com/xiaoqu/8843155578063600/
迎宾东大道167号,https://ganzhou.lianjia.com/xiaoqu/8843154878576844/
茅店新市民公寓,https://ganzhou.lianjia.com/xiaoqu/88430000002212/
蓉江街办西门坝,https://ganzhou.lianjia.com/xiaoqu/88430000005861/
水科家属房,https://ganzhou.lianjia.com/xiaoqu/88430000005205/
红金工业园三期,https://ganzhou.lianjia.com/xiaoqu/88430000005723/
政协家属楼,https://ganzhou.lianjia.com/xiaoqu/8843151232242478/
华能大道54号,https://ganzhou.lianjia.com/xiaoqu/88430000000440/
华能大道83号,https://ganzhou.lianjia.com/xiaoqu/8843145746191446/
松三里小区,https://ganzhou.lianjia.com/xiaoqu/8843147907595420/
茅店兴农路,https://ganzhou.lianjia.com/xiaoqu/8843146120600692/
