小区名称,小区链接
世纪苑安置房,https://dazhou.lianjia.com/xiaoqu/8928138565059818/
国土局安置房,https://dazhou.lianjia.com/xiaoqu/8928135146810101/
绥定小区,https://dazhou.lianjia.com/xiaoqu/8928132846366880/
干警小区,https://dazhou.lianjia.com/xiaoqu/8928132928144942/
曹家梁社区,https://dazhou.lianjia.com/xiaoqu/8928132931300480/
曹家梁社区四小区,https://dazhou.lianjia.com/xiaoqu/8928132937588321/
天源大厦,https://dazhou.lianjia.com/xiaoqu/8928134041223446/
芳维公寓,https://dazhou.lianjia.com/xiaoqu/8928133074951842/
科利达小区,https://dazhou.lianjia.com/xiaoqu/8928133074953960/
富康大院,https://dazhou.lianjia.com/xiaoqu/8928133089638957/
达州市达川区审计局,https://dazhou.lianjia.com/xiaoqu/8928132977444589/
四合院小区263号,https://dazhou.lianjia.com/xiaoqu/8928132924996062/
中山大厦,https://dazhou.lianjia.com/xiaoqu/8928133061323185/
四通宾馆,https://dazhou.lianjia.com/xiaoqu/8928133959411803/
阳光新跨越小区,https://dazhou.lianjia.com/xiaoqu/8928132936547392/
金煌花园,https://dazhou.lianjia.com/xiaoqu/8928132909263483/
金丝花园,https://dazhou.lianjia.com/xiaoqu/8928133939469360/
达州市气象局,https://dazhou.lianjia.com/xiaoqu/8928134045410911/
金南社区,https://dazhou.lianjia.com/xiaoqu/8928135152052212/
新南街95号,https://dazhou.lianjia.com/xiaoqu/8928135150984766/
康鑫花苑,https://dazhou.lianjia.com/xiaoqu/8928132920803830/
财政局家属院,https://dazhou.lianjia.com/xiaoqu/8928135243259266/
南滨路一段276号,https://dazhou.lianjia.com/xiaoqu/8928150920706365/
朝阳东路文化北巷45号,https://dazhou.lianjia.com/xiaoqu/8928145091740154/
金马巷115号,https://dazhou.lianjia.com/xiaoqu/8928147779659076/
柏林巷1号,https://dazhou.lianjia.com/xiaoqu/8928145167299511/
达竹汽车运输公司家属院,https://dazhou.lianjia.com/xiaoqu/8928148512726090/
福达街246附26号,https://dazhou.lianjia.com/xiaoqu/8928148607112617/
柴市街176号,https://dazhou.lianjia.com/xiaoqu/8928148758143330/
达州市疾病预防控制中心宿舍,https://dazhou.lianjia.com/xiaoqu/8928148152959052/
兴发农贸市场,https://dazhou.lianjia.com/xiaoqu/8928135304184937/
福达街246附5号,https://dazhou.lianjia.com/xiaoqu/8928138767446940/
龙家巷25号,https://dazhou.lianjia.com/xiaoqu/8928139501621517/
西外镇政府家属院,https://dazhou.lianjia.com/xiaoqu/8928136715023978/
西胜街36号,https://dazhou.lianjia.com/xiaoqu/8928140383648061/
金马巷42号,https://dazhou.lianjia.com/xiaoqu/8928140508443496/
仁园小区,https://dazhou.lianjia.com/xiaoqu/8928134155522352/
天园巷35号,https://dazhou.lianjia.com/xiaoqu/8928141265699199/
夏荷街3号,https://dazhou.lianjia.com/xiaoqu/8928141412505283/
大路监狱干警大楼,https://dazhou.lianjia.com/xiaoqu/8928141391525030/
恒成集团批发市场自建家属楼,https://dazhou.lianjia.com/xiaoqu/8928141786922380/
彭家湾路54号,https://dazhou.lianjia.com/xiaoqu/8928140107858104/
建设局,https://dazhou.lianjia.com/xiaoqu/8928139170269497/
泰合巷55号,https://dazhou.lianjia.com/xiaoqu/8928140431890380/
欧鹏小区,https://dazhou.lianjia.com/xiaoqu/8928138748563737/
永丰街99号,https://dazhou.lianjia.com/xiaoqu/8928139856187215/
马蹄街12号,https://dazhou.lianjia.com/xiaoqu/8928139804668010/
