小区名称,小区链接
金竹村残联集资综合楼,https://cq.lianjia.com/xiaoqu/3617177333478252/
物价局家属院,https://cq.lianjia.com/xiaoqu/367419659037705/
斑竹村小区,https://cq.lianjia.com/xiaoqu/3620030260238564/
璧铜路203号,https://cq.lianjia.com/xiaoqu/3620046471931797/
民主路104号,https://cq.lianjia.com/xiaoqu/3620046441532681/
龙源居,https://cq.lianjia.com/xiaoqu/36000000001218/
璧渝路333号,https://cq.lianjia.com/xiaoqu/3620051179805281/
学林雅园,https://cq.lianjia.com/xiaoqu/3620050593489025/
重庆市巫山县县人民医院宿舍,https://cq.lianjia.com/xiaoqu/3620038092007872/
远林一街6号,https://cq.lianjia.com/xiaoqu/3620045113822434/
大有后街综合楼,https://cq.lianjia.com/xiaoqu/3620035700686939/
教委家属院,https://cq.lianjia.com/xiaoqu/3620053042350334/
璧青北路472附1号,https://cq.lianjia.com/xiaoqu/36000000002818/
利川花苑,https://cq.lianjia.com/xiaoqu/3620054192719199/
璧永路29号附2号,https://cq.lianjia.com/xiaoqu/3620051605568037/
新生街56号,https://cq.lianjia.com/xiaoqu/3620053546731335/
嘉滨路202号,https://cq.lianjia.com/xiaoqu/3620053141967845/
嘉陵街11号,https://cq.lianjia.com/xiaoqu/3620053894858218/
渝荣小区,https://cq.lianjia.com/xiaoqu/3620038366799972/
朵力半岛香颂西苑,https://cq.lianjia.com/xiaoqu/3611100074903/
顺风亭,https://cq.lianjia.com/xiaoqu/3611100490178/
桃花大道,https://cq.lianjia.com/xiaoqu/3611100099537/
在水一方二期,https://cq.lianjia.com/xiaoqu/3611100465512/
怡然街,https://cq.lianjia.com/xiaoqu/3611100868886/
长寿路,https://cq.lianjia.com/xiaoqu/3611100714633/
向阳街(长寿),https://cq.lianjia.com/xiaoqu/3611100450943/
望江路,https://cq.lianjia.com/xiaoqu/3611100445001/
云顶香榭,https://cq.lianjia.com/xiaoqu/3611100105907/
龙凤一村,https://cq.lianjia.com/xiaoqu/3620037632725686/
锦绣佳苑,https://cq.lianjia.com/xiaoqu/367917731066741/
陈家坡,https://cq.lianjia.com/xiaoqu/3611100524578/
东方之骄,https://cq.lianjia.com/xiaoqu/3611100426379/
生活林,https://cq.lianjia.com/xiaoqu/3611100844825/
蜀果花园,https://cq.lianjia.com/xiaoqu/3620027909747326/
寿城水岸,https://cq.lianjia.com/xiaoqu/3611100097982/
城南,https://cq.lianjia.com/xiaoqu/3611100557087/
津源居,https://cq.lianjia.com/xiaoqu/3611100125041/
荣华,https://cq.lianjia.com/xiaoqu/3611100423116/
云峰阁,https://cq.lianjia.com/xiaoqu/3611100418740/
西园路56号,https://cq.lianjia.com/xiaoqu/3617113517404375/
渝西半岛二号还房,https://cq.lianjia.com/xiaoqu/3611100864040/
金山华府,https://cq.lianjia.com/xiaoqu/3611100431630/
骑龙山庄(江津),https://cq.lianjia.com/xiaoqu/3611100843013/
黄桷逸景,https://cq.lianjia.com/xiaoqu/3611100714149/
津华大厦,https://cq.lianjia.com/xiaoqu/3611100119192/
城西步行街,https://cq.lianjia.com/xiaoqu/367445052928265/
名桂园,https://cq.lianjia.com/xiaoqu/3611100087724/
信合大厦（江津）,https://cq.lianjia.com/xiaoqu/3620040008224832/
桃西雅图,https://cq.lianjia.com/xiaoqu/3611100099971/
江岸丽水,https://cq.lianjia.com/xiaoqu/3611100126390/
几江大院,https://cq.lianjia.com/xiaoqu/3620029135871257/
大同路160号,https://cq.lianjia.com/xiaoqu/3611100541074/
津辉花园,https://cq.lianjia.com/xiaoqu/367891419410701/
在水一方三期,https://cq.lianjia.com/xiaoqu/3611100470408/
祥和小区,https://cq.lianjia.com/xiaoqu/3620037688306119/
水木年华燕安庭,https://cq.lianjia.com/xiaoqu/3611100011634/
凤西苑,https://cq.lianjia.com/xiaoqu/3611100438131/
琅山部队还房小区（琅山菜市场）,https://cq.lianjia.com/xiaoqu/3611100864599/
西城新时代,https://cq.lianjia.com/xiaoqu/3611100424838/
泊景湾,https://cq.lianjia.com/xiaoqu/3611100063850/
顺风亭二期,https://cq.lianjia.com/xiaoqu/3620039447086146/
南桥胜天,https://cq.lianjia.com/xiaoqu/3611100087874/
滨江怡苑,https://cq.lianjia.com/xiaoqu/3611100543928/
北固门,https://cq.lianjia.com/xiaoqu/3611100122157/
津南明珠,https://cq.lianjia.com/xiaoqu/3611100116818/
大同路,https://cq.lianjia.com/xiaoqu/3611724352924983/
农业局家属院(鼎山大道),https://cq.lianjia.com/xiaoqu/3611100117202/
帝景花园,https://cq.lianjia.com/xiaoqu/3620038490620907/
卡萨时光,https://cq.lianjia.com/xiaoqu/3611100479649/
东方水岸,https://cq.lianjia.com/xiaoqu/3611100566065/
得胜街,https://cq.lianjia.com/xiaoqu/3611100502917/
在水一方一期B区,https://cq.lianjia.com/xiaoqu/3611100567911/
骑鞍街,https://cq.lianjia.com/xiaoqu/3611100469383/
鑫银大厦,https://cq.lianjia.com/xiaoqu/3620037614892928/
滨江路5幢,https://cq.lianjia.com/xiaoqu/3617132994965516/
名豪商贸区,https://cq.lianjia.com/xiaoqu/3613605842465460/
山奇小区,https://cq.lianjia.com/xiaoqu/3611100422200/
朵力6号,https://cq.lianjia.com/xiaoqu/3611100082452/
江岸丽都,https://cq.lianjia.com/xiaoqu/3611100126927/
香山美地,https://cq.lianjia.com/xiaoqu/3611100429302/
