小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
新南家园,"(奉贤西渡)西闸公路1118弄,扶港路399弄,新南家园",当前网页找不到元素（价格）,2001年建成 ,塔楼/板楼,0.6至1.1元/平米/月,上海奉南实业有限公司,上海西渡房产开发有限公司,225栋,3137户
文怡花园,(奉贤西渡)文怡花园,当前网页找不到元素（价格）,1997年建成 ,板楼,0.6元/平米/月,上海文怡物业管理有限公司,上海鸿图置业有限公司,121栋,1504户
巨龙台湾城,(奉贤西渡)沪杭公路418弄,当前网页找不到元素（价格）,1995年建成 ,板楼,0.47至0.48元/平米/月,华新物业公司,上海巨龙房地产经营公司,89栋,1334户
崧泽华城华中苑,"(青浦赵巷)崧漪一路46弄, 崧漪一路55弄, 秀涓路492弄, 秀涓路338弄",当前网页找不到元素（价格）,2014年建成 ,板楼,1.2元/平米/月,掌心物业,中建八局,55栋,3960户
江海新村,"(奉贤南桥)江海新村, 育秀路906号",当前网页找不到元素（价格）,1987年建成 ,板楼,0.35至0.5元/平米/月,上海昌悦物业管理有限公司,南桥房产开发有限公司,504栋,5886户
龙湖蔚澜香醍,"(嘉定嘉定新城)云谷路1388弄,云谷路1288弄",当前网页找不到元素（价格）,2013年建成 ,塔楼/板楼,2.9至4元/平米/月,龙湖物业,上海恒逸房地产有限公司,192栋,1612户
绿地香颂(奉贤)(别墅),(奉贤海湾)海马路5888弄,当前网页找不到元素（价格）,2007年建成 ,塔楼/板楼,1.4至3元/平米/月,上海科瑞物业管理发展有限公司,上海信莱置业有限公司,879栋,879户
江海二村(奉贤),"(奉贤南桥)江南路100号, 江南路282号",当前网页找不到元素（价格）,1990年建成 ,板楼,0.4元/平米/月,上海科瑞物业管理发展有限公司,上海江海置业有限公司,239栋,2757户
绿地时代名邸,"(青浦白鹤)绿地时代名邸 1-79号, 白虬江路100号",当前网页找不到元素（价格）,2014年建成 ,板楼,1.5至1.7元/平米/月,上海永绿置业有限公司,上海绿地集团青浦置业有限公司,41栋,2458户
解放新村,"(奉贤南桥)解放新村（解放三村、菜场路69号）, 南奉公路270、272号",当前网页找不到元素（价格）,1974年建成 ,板楼,0.14至3元/平米/月,上海奉房物业管理有限公司,上海南桥房地产有限公司,361栋,5329户
