小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
五桂家园,(信州区行政中心商圈)龙潭路五桂家园,3388,塔楼/板楼,1至1.5元/平米/月,暂无信息,上饶市龙潭湖置业有限公司,20栋,855户
罗桥文家居委会,(广信区旭日商圈)谈家桢路罗桥文家居委会,3337,板楼,暂无信息,暂无信息,村委集资自建,2栋,2户
三清山西大道17号,(广信区旭日商圈)三清山西大道17号,3892,未知类型,暂无信息,暂无信息,暂无信息,2栋,127户
聚远华府,(德兴市)银城南路聚远华府,3906,未知类型,暂无信息,暂无信息,暂无信息,10栋,264户
花好悦园,(横峰县)虹桥东路218号,2982,未知类型,暂无信息,暂无信息,暂无信息,14栋,331户
白天鹅花园,(鄱阳县)向阳北路白天鹅花园,3712,未知类型,暂无信息,暂无信息,暂无信息,12栋,390户
七六东路12号,(广信区旭日商圈)七六东路12号,3665,未知类型,暂无信息,暂无信息,暂无信息,1栋,14户
信美路14号,(广信区旭日商圈)江西省上饶市广信区旭日街道办信美路14号7幢,3380,塔板结合,暂无信息,暂无信息,暂无信息,1栋,2户
恒凯凤凰名庭,(玉山县玉山县)金山大道恒凯凤凰名庭,5429,未知类型,暂无信息,暂无信息,暂无信息,5栋,120户
筑城家园,(广信区旭日商圈)民生路筑城家园,5785,塔楼/板楼/塔板结合/平房,1元/平米/月,无,无,36栋,2063户
汪家花园,(信州区大市场商圈)三江大道汪家花园,5510,板楼,1元/平米/月,上饶市尚品居物业服务有限公司,上饶市亿豪实业有限公司,8栋,716户
三清山西大道10号,(广信区旭日商圈)三清山西大道10号,5518,板楼,0.52元/平米/月,无,无开发公司,3栋,55户
北门村巷272号,(信州区亿升商圈)北门村巷272号,5750,板楼,暂无信息,暂无信息,暂无信息,1栋,56户
文博路29号,(信州区亿升商圈)文博路29号,5672,平房,暂无信息,暂无信息,暂无信息,1栋,12户
胜利路68号,(信州区亿升商圈)胜利路68号,5749,板楼,暂无信息,暂无信息,福晟集团,4栋,128户
三江水系景观改造安置房,(信州区大市场商圈)志敏东大道,5033,未知类型,暂无信息,暂无信息,暂无信息,10栋,783户
胜利路30号,(信州区亿升商圈)胜利路30号,5548,板楼,0.6元/平米/月,暂无信息,江西天祥置业有限公司,1栋,24户
水南街铁路党校,(信州区水南街商圈)水南街铁路党校,5483,板楼,暂无信息,暂无信息,上海中建孚泰置业有限公司,4栋,55户
杰昌花苑,(广信区旭日商圈)旭日中大道55号附05,5088,平房,1.8元/平米/月,卓兴物业有限公司,物业和度娘都不知道开发商名称,7栋,107户
化建小区,(信州区大市场商圈)钟灵路107号,5832,板楼/平房,1元/平米/月,暂无信息,上饶市亿豪实业有限公司,10栋,408户
书院路78号,(信州区水南街商圈)书院路78号,5086,板楼/平房,暂无信息,暂无信息,暂无信息,8栋,194户
龙芽亭,(信州区商贸城商圈)龙芽亭路,6020,平房,1元/平米/月,上饶市申浦物业管理有限公司,馨龙置业,7栋,75户
景河小区,(广信区七六路商圈)旭日南大道,5675,板楼,暂无信息,暂无信息,上饶市合韬置业有限公司,7栋,152户
幸福楼,(信州区亿升商圈)五三西大道幸福楼,5723,板楼,1元/平米/月,暂无信息,江西世纪风情实业有限公司,3栋,91户
丰泽苑,(信州区亿升商圈)带湖路4号,4755,板楼/塔板结合,暂无信息,暂无信息, 广州吉高展览策划有限公司,3栋,206户
林清小区,(信州区大市场商圈)钟灵路115号,5735,板楼,1元/平米/月,暂无信息,上饶市宜居置业有限公司,9栋,204户
建源大厦,(信州区亿升商圈)祝家巷15号,5086,板楼,1.5元/平米/月,暂无信息,无,1栋,28户
黄金大厦公寓楼,(信州区亿升商圈)抗建路黄金大厦公寓楼,5506,塔楼,1元/平米/月,江西红海物业有限公司,江西世纪风情实业有限公司,1栋,50户
鸿运楼,(信州区商贸城商圈)带湖路92号,5891,板楼,暂无信息,无, 陕西亿润经贸有限公司 ,1栋,67户
友邦商寓楼,(广信区旭日商圈)信美路友邦商寓楼,4828,板楼,1.5元/平米/月,暂无信息,浙江友邦置业有限公司,1栋,48户
天河大楼,(信州区亿升商圈)解放路天河大楼,4791,塔板结合,0.5元/平米/月,暂无信息,上饶市高运房地产开发有限公司,1栋,24户
水南街409号,(信州区水南街商圈)水南街409号,5473,板楼,暂无信息,暂无信息,居后房产,3栋,112户
四高小区,(信州区亿升商圈)南门路四高小区,5705,板楼/塔板结合,0.4元/平米/月,五三社区物业服务公司,天津三建佳诚房地产开发公司,3栋,89户
天一公寓,(信州区水南街商圈)市中心市立医院,5399,板楼,1元/平米/月,暂无信息,无,1栋,1户
永盛购物广场,(信州区亿升商圈)解放路1号,5426,塔楼,1.8元/平米/月,无,上海三湘祥腾湘麒投资有限公司,1栋,14户
大井头4号,(信州区亿升商圈)大井头4号,5512,板楼/塔板结合,0.5元/平米/月,无,江西天祥置业有限公司,9栋,245户
河中巷,(信州区亿升商圈)河中巷,5782,板楼,1元/平米/月,无,无,16栋,362户
信江公寓,(信州区亿升商圈)抗建路信江公寓,5545,板楼,1.2元/平米/月,盛全物业服务股份有限公司上饶县分公司,浙江商务大楼,1栋,49户
解放路5号,(信州区亿升商圈)解放路5号,5570,板楼,暂无信息,无,北京幸福凤凰置业有限公司,1栋,38户
信江中路100号,(信州区亿升商圈)信江中路100号,5691,未知类型,暂无信息,暂无信息,暂无信息,3栋,168户
白鸥园工行宿舍,(信州区亿升商圈)白鸥园对面,5195,板楼,0.5至1元/平米/月,暂无信息,江西天祥置业有限公司,3栋,41户
带湖路16号,(信州区商贸城商圈)带湖路16号,5824,塔楼,0.8元/平米/月,暂无信息,江西松柏实业有限公司,1栋,24户
翰林逸苑,(广信区旭日商圈)松岭路9号,5656,塔楼/平房,0.9元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,6栋,231户
文博路11号,(信州区亿升商圈)文博路11号,5413,未知类型,暂无信息,暂无信息,暂无信息,2栋,56户
林家巷18号,(信州区亿升商圈)林家巷18号,5509,平房,暂无信息,力展物业,上饶市宜居置业有限公司,1栋,56户
解放路22号,(信州区亿升商圈)解放路22号,5283,板楼,暂无信息,暂无信息,上饶市柳桥房地产开发有限公司,1栋,42户
灵山路34号,(信州区亿升商圈)灵山路34号,5555,板楼,1元/平米/月,暂无信息,江西和信置业有限公司,1栋,42户
茂林雅轩,(广信区旭日商圈)旭日北大道1号,5391,板楼/平房,1.2元/平米/月,暂无信息,上饶市柳桥房地产开发有限公司,22栋,416户
农副产品市场,(广信区上饶高铁站商圈)石狮乡货场路2号,4703,板楼,暂无信息,暂无信息,暂无信息,6栋,250户
中山西路95号,(信州区亿升商圈)中山西路95号,5621,板楼,1元/平米/月,无物业管理服务,开发区建设集团建设开发分公司开发,1栋,10户
信江中路138号,(信州区亿升商圈)信江中路138号,5315,平房,暂无信息,暂无信息,暂无信息,1栋,158户
林家巷8号,(信州区亿升商圈)林家巷8号,5672,塔板结合,0.8元/平米/月,上饶鼎盛物业管理公司,德信集团有限公司,1栋,42户
信江西路54号,(信州区亿升商圈)信江西路54号,5423,板楼,暂无信息,暂无信息,暂无信息,1栋,48户
