小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
恒大绿洲,(河东区临沂市第三人民医院)华夏路恒大绿洲,6945,塔楼,1.8元/平米/月,金碧物业有限公司临沂分公司,恒大集团,25栋,5486户
农房·幸福小镇,(河东区东方城)香港路农房·幸福小镇,7805,塔楼/板楼/塔板结合,0.7至1.5元/平米/月,新城物业,农工商房地产（集团）南浔置业有限公司,58栋,2217户
冠亚星城三期,(河东区国际会展中心)滨河东路18号,7665,板楼/塔板结合,1.2至1.3元/平米/月,临沂艾嘉物业管理有限公司,大连天源房屋开发有限公司,15栋,1631户
盛德桂园,(河东区国际会展中心)海关路盛德桂园,7139,板楼/平房,1.2至1.3元/平米/月,暂无信息,金广物业,17栋,1571户
卓新天悦城,(河东区月亮湾广场)华夏路卓新天悦城,6435,板楼,1.3元/平米/月,广州市龙能物业管理有限公司,连云港新卓置业有限公司,36栋,3076户
都市阳光,(河东区沂河实验小学)香港路都市阳光,7074,板楼/塔板结合,0.5至0.8元/平米/月,山东三友物业管理有限公司,东方置地集团,33栋,1124户
冠亚星城二期,(河东区国际会展中心)海关路冠亚星城二期,7521,板楼/塔板结合,0.6至1.3元/平米/月,暂无信息,湖北广信集团,23栋,866户
冠亚星城一期,(河东区国际会展中心)滨河东路18号,7268,塔板结合,0.6至1.3元/平米/月,暂无信息,冠亚（临沂）置业有限公司,11栋,687户
金榜龍城,(河东区临沂市第三人民医院)临工路金榜龙城,6836,板楼,0.5至1.2元/平米/月,临沂市瑞境物业管理有限公司, 大理耀鹏房地产开发有限责任公司,16栋,672户
冠亚星城四期,(河东区国际会展中心)滨河东路冠亚星城四期,7800,板楼/塔板结合,1.2至1.5元/平米/月,临沂艾嘉物业管理有限公司,冠亚（临沂）置业有限公司,17栋,2245户
苑簇园小区,(兰山区东方不夜城)育才路苑簇园小区,7004,板楼,0.5至1元/平米/月,单位自管物业,学校单位物业,2栋,140户
玫瑰园,(河东区长安路小学)沃尔沃路玫瑰园,6381,板楼,0.6至1元/平米/月,临沂浙景置业有限公司,玫瑰园房地产发展有限公司,22栋,698户
盛世春晖,(兰山区平安路)平安路188号,7779,板楼/塔板结合,0.4至1元/平米/月,临沂新港物业服务有限公司, 陕西亿润经贸有限公司 ,17栋,1294户
迪尚御園,(河东区动植物园)沈阳路迪尚御園,5637,板楼,0.5至0.9元/平米/月,单位自管物业,临沂迪尚置业有限公司,24栋,943户
深莞城二期,(罗庄区火车站)中丘路深莞城二期,7081,板楼,1.2至1.5元/平米/月,山东神采物业管理有限公司临沂分公司,商丘恒坤房地产开发有限公司,5栋,635户
园丁花园(河东区),(河东区李公河湿地公园)临工路园丁花园,6433,塔板结合,0.5元/平米/月,临沂市桂福隆物业有限公司,四川园丁房地产开发有限公司,34栋,1156户
御河湾,(河东区长安路小学)长安路10号,7003,板楼,0.8至1.2元/平米/月,厦门中都物业管理有限公司临沂分公司,北京万泽碧轩房地产开发有限公司,17栋,951户
