小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
万达华府,(振兴区振兴区)人民街33号,9812,塔楼/板楼/塔板结合,1.5至3.6元/平米/月,大连万达物业管理有限公司丹东分公司,国工置业有限公司,34栋,7907户
绿城紫金园,(振兴区振兴区)科技街绿城紫金园,7171,板楼/塔板结合,1.5至1.8元/平米/月,丹东绿城物业,利和实业集团有限公司,48栋,2849户
欧尚广场,(振安区振安区)经山街115-6号,8196,板楼/塔板结合,1.5至1.8元/平米/月,辽宁金海物业有限公司,丹东祥永和商业地产有限公司,16栋,1602户
桃铁社区,(振兴区振兴区)桃铁路桃铁社区,4147,板楼/塔板结合,0.1至1.5元/平米/月,自有物业, 合肥万科瑞翔地产有限公司,69栋,3928户
华盛玫瑰港湾南区,(振安区振安区)临江后街华盛玫瑰港湾南区,8303,板楼,0.6至1.5元/平米/月,储运小区物业,丹东华盛房地产开发有限公司,18栋,2230户
民兴国际花园,(振安区振安区)果园沟路186号,6232,塔楼/板楼/塔板结合,0.2至5元/平米/月,丹东市民兴物业服务有限责任公司,物业和度娘都不知道开发商名称,42栋,2022户
河畔花园,(振兴区振兴区)青年大街河畔花园,6957,板楼,1至1.5元/平米/月,丹东市鸿利物业有限公司,黑龙江鸿利房地产开发有限公司,14栋,1769户
东平嘉苑A区,(振安区振安区)东平大街3号,4644,板楼,0.3至1元/平米/月,丹东东发物业有限公司,物业和度娘都不知道开发商名称,34栋,2021户
金海永安花园,(元宝区元宝区)江城大街288号,7051,塔楼/板楼,0.5至1.5元/平米/月,无,丹东金海置业有限公司,66栋,2666户
福民小区,(振兴区振兴区)兴三路福民小区,4709,板楼/塔板结合,0.5至1元/平米/月,暂无信息,宽城福民伟业投资有限公司,52栋,4029户
宗裕城A区,(元宝区元宝区)学院东街宗裕城A区,6406,塔楼/板楼,0.7至1.5元/平米/月,宗裕城,暂无信息,26栋,2203户
于家小区,(元宝区元宝区)新丰街10号,3699,塔楼/板楼/塔板结合/平房,0.5至2元/平米/月,暂无信息,人祁县天源房地产开发有限公司,104栋,6438户
上城·左岸,(振兴区振兴区)银河大街上城·左岸,6181,板楼/塔板结合,1.5元/平米/月,振兴物业公司,上城易通开发有限公司,30栋,3218户
益荣佳园,(振兴区振兴区)健康路109号,5191,塔楼/板楼/塔板结合,0.4至1元/平米/月,宽甸互益大通物业服务有限公司,山西要江房地产开发有限公司,41栋,2210户
五州东都屹景,(元宝区元宝区)仁忠前路24号,6432,塔楼/板楼/塔板结合,0.5至10元/平米/月,丹东五州集团物业服务有限公司,无,78栋,5693户
江景湖畔,(振兴区振兴区)新港路6号,12958,板楼,1元/平米/月,暂无信息,广一电子,4栋,895户
江户城,(振兴区振兴区)鸭绿江大街江户城,5268,板楼,1.5至2元/平米/月,丹东佳美物业服务有限公司,丹东天格置业有限公司,6栋,1301户
金海寶山新城,(元宝区元宝区)金海路38号,7325,塔楼/板楼,1元/平米/月,暂无信息,丹东金海置业有限公司,13栋,2382户
城隍庙小区,(元宝区元宝区)山上街城隍庙小区,3745,塔楼/板楼,0.5至1元/平米/月,无,物业和度娘都不知道开发商名称,85栋,4827户
绿云花园,(元宝区元宝区)东泰路绿云花园,5499,板楼,0.5至1元/平米/月,无,上海绿云置业有限公司,25栋,1269户
御景苑,(元宝区元宝区)中宝街122号,7833,板楼/塔板结合,1至2元/平米/月,丹东市东升物业管理有限责任公司,无,45栋,3216户
世景芳华,(振兴区振兴区)文庆路世景芳华,6144,板楼/塔板结合,1.5至2.5元/平米/月,丹东金赛物业服务有限公司,辽宁曙光房地产开发有限公司,42栋,2056户
清花园小区,(振兴区振兴区)青年大街34号,5570,板楼/塔板结合,0.5至1.5元/平米/月,丹东清花园物业有限公司,上海九海实业公司,30栋,1473户
德龍家园,(振兴区振兴区)锦山大街281号,9356,板楼,1.5至2元/平米/月,德龙物业公司,四川省聚丰房地产开发有限责任公司1,8栋,575户
元宝新村,(元宝区元宝区)县前街58号,5759,板楼,0.8至2元/平米/月,丹东元方物业服务有限公司,无开发商,14栋,551户
学子园,(振兴区振兴区)科技街10号,6897,板楼/塔板结合/平房,1.5元/平米/月,大连华安物业管理有限公司丹东分公司,丹东东方日升房地产开发有限公司,19栋,1873户
林江名城,(元宝区元宝区)江城大街328号,7424,塔楼/板楼/塔板结合,1.5元/平米/月,无,无,30栋,3176户
金和温州城,(振兴区振兴区)振兴路金和温州城,6275,塔楼/板楼/塔板结合,1.5至2元/平米/月,自有物业,"""温州金和房地产开发有限公司",32栋,2027户
国门湾科技五金城,(振兴区振兴区)文庆路国门湾科技五金城,5451,塔楼/板楼/塔板结合,1至2.5元/平米/月,丹东大世界物业,大连大世界房地产开发有限公司,21栋,3258户
東方枫景,(振安区振安区)东昌路東方枫景,5795,塔楼/板楼/塔板结合,0.5至1元/平米/月,锦绣物业,物业和度娘都不知道开发商名称,28栋,1692户
亿龙国际公寓,(元宝区元宝区)江城大街亿龙国际公寓,7090,塔楼/板楼,0.8至1.5元/平米/月,暂无信息,无开发商,4栋,789户
福景园,(振兴区振兴区)桃源街50号,6617,塔楼/板楼,0.5至20元/平米/月,福景园,山西要江房地产开发有限公司,25栋,1323户
博林·印象,(振兴区振兴区)中央大道39-5-1号,5872,板楼/塔板结合,1.5元/平米/月,大连华安物业管理有限公司,丹东博林置业有限公司,13栋,1181户
九江公寓,(元宝区元宝区)九江街74-4号,7544,塔楼/板楼,1元/平米/月,无,金地集团,13栋,1064户
山水龙城,(元宝区元宝区)山上街525号,5072,塔楼/板楼/塔板结合,0.5至1元/平米/月,无,物业和度娘都不知道开发商名称,63栋,4019户
紫光福郡东区,(振安区振安区)珍珠街267号,6884,塔楼/板楼,0.8至1.5元/平米/月,丹东市锦绣物业服务有限公司,物业和度娘都不知道开发商名称,20栋,1373户
永昌社区,(振兴区振兴区)振七街11号,7001,板楼/塔板结合,0.5元/平米/月,东港市永宏物业服务有限公司,广东碧桂园物业服务股份有限公司洛阳分公司1,53栋,2679户
绸二新区南区,(元宝区元宝区)解放后街12号,5496,塔楼/塔板结合,0.8元/平米/月,暂无信息,无开发商,5栋,1180户
萬隆和馨園,(振兴区振兴区)振八街22-6号,10032,板楼/塔板结合,0.5至15元/平米/月,丹东市万隆物业服务有限公司,无,29栋,2034户
和顺中央花城,(振兴区振兴区)中心北路27号,6120,板楼/塔板结合,1至1.5元/平米/月,商业,南陵和顺实业发展有限公司,12栋,1361户
港湾小区,(振兴区振兴区)港湾街4号,4730,塔楼/板楼/塔板结合,0.1至1.5元/平米/月,丹东鑫阳物业有限公司,大连金玉港湾置业有限公司,31栋,1939户
保利锦江林语二期,(振兴区振兴区)宾馆路保利锦江林语二期,5801,板楼,1至1.5元/平米/月,辽宁保利物业管理有限公司丹东分公司,保利地产,10栋,1080户
江景之都,(元宝区元宝区)江城大街江景之都,7446,塔楼/板楼/塔板结合,0.5至1.5元/平米/月,辽宁金海物业有限公司,丹东金海置业有限公司,22栋,3178户
