小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
陶洼小区,(濂溪区万达)青年路陶洼小区,3863,板楼/塔板结合,0.5至1.2元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,93栋,3685户
浔阳区袁家湖安置小区,(浔阳区莲花)滨江东路118号,2222,未知类型,暂无信息,暂无信息,暂无信息,8栋,280户
宋家牌楼,(濂溪区莲花)庐山大道宋家牌楼,3586,板楼,10元/平米/月,九江金地物业有限公司,九江恒通投资有限公司,11栋,172户
临港新城C区,(濂溪区莲花)纵二路临港新城C区,2236,塔板结合,0.5元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,23栋,718户
新塘小区,(濂溪区莲花)滨江东路新塘小区,3136,塔板结合,1.2元/平米/月,暂无信息,暂无信息,27栋,867户
正和小苑,(浔阳区快乐城)湖口路22号,3687,板楼,0.6元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,2栋,78户
城西港安置小区,(柴桑区柴桑区)九瑞大道城西港安置小区,3568,塔楼,0.6元/平米/月,暂无信息,暂无信息,225栋,8392户
桃园新村,(柴桑区柴桑区)庐山南路桃园新村,3383,塔板结合,1元/平米/月,暂无信息,四川省聚丰房地产开发有限责任公司1,3栋,14户
长虹商贸城,(柴桑区柴桑区)庐山西路长虹商贸城,3744,塔板结合,1元/平米/月,暂无信息,无,2栋,52户
九江发电厂生活区,(浔阳区莲花)滨江东路45号,3860,板楼/塔板结合,0.5至0.6元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,49栋,1673户
尚书房,(共青城市共青城市)发展大道尚书房,2116,未知类型,1.2元/平米/月,暂无信息,暂无信息,17栋,940户
庐东花园,(柴桑区柴桑区)二中路庐东花园,3608,塔楼,0.5元/平米/月,未知,九江金玉置业有限公司,3栋,182户
峰德新区安置房小区2期,(庐山市庐山市)212省道峰德新区安置房小区2期,3461,未知类型,暂无信息,暂无信息,暂无信息,31栋,862户
八里湖新区安置小区,(濂溪区八里湖)财富大道八里湖新区安置小区,3536,塔板结合,1至1.83元/平米/月,暂无信息, 西安保亿名卓置业有限公司,17栋,1689户
民强金域蓝湾,(濂溪区新桥头)九瑞大道339号,3690,板楼,1.2元/平米/月,暂无信息,暂无信息,4栋,372户
临港新城A区,(濂溪区莲花)陶埠大道临港新城A区,2371,未知类型,暂无信息,暂无信息,暂无信息,20栋,653户
曹家山小区二期,(浔阳区莲花)长虹东大道曹家山小区二期,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,15栋,533户
幸福家园,(柴桑区柴桑区)沙河街柴桑南路,3506,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
杨桥新城一区,(德安县德安县)工业大道杨桥新城一区,2052,未知类型,暂无信息,暂无信息,暂无信息,20栋,519户
三中教师楼,(柴桑区柴桑区)庐山西路三中教师楼,3602,未知类型,暂无信息,暂无信息,暂无信息,3栋,57户
亲水山庄,(永修县永修县)福银高速亲水山庄,3686,未知类型,暂无信息,暂无信息,暂无信息,35栋,854户
瑞丰商住楼,(柴桑区柴桑区)双瑞路瑞丰商住楼,3710,未知类型,暂无信息,暂无信息,暂无信息,1栋,31户
金桥大市场,(瑞昌市瑞昌市)铜城大道133号,3817,板楼,暂无信息,暂无信息,暂无信息,19栋,384户
人民厂一村,(瑞昌市瑞昌市)人民北路人民厂一村,3646,板楼,0.35元/平米/月,暂无信息,暂无信息,17栋,481户
大唐家园,(瑞昌市瑞昌市)西环南路大唐家园,3761,板楼,1元/平米/月,暂无信息,暂无信息,51栋,1976户
福景花园,(德安县德安县)隆平大道15号,3820,未知类型,暂无信息,暂无信息,暂无信息,7栋,174户
渊明丽都,(彭泽县彭泽县)龙城大道渊明丽都,3422,未知类型,暂无信息,暂无信息,暂无信息,16栋,499户
金环星城,(德安县德安县)渊明大道金环星城,3704,未知类型,暂无信息,暂无信息,暂无信息,19栋,754户
赛纳丽城,(德安县德安县)石桥路239号,3599,未知类型,暂无信息,暂无信息,暂无信息,8栋,362户
绿岛家园,(德安县德安县)德安大道绿岛家园,2583,未知类型,暂无信息,暂无信息,暂无信息,18栋,428户
柴桑区老法院宿舍,(柴桑区柴桑区)冷水东路,3272,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
庐阳住宅小区,(庐山市庐山市)庐阳路庐阳住宅小区,2840,未知类型,暂无信息,暂无信息,暂无信息,24栋,956户
