小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
南外大院,(南海九江)太平东路南外大院,3200,1991年建成 ,板楼,0.6元/平米/月,自主物业,暂无信息,5栋,60户
伏波街北楼,(南海九江)儒林东直街10-11号,3410,1989年建成 ,塔楼,1元/平米/月,无物业管理,暂无信息,1栋,52户
景丽巷4号,(高明荷城)景丽巷4号,3778,1996年建成 ,塔板结合,1元/平米/月,佛山市明兆行物业管理有限公司,暂无信息,1栋,24户
锦苑三巷22号,(高明荷城)锦苑三巷22号,3833,1997年建成 ,板楼,0.01元/平米/月,无物业管理,暂无信息,1栋,36户
建新里,(三水西南街道)红星大街建新里,3462,暂无信息 ,塔楼,0.7元/平米/月,业主自管,暂无信息,2栋,12户
新岗街,(三水西南街道)新岗街,3765,1993年建成 ,塔楼,1元/平米/月,业主自管,暂无信息,6栋,88户
东升街,(高明荷城)东升街53号,3182,暂无信息 ,塔板结合,暂无信息,自持物管公司,暂无信息,3栋,36户
西城大厦,(高明荷城)泰和路477号,3812,2010年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,6栋,165户
知言街51号,(高明荷城)知言街51号,3868,1995年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,192户
翠竹路,(高明荷城)翠竹路,3600,1997年建成 ,板楼,1元/平米/月,自主物业,暂无信息,2栋,71户
镇岗坊,(禅城石湾)禅城区镇岗坊,3200,暂无信息 ,板楼,1.5元/平米/月,暂无信息,暂无信息,1栋,1户
景福楼,(南海九江)儒林西路108号,3898,1990年建成 ,塔楼,暂无信息,无物业管理服务,河北景福房地产开发有限公司,3栋,94户
沙冲中,(南海盐步)穗盐西路沙冲中,3127,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,1户
玉兰阁,(南海九江)儒林西直街49-1号,3445,1990年建成 ,平房,0.3元/平米/月,无物业管理服务,暂无信息,1栋,12户
华美巷,(高明荷城)华美巷,3860,1998年建成 ,板楼,10元/平米/月,自主物业, 深圳市万龙靓投资发展有限公司,3栋,184户
泰兴七巷,(高明荷城)泰兴七巷,3070,1991年建成 ,板楼,暂无信息,没有物业公司,北京泰兴集团,3栋,90户
万福大楼,(南海九江)万福直街1号,3555,1988年建成 ,板楼,0.5元/平米/月,无物业管理服务, 合肥万科瑞翔地产有限公司,2栋,60户
常安路50号二中教学楼,(高明荷城)常安路50号,3666,2001年建成 ,塔楼,暂无信息,没有物业公司,暂无信息,1栋,48户
岭南巷,(高明荷城)岭南巷,3636,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,36户
和齐巷4号,(高明荷城)和齐巷4号,3751,暂无信息 ,板楼,0.5元/平米/月,业主自管,暂无信息,1栋,36户
同济巷17号,(高明荷城)同济巷17号,3842,2000年建成 ,板楼/塔板结合,0.5元/平米/月,没有物业公司,暂无信息,2栋,35户
泰兴九巷,(高明荷城)泰新九巷,3424,1995年建成 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,77户
富民大厦,(高明荷城)永昌巷2号,3043,1996年建成 ,板楼,暂无信息,业主委员会,暂无信息,1栋,69户
东华路福源巷40号,(高明荷城)东华路福源巷40号,3385,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,10户
文峰西路一巷,(三水西南街道)文峰西路一巷,3124,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,8栋,356户
星河路149号,(高明荷城)星河路149号,3615,1998年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,64户
碧露花苑,(高明荷城)清玉街8号,3574,暂无信息 ,塔楼,暂无信息,业主自管,暂无信息,2栋,66户
月桂二路十五号,(三水西南街道)月桂二路15号,3544,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,42户
健力宝南路27号,(三水西南街道)健力宝南路27号,3879,1996年建成 ,塔楼,暂无信息,三水乐万家物业有限公司,佛山市三水万林投资有限公司,1栋,56户
蟠龙四巷2号,(高明荷城)蟠龙四巷2号,3756,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
月桂二路32号,(三水西南街道)月桂二路32号,3439,1993年建成 ,平房,暂无信息,暂无信息,暂无信息,1栋,12户
碧玉街63号,(高明荷城)碧玉街63号,3108,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
华美巷,(高明荷城)华美巷,3860,1998年建成 ,板楼,10元/平米/月,自主物业, 深圳市万龙靓投资发展有限公司,3栋,184户
泰兴七巷,(高明荷城)泰兴七巷,3070,1991年建成 ,板楼,暂无信息,没有物业公司,北京泰兴集团,3栋,90户
太平西直街13号,(南海九江)太平西直街13号,3273,1991年建成 ,板楼,暂无信息,业主自聘保安管理,暂无信息,1栋,24户
永兴巷5号,(高明荷城)永兴巷5号,3321,1998年建成 ,板楼,暂无信息,佛山市永卓物业管理有限公司,暂无信息,1栋,120户
和兴巷8号,(高明荷城)和兴巷8号,3605,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
国泰楼,(南海九江)太平东路国泰楼,3717,2005年建成 ,塔楼,1元/平米/月,无物业管理,暂无信息,1栋,54户
东岸路十巷,(三水西南街道)三水区西南街道东岸路十巷7号4楼,3518,2000年建成 ,平房,暂无信息,暂无信息,暂无信息,1栋,1户
蟠龙四巷2号,(高明荷城)蟠龙四巷2号,3756,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
泰兴十巷,(高明荷城)泰兴十巷,3620,1992年建成 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,76户
和兴巷6号,(高明荷城)和兴巷6号,3570,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
玉泉街20号,(高明荷城)玉泉街20号,3438,1995年建成 ,板楼,暂无信息,无物业管理,吉林省鑫鑫置业有限公司,1栋,28户
松涛五巷13号,(高明荷城)文明路松涛五巷13号,3822,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
祥康楼,(高明荷城)跃华路521号,3431,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,36户
乐业巷7号,(高明荷城)乐业巷7号,3391,1996年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
明华巷,(高明荷城)明华巷,3635,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,96户
同济巷16号,(高明荷城)同济巷16号,3830,1992年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,56户
龙安里16号,(南海九江)龙安里16号,3036,1985年建成 ,塔楼,1元/平米/月,无物业管理,暂无信息,1栋,1户
中山东路27号,(三水西南街道)中山东路27号,3622,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
环城路,(三水西南街道)环城路,3551,1995年建成 ,板楼/平房,暂无信息,三水乐万家物业有限公司,暂无信息,11栋,155户
张边南,(三水西南街道)健力宝北路28号,3632,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,29栋,17户
欣喜楼,(高明荷城)高明大道东622号,3625,2017年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,1栋,35户
丰华市场,(顺德龙江)佛山顺德龙江西溪居委会沿江路丰华市场,3453,1985年建成 ,塔板结合,2元/平米/月,无物业管理,无开发公司,1栋,4户
荷美四巷,(高明荷城)荷美四巷,3179,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,51户
平泰巷5号,(高明荷城)平泰巷5号,3610,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,57户
朋峰二巷,(高明荷城)朋峰二巷,3302,1993年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,22户
三路队楼,(南海九江)南兴路三路队楼,2997,暂无信息 ,塔楼,16元/平米/月,无物业管理,暂无信息,1栋,54户
卫民街六号,(三水西南街道)卫民街6号,3840,1995年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,32户
东华路福源巷20号,(高明荷城)东华路福源巷20号,3856,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,2栋,60户
松涛五巷13号,(高明荷城)文明路松涛五巷13号,3822,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
童乐路4号,(三水西南街道)童乐路4号,3397,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
园林大街五巷,(三水西南街道)园林大街五巷,3615,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,23户
张边南,(三水西南街道)健力宝北路28号,3632,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,29栋,17户
中山东路27号,(三水西南街道)中山东路27号,3622,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
环城路,(三水西南街道)环城路,3551,1995年建成 ,板楼/平房,暂无信息,三水乐万家物业有限公司,暂无信息,11栋,155户
环城路十八号,(三水西南街道)环城路18号,3608,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,34户
宏福花园,(高明荷城)米兰路119号,3749,1996年建成 ,平房,暂无信息,暂无信息,暂无信息,3栋,208户
泰兴五巷,(高明荷城)泰兴五巷,3808,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,4栋,120户
跃华路547号,(高明荷城)跃华路547号,3420,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,36户
龙福巷6号,(顺德龙江)隔海路龙福巷6号,3585,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
欣喜楼,(高明荷城)高明大道东622号,3625,2017年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,1栋,35户
人民28巷,(三水西南街道)人民28巷,3283,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
东岸路十巷,(三水西南街道)三水区西南街道东岸路十巷7号4楼,3518,2000年建成 ,平房,暂无信息,暂无信息,暂无信息,1栋,1户
丰华市场,(顺德龙江)佛山顺德龙江西溪居委会沿江路丰华市场,3453,1985年建成 ,塔板结合,2元/平米/月,无物业管理,无开发公司,1栋,4户
和兴巷8号,(高明荷城)和兴巷8号,3605,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
龙安里16号,(南海九江)龙安里16号,3036,1985年建成 ,塔楼,1元/平米/月,无物业管理,暂无信息,1栋,1户
华文楼,(南海九江)儒林东路47号,3857,暂无信息 ,塔楼,1元/平米/月,暂无信息,暂无信息,1栋,24户
广海大道西41号,(三水北江新区)广海大道西41号,3466,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,56户
文华路8号,(高明荷城)文华路8号,3891,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,48户
民乐巷19号,(高明荷城)民乐巷19号,3767,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,10户
站前街,(三水西南街道)站前街,3729,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,32户
泰山巷46号,(高明荷城)泰山巷46号,3905,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,46户
柴站楼中座,(南海九江)儒林西直街51号,3558,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,21户
新岗路二号,(三水西南街道)新岗路2号,3320,2005年建成 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,217户
秋菊巷,(高明荷城)秋菊巷18号,3802,1993年建成 ,板楼,0.5至0.6元/平米/月,自主物业, 深圳市万龙靓投资发展有限公司,11栋,337户
同济巷16号,(高明荷城)同济巷16号,3830,1992年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,56户
景丽巷10号,(高明荷城)景丽巷10号,3236,1993年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,120户
文昌路32号,(高明荷城)文昌路32号,3463,1994年建成 ,塔楼,暂无信息,无物业管理,暂无信息,2栋,120户
荷香路64号,(高明荷城)荷香路64号,3504,2010年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,15户
岭南巷,(高明荷城)岭南巷,3636,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,1栋,36户
万福大楼,(南海九江)万福直街1号,3555,1988年建成 ,板楼,0.5元/平米/月,无物业管理服务, 合肥万科瑞翔地产有限公司,2栋,60户
常安路50号二中教学楼,(高明荷城)常安路50号,3666,2001年建成 ,塔楼,暂无信息,没有物业公司,暂无信息,1栋,48户
文峰西路一巷,(三水西南街道)文峰西路一巷,3124,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,8栋,356户
星河路149号,(高明荷城)星河路149号,3615,1998年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,64户
和睦巷1号,(高明荷城)和睦巷1号,3578,1994年建成 ,塔楼,暂无信息,无物业管理服务,无,1栋,25户
民乐巷19号,(高明荷城)民乐巷19号,3767,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,10户
文华路8号,(高明荷城)文华路8号,3891,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,48户
文昌路183号,(高明荷城)文昌路183号,3610,1993年建成 ,塔楼,暂无信息,暂无信息,暂无信息,2栋,24户
和齐巷2号,(高明荷城)和齐巷2号,3554,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
竹桥新村,(南海九江)太平西路竹桥新村,3700,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,23户
松涛街9号,(高明荷城)松涛街9号,3320,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
人民路3号,(南海九江)人民路3号,3644,2003年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
柴站楼中座,(南海九江)儒林西直街51号,3558,2000年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,21户
新岗路二号,(三水西南街道)新岗路2号,3320,2005年建成 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,217户
秋菊巷,(高明荷城)秋菊巷18号,3802,1993年建成 ,板楼,0.5至0.6元/平米/月,自主物业, 深圳市万龙靓投资发展有限公司,11栋,337户
华西楼,(高明荷城)跃华路501号,3761,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,40户
荷香路64号,(高明荷城)荷香路64号,3504,2010年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,15户
白领公馆,(高明荷城)三和路白领公馆,3343,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,180户
红卫大街5号,(三水西南街道)红卫大街5号,3861,2015年建成 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,14户
广海大道西41号,(三水北江新区)广海大道西41号,3466,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,56户
沧江路192号,(高明荷城)沧江路192号,3695,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
