小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
云景城,(涿州涿州)长空路169号,7620,板楼,1.25元/平米/月,保定民生物业管理有限公司,保定市民生房地产开发有限公司,8栋,1284户
四季橙小区,(涿州涿州)长空路140号,6792,塔楼/板楼/塔板结合,1.5元/平米/月,涿州市时代汇元物业服务有限公司,涿州市鑫昊汇元集团房地产开发有限公司,7栋,1025户
新怡佳园,(涿州涿州)华阳路新怡佳园,7605,板楼/塔板结合,1.5至1.8元/平米/月,涿州市佳运物业服务有限公司,北京隆泰祥房地产开发有限公司,7栋,840户
蓝天美林湾,(涿州涿州)机场街8号,6816,板楼,1.5元/平米/月,涿州市惠友物业服务有限公司,涿州龙马智业房地产开发有限公司,10栋,480户
天筑逸城,(涿州涿州)振兴街天筑逸城,7565,塔板结合,1至1.8元/平米/月,保定隆基泰和实业有限公司,隆基泰和,9栋,585户
东林家园,(涿州涿州)长空路256号,7736,板楼,0.4至1.65元/平米/月,保定市东林物业管理有限公司,涿州市金东林房地产开发有限公司,10栋,1297户
同善园银座,(涿州涿州)华阳中路207号,7328,塔楼,1.5元/平米/月,涿州市惠广物业服务有限公司,涿州市伯力恒集团房地产开发有限公司,1栋,760户
汇元上城,(涿州涿州)东兴南街77号,6954,塔板结合,1.5元/平米/月,涿州市时代汇元物业服务有限公司二分公司,涿州市鑫昊汇元集团房地产开发有限公司,1栋,287户
国际商贸城,(高碑店白沟)津保路,5672,板楼,0.5至0.9元/平米/月,河北隆泰物业服务有限责任公司高碑店分公司,隆基泰和实业有限公司 ,5栋,2304户
翡翠滨江,(涿州涿州)平安大街,7606,塔板结合,1.5元/平米/月,涿州市名流物业服务有限公司,河北省涿州市远方名流房地产开发有限公司,8栋,2714户
阳光海洋花园南区,(高碑店高碑店)五一路阳光海洋花园南区,5827,板楼,1元/平米/月,暂无信息, 隆基实业发展有限公司,26栋,1236户
大都仕,(高碑店白沟)五一路大都仕,5233,塔楼/板楼,0.6至2.5元/平米/月,安徽华地物业管理服务有限公司,温州大都市建设开发有限公司,4栋,900户
祥和鑫园南区,(高碑店高碑店)祥和路51号,5140,板楼,0.7至0.9元/平米/月,暂无信息,隆基泰和,18栋,799户
东元宝小区,(莲池区莲池区)市府后街71号,8018,板楼,暂无信息,暂无信息,河北祥恒房地产开发有限公司,11栋,969户
盛景国际,(高碑店白沟)银杏街11号,7021,板楼,0.8至20元/平米/月,保定旭丰物业,高碑店市龙安泰房地产开发有限公司高碑店分公司,2栋,624户
天阔假日风景,(高碑店高碑店)世纪西路55号,7650,板楼/塔板结合,0.6至18元/平米/月,保定晨峰物业管理有限公司,保定天阔房地产开发有限公司,33栋,3472户
凯旋城北区,(高碑店白沟)星田街凯旋城北区,7546,板楼,0.58至0.8元/平米/月,保定白沟善泽物业服务有限公司,重庆融创凯旋置业有限公司,9栋,2095户
阳光西郡,(高碑店白沟)团结路阳光西郡,7776,板楼,0.5至0.6元/平米/月,河北隆泰物业服务有限责任公司,隆基泰和集团,26栋,1786户
富泰城,(高碑店高碑店)世纪西路富泰城,6339,板楼,8元/平米/月,高碑店市常居物业管理有限责任公司华汽小区分公司,高碑店市正宇恒基房地产开发有限责任公司,15栋,1085户
名人芙蓉花园,(高碑店白沟)京白大街名人芙蓉花园,7821,板楼,0.5至0.9元/平米/月,保定白沟善泽物业服务有限公司名人花园小区分公司,沧州名人房地产开发有限公司黄骅名人花园分公司,19栋,504户
乐亨小区,(涿州涿州)西关新街9号,6108,板楼,0.5元/平米/月,暂无信息,上海丰苑房地产有限公司,6栋,238户
泰和花园,(高碑店高碑店)华丽胡同1号,6925,塔楼/板楼,1.1元/平米/月,保定市合平物业管理服务有限公司,上海丞泰房地产开发有限公司,8栋,411户
宏远一号院小区,(涿州涿州)长空路,7732,塔楼/板楼,0.35元/平米/月,涿州市宏远温馨物业服务有限公司,河北宏远房地产开发有限公司,4栋,67户
涿州市实验中学小区,(涿州涿州)镇安寺街涿州市实验中学小区,7677,板楼,0.35至0.5元/平米/月,暂无信息,暂无信息,3栋,54户
新府百合,(涿州涿州)亨通北街3号,7564,塔板结合,0.5元/平米/月,涿州市佳运物业服务有限公司,上海佳运置业有限公司,1栋,143户
金街公寓,(涿州涿州)金街188号,7214,塔楼,1.5元/平米/月,涿州市金街物业服务有限公司,涿州鹏渤房地产开发有限公司,1栋,1386户
