小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
阳光家园一区,(城关区九州)九州大道238-288号,7765,板楼,0.4至1.5元/平米/月,兰州恒源物业物业服务有限公司, 大理耀鹏房地产开发有限责任公司,14栋,771户
看守所家属院（华林路）,(七里河区五泉广场)华林路341号,6688,板楼,0.7元/平米/月,暂无信息,众开集团,1栋,54户
花园小区,(城关区万达大润发)滩尖子村816附1号-816附11号,5342,板楼/塔板结合,0.5至1.7元/平米/月,天庆物业,兴隆县天庆房地产开发有限公司,11栋,572户
安厦家园,(西固区西固城)西固中路1046号,7081,板楼/塔板结合,1.4至1.8元/平米/月,金碧物业有限公司兰州新区分公司,无开发商,3栋,868户
兰州国源商贸城,(兰州新区兰州新区)经十一路兰州国源商贸城,4348,未知类型,暂无信息,暂无信息,甘肃国源房地产开发股份有限公司,12栋,1224户
天润嘉园,(七里河区金港城)河湾堡西街36-40号,5877,板楼,1.4至1.7元/平米/月,永新华物业, 重庆汇东房地产开发有限公司,3栋,432户
锦绣华庭,"(城关区九州)九州大道457号, 九州大道457附1号-457附6号",7742,板楼,1.5至1.8元/平米/月,金伦物业, 陕西亿润经贸有限公司 ,5栋,450户
泰和家园小区,(七里河区晏家坪)西黄公路泰和家园小区,6661,塔楼/板楼,0.3至1.5元/平米/月,兰州瑞岭物业服务有限公司,兰州和泰房地产开发有限公司,10栋,1221户
陇亨小区,(七里河区晏家坪)晏家坪五村399-405号,6748,板楼/塔板结合,1.2至1.5元/平米/月,兰州新陇物业管理有限公司,中铁二十局集团房地产开发有限公司,3栋,840户
天憬缘,(西固区深沟桥)庄浪东路1-11,当前网页找不到元素（价格）,板楼,1元/平米/月,甘肃铁发物业工程有限公司,甘肃铁发置业房地产开发有限公司,4栋,687户
春湖苑,(七里河区建工局)上西园384-386号,6849,塔楼,1.2元/平米/月,甘肃新华飞天物业管理有限公司,兰州建投房地产开发有限公司,2栋,512户
广健花园,"(七里河区龚家湾)建西西路145-149号, 建西西路165-171号, 建西西路189号",7533,塔楼/塔板结合/平房,1.5至3元/平米/月,暂无信息,暂无信息,5栋,992户
兰西铁苑,(西固区西固城)合水北路60号,6629,塔楼/板楼/塔板结合,1.2至1.5元/平米/月,暂无信息,暂无信息,17栋,4191户
水委家属院,(城关区九州)左家湾76号,6705,板楼,0.4元/平米/月,兰州顺华物业有限责任公司,兰州民百置业有限公司,1栋,96户
北海·水印泉山,(七里河区五泉广场)伏直公路北海·水印泉山,6882,板楼/塔板结合,1.3至1.7元/平米/月,兰州雅顺物业管理有限公司,香港北海集团,4栋,1439户
泓庆佳园,(西固区兰炼十字)西固中路246-250号,6770,塔楼,0.5元/平米/月,自持物业,天津鸿正鸿置业发展有限公司,4栋,282户
福源小镇,(西固区西固城)环城南路福源小镇,6052,板楼,0.6至1.5元/平米/月,暂无信息,暂无信息,13栋,527户
景荷小区,(西固区兰炼十字)西固中路880-886,6834,塔板结合,0.8元/平米/月,暂无信息,暂无信息,3栋,744户
沃德小镇,(西固区西固城)西固中街132号,7286,板楼/塔板结合,1至1.5元/平米/月,甘肃恒利物业管理有限公司,甘肃恒利房地产开发集团有限公司,5栋,1442户
新乐花园,"(西固区西固城)临洮街185-247号,临洮街261-281号,临洮街301-311号",6698,塔楼/板楼/塔板结合,0.7至1.7元/平米/月,暂无信息,甘肃第四建设集团有限责任公司,19栋,1809户
郑家庄新社区,(七里河区金港城)光华街郑家庄新社区,5750,板楼,1.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1栋,684户
东和嘉园,(七里河区建工局)柏树巷393-395号,6951,塔板结合,0.8元/平米/月,兰州东苑物业管理有限公司,成都金强实业有限公司 ,1栋,560户
西固花园小区,(西固区西固城)临洮北街西固花园小区,7047,板楼,1至6元/平米/月,暂无信息,暂无信息,3栋,588户
泓安国际广场,(西固区西固城)西固中街101-149,8989,板楼/塔板结合,0.8至1.5元/平米/月,兰州万城物业集团有限公司,上海甘浦置业发展有限公司,13栋,1916户
和顺雅居小区,(城关区东部)焦家湾路280附1-280附2号,当前网页找不到元素（价格）,板楼,1.7元/平米/月,单位自管物业,学校单位物业,1栋,540户
雅新小区,(西固区西固城)西固西路551-557号,6493,塔楼/板楼/塔板结合,0.8至1.3元/平米/月,暂无信息,暂无信息,14栋,2641户
森源金湾家园,(七里河区晏家坪)龚家湾路510-512号,7280,板楼,1.25元/平米/月,兰州兰雅物业管理有限公司,兰州鸿安置业有限公司,1栋,220户
莲花小区,(西固区西固城)西固中街138号,6971,塔楼,0.5元/平米/月,暂无信息,暂无信息,1栋,42户
万商国际,(城关区东部)东岗东路2704号,5289,塔楼,1.2元/平米/月,天庆物业, 重庆汇东房地产开发有限公司,1栋,400户
阳光家园西区,(城关区九州)九州大道343-375号,8071,板楼,0.5元/平米/月,兰州恒源物业物业服务有限公司,青岛开发区城建开发公司,8栋,242户
巨龙·金城御景园,(城关区九州)九州大道金城御景园,7216,板楼/塔板结合,1.6元/平米/月,甘肃巨龙供销（集团）股份有限公司,甘肃巨龙供销（集团）股份有限公司,9栋,1237户
西固中街工商家属院,(西固区西固城)西固中街153-161,7504,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,80户
奔马家属院,"(城关区九州)九州大道389号, 九州大道389附1号-389附3号",7652,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,48户
热水瓶厂小区,(七里河区晏家坪)民乐路141-145号,5896,板楼,暂无信息,暂无信息,兰州友信置业有限公司,1栋,54户
江南明珠,(城关区九州)九州大道598号,7016,板楼/塔板结合,0.5至1.7元/平米/月,兰州江南明珠物业管理有限公司,甘肃华韵房地产开发有限公司,8栋,1683户
丽景家园,(西固区西固城)临洮街502-524号,6617,塔楼/板楼/塔板结合,0.8至1.5元/平米/月,兰州市国资委物业管理有限公司,暂无信息,17栋,4080户
五星花园,"(七里河区五泉广场)工林路691-705号, 工林路797-807号",6651,塔楼/板楼/塔板结合,1.2至1.45元/平米/月,甘肃明朗物业管理有限公司,兰州国资投资（控股）建设集团有限公司,6栋,1568户
瑞兴园北区,(七里河区晏家坪)兰工坪路412-420,7756,塔板结合,1.2元/平米/月,暂无信息,暂无信息,2栋,360户
甘肃建投建材住宅小区,(西固区兰炼十字)古浪路110-174号,6626,板楼,0.7至10元/平米/月,暂无信息,暂无信息,8栋,319户
祥和家园（华林路）,(七里河区五泉广场)华林路920-972号,7255,板楼/塔板结合,1至2元/平米/月,兰州居安物业有限公司,兰州亚太西部置业有限公司,7栋,1300户
山坪子小区,(安宁区十里店)建安东路58-66号,7519,板楼,1.2元/平米/月,无物业管理服务,无开发商,4栋,864户
晏溪花苑,(西固区西固城)康乐路300-308号,7754,板楼,1.3元/平米/月,兰州东立物业管理公司,	西安大德房地产开发有限公司,5栋,906户
兰州电信传输分局家属院,(城关区五泉广场)红泥沟85-107号,7484,未知类型,暂无信息,暂无信息,暂无信息,3栋,139户
西固长锐花园,(西固区西固城)西固合水路30-48号,7773,板楼,1元/平米/月,暂无信息,暂无信息,1栋,136户
新德丽小区,(七里河区建工局)兰工坪路2-4号,8047,板楼,暂无信息,暂无信息,兰州建投房地产开发有限公司,1栋,64户
康郡大名城,(榆中县榆中县)园区大道康郡大名城,5999,未知类型,暂无信息,暂无信息,暂无信息,8栋,405户
爱丽富家园,(七里河区建工局)上西园36-38号,7640,未知类型,暂无信息,暂无信息,暂无信息,3栋,370户
兰州大名城尚郡,(榆中县榆中县)园区大道兰州大名城尚郡,6863,未知类型,暂无信息,暂无信息,暂无信息,14栋,3038户
盛源华府,(七里河区上西园)工林路879号1栋-879号4栋,7056,板楼,1.7元/平米/月,暂无信息,暂无信息,4栋,1188户
北辰花园,(城关区九州)左家湾177-213号,7574,板楼,0.35至0.5元/平米/月,武威市天元物业有限公司,北辰集团,5栋,222户
金惠佳苑,(七里河区金港城)南滨河中路金惠佳苑,6681,板楼,0.4至1元/平米/月,暂无信息,惠州市金惠房地产开发有限公司,7栋,401户
恒昌家园,(城关区黄河北)九州大道2-10号,6545,板楼,0.5元/平米/月,兰州银安物业管理有限公司,甘肃建投建设有限公司,1栋,60户
盛园丽城,(七里河区兰工坪)101省道盛园丽城,5958,未知类型,暂无信息,暂无信息,暂无信息,2栋,71户
火车站小区,(西固区西固城)临洮北街31-54号,7082,板楼,0.3至0.5元/平米/月,暂无信息,暂无信息,6栋,330户
保利领秀山三区,(皋兰县十里店)北环路保利领秀山三区,7464,板楼,1.7至1.8元/平米/月,暂无信息,暂无信息,14栋,1732户
乾元·金海国际,(兰州新区兰州新区)昆仑山大道辅路乾元·金海国际,5253,塔楼/板楼,暂无信息,暂无信息,兰州新区乾元房地产开发有限公司,11栋,2154户
锦园小区,(西固区西固城)西固中路183-187,6965,未知类型,暂无信息,暂无信息,暂无信息,1栋,336户
天添庭院,(皋兰县皋兰北区)名藩大道1272～1376,4392,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
伊锦嘉苑,(七里河区上西园)工林路410号,6965,未知类型,暂无信息,暂无信息,暂无信息,1栋,232户
清阳佳苑,(西固区西固城)公园东路清阳佳苑,7291,未知类型,暂无信息,暂无信息,暂无信息,1栋,768户
高科新元绿洲,(榆中县榆中县)牡丹路195号,6938,塔楼/板楼,暂无信息,暂无信息,暂无信息,15栋,792户
甘肃农资化肥仓库家属院,(西固区深沟桥)福利东路甘肃农资化肥仓库家属院,5490,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
西固南街359号,(西固区西固城)西固南街359号,7530,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,40户
邮电家属院（华林路）,(七里河区上西园)华林路908-912号,7738,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
三兆家园,(七里河区下西园)华林路500号1栋-500号4栋,7601,板楼/塔板结合,1.2至1.5元/平米/月,暂无信息,暂无信息,4栋,1280户
路桥二公司家属院,(七里河区五泉广场)工林路811-813号,7221,塔板结合,1.5元/平米/月,兰州银安物业管理有限公司,众开集团,1栋,32户
兰州高科红星天铂,(榆中县榆中县)青城路兰州高科红星天铂,5413,板楼,暂无信息,暂无信息,暂无信息,16栋,1188户
焦家湾南路社区（南环路）,(城关区)焦家湾南路80-82号,7022,板楼,0.3元/平米/月,暂无信息,暂无信息,5栋,86户
四和恒景苑,(城关区十里店)九州西环路10001-10025号,5553,未知类型,暂无信息,暂无信息,暂无信息,10栋,1215户
中共兰州市七里河区委党校,(七里河区下西园)华林路169-183号,7663,板楼,暂无信息,暂无信息,暂无信息,2栋,96户
琨宇·书香名府,(兰州新区兰州新区)黄河大道堒宇书香名府,6317,板楼/塔板结合,1.48至1.5元/平米/月,暂无信息,暂无信息,21栋,2270户
立达大厦,(安宁区沙井驿街道)北滨河西路1249号,7781,塔楼,2.3元/平米/月,暂无信息,暂无信息,1栋,450户
绿地智慧金融城学府大境,(兰州新区兰州新区)五台山路绿地智慧金融城学府大境,6241,塔楼/板楼/塔板结合,1.5元/平米/月,暂无信息,暂无信息,18栋,3960户
瑞岭雅苑,(兰州新区兰州新区)泰山路3010号,6748,板楼/塔板结合,1.5元/平米/月,暂无信息,暂无信息,34栋,2023户
