小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
長宁小区,(西昌市长安片区)长宁路1号,6763,塔楼/板楼/塔板结合/平房,0.5元/平米/月,宏信物业公司,四川建筑公司,75栋,1764户
金龙家园,(西昌市市中心片区)长安中路325号,7303,板楼,0.5元/平米/月,西昌市金灿物业公司,金辉地产,6栋,193户
轧钢厂,(西昌市长安片区)航天大道一段106号,7236,塔楼/平房,0.3至1元/平米/月,无物业管理管理公司,成都铁路局,14栋,620户
航天路北路盐源干休所,(西昌市市中心片区)航天支路5号,7645,板楼/塔板结合/平房,0.5至1元/平米/月,暂无信息,无,10栋,163户
州卫生局,(西昌市三岔口片区)健康二环路3号,7302,塔板结合,0.3元/平米/月,不收费,暂无信息,3栋,60户
长安花园二区,(西昌市长安片区)农林巷长安花园二区,7752,板楼/塔板结合,0.55至0.8元/平米/月,无物业管理管理公司,西昌市启华房地产开发有限公司,10栋,361户
铁路家园,(西昌市市中心片区)西河中路45号,7808,塔楼/板楼,0.5至0.6元/平米/月,暂无信息,泰邦集团,7栋,310户
阳光路苑三期,(西昌市城南片区)307省道阳光路苑三期,7007,塔楼/塔板结合,0.5至1.65元/平米/月,无物业管理管理公司,中国电建地产成都分公司,12栋,1486户
凉山州州级机关第二幼儿园家属区,(西昌市市中心片区)长安中路120号,7257,塔板结合,暂无信息,无物业管理管理公司,暂无信息,6栋,68户
胜利北路181号,(西昌市老城片区)胜利北路181号,6273,板楼/塔板结合/平房,0.25至1.5元/平米/月,暂无信息,暂无信息,7栋,226户
西眼井小区,(西昌市市中心片区)西眼井南巷27号,6407,板楼,0.3元/平米/月,暂无信息,暂无信息,5栋,92户
楠华小区,(西昌市市中心片区)文汇北路12号,7692,板楼,0.7元/平米/月,佳友物业,暂无信息,1栋,66户
长安中路小区盐业公司,(西昌市市中心片区)长安中路小区盐业公司,7693,未知类型,0.5元/平米/月,暂无信息,暂无信息,3栋,36户
西昌市中医医院,(西昌市市中心片区)胜利路22号,6495,未知类型,暂无信息,暂无信息,暂无信息,2栋,68户
航天路金阳干休所,(西昌市市中心片区)航天南路,7443,塔板结合/平房,0.2元/平米/月,安信物业,北京锦世达置业有限公司,5栋,122户
市农行家属区,(西昌市市中心片区)长安中路35号,7781,板楼/塔板结合,0.5至1.2元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,6栋,100户
林运小区,(西昌市长安片区)兴盛路林运小区,6847,平房,暂无信息,无物业管理管理公司,三盛集团有限公司,12栋,255户
商贸城商住楼,(西昌市老城片区)下顺城街63号,7212,板楼,0.5元/平米/月,家旺物业,暂无信息,3栋,72户
会东地税局,(西昌市市中心片区)航天路会东地税局,6651,塔楼/板楼,0.4元/平米/月,宏信物业公司, 重庆桥达茂宸房地产开发有限公司,5栋,123户
梨园小区,(西昌市市中心片区)梨园巷8号,7396,板楼,0.5元/平米/月,暂无信息,无开发商,4栋,92户
冕宁县中医院西昌住宅小区,当前网页找不到元素（地址）,当前网页找不到元素（价格）
食品家园,(西昌市老城片区)胜利北路32号,7763,塔楼,0.8元/平米/月,家园物业,无,2栋,264户
德馨苑,(西昌市西部新城片区)中航东路德馨苑,5981,塔楼/板楼,1.2元/平米/月,暂无信息,成都通合置业,5栋,810户
馨苑,(西昌市长安片区)安康路馨苑,7180,塔楼,1元/平米/月,暂无信息,成都通合置业,7栋,704户
西源锦城,(西昌市长安片区)建设南路西源锦城,6918,塔板结合,0.5元/平米/月,暂无信息,西昌市启华房地产开发有限公司,20栋,824户
西昌市林业局苗圃,(西昌市三岔口片区)河东街西昌市林业局苗圃,7182,未知类型,暂无信息,暂无信息,暂无信息,4栋,251户
凉山州农机事业管理局家属院,(西昌市三岔口片区)三岔口东路238号,7474,塔楼,暂无信息,无物业管理管理公司,四川高达房产,5栋,158户
美林小区,(西昌市市中心片区)胜利南路174号,7808,塔楼,1元/平米/月,暂无信息,天津嘉丰汇美,1栋,53户
物价局职工宿舍,(西昌市城南片区)花园路94号,7242,板楼,暂无信息,无物业管理管理公司,暂无信息,3栋,84户
胜利路国土局,"(西昌市市中心片区)魏家湾西巷1号,魏家湾西巷2号",7523,板楼,0.5元/平米/月,西昌堃鸿物业管理有限公司,西昌房管局,4栋,36户
凉山州农科所,(西昌市市中心片区)胜利南路142号,7356,塔楼/塔板结合,0.5元/平米/月,无物业管理管理公司,南昌深农冷链物流有限公司,15栋,258户
吉祥路疾控中心,"(西昌市市中心片区)吉祥路60号,吉祥路29号",7272,板楼/塔板结合,0.5至0.7元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,5栋,71户
顺兴楼商务公寓,(西昌市市中心片区)马水河街15号,7455,塔楼,0.5元/平米/月,暂无信息,暂无信息,1栋,56户
汇宁小区A幢,(西昌市市中心片区)商业街三段1号,6380,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
南坛国质监局,(西昌市三岔口片区)东南街南坛国质监局,7686,未知类型,暂无信息,暂无信息,暂无信息,2栋,35户
朱家巷4号,(西昌市市中心片区)朱家巷4号,6736,平房,0.2至0.5元/平米/月,暂无信息,山西昌鑫源投资有限公司,2栋,33户
市林产公司家属区,(西昌市市中心片区)宁远巷26号,7144,塔楼/板楼,0.5元/平米/月,无物业管理管理公司, 合肥万科瑞翔地产有限公司,3栋,49户
市工商局宿舍,(西昌市市中心片区)长安中路281工商局,7774,板楼/平房,0.5至0.8元/平米/月,西昌市兴茂物业有限公司, 重庆汇东房地产开发有限公司,3栋,84户
三岔口东路市农牧局,(西昌市三岔口片区)三岔口东路,7197,板楼,暂无信息,暂无信息,暂无信息,1栋,8户
凉山监狱干休所,(西昌市老城片区)永宁巷39号,6897,塔板结合,1元/平米/月,暂无信息,暂无信息,3栋,58户
会东办事处一区,(西昌市三岔口片区)健康路416号,6311,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
胜利北路193号,(西昌市老城片区)胜利北路193号,6239,未知类型,暂无信息,暂无信息,暂无信息,2栋,88户
机电校宿舍家属区,"(西昌市长安片区)航天大道一段机电校宿舍家属区,长富南路1号",7282,塔板结合,1元/平米/月,暂无信息,南京三鸿置业有限公司三分公司,2栋,189户
龙眼井街59附12号,(西昌市市中心片区)胜利东路龙眼井街,7678,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,33户
