小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
东亚首航国际,(顺义顺义其它)顺畅大道14号院,14969,2012年建成 ,塔楼/板楼/塔板结合,2.63至2.68元/平米/月,北京东亚时代物业管理有限公司,北京东亚新华投资有限公司,10栋,2060户
大自然新城雅苑,(房山韩村河)大自然新城,14000,2003年建成 ,板楼/塔板结合,0.7至1元/平米/月,北京地杰物业管理有限公司,北京地杰昌盛置业投资有限公司,32栋,1943户
韩村河西小区,(房山韩村河)韩村河西小区,13326,1990年建成 ,板楼,0.4至0.5元/平米/月,无物业管理服务,"	西安大德房地产开发有限公司",8栋,480户
熙旺中心,(门头沟滨河西区)双峪路35号院,14921,2010年建成 ,塔楼,2.98元/平米/月,嘉诚嘉信国际物业管理（北京）有限公司,东方巴黎房地产开发（北京）有限公司,2栋,1084户
绿地启航社,(房山长阳)天星街1号院,13504,2013年建成 ,塔楼/塔板结合,3.5元/平米/月,北京华特物业管理发展有限公司,上海绿地集团有限公司,13栋,3217户
麓秀佳园,(密云溪翁庄镇)溪翁庄密云水库南线185号,13618,2004年建成 ,板楼,0.55至1元/平米/月,北京克林斯福物业管理有限公司,暂无信息,10栋,263户
众美MIMO公馆,"(大兴大兴新机场)庞各庄镇庞各庄桥西南角（庞各庄镇政府南侧）, 隆盛大街4号院",15449,2014年建成 ,塔楼,4元/平米/月,北京多亮多物业管理有限责任公司,北京众美房地产开发有限公司,1栋,812户
旭辉空港中心,"(顺义顺义其它)首都机场北侧顺平路海关大厦东侧, 金关北二街3号院",11330,2012年建成 ,塔楼/板楼,10.07至10.2元/平米/月,上海永升物业管理有限公司北京分公司,北京旭辉顺欣置业有限公司,4栋,1543户
向阳峪二区,(房山房山其它)周口店长沟峪煤矿向阳峪二区,13360,1978年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,10栋,110户
车站东街19号院,(房山琉璃河)车站东街19号院,14871,1987年建成 ,板楼,0.5至0.6元/平米/月,业主自筹物业,暂无信息,5栋,229户
