小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
北海市公共汽车公司宿舍区,(海城区海城区)长青路7号,3137,板楼,0.6元/平米/月,暂无信息,北海市金昌房地产开发有限公司,5栋,139户
雅馨苑三区,(海城区海城区)京泰路雅馨苑三区,3769,塔板结合,0.6元/平米/月,暂无信息,北海彰泰房地产开发有限公司,1栋,141户
乐城花园,(海城区海城区)北部湾东路5号,3430,塔板结合,暂无信息,暂无信息,暂无信息,1栋,72户
安美花园,(海城区海城区)北海大道11号,3680,板楼,0.5至0.8元/平米/月,暂无信息,重庆瑞美物业发展有限公司,9栋,288户
蓝色海岸国际家园,(银海区银海区)金海岸大道168号,3830,塔板结合/平房,0.6至1元/平米/月,北海和瑞物业有限公司,武汉蓝色宝岛置业有限公司,10栋,294户
新怡花園,(海城区海城区)银丰路3号,3580,板楼,0.5至1.2元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,10栋,274户
侨建新村,(银海区银海区)四川路侨建新村,3887,板楼/塔板结合,0.6元/平米/月,暂无信息,香港北海集团,6栋,204户
鸿源生态新城,(海城区海城区)北海大道241号,3416,板楼/塔板结合/平房,0.5至1.3元/平米/月,银苑物业管理公司,暂无信息,11栋,865户
海宁新区,(海城区海城区)海南路145号,3401,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,暂无信息,13栋,567户
福利花园,(海城区海城区)云南路159号,3573,板楼,0.4至0.6元/平米/月,广西壮府建工物业服务有限公司,营口北海金晟置业有限公司,3栋,294户
乐都大厦,(海城区海城区)北部湾西路36号,3857,塔楼,1元/平米/月,暂无信息,青岛北海舰队,1栋,525户
怡海新村开苑,(海城区海城区)北京路怡海新村开苑,3445,板楼,0.6元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,13栋,232户
锦绣花园,(海城区海城区)云南路锦绣花园,3758,塔板结合,0.5元/平米/月,锦绣花园,海城市新桐置业有限公司,5栋,270户
特力花园,(海城区海城区)南沥路1号,3326,板楼/塔板结合,0.5元/平米/月,广西建工二建, 重庆桥达茂宸房地产开发有限公司,8栋,376户
悦发花园,(海城区海城区)武昌西路悦发花园,3862,塔楼/板楼,0.6至0.8元/平米/月,北海悦发物业服务有限公司,暂无信息,9栋,276户
信利公寓,(海城区海城区)太合路8号,3433,板楼,0.5元/平米/月,广西悦发物业服务有限公司,孝义市义信利投资管理有限公司,2栋,54户
聚金园,(海城区海城区)茶亭路聚金园,3878,塔楼/板楼,0.8元/平米/月,暂无信息,营口北海置业发展有限公司,11栋,408户
润德雅苑,(海城区海城区)北部湾东路88-1号,3796,板楼,0.6元/平米/月,暂无信息,暂无信息,7栋,56户
财政局宿舍,(海城区海城区)北部湾西路19号,3775,板楼/塔板结合,0.4至15元/平米/月,暂无信息,暂无信息,9栋,103户
