小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
南宁奥园洛杉矶组团,(江南区经开区)那洪大道南宁奥园洛杉矶组团,7662,板楼/塔板结合,0.5至0.7元/平米/月,广东中奥物业管理有限公司南宁分公司,南宁市国立房地产开发有限公司,31栋,1482户
碧园南城故事,(江南区经开区)壮锦大道36号,7800,塔板结合,0.5至0.75元/平米/月,深圳鹏基物业有限公司,上海衡凤置业有限公司,52栋,3225户
慧谷阳光,(良庆区大沙田)湾仔街18号,7771,塔楼/塔板结合,0.6至1.2元/平米/月,南宁市拓城物业管理有限责任公司,"""苍南县中富房地产开发有限公司",4栋,1557户
枫丹丽舍,(青秀区仙葫)仙葫大道东135号,7082,塔楼/板楼/塔板结合/平房,0.7至2元/平米/月,中海物业,广西丰泽房地产开发有限公司,16栋,184户
外运·丽汇嘉园北区,(江南区经开区)友谊路西一里36号,7324,塔楼/塔板结合,0.6至0.8元/平米/月,暂无信息, 太原俊景房地产开发有限公司,6栋,1296户
八桂凤凰城凤翔园,(江南区经开区)友谊路吴圩段48-1号,4821,塔楼,0.75元/平米/月,暂无信息,暂无信息,13栋,376户
阳光新城春江苑,(良庆区大沙田)东风南路阳光新城春江苑丽水苑,7772,板楼,0.5元/平米/月,广西润和物业服务有限公司,阳光城集团,15栋,720户
南宁奥园雅典组团,(江南区经开区)那洪大道南宁奥园雅典娜组团(,7572,板楼,0.5元/平米/月,广东中奥物业管理有限公司南宁分公司,奥园,13栋,411户
南宁奥园北京组团,(江南区经开区)那洪大道8号,7454,板楼/塔板结合,0.5至10元/平米/月,广东中奥物业管理有限公司南宁分公司,南宁市国立房地产开发有限公司,31栋,942户
江景华廷,(青秀区仙葫)仙葫大道中157号,7196,板楼,0.7元/平米/月,物业公司,0,2栋,138户
金康天和人家,(江南区白沙星光)江南区圭贝路213号附近,7767,塔板结合,1元/平米/月,南宁市愉居物业管理有限责任公司,"""苍南县中富房地产开发有限公司",7栋,266户
白沙馨园,(江南区白沙星光)白沙大道1-21号,6261,未知类型,暂无信息,暂无信息,暂无信息,16栋,542户
阳光新城碧涛苑,(良庆区大沙田)金沙大道339号,7799,板楼/平房,0.7至0.8元/平米/月,暂无信息,广西银兴实业发展公司,31栋,1581户
安吉新城,(西乡塘区北湖北)安吉大道38号,7582,塔楼,0.7元/平米/月,无物业管理服务,无开发公司,8栋,18户
南宁市人民公园生活区东区,(兴宁区东葛路)民主路北二里南宁市人民公园生活区东区,7776,未知类型,暂无信息,暂无信息,暂无信息,5栋,144户
华建花园,(西乡塘区西大)大学东路134号,7706,塔楼,0.45元/平米/月,厦门唐人物业管理有限公司南宁分公司,深圳市龙岗南龙实业有限公司,2栋,92户
友爱公寓,(西乡塘区西大)秀灵路东一里46号,7749,板楼,0.74元/平米/月,南宁市家园物业,南宁市华润置地北湖房地产有限公司,1栋,90户
广西南宁机械厂南生活区,(西乡塘区西大)中尧路11号,6975,未知类型,暂无信息,暂无信息,暂无信息,7栋,357户
华成都市锦华苑,(西乡塘区心圩区)高新南二路5号,3001,板楼,1.5元/平米/月,暂无信息,暂无信息,3栋,718户
翠湖新城南区,(江南区五一路)五一西路6号,7869,板楼/塔板结合,0.65元/平米/月,暂无信息,暂无信息,16栋,1104户
官桥公寓,(兴宁区东沟岭)民主路3号,4818,未知类型,暂无信息,暂无信息,暂无信息,3栋,50户
未来小区,(良庆区大沙田)三叠石路34号,7193,板楼/塔板结合,0.5至0.75元/平米/月,富寓物业服务有限公司,广西中电未来投资置业有限公,4栋,282户
广西送变电建设公司大沙田生活三区,(良庆区大沙田)银海大道243号,7517,未知类型,暂无信息,暂无信息,暂无信息,4栋,217户
庆泰花园,(江南区沙井)南乡二街庆泰花园,3808,未知类型,暂无信息,暂无信息,暂无信息,3栋,732户
东南公寓,(江南区五一路)壮锦大道13号,5318,塔板结合,0.85元/平米/月,广西华茂物业管理有限责任公司,上海中星集团协利置业有限公司,1栋,225户
秀安小区,(西乡塘区北湖北)秀厢大道东段3号,4698,未知类型,暂无信息,暂无信息,暂无信息,2栋,126户
康達花園,(西乡塘区西大)火炬一支路3号,7304,未知类型,暂无信息,暂无信息,暂无信息,2栋,77户
古汇公寓,(西乡塘区西大)衡阳西路6号,6847,塔板结合,1.2元/平米/月,暂无信息,暂无信息,1栋,1户
恒达花园,(西乡塘区西大)火炬一支路4号,7066,板楼,暂无信息,暂无信息,暂无信息,1栋,52户
广西壮族自治区交通规划勘察设计研究院,(兴宁区朝阳)人民路北一里1号,7240,未知类型,暂无信息,暂无信息,暂无信息,7栋,204户
庆泰花园,(江南区沙井)南乡二街庆泰花园,3808,未知类型,暂无信息,暂无信息,暂无信息,3栋,732户
古汇公寓,(西乡塘区西大)衡阳西路6号,6847,塔板结合,1.2元/平米/月,暂无信息,暂无信息,1栋,1户
恒达花园,(西乡塘区西大)火炬一支路4号,7066,板楼,暂无信息,暂无信息,暂无信息,1栋,52户
南宁市沙井大道中段小区,(江南区沙井)南乡二街南宁市沙井大道中段小区,5047,未知类型,暂无信息,暂无信息,暂无信息,13栋,425户
康達花園,(西乡塘区西大)火炬一支路3号,7304,未知类型,暂无信息,暂无信息,暂无信息,2栋,77户
广西壮族自治区交通规划勘察设计研究院,(兴宁区朝阳)人民路北一里1号,7240,未知类型,暂无信息,暂无信息,暂无信息,7栋,204户
翠馨庭小区,(西乡塘区北湖南)明秀东路143号,7645,未知类型,暂无信息,暂无信息,暂无信息,1栋,54户
南宁市五金站批发住宅楼,(西乡塘区朝阳)新阳路77-13号,7757,板楼,暂无信息,暂无信息,暂无信息,1栋,42户
广西区六建生活区,(西乡塘区朝阳)新阳路89号,6111,板楼/塔板结合,0.8元/平米/月,南宁正方形物业,第六建筑公司,13栋,495户
荣和花园,(青秀区东沟岭)长堽路29号,7544,板楼,2元/平米/月,暂无信息,南宁市荣和建锐房地产开发有限公司,4栋,300户
