小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
英伦壹品,(进贤县进贤县)滨湖大道1299号,7172,板楼/塔板结合,1至1.8元/平米/月,南昌市春天物业管理有限公司,暂无信息,18栋,1596户
滨湖华城,(进贤县进贤县)人民大道299号,5940,板楼/塔板结合,0.6至1.2元/平米/月,暂无信息,江西省南丰县华宇房地产开发有限公司,50栋,1797户
南昌齿轮场职工生活社区,(经开区蛟桥)庐山北大道南齿社区,6322,塔楼/板楼,暂无信息,暂无信息, 重庆桥达茂宸房地产开发有限公司,39栋,1578户
天集商业广场,(进贤县进贤县)进贤大道146号,6239,塔楼/板楼/塔板结合/平房,0.6至6元/平米/月,南昌市春天物业管理有限公司,天虹房地产开发有限公司,15栋,682户
怡景佳苑,(进贤县进贤县)南门路40号,5450,板楼,0.6至1.2元/平米/月,暂无信息,暂无信息,14栋,394户
阳光尊邸,(进贤县进贤县)进贤大道672号,7693,板楼,1.2元/平米/月,江西福祥物业管理有限公司,江西省康瑞房地产开发有限公司,19栋,1665户
半岛豪园,(进贤县进贤县)滨湖大道1111号,6105,塔楼/板楼/塔板结合/平房,0.5至1.2元/平米/月,华盈物业,半岛开发,44栋,1790户
时代庄园,(南昌县银三角)莲塘南大道841号,6823,塔板结合,暂无信息,无物业,北京太合日盛房地产开发有限责任公司,4栋,96户
天润华府,(进贤县进贤县)进贤大道1079号,7755,板楼,1.5至2元/平米/月,南昌市春天物业管理有限公司,暂无信息,4栋,577户
世纪新城,(进贤县进贤县)嘉禾路世纪新城,4818,塔楼/塔板结合,0.2至1.5元/平米/月,无物业管理服务,物业和度娘都不知道开发商名称,23栋,1595户
体育馆社区,(南昌县莲塘)农贸西路体育馆社区,7488,板楼/塔板结合/平房,0.1至0.5元/平米/月,无物业,无,50栋,1676户
康盛丽景花城,(进贤县进贤县)南门路康盛丽景花城,5031,塔板结合/平房,0.6至1.2元/平米/月,南昌市永祥物业管理有限公司,暂无信息,28栋,935户
汇洋锦绣花苑,(进贤县进贤县)民和路汇洋锦绣花苑,5075,板楼/塔板结合/平房,1.2元/平米/月,南昌市春天物业管理有限公司,暂无信息,23栋,1381户
岚湖豪城,(进贤县进贤县)滨湖大道199号,6983,板楼,1.2元/平米/月,南昌市春天物业管理有限公司,暂无信息,26栋,1430户
金桥慧景,(经开区紫荆路)玉屏东大街777号,7753,板楼,0.5至1.5元/平米/月,南昌紫荆物业有限公司, 陕西亿润经贸有限公司 ,33栋,2178户
云天小镇,(进贤县进贤县)中山大道云天小镇,7698,板楼/塔板结合/平房,1.2至1.8元/平米/月,南昌市春天物业管理有限公司,暂无信息,20栋,964户
天高进士第,(经开区紫荆路)麦园路天高进士第,7330,塔楼/板楼/塔板结合,1至1.8元/平米/月,江西名家物业管理有限公司,江西飞碟房地产开发有限公司,6栋,803户
御景东方,(进贤县进贤县)中山大道1388号,6512,塔楼/板楼/塔板结合/平房,1.2至5元/平米/月,江西鑫勤物业管理有限公司,暂无信息,27栋,1089户
