小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
鑫湖国贸中心,(南通经济技术开发区能达商务区)长虹路6号,6339,塔板结合,2.5元/平米/月,南通涌鑫物业服务有限公司海门分公司,南通开发区涌鑫地产有限公司,3栋,2561户
恒生东翔花苑东区,(通州区兴东)镇东路恒生东翔花苑东区,7436,板楼,0.4元/平米/月,暂无信息,暂无信息,19栋,510户
通富佳苑,(通州区兴仁)新地西路通富佳苑,7384,板楼,0.5元/平米/月,暂无信息,万达集团,92栋,3367户
开发新村D区,(如皋市如皋市区)庆余路开发新村D区,7370,板楼/塔板结合,0.4至1元/平米/月,无物业公司,暂无信息,21栋,461户
开发新村A区,(如皋市如皋市区)益寿路开发新村A区,7175,板楼/塔板结合,0.1至1元/平米/月,无物业公司,暂无信息,13栋,207户
新民花园,(如皋市如皋市区)仁寿东路84号,4100,板楼,暂无信息,暂无信息,暂无信息,7栋,295户
新生小区,(如皋市如皋市区)万寿路新生小区,4558,塔板结合,0.2元/平米/月,如皋空管物业有限公司,暂无信息,32栋,887户
紫光嘉苑南区,(如皋市如皋市区)解放东路紫光嘉苑南区,4853,塔板结合,1至2元/平米/月,南通明道物业管理有限公司,南京骋望置业有限公司（南京）,10栋,396户
如意花苑,(如皋市如皋市区)万寿路如意花苑,3946,板楼,1.5元/平米/月,如皋市荣新物业管理有限公司,暂无信息,28栋,1759户
曙光花园,(海安市海安县)新宁南路曙光花园,6718,板楼,1元/平米/月,瑞海物业,暂无信息,7栋,181户
千禧花苑中区,(海安市海安县)安平西路90号,4420,塔板结合,1至1.8元/平米/月,暂无信息,暂无信息,19栋,761户
丹凤花苑三期,(海安市海安县)丹凤路89号,4704,塔板结合,0.6元/平米/月,社区居委会,暂无信息,33栋,1086户
隆田花苑,(海安市海安县)三里闸园区路隆田花苑,4274,板楼,暂无信息,暂无信息,暂无信息,51栋,1850户
金乐佳苑C区,(通州区金新)金欣路金乐佳苑C区,3871,板楼,1元/平米/月,暂无信息,南通华威房地产拓展有限公司南通市房,71栋,1867户
金乐佳苑B区,(通州区金新)世纪大道金乐佳苑B区,5517,未知类型,暂无信息,暂无信息,暂无信息,42栋,1241户
星河家园,(南通经济技术开发区张芝山)张江路星河家园,5136,塔楼/板楼,0.5元/平米/月,社区居委会,江苏炜赋集团天鹏置业有限公司,97栋,3236户
金泰花园C区,(通州区金新)锦绣路金泰花园C区,4152,板楼,0.5元/平米/月,暂无,暂无信息,44栋,1240户
魅力城(崇川区),(崇川区观音山)太平北路2号,7378,板楼,3元/平米/月,南通物业管理公司, 中国奥园地产集团股份有限公司,5栋,522户
城南花苑西区,(如皋市如皋市区)万寿南路城南花苑西区,6945,塔板结合,0.5元/平米/月,暂无信息,暂无信息,42栋,1562户
南屏花苑,(海安市海安县)高庄路南屏花苑,4717,塔楼/板楼/平房,0.5至2元/平米/月,暂无信息,暂无信息,95栋,2264户
恒生·东翔花苑,(通州区兴东)向阳东路恒生·东翔花苑,6819,板楼/塔板结合,0.5元/平米/月,社区居委会,暂无信息,15栋,390户
御景园,(通州区十总)金霞路御景园,5943,板楼,1至1.5元/平米/月,暂无信息,南通七建,12栋,340户
盛泰公寓,(港闸区城东)外环北路179号,7538,板楼,暂无信息,暂无信息,暂无信息,1栋,224户
金泰花园A区,(通州区金新)锦绣路金泰花园A区,4875,塔板结合,暂无信息,暂无信息,暂无信息,46栋,1111户
虹西花苑,(通州区金沙)桂花路虹西花苑,7355,板楼,0.5元/平米/月,暂无信息,无开发公司,28栋,1268户
金缘花苑A区,(通州区金沙)碧华西路金缘花苑A区,4508,板楼,0.5元/平米/月,暂无信息,暂无信息,55栋,1801户
姜灶花苑,(通州区姜灶)温州北路88号,6343,板楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,30栋,881户
