小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
未来橙堡,"(海沧海沧体育中心)渐美里1到120号, 海沧区渐美里11-119号",31219,2001年建成 ,板楼/塔板结合,0.5至1.2元/平米/月,暂无信息,厦门出口加工区投资管理有限公司 ,9栋,2089户
禹洲大学城,(集美集美其它)同集中路,23352,2001年建成 ,塔楼/板楼/塔板结合,1.3元/平米/月,禹洲物业服务有限公司厦门分公司,厦门禹洲集团股份有限公司,15栋,4566户
阳光城翡丽湾一期,"(翔安翔安新城)浦园三里19-23号, 翔安区浦园三里19-23号",30230,2012年建成 ,塔板结合/平房,1.98至4元/平米/月,阳光城物业服务（福建）有限公司厦门分公司,阳光城（厦门）置业有限公司,5栋,1007户
锦绣祥安,"(翔安马巷)舫阳北路锦绣祥安, 五星七里15号",21266,2004年建成 ,塔楼/板楼/塔板结合,1.2元/平米/月,厦门汇嘉物业管理有限公司,厦门经济特区房地产开发集团有限公司,60栋,3197户
阳光城翡丽湾二期,"(翔安翔安新城)浦园三里7-9号, 翔安区浦园三里7-9号",28560,2012年建成 ,板楼/塔板结合,2.38元/平米/月,阳光城物业服务（福建）有限公司厦门分公司,阳光城（厦门）置业有限公司,6栋,1959户
金都海尚国际,"(同安环东海域)同安区滨海西大道BRT蔡店站东侧, 美峰三里25-1, 美峰三里23, 美峰三里24, 美峰三里25, 美峰三里24-2号",30980,2012年建成 ,塔楼/板楼/塔板结合,3.2元/平米/月,浙江金都物业管理有限公司厦门分公司,厦门金都海湾置业有限公司,9栋,2728户
中海锦城国际,"(集美锦园)厦门集美新城杏前路与海翔大道交叉口东侧, 锦园东二里11号, 集美区锦园东二里12-27号",24483,2003年建成 ,板楼/塔板结合,2.9至2.91元/平米/月,中海物业管理有限公司厦门分公司,厦门海合美地产有限公司,16栋,1925户
凤凰花城,(集美锦园)杏前路169号,23862,1987年建成 ,塔板结合,2.4元/平米/月,厦门市安吉利家物业有限公司,厦门市杏林建设开发公司,20栋,3561户
融信海上城,"(海沧滨海社区)海沧区海沧大桥南侧海沧大道西侧, 海沧大道融信海上城",24212,2008年建成 ,塔楼/板楼/塔板结合/平房,3.98至80元/平米/月,福建融信世欧物业管理集团有限公司厦门分公司,融信（厦门）房地产开发有限公司,7栋,4425户
明发半岛祥湾A区,"(翔安翔安新城)翔安大道23号, 翔安区浦园一里2-8号",26695,2003年建成 ,板楼,1.3元/平米/月,厦门白士德楼宇管理有限公司,厦门明发集团有限公司,13栋,1272户
首开领翔上郡二期,(翔安新店)新莲路首开领翔上郡二期,24506,2006年建成 ,板楼/平房,2至2.5元/平米/月,白仕德物业,首开集团,28栋,1076户
夏商新纪元,(集美锦园)集美杏前路与海翔大道交叉口,25536,2007年建成 ,塔板结合,2.5元/平米/月,厦门商发物业管理有限公司,厦门夏商房地产有限公司,8栋,1865户
万科城一期,"(海沧马銮湾东)霞光东里1到17号, 海沧区霞光东里1-16号",29337,2011年建成 ,塔楼/板楼/平房,2.68至5.98元/平米/月,厦门市万科物业服务有限公司,厦门万科房地产有限公司,18栋,1354户
美地雅登一里,(翔安新店)祥吴一里,25483,2008年建成 ,塔楼/板楼,1.4至2元/平米/月,汇嘉（厦门）物业管理有限公司,无开发商,6栋,770户
美地雅登六里,"(翔安新店)祥吴六里, 翔安区祥吴五里1-20号",26490,2006年建成 ,板楼,1.2元/平米/月,汇嘉（厦门）物业管理有限公司,无开发商,21栋,1429户
泉舜星园美第,"(海沧未来海岸北师大)嵩屿南二里18号, 海沧区嵩屿南二里101号",30882,2003年建成 ,板楼/塔板结合,0.8至1元/平米/月,厦门康乐物业发展有限公司,厦信发房地产开发有限公司,6栋,350户
万达广场,"(湖里万达广场)仙岳路4666号, 金钟路7号, 仙岳路4674号, 金钟路15号",18464,2000年建成 ,塔楼/板楼/塔板结合,3.2至5.5元/平米/月,万达（厦门）物业管理有限公司,厦门湖里万达广场投资有限公司,10栋,4030户
