小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
前方苑,(路桥区路南)前方路10号,7165,板楼,暂无信息,暂无信息,暂无信息,22栋,22户
珠光集团台州商务楼,(路桥区路北)珠光街125号,7767,塔板结合,暂无信息,暂无信息,暂无信息,1栋,186户
经中路7号,(椒江区机场北路)经中路7号,6255,板楼,1.3元/平米/月,绿城物业服务集团有限公司,台州方远广达置业有限公司,1栋,10户
景观花苑,(温岭市温岭市)幸福路518号,7624,板楼,1.6元/平米/月,暂无信息,暂无信息,38栋,1030户
南山村,(温岭市温岭市)路泽太一级公路南山村,3937,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
祥和小区,(路桥区路北)马铺路祥和小区,7477,未知类型,暂无信息,暂无信息,暂无信息,5栋,101户
喜沁园,(路桥区路南)路泽太一级公路喜沁园,5531,板楼,暂无信息,暂无信息,暂无信息,6栋,144户
东方花园,(温岭市温岭市)东海大道东方花园,6419,塔楼,1.3元/平米/月,暂无信息,暂无信息,12栋,454户
骏成海景名苑,(温岭市温岭市)曙光大道155号,6572,塔板结合,暂无信息,暂无信息,暂无信息,21栋,574户
万通花园,(温岭市温岭市)坦龙线万通花园,7234,板楼,暂无信息,暂无信息,暂无信息,11栋,360户
曙光新城,(温岭市温岭市)盛阳路曙光新城,6551,平房,1.8元/平米/月,暂无信息,暂无信息,17栋,754户
万邦国际花园,(临海市江南)杜北路157号,7057,未知类型,暂无信息,暂无信息,暂无信息,17栋,628户
宜桥村农民公寓,(温岭市温岭市)大溪路308号,7284,未知类型,暂无信息,暂无信息,暂无信息,3栋,246户
马铺路,(路桥区路北)路北街道数码街172号,7278,未知类型,暂无信息,暂无信息,暂无信息,4栋,4户
樱花路,(路桥区路桥街道)路桥街道迎商路203号,7142,塔板结合,暂无信息,暂无信息,暂无信息,2栋,9户
潘郎路69/71/73号,"(温岭市温岭市)潘郎路69号,潘郎路71号,潘郎路73号",7155,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
海韵佳苑,(温岭市温岭市)祥和路海韵佳苑,6178,未知类型,暂无信息,暂无信息,暂无信息,5栋,212户
石夫人路后应村,(温岭市温岭市)石夫人路后应村12幢,6995,未知类型,暂无信息,暂无信息,暂无信息,4栋,22户
盘山新村,(温岭市温岭市)006乡道盘山新村,6475,未知类型,暂无信息,暂无信息,暂无信息,5栋,276户
