小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
万达未来领地,(滨湖新区环湖CBD)万达未来领地,当前网页找不到元素（价格）,2012年建成 ,板楼/塔板结合,1.44至1.98元/平米/月,暂无信息,江苏中广置业有限公司无锡万达广场分公司,2栋,1105户
上堤公寓,(蜀山新产业园)上堤公寓,当前网页找不到元素（价格）,2008年建成 ,塔板结合,1.44元/平米/月,安徽普联物业管理有限公司,无,5栋,769户
冠徽苑公寓,(长丰北城)冠徽苑公寓,当前网页找不到元素（价格）,2012年建成 ,塔楼/塔板结合,1.28元/平米/月,暂无信息,天津天房北城投资有限公司,3栋,1259户
森林橙堡,(蜀山井岗镇)森林橙堡,当前网页找不到元素（价格）,2010年建成 ,塔板结合,1.2元/平米/月,合肥天成物业管理有限公司,合肥荣成置业有限公司,2栋,527户
馥邦商务广场,(新站七里塘)馥邦商务广场,当前网页找不到元素（价格）,2000年建成 ,塔楼/板楼/塔板结合,1.2元/平米/月,合肥长虹物业发展有限公司,金广物业,4栋,1061户
锦徽苑,(长丰北城)锦徽苑,当前网页找不到元素（价格）,2013年建成 ,塔板结合,1.2至1.3元/平米/月,昆明世纪城物业管理有限公司合肥分公司,天津天房北城投资有限公司,3栋,1481户
世纪金源国际公寓,(滨湖新区滨湖世纪)世纪金源国际公寓,当前网页找不到元素（价格）,2010年建成 ,塔板结合,2元/平米/月,北京世纪金源物业管理有限公司,安徽世纪金源置业发展有限公司,1栋,648户
书苑雅居,(肥西肥西)长江西路书苑雅居,当前网页找不到元素（价格）,2008年建成 ,板楼,0.5元/平米/月,合肥友邻物业管理有限责任公司,暂无信息,7栋,576户
CBC拓基广场,(蜀山新产业园)井岗路与甘泉路交汇处西南,当前网页找不到元素（价格）,2014年建成 ,塔板结合,2.85至3.85元/平米/月,合肥拓基物业管理有限责任公司,合肥拓基房地产开发有限责任公司,2栋,2828户
振荣锦尚公馆,(空港经济示范区肥西)海棠路振荣锦尚公馆,当前网页找不到元素（价格）,2013年建成 ,塔板结合,1.4至1.51元/平米/月,合肥铭威物业管理有限公司,安徽振荣置业投资有限公司,10栋,775户
