小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
永强小区,(昌邑区江湾路)江沿胡同61115号,3861,板楼,1.65元/平米/月,吉林市永佳物业管理有限公司,物业和度娘都不知道开发商名称,35栋,2364户
建华农民新村三期,(丰满区中海)华庆路建华农民新村三期,3215,板楼,暂无信息,暂无信息,上海刚泰房地产发展有限公司,42栋,1144户
龙川小区,(龙潭区青林街)沿川路龙川小区,3774,塔板结合,暂无信息,暂无信息,上海大林实业发展有限公司,16栋,1368户
新山社区,(龙潭区土城子)新山街25-2号,2562,板楼,1元/平米/月,吉林市红大物业服务有限公司,上海大林实业发展有限公司,3栋,173户
昆明小区1区,(船营区桃源路)昆明街昆明小区,3726,板楼,暂无信息,暂无信息,深圳万达丰,7栋,790户
江北公园商住楼,(龙潭区土城子)汉阳街江北公园商住楼,3379,塔楼,暂无信息,暂无信息, 重庆汇东房地产开发有限公司,1栋,106户
龙江社区,(龙潭区土城子)福州街7号,3259,板楼,暂无信息,暂无信息,上海大林实业发展有限公司,7栋,683户
沿江小区,(龙潭区土城子)中兴街沿江小区,2995,塔板结合,1元/平米/月,吉林市红大物业服务有限公司,上海大林实业发展有限公司,8栋,367户
山前地区江机住宅楼(团结路),(龙潭区土城子)团结路江机山前,3056,板楼,暂无信息,无,无,12栋,230户
贻翔苑,(龙潭区土城子)新工四条贻翔苑,2935,未知类型,暂无信息,暂无信息,暂无信息,6栋,738户
黄旗住宅区,(船营区长春路)解放西路49号,3324,板楼/塔板结合,1元/平米/月,暂无信息,内蒙古镶黄旗亿旺置业有限责任公司,3栋,296户
望江小区,(龙潭区铁东)滨江路望江小区,3178,板楼,1.4元/平米/月,密哈社区物业,上海大林实业发展有限公司,8栋,377户
炭素厂宅,(昌邑区哈达湾)新村街炭素厂宅,3851,板楼,暂无信息,无,暂无信息,13栋,610户
蓝湾国际A区,(蛟河市蛟河市)永安路蓝湾国际A区,3815,未知类型,暂无信息,暂无信息,暂无信息,11栋,343户
毓秀嘉元,(永吉县永吉县)吉桦路1334号,2604,塔楼,0.5元/平米/月,暂无信息,暂无信息,15栋,874户
昌晟金地香山,(永吉县永吉县)吉桦路636号,3186,板楼,0.5元/平米/月,暂无信息,暂无信息,25栋,1273户
万顺园小区,(永吉县永吉县)建设路299号,2011,板楼,暂无信息,无物业管理服务,暂无信息,3栋,175户
文明小区,(蛟河市蛟河市)建设路33号,2484,未知类型,暂无信息,暂无信息,暂无信息,9栋,438户
盛世嘉园,(永吉县永吉县)松江中路87号,3015,塔楼,1元/平米/月,暂无信息,暂无信息,14栋,776户
鼎丰花园二期,(磐石市磐石市)永康路鼎丰花园二期,3336,未知类型,暂无信息,暂无信息,暂无信息,3栋,2户
昌晟家园,(永吉县永吉县)兴华街昌晟家园,3436,塔楼,0.5元/平米/月,暂无信息,暂无信息,9栋,571户
