小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
众环小区,(回民区海西路商圈)海拉尔西街35号,7641,板楼,0.6至0.8元/平米/月,暂无信息,上海嘉定万达投资有限公司,39栋,2396户
草原明珠,(回民区西万达商圈)海拉尔西街草原明珠,7585,板楼/塔板结合,0.8元/平米/月,呼和浩特市辉腾物业服务有限责任公司,大同市众鑫房地产开发有限责任公司,33栋,2521户
时代华城,(回民区回民政府商圈)鄂尔多斯西街西侧253号,7794,板楼,0.58至0.7元/平米/月,黑龙江省亿发房地产开发有限责任公司,内蒙古盛鼎房地产开发有限公司,42栋,2136户
首府洋房,(金川开发区金川开发区)金二路首府洋房,6510,板楼,0.6至0.66元/平米/月,呼和浩特市骏鹏物业服务有限责任公司,民族房屋开发有限公司,28栋,1363户
上院小区,(金川开发区金川开发区)汇金道上院小区,6079,板楼,0.65至0.8元/平米/月,内蒙古金洁雅服务有限责任公司,民族房屋开发有限公司,64栋,4200户
海亮广场一期,(回民区海亮商圈)锡林郭勒南路海亮广场一期,7145,塔楼/板楼,1.6至3元/平米/月,内蒙古海亮物业服务有限公司,呼和浩特昊天置业有限公司,7栋,2945户
西铁小区,(回民区工人北村商圈)阿吉拉沁心北路西铁小区,7108,板楼,0.5至10元/平米/月,暂无信息,铁路局,16栋,1080户
新宝小区,(回民区海西路商圈)海拉尔西街新宝小区,6703,板楼,0.6元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",1栋,52户
大修厂小区,(回民区海西路商圈)青山巷大修厂小区,7367,板楼/塔板结合,0.6至10元/平米/月,暂无信息,大同市众鑫房地产开发公司,14栋,718户
民和文苑,(金川开发区金川开发区)金海路民和文苑,6466,板楼,0.8至1.5元/平米/月,内蒙古众鑫翔物业服务有限责任公司,宏民集团,16栋,1281户
邮政家属楼,(回民区海西路商圈)海拉尔西街邮政家属楼,7302,塔楼,暂无信息,暂无信息,无开发商,1栋,49户
金华学府,(金川开发区金川开发区)金四路金華学府,6302,板楼,0.8元/平米/月,呼和浩特市金泰物业服务有限责任公司,民族房屋开发有限公司,36栋,2646户
锅炉厂宿舍,(回民区海西路商圈)综合路3号,7479,板楼/平房,0.6至0.7元/平米/月,无物业服务,无开发商,7栋,565户
金厦广场,(金川开发区金川开发区)金海路金厦广场,6237,板楼,1至2元/平米/月,黑龙江省亿发房地产开发有限责任公司, 陕西亿润经贸有限公司 ,5栋,922户
公元大道,(金川开发区金川开发区)金八道公元大道,6463,板楼/塔板结合,0.8至1.6元/平米/月,鼎坤物业公司,内蒙古鑫行达房地产开发有限公司,26栋,2364户
金川新城,(金川开发区金川开发区)金海路金川新城,6473,塔楼/板楼,0.6元/平米/月,均豪物业公司,内蒙古天竣房地产开发有限责任公司,27栋,2067户
国华小区(玉泉区),(玉泉区五塔寺商圈)杨树园巷国华小区,7389,板楼/塔板结合,0.2元/平米/月,无物业服务,北京国华置业有限公司,3栋,192户
