小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
陕二纺机小区,(渭城区渭城区)咸阳市渭城区毕塬西路,当前网页找不到元素（价格）,板楼/塔板结合/平房,0.3至0.6元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,17栋,994户
秦源小区,(秦都区秦都区)咸阳市秦都区玉泉西路附近,当前网页找不到元素（价格）,板楼/塔板结合/平房,0.5至0.98元/平米/月,暂无信息,上海秦嘉置业有限公司,25栋,1168户
西北国棉二厂,(秦都区秦都区)咸通北路三号,当前网页找不到元素（价格）,板楼/塔板结合,0.5至0.55元/平米/月,暂无信息,西上海集团,12栋,400户
泉南一巷毛条小区,(秦都区秦都区)泉南一巷毛条小区,当前网页找不到元素（价格）,板楼/塔板结合/平房,0.3至0.5元/平米/月,自持物业,陕西国润集团,8栋,529户
玉珠楼小区,(秦都区秦都区)珠泉路23号,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.3至0.98元/平米/月,陕西浩瀚物业管理公司,陕西金泰恒业,18栋,857户
鑫苑尚东朝阳,(渭城区渭城区)金旭路鑫苑尚东朝阳,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.4至0.8元/平米/月,暂无信息,朝阳市泰运房地产置业担保有限公司朝阳县分公司,13栋,918户
新坊小区,(秦都区秦都区)新纺1号路,当前网页找不到元素（价格）,板楼/塔板结合,0.33至0.4元/平米/月,暂无信息,咸阳南沣置业有限公司,8栋,301户
秦宝小区西区北院,(秦都区秦都区)彩虹一路秦宝小区西区北院,当前网页找不到元素（价格）,板楼/塔板结合,0.39至0.6元/平米/月,秦宝物业,西安市秦宝投资有限责任公司,51栋,1983户
惠民小区,(秦都区秦都区)便民巷惠民小区,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.4至0.5元/平米/月,暂无信息,咸阳恒远置业有限公司,6栋,340户
丽水花庭,(秦都区秦都区)咸阳市秦都区咸通北路4号,当前网页找不到元素（价格）,板楼/塔板结合,0.9元/平米/月,暂无信息,荣盛房地产发展股份有限公司,4栋,196户
秦宝小区东区,(秦都区秦都区)安虹路秦宝小区东区,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.4至0.6元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,33栋,1478户
博尚嘉苑,(渭城区渭城区)咸阳市渭城区金旭路附近,当前网页找不到元素（价格）,板楼/塔板结合,0.4至0.8元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,3栋,372户
金奎嘉苑,(秦都区秦都区)秦皇中路9号,当前网页找不到元素（价格）,板楼/塔板结合,0.4至1.2元/平米/月,暂无信息,锦花物业,3栋,81户
风和日丽,(渭城区渭城区)咸阳市渭城区一路附近,当前网页找不到元素（价格）,板楼,0.4元/平米/月,暂无信息,一方置业,11栋,624户
秦建苑西区,(渭城区渭城区)金旭路1号,当前网页找不到元素（价格）,板楼,0.8元/平米/月,暂无信息,暂无信息,7栋,336户
陕西邮电职业技术学院家属院,(西咸新区（咸阳）渭城区)文林路陕西邮电职业技术学院家属院,当前网页找不到元素（价格）,板楼,0.35至0.5元/平米/月,暂无信息,暂无信息,3栋,122户
陕纺小区,(秦都区秦都区)咸阳市秦都区人民中路17号院内,当前网页找不到元素（价格）,塔楼/塔板结合,0.5元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,4栋,190户
文林小区,(西咸新区（咸阳）渭城区)文林路3号,当前网页找不到元素（价格）,板楼/塔板结合,0.5至0.6元/平米/月,暂无信息,咸阳恒远置业有限公司,11栋,573户
亮马河国际公寓,(渭城区渭城区)东风路1号,当前网页找不到元素（价格）,塔楼,0.4元/平米/月,暂无信息, 西安保亿名卓置业有限公司,1栋,191户
嘉阳新都,(秦都区秦都区)中华东路8号,当前网页找不到元素（价格）,板楼/平房,0.35至20元/平米/月,嘉阳物业管理有限公司,蓁瀛华泰（北京）置业有限公司中恒华泰分公司,9栋,410户
佳美花园,(西咸新区（咸阳）秦都区)同德路佳美花园,当前网页找不到元素（价格）,板楼/塔板结合,0.4至3.5元/平米/月,暂无信息,成都佳美房地产开发有限公司,4栋,244户
兴业小区,(秦都区秦都区)人民中路16号,当前网页找不到元素（价格）,板楼/塔板结合,0.35至1.2元/平米/月,暂无信息,咸阳天意房地产开发有限公司,15栋,761户
咸阳市机电公司家属院,(渭城区渭城区)机电小区,当前网页找不到元素（价格）,板楼,0.3元/平米/月,暂无信息,暂无信息,3栋,106户
玉泉家园,(秦都区秦都区)咸阳市秦都区泉南二巷附近,当前网页找不到元素（价格）,板楼,0.5至0.6元/平米/月,暂无信息,陕西金泰恒业,8栋,403户
泰禾馨苑,(渭城区渭城区)朝阳一路附近,当前网页找不到元素（价格）,板楼/塔板结合,0.4至0.8元/平米/月,暂无信息,方大集团,7栋,336户
505家属院,(秦都区秦都区)便民巷505家属院,当前网页找不到元素（价格）,板楼/塔板结合,0.6元/平米/月,505家属院自主物业,暂无信息,2栋,146户
福园小区,(秦都区秦都区)西兰路41号,当前网页找不到元素（价格）,板楼,0.33至0.7元/平米/月,暂无信息,陕西宏林建设开发有限公司,9栋,372户
玉泉小区兴秦新村,(秦都区秦都区)玉泉路玉泉小区兴秦新村,当前网页找不到元素（价格）,板楼/塔板结合,0.34至0.7元/平米/月,暂无信息,陕西金泰恒业,16栋,812户
珠泉路东口泉北小区壹楼大院,(秦都区秦都区)泉北一巷珠泉路东口泉北小区壹楼大院,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
思源南路农机五号家属院,(秦都区秦都区)思源南路5号,当前网页找不到元素（价格）,塔板结合,0.35元/平米/月,暂无信息,暂无信息,1栋,85户
