小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
和平小区(阿城区),(阿城区阿城商圈)牌路大街和平小区(阿城区),3873,塔楼/板楼,0.5至1.8元/平米/月,哈尔滨吉达物业管理有限公司,哈尔滨房地产开发有限公司,37栋,2693户
北新字母楼,(阿城区阿城商圈)民权大街北新字母楼,3868,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,东莞御花苑商品住宅建造有限公司,8栋,1097户
朝阳小区(阿城区),(阿城区阿城商圈)民权大街朝阳小区(阿城区),3679,板楼,0.1至0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,19栋,2213户
祥泰小区,(阿城区阿城商圈)延川大街391号,3819,板楼/塔板结合,0.7元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,12栋,1307户
长安小区,(阿城区阿城商圈)金澜路206号,3845,板楼,0.5元/平米/月,业主自筹物业,黑龙江省汇融置业发展有限责任公司,8栋,976户
水利和谐家园,(阿城区阿城商圈)昌玉胡同1号,4277,塔板结合,暂无信息,暂无信息,开天集团,3栋,280户
和平街道家属楼,(阿城区阿城商圈)体南路和平街道家属楼,3246,塔板结合,暂无信息,暂无信息,开天集团,1栋,98户
万米楼,(阿城区阿城商圈)乌鲁胡同万米楼,3307,塔板结合,暂无信息,业主自筹物业,开天集团,2栋,212户
哈南小区（阿城区）,(阿城区阿城商圈)东姓胡同哈南小区,3666,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,5栋,384户
胜利所南楼,(阿城区阿城商圈)柴市路33号,3684,板楼,暂无信息,暂无信息, 重庆汇东房地产开发有限公司,1栋,194户
铁北佳园,(尚志市尚志市)小东路铁北佳园,3680,未知类型,暂无信息,暂无信息,暂无信息,5栋,473户
纪检家属楼,(阿城区阿城商圈)柴市路纪检家属楼,3590,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,哈尔滨市道里区房屋土地开发公司,3栋,306户
糖机天兴综合楼,(阿城区阿城商圈)解放大街,3861,板楼,暂无信息,哈尔滨康和物业管理有限公司,哈尔滨哈电实业开发总公司,1栋,153户
农行家属楼,(阿城区阿城商圈)金都街道，穆统领胡同3号,3665,板楼,0.5元/平米/月,业主自筹物业,上海铁程有限公司,2栋,50户
畜牧楼,(阿城区阿城商圈)长安路畜牧楼,3836,板楼,0.3元/平米/月,暂无信息,城开集团,1栋,273户
工商新家属楼,(阿城区阿城商圈)东邻胡同工商新家属楼,3804,塔板结合,0.5元/平米/月,业主自筹物业, 重庆汇东房地产开发有限公司,2栋,408户
糖酒公司楼,(阿城区阿城商圈)延川大街428-430,3595,板楼,0.5元/平米/月,业主自筹物业,城开集团,1栋,61户
玄武A区,(阿城区阿城商圈)黑纺路玄武A区,3810,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,5栋,164户
建委家属楼,(阿城区阿城商圈)仁寿胡同建委家属楼,3608,板楼,0.5元/平米/月,业主自筹物业,天津蛟湖小区投资有限公司,2栋,192户
文化中心,(阿城区阿城商圈)仁寿胡同文化中心,3809,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,2栋,90户
海员医院家属楼,(松北哈尔滨新区)哈尔滨绕城高速海员医院家属楼,3570,塔板结合,10元/平米/月,哈尔滨富名物业有限公司, 重庆汇东房地产开发有限公司,2栋,96户
供水大厦,(阿城区阿城商圈)解放大街241号,3567,板楼,0.5元/平米/月,业主自筹物业,天津蛟湖小区投资有限公司,2栋,133户
幸福新城,(巴彦县巴彦县)通兴路幸福新城,3828,未知类型,暂无信息,暂无信息,暂无信息,6栋,318户
锦秀丽都,(延寿县延寿县)西公安街锦秀丽都,3125,板楼,1元/平米/月,暂无信息,暂无信息,7栋,283户
防疫站家属楼,(阿城区阿城商圈)牌路大街防疫站家属楼,3188,板楼,0.5元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司,1栋,54户
乡企家属楼,(阿城区阿城商圈)金都大街乡企家属楼,3688,板楼,0.5元/平米/月,暂无信息,天津蛟湖小区投资有限公司,2栋,211户
二蔬菜家属楼,(阿城区阿城商圈)金都大街105号,3837,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,1栋,95户
汽车公司家属楼,(阿城区阿城商圈)会宁路241号,3245,板楼,0.5元/平米/月,暂无信息,市政建设,1栋,133户
东铁街,(道外先锋路商圈)东铁街,3708,板楼,0.5元/平米/月,暂无信息,哈尔滨哈电地产置业股份有限公司秦皇岛分公司,5栋,288户
影剧院综合楼,(阿城区阿城商圈)黑龙江省哈尔滨市阿城区金城街道高明北二胡,2873,未知类型,0.5元/平米/月,暂无信息,暂无信息,1栋,56户
二农机家属楼,(阿城区阿城商圈)延川大街二农机家属楼,3233,板楼,暂无信息,业主自筹物业,天津蛟湖小区投资有限公司,1栋,84户
一中南楼,(阿城区阿城商圈)金澜路一中南楼,3501,板楼,0.5元/平米/月,暂无信息,金帆集团,1栋,155户
供水大厦,(阿城区阿城商圈)解放大街241号,3567,板楼,0.5元/平米/月,业主自筹物业,天津蛟湖小区投资有限公司,2栋,133户
铁北佳园,(尚志市尚志市)小东路铁北佳园,3680,未知类型,暂无信息,暂无信息,暂无信息,5栋,473户
糖酒公司楼,(阿城区阿城商圈)延川大街428-430,3595,板楼,0.5元/平米/月,业主自筹物业,城开集团,1栋,61户
工商新家属楼,(阿城区阿城商圈)东邻胡同工商新家属楼,3804,塔板结合,0.5元/平米/月,业主自筹物业, 重庆汇东房地产开发有限公司,2栋,408户
农行家属楼,(阿城区阿城商圈)金都街道，穆统领胡同3号,3665,板楼,0.5元/平米/月,业主自筹物业,上海铁程有限公司,2栋,50户
畜牧楼,(阿城区阿城商圈)长安路畜牧楼,3836,板楼,0.3元/平米/月,暂无信息,城开集团,1栋,273户
纪检家属楼,(阿城区阿城商圈)柴市路纪检家属楼,3590,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,哈尔滨市道里区房屋土地开发公司,3栋,306户
锦秀丽都,(延寿县延寿县)西公安街锦秀丽都,3125,板楼,1元/平米/月,暂无信息,暂无信息,7栋,283户
二蔬菜家属楼,(阿城区阿城商圈)金都大街105号,3837,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,1栋,95户
幸福新城,(巴彦县巴彦县)通兴路幸福新城,3828,未知类型,暂无信息,暂无信息,暂无信息,6栋,318户
残联家属楼,(阿城区阿城商圈)延川大街,3474,板楼,0.5元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,1栋,175户
金港小区,(阿城区阿城商圈)牌路大街614号,3732,板楼,0.7元/平米/月,哈尔滨惠民物业有限公司,哈尔滨房地产开发有限公司,5栋,638户
