小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
大悦福园小区,(丰润区丰润区)宁国大路大悦福园小区,7722,板楼,1.2元/平米/月,唐山市丰润区薪鑫物业服务有限公司,唐山德金投资发展有限公司,14栋,1125户
仁宝新居,(丰润区丰润区)昌盛街仁宝新居,7442,塔楼/板楼,0.5至1.2元/平米/月,唐山市春华物业服务有限公司,河南中中置业集团有限公司,11栋,1250户
融侨半岛,(丰润区丰润区)南大路28号,7703,板楼,0.5至1元/平米/月,唐山正源物业服务有限公司,秦皇岛二十一世纪投资开发有限公司,17栋,1104户
金色名园,(丰润区丰润区)车轴山路金色名园,6215,板楼,0.5元/平米/月,昌隆物业管理有限公司,河南中中置业集团有限公司,17栋,660户
25小区,(丰润区丰润区)平安路25小区,7249,板楼,0.05至2.5元/平米/月,暂无信息,万业地产,27栋,1692户
恒益馨苑,(丰润区丰润区)唐丰路恒益馨苑,7380,塔楼/板楼,0.5至1元/平米/月,唐山丰润区恒益物业管理有限公司,唐山恒益房地产开发有限公司,21栋,1375户
浭阳辰苑,(丰润区丰润区)未知,6893,塔楼/板楼/塔板结合,0.5至1.6元/平米/月,暂无信息,万业地产,24栋,2344户
22小区,(丰润区丰润区)平安路园林小区,7206,板楼,0.5元/平米/月,暂无信息,万业地产,26栋,1268户
23小区,(丰润区丰润区)平安路23小区,7289,板楼,0.08至4元/平米/月,暂无信息,唐山盛源房地产开发有限公司唐山曹妃甸区分公司,31栋,1760户
开尔尚城,(丰润区丰润区)丰润唐丰路25号,7730,板楼,0.5至1.2元/平米/月,唐山双满物业有限公司,万业地产,20栋,1173户
玫瑰园小区,(丰润区丰润区)曹雪芹西道玫瑰园小区,7779,板楼,0.3至3元/平米/月,唐山福盛源物业服务有限公司,哈尔滨哈锅实业开发总公司,14栋,377户
香醍溪岸,(曹妃甸区曹妃甸商圈)滨海大街221号,7417,板楼,1.3元/平米/月,暂无信息,唐山鼎和房地产开发有限公司,19栋,1811户
丰泽园,(丰润区丰润区)唐丰路丰泽园,6054,板楼,0.8元/平米/月,暂无信息,唐山万家置业服务有限公司,7栋,967户
丰润城西小区,(丰润区丰润区)丰润区曹雪芹西道606号,7794,塔楼/板楼,1至12元/平米/月,丰润物业公司, 重庆汇东房地产开发有限公司,62栋,1904户
永昌家园,(丰润区丰润区)南关端明路5号,7830,塔板结合,1元/平米/月,唐山市丰南区永昌鼎力物业服务有限公司,永昌地产集团有限公司,4栋,300户
宏升君天下二期,(丰润区丰润区)曹雪芹西道宏升君天下二期,7659,塔楼/板楼,1.2元/平米/月,唐山中云物业服务有限公司,河南中中置业有限公司,4栋,546户
