小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
中创电气商贸园,(南湖区南湖区)广益路1319号,5746,塔楼/板楼,1元/平米/月,嘉兴城建物业有限公司,上海中创静安商业发展总公司,7栋,881户
禾众商业广场,(嘉善县嘉善县)人民大道1988号,6777,塔楼/板楼,2元/平米/月,嘉兴市新地置业有限公司, 重庆汇东房地产开发有限公司,2栋,696户
新锐公馆,(南湖区南湖区)骏力路137号,7739,塔楼,1.8元/平米/月,嘉兴市东菱物业管理有限公司,深圳市福浩铭实业、深圳财富房产,1栋,317户
协和广场,(南湖区南湖区)中环东路1728号,6332,板楼,2元/平米/月,暂无信息,上海和峰源置业有限公司,1栋,341户
西山一品商务中心,(海宁市海宁市)工人路218号,7788,板楼,2元/平米/月,暂无信息, 苏州天地源木渎置业有限公司,2栋,528户
凤南新村,(南湖区南湖区)凤南路凤南新村,7328,板楼,0.6元/平米/月,暂无信息,暂无信息,47栋,1355户
金色家园,(嘉善县嘉善县)南星桥路118号,7528,板楼,0.8至2元/平米/月,嘉善联华置业有限公司,唐山市冀东金鼎房地产开发有限公司金色家园分公司,5栋,103户
承天世纪花园,(秀洲区秀洲区)王江泾闻川路,6721,板楼,2元/平米/月,大树物业,上海中建孚泰置业有限公司,15栋,330户
水韵金城,(嘉善县嘉善县)木业大道643号,7516,塔楼/板楼/塔板结合,1.4元/平米/月,暂无信息,嘉善安平养生置业有限公司,22栋,482户
八号公馆,(海宁市海宁市)启二路八号公馆,6800,塔板结合,2元/平米/月,暂无信息,上海八威房地长有限公司,1栋,136户
凯旋广场,(秀洲区秀洲区)中汇凯旋广场,7909,塔板结合,2.2元/平米/月,暂无信息,上海万科置业,1栋,482户
常乐苑,(秀洲区秀洲区)兴乐路432号,7303,未知类型,暂无信息,暂无信息,暂无信息,15栋,756户
金茂花苑,(桐乡市桐乡市)河山大街132-138号,7079,板楼/塔板结合,0.9至1.1元/平米/月,暂无信息,上海永丽房地产有限公司,4栋,167户
金都大厦,(海宁市海宁市)丰收西路27号,8071,平房,2.2元/平米/月,暂无信息,暂无信息,1栋,228户
洪溪洪兴路106号,(嘉善县嘉善县)洪兴路106号,5679,板楼,暂无信息,暂无信息,暂无信息,2栋,15户
商务花园,(南湖区南湖区)仁和路商务花园,7127,塔板结合,25元/平米/月,暂无信息,上海信达房产开发公司,3栋,208户
名品商贸中心,(南湖区南湖区)浙江省嘉兴市南湖区圣堂路258号,6202,板楼,5元/平米/月,嘉兴中凰物业管理有限公司,嘉兴中凰置业有限公司,2栋,476户
朝阳西村,(秀洲区秀洲区)嘉兴市秀洲区人民路新塍电影院东南200米,6810,塔楼,暂无信息,暂无信息,暂无信息,2栋,3户
洪兴路176号,(嘉善县嘉善县)洪兴路176号,5699,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
建港景苑,(平湖市嘉兴港区（乍浦）)建港路建港景苑,7782,板楼,1至1.2元/平米/月,嘉兴市建银物业管理有限责任公司,中粮集团,26栋,541户
摩登公寓,(桐乡市桐乡市)中华路776号,6304,塔楼,1.5元/平米/月,暂无信息,暂无信息,1栋,366户
秀溪路,(桐乡市桐乡市)秀溪路,6196,板楼/塔板结合,1.6元/平米/月,暂无信息,无开发商,21栋,325户
黄鹤花园,(南湖区南湖区)新丰镇平林路518号,7344,板楼,0.8至8元/平米/月,暂无信息,南通开发区富新房地产开发公司,8栋,179户
秀溪路198号,(桐乡市桐乡市)秀溪路198号,5705,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
百汇大厦,(海宁市海宁市)洛隆路236号,7415,未知类型,暂无信息,暂无信息,暂无信息,1栋,261户
港龙花园,(平湖市嘉兴港区（乍浦）)外环东路173号,7543,板楼,1.2元/平米/月,暂无信息,金胜小区,78栋,2166户
洛隆路373号,(海宁市海宁市)洛隆路373号,6411,板楼,1.2元/平米/月,无物业, 大理耀鹏房地产开发有限责任公司,2栋,340户
江南摩尔西区,(秀洲区秀洲区)新洲路丽晶豪园,7120,塔楼,1.5元/平米/月,浙江江南摩尔物业经营有限公司,万科房产,1栋,787户
新世界广场,(桐乡市桐乡市)振兴中路新世界广场,6733,板楼,暂无信息,暂无信息,暂无信息,2栋,543户
世纪广场,(桐乡市桐乡市)中山东路1601号,7556,塔板结合,1.5元/平米/月,嘉兴新世纪物业管理公司,世纪房产,2栋,255户
创都逸庭,(秀洲区秀洲区)浙江省嘉兴市秀洲区梅秀路和梅北路交汇处东南角,5638,未知类型,暂无信息,暂无信息,暂无信息,2栋,12户
名品商贸中心,(南湖区南湖区)浙江省嘉兴市南湖区圣堂路258号,6202,板楼,5元/平米/月,嘉兴中凰物业管理有限公司,嘉兴中凰置业有限公司,2栋,476户
朝阳西村,(秀洲区秀洲区)嘉兴市秀洲区人民路新塍电影院东南200米,6810,塔楼,暂无信息,暂无信息,暂无信息,2栋,3户
洪兴路176号,(嘉善县嘉善县)洪兴路176号,5699,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
建港景苑,(平湖市嘉兴港区（乍浦）)建港路建港景苑,7782,板楼,1至1.2元/平米/月,嘉兴市建银物业管理有限责任公司,中粮集团,26栋,541户
秀溪路,(桐乡市桐乡市)秀溪路,6196,板楼/塔板结合,1.6元/平米/月,暂无信息,无开发商,21栋,325户
鑫港花苑,(平湖市平湖市)佳阳路187号,6950,板楼,0.5至0.8元/平米/月,嘉兴龙鑫物业服务有限公司,温州鑫鑫房地产开发有限公司,5栋,106户
丽晶公寓,(桐乡市桐乡市)桐乡市崇福镇建业南路183号,4500,板楼,暂无信息,暂无信息,暂无信息,1栋,189户
河滨花园,(桐乡市桐乡市)振兴路河滨花园,6745,未知类型,暂无信息,暂无信息,暂无信息,10栋,110户
中国桐乡鞋业皮革城,(桐乡市桐乡市)世纪大道177号,7017,未知类型,暂无信息,暂无信息,暂无信息,2栋,528户
华天国贸广场,(南湖区南湖区)浙江省嘉兴市南湖区嘉杭路1037号,7340,板楼,暂无信息,暂无信息,暂无信息,3栋,472户
嘉兴市时代广场,(秀洲区秀洲区)禾兴北路嘉兴市时代广场,5596,板楼,暂无信息,暂无信息,暂无信息,5栋,124户
中兴南路153号,(桐乡市桐乡市)中兴南路153号,7377,板楼,暂无信息,暂无信息,暂无信息,1栋,6户
北虹小区南区,(秀洲区秀洲区)济阳路北虹小区南区,7704,未知类型,暂无信息,暂无信息,暂无信息,13栋,304户
桐星家园,(桐乡市桐乡市)濮院镇华生路210号,5918,未知类型,暂无信息,暂无信息,暂无信息,2栋,4户
乌镇隆源路,(桐乡市桐乡市)乌镇隆源路135幢,7584,塔板结合,5元/平米/月,暂无信息,暂无信息,4栋,5户
旺角大楼,(海宁市海宁市)海宁大道大转盘南,5020,板楼,0.8元/平米/月,暂无信息,暂无信息,1栋,261户
秀园路142号,(秀洲区秀洲区)秀园路142号,5968,塔板结合,2元/平米/月,暂无信息,暂无信息,3栋,475户
世达物流中心,(平湖市嘉兴港区（乍浦）)乍王路520号,5656,板楼,暂无信息,无物业,暂无信息,4栋,382户
长海大厦,(海宁市海宁市)海州西路137号,6023,未知类型,暂无信息,暂无信息,暂无信息,1栋,5户
琴秋西路175号,(桐乡市桐乡市)琴秋路175号,6809,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
汇兴路121号,(桐乡市桐乡市)汇兴路121号,6702,未知类型,暂无信息,暂无信息,暂无信息,2栋,30户
花园新村,(南湖区南湖区)花园弄6号,6555,板楼,暂无信息,暂无信息,暂无信息,2栋,17户
青年大厦,(南湖区南湖区)大桥镇北环三路青年大厦,6395,板楼,暂无信息,暂无信息,暂无信息,1栋,255户
世纪广场,(桐乡市桐乡市)中山东路1601号,7556,塔板结合,1.5元/平米/月,嘉兴新世纪物业管理公司,世纪房产,2栋,255户
新世界广场,(桐乡市桐乡市)振兴中路新世界广场,6733,板楼,暂无信息,暂无信息,暂无信息,2栋,543户
龙吟花苑,(平湖市平湖市)港城路龙吟花苑,7740,板楼,1.3元/平米/月,暂无信息,暂无信息,22栋,206户
铭楼商厦,(南湖区南湖区)中山东路427号,7655,板楼,暂无信息,暂无信息,暂无信息,1栋,96户
