小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
都悦里,(开发区金湾新城)都悦里,7752,1990年建成 ,塔楼/板楼,0.2至0.8元/平米/月,大连宏港物业管理有限公司,大连宏港房地产开发有限公司 ,37栋,2440户
桃园小区,"(金州桃园)桃园小区, 五一路",7692,1990年建成 ,塔楼/板楼/塔板结合,0.1至3.6元/平米/月,街道办事处（居委会）代管物业,大连金信集团房地产有限公司,50栋,2579户
碧海华庭,(开发区松峪)白石湾小区,7372,1995年建成 ,塔楼/板楼/塔板结合,0.5至1.2元/平米/月,大连海滨物业管理有限公司,大连泰乐房地产开发有限公司,2栋,845户
金海里,(开发区倚山里)东北大街,7773,1990年建成 ,板楼,0.1至0.2元/平米/月,大连中信物业管理有限公司,中信开发商,25栋,1292户
东居里,(开发区东山)东盛路东居里,7675,1992年建成 ,塔楼/板楼,0.2至20元/平米/月,大连经济技术开发区海青物业有限公司,开发区城建局,55栋,3320户
金湖里,(开发区倚山里)东北大街,7388,1993年建成 ,塔楼/板楼,0.1至1元/平米/月,大连中信物业管理有限公司,开发区城建局,20栋,1148户
岗盛里小区,"(开发区东山)金马路, 岗盛里",7744,1993年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,41栋,2087户
松苑山庄,(开发区杏花里)松苑小区,6429,1990年建成 ,板楼,0.5元/平米/月,大连市金州区先进物业管理中心,无开发商,19栋,1281户
环宇品阁,(开发区开发区万达)东北六街,6975,2000年建成 ,塔楼,1至1.5元/平米/月,大连环宇物业管理有限公司,大连环宇置业有限公司,3栋,1280户
高民里,(开发区高城山)高民里,7744,1992年建成 ,板楼,0.15至0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,43栋,1498户
高安里,(开发区高城山)高安里,7409,1988年建成 ,板楼/塔板结合,0.25至0.3元/平米/月,广宜物业有限公司,大连开建集团有限公司,19栋,854户
卧龙园,(金州金湾新城)卧龙园,7642,2000年建成 ,板楼,0.5元/平米/月,大连健龙物业管理有限公司,大连市中联房地产开发有限公司,49栋,4315户
高志里小区,(开发区高城山)高志里,7632,1992年建成 ,板楼,0.15至0.3元/平米/月,街道办事处（居委会）代管物业,无开发商,29栋,1087户
现代雅筑,"(金州站前)粮食储备基地, 盛滨花园",7797,1995年建成 ,塔楼/板楼,0.5元/平米/月,大连阿尔滨集团物业管理有限公司,大连阿尔滨集团房地产开发有限公司,2栋,673户
芙蓉花园(开发区),(开发区东山)东阁里,7178,1993年建成 ,塔楼/板楼,0.4至0.5元/平米/月,嘉兴物业管理有限公司,大连开建房地产开发有限公司,16栋,756户
东阁里,"(开发区东山)东阁里, 东北大街",7456,1990年建成 ,板楼,0.4至0.5元/平米/月,大连经济技术开发区海青物业有限公司,开发区城建局,26栋,1295户
杏花里,(开发区杏花里)杏花里,7332,1993年建成 ,板楼,0.2至0.5元/平米/月,大连经济技术开发区杏林物业管理有限公司,无开发商,23栋,1292户
小孤山东里,(开发区海富)小孤山东里,7220,1992年建成 ,板楼,0.42元/平米/月,大连广谊物业管理有限公司,开发区城建局,26栋,1506户
凯旋国际,(开发区城润)金马路,7450,2007年建成 ,塔楼,2.35元/平米/月,第一东方(大连)物业服务有限公司,大连新天润企业集团有限公司,2栋,784户
开发区万达广场,(开发区开发区万达)辽河西路117号,7261,2000年建成 ,塔楼/板楼,2.5至4元/平米/月,大连万达物业管理有限公司,大连经开万达广场投资有限公司,25栋,9024户
金安小区,(金州金纺)渤海街,6616,2000年建成 ,板楼/塔板结合,0.1至0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,5栋,271户
八里河小区,(金州桃园)八里河小区,7501,2000年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,8栋,447户
翠岫联芳,(旅顺口旅顺新城区)学城路翠岫联芳,5026,2000年建成 ,板楼,0.95至1元/平米/月,大连亿升通物业管理有限公司,大连亿通置业顾问有限公司,12栋,1196户
十里岗小区,(开发区杏花里)十里岗,6249,1993年建成 ,板楼/塔板结合,0.2至1.3元/平米/月,大连家欣物业管理有限公司,金辉地产,11栋,744户
联胜小区,(金州站前)联胜街,7641,1982年建成 ,塔楼/板楼,0.5至1元/平米/月,大连虹源大厦有限公司,无开发商,30栋,1172户
新东方公寓三期,(开发区倚山里)东北四街,6970,2000年建成 ,塔楼,1.5元/平米/月,大连同济物业管理有限公司,大连同济房地产开发有限公司,3栋,1621户
山河枫景,"(开发区高城山)易居园, 山河枫景",6098,2000年建成 ,板楼,1.25元/平米/月,大连山河物业管理有限公司, 重庆汇东房地产开发有限公司,5栋,376户
收获公寓,(开发区安盛)收获公寓,7360,1995年建成 ,板楼,1元/平米/月,街道办事处（居委会）代管物业,无开发商,1栋,168户
摩宿公寓,(开发区高城山)时代城,7630,2005年建成 ,板楼,1.6元/平米/月,大连远洋基业物业管理有限公司, 重庆汇东房地产开发有限公司,1栋,1000户
岗林里,(开发区东山)岗林里,7731,1994年建成 ,板楼,0.5元/平米/月,大连经济技术开发区海青物业有限公司,无开发商,36栋,917户
新东方公寓二期,(开发区倚山里)东北四街59号,5922,2000年建成 ,塔楼,1.5元/平米/月,大连同济物业管理有限公司,大连同济房地产开发有限公司,2栋,1238户
盛滨花园A区,(金州站前)盛滨花园,7128,2000年建成 ,板楼,0.4元/平米/月,大连阿尔滨集团物业管理有限公司,大连阿尔滨集团房地产开发有限公司,3栋,900户
通达公寓,"(开发区开发区万达)东北大街38号,东北大街46号",6383,1995年建成 ,板楼,0.45元/平米/月,业主自筹物业,吴江通达房产发展有限公司,1栋,204户
宜宁里,(开发区金湾新城)宜宁里,6994,1990年建成 ,板楼,0.2元/平米/月,大连宏港物业管理有限公司,开发区城建局,24栋,1026户
百畅园,(金州碧海)东山路,7786,1996年建成 ,板楼/塔板结合,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,16栋,678户
朝阳小区,(金州碧海)解放路,7785,1990年建成 ,板楼,0.5至3元/平米/月,无物业管理服务,大连市金州区房屋开发公司,21栋,739户
民生园,"(开发区金湾新城)湾里街民生园, 湾里街4号",7789,1992年建成 ,板楼/塔板结合,0.5元/平米/月,大连金湾物业管理有限公司,苏州星湖湾房产,19栋,2862户
福佳国际,(开发区红梅翠竹)福佳国际,6184,2002年建成 ,塔楼,1.5元/平米/月,大连福佳物业管理有限公司,大连福恒房地产开发有限公司,1栋,725户
云顶国际公馆,(开发区东山)黄海西路,6158,2001年建成 ,塔楼,1.9元/平米/月,大连经济技术开发区圣豪物业管理有限公司,大连圣豪房地产开发有限公司,1栋,325户
