小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
前光里,(滨海新区大港)兴华路前光里,6927,板楼/塔板结合,0.5至10元/平米/月,华益物业, 重庆桥达茂宸房地产开发有限公司,69栋,3315户
安泰小区,(滨海新区大港)光明大道安泰小区,4203,板楼,0.5元/平米/月,大港油田物业服务公司,天津大港油田房地产开发有限责任公司 ,47栋,1427户
前进里,(滨海新区大港)石化路前进里,7377,塔楼/板楼/塔板结合,0.5元/平米/月,华益物业,上海好贴心置业有限公司,57栋,2707户
采油小区,(滨海新区大港)中兴路采油小区,4379,板楼,0.5元/平米/月,大港油田物业服务公司,大港房地产开发中心,93栋,2786户
泰富橄榄树,(宝坻京津新城)祥瑞大街泰富橄榄树,5089,板楼,1.8至2.8元/平米/月,天津天孚物业管理有限公司,天津开发区泰富置业发展有限公司,126栋,4351户
华幸小区,(滨海新区大港)港西大道华幸小区,4512,板楼,0.5元/平米/月,大港油田物业服务公司,"""浙江富园房地产开发有限公司",80栋,2597户
荣华里(大港区),(滨海新区大港)兴华路荣华里(大港区),6823,板楼,0.5元/平米/月,天津天孚物业管理有限公司,天津市河西房地产开发有限公司,35栋,1841户
六合里(大港区),(滨海新区大港)迎新街六合里,7038,板楼,0.2至0.5元/平米/月,华益物业,中港城（上海）置业有限公司,39栋,1715户
胜利里,(滨海新区大港)育才路胜利里,7124,板楼,0.05至5元/平米/月,天津市大港区圣世鼎物业管理有限公司,大港房地产开发中心,49栋,2013户
香江健康小镇棕榈园,(宝坻京津新城)宝白公路香江健康小镇,5168,塔楼/板楼/塔板结合,1.2至1.88元/平米/月,广州锦绣香江物业管理有限公司天津分公司,南方集团,19栋,2346户
圣缇湾,(宝坻翡翠湾)广海路圣缇湾,7679,塔板结合,0.8至1.6元/平米/月,北京航天神州物业管理有限公司,天津长远嘉和置业有限公司,30栋,1760户
南春园小区,(滨海新区大港)光明大道南春园小区,4244,板楼,0.5元/平米/月,天津安泰物业管理有限公司,北京利利安置业有限公司,17栋,578户
西运小区,(滨海新区大港)西围堤道西运小区,4315,板楼,0.5元/平米/月,街道办事处(居委会)代管物业,天津大港油田房地产开发有限责任公司 ,39栋,1312户
