小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
太化新光第二小区,(晋源区义井商圈)和平南路277号,7430,塔楼/板楼/塔板结合,0.3元/平米/月,单位物业,太原绿地太化房地产开发有限公司,13栋,476户
省建四公司五处家属院,(杏花岭区动物园商圈)晋安东街北一条2号,5924,板楼,暂无信息,暂无信息,暂无信息,2栋,72户
东安路200号,(迎泽区文庙商圈)东安路200号,6366,塔板结合,1元/平米/月,暂无信息,暂无信息,1栋,20户
矿机宿舍(涧河路),(杏花岭区小商品商圈)涧河路矿机宿舍,7416,板楼,0.36至0.5元/平米/月,暂无信息,"""温州育英房地产开发有限公司",47栋,2721户
靖烨·天朗美域二期,(尖草坪区太钢商圈)新兰路78号,7382,板楼/平房,1.2至1.3元/平米/月,山西德逸鑫物业管理有限公司,暂无信息,8栋,1786户
中元小区,(杏花岭区敦化坊商圈)涧河路22号,7504,板楼,0.1至1.1元/平米/月,中元小区物业管理,物业和度娘都不知道开发商名称,6栋,429户
化工第四小区,(晋源区义井商圈)义井街南二巷9号,7740,板楼,0.3元/平米/月,太化公司物业,山西京门实业有限公司,12栋,489户
化肥厂小区(晋源区),(晋源区晋阳湖商圈)晋祠路化肥厂小区(晋源区),7542,塔楼/板楼,0.1至0.5元/平米/月,化肥厂物业,暂无信息,42栋,2106户
中泽纯境,(小店区经济开发区商圈)黄埔线中泽纯境,7509,板楼,1.6元/平米/月,暂无信息,山西济同房地产开发有限公司,13栋,2949户
太钢118小区,(杏花岭区太钢商圈)七府园路10号,5984,塔楼/板楼,0.5元/平米/月,暂无信息,暂无信息,28栋,1962户
山西无线电厂小区,(杏花岭区赛马场商圈)迎春街21号,7303,板楼,0.3至0.6元/平米/月,单位自管,暂无信息,10栋,447户
背圪洞街五号院,(杏花岭区动物园商圈)涧河路背圪洞街五号院,6881,板楼/塔板结合,0.3元/平米/月,单位物业,物业和度娘都不知道开发商名称,22栋,1105户
华宇国际,(杏花岭区十二中商圈)新建路169号,7359,塔楼/板楼,3元/平米/月,无,无,2栋,384户
太钢十四宿舍,(尖草坪区小商品商圈)恒山路23号,6127,板楼,暂无信息,暂无信息,暂无信息,6栋,142户
长风新城,(晋源区义井商圈)义井西街13号,6871,板楼,1.4元/平米/月,山西长风物业管理有限公司,山西广居源房地产开发有限公司太原分公司,2栋,594户
华浩水木云天,(小店区经济开发区商圈)黄蒲线华浩水木云天,4510,未知类型,暂无信息,山西华浩鑫诺物业管理有限公司,北京万龙华开房地产开发有限公司,4栋,7户
林场宿舍,(尖草坪区森林公园商圈)大同路159号,7308,板楼,0.4至0.5元/平米/月,无,太原盛世泰和置业有限公司,6栋,326户
鼎元时代中心,(迎泽区桥东街)迎泽南街20号,7798,塔楼,3.5元/平米/月,暂无信息,太原银建房屋开发有限公司,1栋,384户
省建五宿舍,(杏花岭区动物园商圈)敦化坊路省建五宿舍,6320,塔楼/板楼,0.2至0.5元/平米/月,单位物业,中国铁建房地产集团有限公司,10栋,513户
博文苑,(杏花岭区太钢商圈)涧河城柏街博文苑,6387,板楼,1元/平米/月,暂无信息,暂无信息,7栋,378户
金属公司,(杏花岭区小东门)五一路金属公司,7896,板楼,0.2元/平米/月,金属物业,暂无信息,12栋,573户
东泰苑,(尖草坪区太钢商圈)十里铺东巷1号,6294,板楼,0.3元/平米/月,暂无信息,暂无信息,11栋,606户
泽峪园,(万柏林区千峰北路商圈)迎泽西大街泽峪园,5968,塔板结合,1.05元/平米/月,暂无信息,暂无信息,1栋,552户
建南小区,(迎泽区人民医院)建设南路65号,7467,板楼/塔板结合,暂无信息,单位物业,暂无信息,10栋,599户
欣园小区,(尖草坪区三给)三给路欣园小区,7643,板楼,0.6元/平米/月,单位自管,暂无信息,10栋,510户
山西化学纤维研究所住宅小区,(万柏林区千峰北路商圈)西矿街133号,7687,板楼,0.5元/平米/月,单位物业,暂无信息,9栋,275户
景泰花苑,(迎泽区朝阳街)朝阳街90号,7603,板楼,1.2元/平米/月, 太原市百纳兴物业管理有限公司,暂无信息,7栋,2392户
新源里铁路小区,(杏花岭区五龙口商圈)杏花岭区东盛巷,7517,板楼,0.2元/平米/月,单位物业,暂无信息,11栋,616户
太涤小区,(晋源区西山商圈)奉宣街太涤小区,7682,板楼,0.5元/平米/月,暂无信息,暂无信息,15栋,787户
鑫茂花苑,(杏花岭区区政府商圈)涧河路15号,7531,板楼/塔板结合,0.6元/平米/月,暂无信息,天津鑫茂园科技有限公司,10栋,474户
汾西重工新建社区,(万柏林区千峰北路商圈)彭西二巷24号,7400,板楼/塔板结合/平房,0.5至0.8元/平米/月,单位自管物业,山西汾西龙昌房地产开发有限公司,14栋,645户
化建佳园,(万柏林区千峰南路商圈)和平南路206号,6892,板楼,1.2至1.6元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,5栋,1509户
沙沟北小区,(万柏林区和平南路商圈)和平南路130号,当前网页找不到元素（价格）,板楼,0.4至7.5元/平米/月,太原瑞升物业管理有限公司,无,17栋,536户
