小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
海韵·蔚蓝水岸,(文登区南海新区)海宁路海韵·蔚蓝水岸,4988,板楼,0.6元/平米/月,山东银滩物业服务有限公司,置业公司宜兴公司,53栋,3332户
城南人家,(环翠区临港区)台湾路101号,7075,板楼,0.6至1元/平米/月,暂无信息,北京市万发房地产开发有限责任公司,30栋,1069户
十里香河,(荣成市荣成市)观海东路十里香河,6611,塔楼/板楼/塔板结合,0.4至4元/平米/月,未知,荣成市三元房地产开发有限公司,88栋,3765户
海韵阳光花园,(乳山市银滩旅游度假区)长江路海韵阳光花园,2743,塔楼/板楼/塔板结合,0.4至1元/平米/月,乳山华银置业有限公司,乳山国泰城建开发有限公司,94栋,3597户
陀山小区,(荣成市石岛)寿宁街陀山小区,3236,塔楼/板楼/塔板结合,0.3至3.5元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,43栋,1667户
凤凰湖D区,(荣成市石岛)春华路凤凰湖D区,4426,板楼/塔板结合,0.6元/平米/月,赤山集团物业服务有限公司,无,136栋,4438户
凤凰湖B区,(荣成市石岛)凤凰湖路凤凰湖B区,3855,板楼/塔板结合,0.6至6元/平米/月,赤山集团物业服务有限公司, 西安保亿名卓置业有限公司,107栋,4150户
凤凰湖A区,(荣成市石岛)万祥路凤凰湖A区,4804,板楼/塔板结合,0.6元/平米/月,暂无信息, 嘉兴世茂新世纪置业有限公司,80栋,1886户
亲海花园,(荣成市石岛)桃园路亲海花园,3407,塔楼/板楼/塔板结合,0.4至0.6元/平米/月,凤凰湖物业服务有限公司,暂无信息,64栋,2423户
海天丽景,(环翠区张村)环翠路海天丽景,7495,板楼,0.45至0.6元/平米/月,暂无信息,大连海天益民置业有限公司,13栋,616户
海风花园,(荣成市石岛)海景东路95号,3667,塔楼/板楼/塔板结合,0.4至0.6元/平米/月,暂无信息,山东万嘉地产有限公司,43栋,739户
自在澜湾,(荣成市荣成市)海湾北路400号,7379,塔楼/板楼/塔板结合,1.5至1.8元/平米/月,暂无信息,荣成市建安房地产开发有限公司,14栋,1961户
东寨小区,(荣成市石岛)寨中西路东寨小区,5180,板楼,0.3元/平米/月,凤凰湖物业服务有限公司, 上海招平房地产开发有限公司,62栋,1749户
