小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
环球经贸大厦,(北仑区戚家山)公园路28号,6102,塔楼,2.56元/平米/月,宁波经济技术开发区佳佳物业管理有限公司,暂无信息,2栋,170户
七架屋弄2号,(北仑区柴桥)七架屋弄2号,7270,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
彩虹北路165弄16-30号,(鄞州区东胜)彩虹北路165弄16-30号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
泗港新区,(鄞州区潘火)下应北路265号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,6栋,123户
丹西安置小区,(象山县象山县)城西路39号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,4栋,71户
振兴东路202号,(北仑区小港)振兴东路202号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,38户
杨梅潭南区,(余姚市余姚周边)五九省道杨梅潭南区,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,9栋,270户
怡乐家园,(海曙区高桥)长乐路238号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,10栋,859户
严家馨园,(江北区庄桥)费苏线严家馨园,当前网页找不到元素（价格）,塔板结合,暂无信息,暂无信息,暂无信息,4栋,110户
明星湾小区,(镇海区骆驼)庆标路明星湾小区,当前网页找不到元素（价格）,塔板结合,暂无信息,暂无信息,暂无信息,5栋,180户
月季小区,(鄞州区东柳)育兴街162号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,6栋,287户
丰登路30号住宅楼,(象山县象山县)丰登路30号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,3栋,72户
春晖小区,(象山县象山县)汇振路27号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,5栋,31户
朝晖家园,(宁海县宁海县)人民路227号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,8栋,291户
御华府,(宁海县宁海县)兴海中路320号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,41栋,229户
桃源佳苑,(宁海县宁海县)天明东路449号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,12栋,1033户
金茂商都,(余姚市第一实验)巍星路139号,当前网页找不到元素（价格）,塔板结合,暂无信息,宁波耐森物业管理有限公司,三亚宏昌实业有限公司,1栋,26户
东海路50弄,(宁海县宁海县)云海路东海路50弄,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,5栋,114户
华局家园,(宁海县宁海县)时代大道76号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,10栋,436户
浦前小区,(北仑区小港)渡口路155弄2号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,23栋,98户
东花园,(余姚市花园)白山路77弄,当前网页找不到元素（价格）,板楼,0.5元/平米/月,暂无信息,暂无信息,4栋,83户
潘家溪新村一号坊,(余姚市余姚周边)山苑西路潘家溪新村一号坊,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,2栋,40户
水岸香榭,(慈溪市老城区)开发大道29号,当前网页找不到元素（价格）,塔板结合,1元/平米/月,暂无信息,暂无信息,2栋,81户
晶崴大厦,(海曙区段塘)顺德路136弄,当前网页找不到元素（价格）,塔楼,3.15元/平米/月,美屋物业,暂无信息,1栋,24户
子陵路69号,(余姚市新建)子陵路69号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,9户
天兴大厦,(北仑区新碶)北仑区新碶恒山路189号A段189号,当前网页找不到元素（价格）,塔板结合,1.2元/平米/月,暂无信息,暂无信息,1栋,1户
红景公寓,(鄞州区邱隘)盛莫路378号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,49户
新碶西街48号-2,(北仑区新碶)新碶西街48号-2号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,1栋,9户
泥桥头路1号小区,(北仑区大碶)泥桥头路1号,当前网页找不到元素（价格）,塔楼,1元/平米/月,暂无信息,暂无信息,2栋,30户
友好园,(北仑区大碶)坝头东路111号,当前网页找不到元素（价格）,塔楼/板楼,1.8元/平米/月,润星社区管理,大港房地产开发中心,3栋,714户
学府苑,(鄞州区南部商务区)学府路东66号,当前网页找不到元素（价格）,板楼,3元/平米/月,浙江绿恒物业,杭州房地产联合开发公司,31栋,983户
孔家金苑,(江北区庄桥)外环东路321号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,10栋,168户
梅龙新村(鄞州),(鄞州区高新区)北二路梅龙新村,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,5栋,230户
海韵蓝庭,(江北区甬江)倪家堰路419号,当前网页找不到元素（价格）,板楼,2元/平米/月,暂无信息,无,11栋,878户
栖海花园,(江北区甬江)文开路18号,当前网页找不到元素（价格）,板楼,2.1元/平米/月,暂无信息,无,5栋,368户
宁徐路20号小区,(鄞州区东胜)宁徐路130弄,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,2栋,78户
戎家260号小区,(鄞州区东胜)徐戎路126号,当前网页找不到元素（价格）,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,60户
明州路136号,(北仑区新碶)明州路136号,当前网页找不到元素（价格）,塔板结合,1.5元/平米/月,暂无信息,暂无信息,1栋,18户
菜场北弄,(北仑区新碶)东河塘路菜场北弄,当前网页找不到元素（价格）,未知类型,暂无信息,新契街道办事处,暂无信息,3栋,18户
卫生弄25号,(北仑区新碶)卫生弄25号,当前网页找不到元素（价格）,塔板结合,暂无信息,暂无信息,暂无信息,1栋,1户
霞浦南路10号,(北仑区霞浦)霞浦南路10号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
东航大厦,(鄞州区百丈)中山东路796号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,442户
镇小路11号,(北仑区新碶)镇小路11号,当前网页找不到元素（价格）,塔板结合,暂无信息,暂无信息,暂无信息,1栋,16户
融创杭州湾壹号,(杭州湾新区杭州湾新区)杭州湾大道融创杭州湾壹号,当前网页找不到元素（价格）,塔板结合,2.5至2.75元/平米/月,融创物业服务集团有限公司宁波分公司,宁波融创金湾置业有限公司,99栋,5108户
中央商座,(海曙区天一广场)宁波海曙区大沙泥街54号，竺家巷95号,当前网页找不到元素（价格）,塔楼,2元/平米/月,亚太酒店物业,暂无信息,1栋,22户
高塘三村,(海曙区高塘)新芝路102弄,当前网页找不到元素（价格）,平房,3.5元/平米/月,绿城物业服务集团有限公司宁波分公司, 广州吉高展览策划有限公司,24栋,679户
星河荣御,(杭州湾新区杭州湾新区)中兴一路与兴慈四路交汇处,当前网页找不到元素（价格）,板楼,2元/平米/月,星河物业管理有限公司,星河房地产开发有限公司,7栋,143户
城隍庙商城,(海曙区天一广场)开明街100号,当前网页找不到元素（价格）,塔楼,2元/平米/月,暂无信息,暂无信息,1栋,32户
宁波智慧园二期,(鄞州区高新区)创苑路98号,当前网页找不到元素（价格）,板楼,4.5元/平米/月,浙江绿城物业管理有限公司,前程房产开发有限公司,5栋,145户
公园路25号,(北仑区戚家山)公园路47-53号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
东鲁世家,(鄞州区下应)启明南路东鲁世家,当前网页找不到元素（价格）,板楼,3元/平米/月,宁波银亿物业管理有限公司 ,暂无信息,2栋,252户
北岸财富中心,(江北区中马)大闸路58号,当前网页找不到元素（价格）,未知类型,6.5元/平米/月,银亿物业,宁波浙电房地产,4栋,24户
庄溪巷二区24号,(鄞州区横溪)庄溪巷二区24号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
贺丞路306号,(鄞州区白鹤)贺丞路306号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,1栋,109户
随寓青年社区,(鄞州区长丰)王隘南路271号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,497户
新府银座,(鄞州区东部新城)业宁街176号,当前网页找不到元素（价格）,塔板结合,暂无信息,暂无信息,暂无信息,2栋,147户
雁南新村,(余姚市余姚周边)雁湖南路32号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,5栋,254户
鄞州区邱隘东港路,(鄞州区邱隘)文卫路鄞州区邱隘东港路,当前网页找不到元素（价格）,板楼,暂无信息,无物业管理服务,暂无信息,4栋,33户
上邵家园,(江北区庄桥)泰和路55号,当前网页找不到元素（价格）,未知类型,0.35元/平米/月,新城物业管理有限公司,暂无信息,13栋,290户
曙光一村,(鄞州区东胜)曙光路48号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,18栋,460户
上邵家园,(江北区庄桥)泰和路55号,当前网页找不到元素（价格）,未知类型,0.35元/平米/月,新城物业管理有限公司,暂无信息,13栋,290户
合和国际大厦,(鄞州区南部商务区)首南街道 天高巷221号,当前网页找不到元素（价格）,塔板结合,4.5元/平米/月,广东康景物业服务有限公司杭州分公司  ,宁波中汇投资有限公司,1栋,6户
绿荷苑东,(海曙区段塘)君运路绿荷苑东,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,31栋,134户
兴圃社区,(宁海县宁海县)正学西路286号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,12栋,241户
世南西路222号,(余姚市世南)世南西路222号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,2栋,17户
金都花苑,(象山县象山县)象山港路463号,当前网页找不到元素（价格）,平房,1元/平米/月,暂无信息,暂无信息,7栋,303户
