小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
桃园小区一期,(桐城市桐城市)同祥路桃园小区一期,2958,塔板结合,暂无信息,暂无信息,暂无信息,4栋,3户
富强新村,(怀宁县怀宁县)香樟大道富强新村,3845,未知类型,暂无信息,暂无信息,暂无信息,34栋,606户
怀宁县工商局宿舍楼,(怀宁县怀宁县)育儿路怀宁县工商局宿舍楼,3156,未知类型,暂无信息,暂无信息,暂无信息,2栋,75户
幸福小区,(怀宁县怀宁县)龙马大道幸福小区,3763,未知类型,暂无信息,暂无信息,暂无信息,9栋,281户
宜翠园,(怀宁县怀宁县)河滨路002-02号,3783,未知类型,暂无信息,暂无信息,暂无信息,3栋,44户
河缘常青小区,(怀宁县怀宁县)高河大道190号,3350,板楼,暂无信息,暂无信息,暂无信息,5栋,212户
安庆南山苑小区,(宜秀区北部新城)大龙山环镇公路安庆南山苑小区,3689,板楼,暂无信息,暂无信息,暂无信息,59栋,2077户
工商局宿舍,(迎江区华中路)湖心南路工商局宿舍,3775,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
皖西南商品批发市场,(怀宁县怀宁县)怀宁县206国道与经二路交汇处南,3416,未知类型,暂无信息,暂无信息,暂无信息,4栋,40户
金拱商城桂花苑,(怀宁县怀宁县)006乡道,3305,塔板结合,0.5元/平米/月,暂无信息,暂无信息,4栋,148户
皖西南大市场,(潜山县潜山县)梅河路33号,2858,未知类型,暂无信息,暂无信息,暂无信息,36栋,1320户
海口蔬菜综合市场商住楼,(大观区)水厂路海口蔬菜综合市场商住楼,3409,板楼,暂无信息,暂无信息,暂无信息,3栋,110户
金塘东街064号,(怀宁县怀宁县)金塘东街064号,3888,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
大王小区,(桐城市桐城市)龙腾路6-8号,2948,未知类型,暂无信息,暂无信息,暂无信息,10栋,184户
钢材大市场宿舍楼,(宜秀区)中山大道钢材大市场宿舍楼,3602,未知类型,暂无信息,暂无信息,暂无信息,2栋,24户
方兴苑小区,(迎江区老峰镇)天柱山大道方兴苑小区,3398,塔楼/板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,暂无信息,24栋,1018户
龙山桔苑,(宜秀区)347国道龙山桔苑,2842,板楼/塔板结合,暂无信息,暂无信息,暂无信息,6栋,64户
中兴街78号,(怀宁县怀宁县)中兴街78号,3814,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
金星北街085号,(怀宁县怀宁县)金星北街085号,3770,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
长宁小区,(迎江区)元山南路长宁小区,3181,未知类型,暂无信息,暂无信息,暂无信息,3栋,157户
茅岭吉祥家园,(大观区十里铺乡)茅青路茅岭吉祥家园,3127,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
高河镇政府宿舍,(怀宁县怀宁县)高河大道高河镇政府宿舍,3815,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
高河镇天发路,(怀宁县怀宁县)天发街,2179,未知类型,暂无信息,暂无信息,暂无信息,3栋,3户
山水华庭,(怀宁县怀宁县)香樟路山水华庭,3084,未知类型,暂无信息,暂无信息,暂无信息,7栋,658户
新联小区,(怀宁县怀宁县)新联小区,3885,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
大王庙街149号,(怀宁县怀宁县)怀宁县高河镇大王庙街149号,3556,板楼,暂无信息,暂无信息,暂无信息,1栋,2户
新兴小区,(迎江区老峰镇)老峰镇元山南路,3379,未知类型,暂无信息,暂无信息,暂无信息,5栋,53户
方兴苑北苑,(迎江区老峰镇)天柱山大道方兴苑北区,3512,塔板结合,暂无信息,暂无信息,暂无信息,11栋,464户
凤水花苑,(宜秀区)安庆市宜秀区杨桥镇凤水花苑2栋1单元602,2867,板楼/塔板结合,0.5至1元/平米/月,暂无信息,暂无信息,37栋,961户
白云小区,(大观区德宽路)白云巷白云小区,5628,板楼,暂无信息,无,白云房产开发有限公司,18栋,675户
同庆小区南苑,(宜秀区大桥)天柱山东路同庆小区南苑,5498,板楼,0.65元/平米/月,暂无信息,"""苍南县中富房地产开发有限公司",32栋,1317户
大观亭社区,(大观区德宽路)德宽路大观亭社区,5744,板楼,0.5元/平米/月,社区居委会,无,62栋,2404户
