小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
百合花城,(渭滨区姜谭路)姜谭路69号,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.35元/平米/月,澳邦物业管理有限公司,百合地产,39栋,2044户
新烽火盛華園,(渭滨区桥南)峪泉路20号,当前网页找不到元素（价格）,板楼,0.48元/平米/月,自持物业,0,24栋,1509户
锦和春天,(金台区群众路)宝平路46号,当前网页找不到元素（价格）,板楼/塔板结合,0.4元/平米/月,无物业公司,暂无信息,16栋,545户
长岭祥和小区,(渭滨区清姜)东六路长岭祥和小区,当前网页找不到元素（价格）,板楼/塔板结合,0.2至15元/平米/月,自持物业,暂无信息,42栋,2395户
陈仓园,(金台区陈仓园)金台大道15号,当前网页找不到元素（价格）,板楼/塔板结合,0.2至1.2元/平米/月,自持物业,暂无信息,47栋,2143户
玉泉花园南区,(渭滨区桥南)峪石路玉泉花园南区,当前网页找不到元素（价格）,板楼/塔板结合,0.45元/平米/月,自持物业,0,18栋,834户
枫林苑小区,(渭滨区桥南)公园路66号,当前网页找不到元素（价格）,板楼/塔板结合,0.3至0.6元/平米/月,宝鸡御桦物业管理有限责任公司,宝鸡市隆泰天瑞房地产开发有限公司,9栋,383户
城市绿洲,(渭滨区清姜)东四路3号,当前网页找不到元素（价格）,板楼,0.35至0.4元/平米/月,暂无信息,宝鸡市隆泰天瑞房地产开发有限公司,6栋,276户
建安集团小区,(渭滨区桥南)公园路65号,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.3至0.8元/平米/月,宝鸡市金泰物业管理有限责任公司,众安房产集团,7栋,381户
新福园二区,(金台区新福路)新福路298号,当前网页找不到元素（价格）,板楼,0.5元/平米/月,宝鸡市温馨物业管理公司,暂无信息,25栋,1208户
東一小區,(金台区上马营)红卫路東一小區,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.3元/平米/月,自持物业,暂无信息,37栋,1849户
华星雅典园小区,(金台区上马营)东风路32号院,当前网页找不到元素（价格）,板楼,0.4至0.5元/平米/月,自持物业,暂无信息,3栋,158户
宝运二村,(渭滨区火车站)新建路西段15号,当前网页找不到元素（价格）,板楼/塔板结合,0.3至0.6元/平米/月,自持物业,未知,12栋,718户
长岭安居小区,(渭滨区清姜)东五路长岭安居小区,当前网页找不到元素（价格）,塔楼/板楼,0.45元/平米/月,自持物业,宝鸡新城万博房地产开发有限公司,16栋,532户
陕开社区,(渭滨区桥南)峪泉路7号,当前网页找不到元素（价格）,板楼,0.3至0.4元/平米/月,自持物业,西程开发公司,12栋,914户
陈仓园铁路住宅A区,(金台区陈仓园)滨河北路陈仓园铁路住宅A区,当前网页找不到元素（价格）,板楼,0.25至0.5元/平米/月,宝鸡市政鑫物业管理公司,未知,11栋,743户
方豪花园,(金台区大庆路)大庆路79号,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.4至0.5元/平米/月,暂无信息,未知,9栋,655户
长青路91号院,(金台区西关)长青路91号,当前网页找不到元素（价格）,板楼/塔板结合,0.06至1元/平米/月,自持物业,暂无信息,6栋,248户
医药公司小区,(金台区上马营)宝十路24号,当前网页找不到元素（价格）,塔楼/板楼,0.45至0.5元/平米/月,暂无信息,暂无信息,4栋,203户
跃进铁路南区,(金台区上马营)跃进路跃进铁路南区,当前网页找不到元素（价格）,板楼/平房,1元/平米/月,自持物业,未知,26栋,1066户
渭工路59号楼,(渭滨区火车站)渭工路59号,当前网页找不到元素（价格）,板楼,0.3元/平米/月,自持物业,单位自建,1栋,84户
秦嶺泊屋,(金台区大庆路)虢十路4号,当前网页找不到元素（价格）,板楼/塔板结合,0.4至0.5元/平米/月,自持物业,暂无信息,5栋,229户
西铁宝鸡机务小区,(金台区上马营)金陵路24号,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.3元/平米/月,无物业公司,未知,13栋,640户
大庆路105号院,(金台区大庆路)大庆路105号院,当前网页找不到元素（价格）,塔板结合,0.5元/平米/月,自持物业,暂无信息,1栋,42户
同盟路交警队家属院,(金台区上马营)同盟路交警队家属院,当前网页找不到元素（价格）,塔板结合,暂无信息,暂无信息,暂无信息,1栋,49户
华辰小区,"(金台区卧龙寺)陈仓大道46号, 宝虢路46号院",当前网页找不到元素（价格）,板楼,0.4元/平米/月,暂无信息,无,15栋,456户
中宝花园,(金台区上马营)宝十路36号,当前网页找不到元素（价格）,板楼,0.45至0.6元/平米/月,自持物业,未知,3栋,170户
