小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金帝佳苑,(华容县华容县)杏花村西路金帝佳苑,3842,未知类型,暂无信息,暂无信息,暂无信息,4栋,270户
小天地公寓,(岳阳县岳阳县)天鹅中路63号,3459,未知类型,暂无信息,暂无信息,暂无信息,2栋,42户
骏秀花园,(汨罗市汨罗市)高泉南路20号,3905,未知类型,暂无信息,暂无信息,暂无信息,6栋,98户
香溢花城,(华容县华容县)桂花岭路002号,3497,未知类型,暂无信息,暂无信息,暂无信息,18栋,1043户
临湘氮肥厂第一生活区,(临湘市临湘市)城中南路9号,3423,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
金典花园,"(华容县华容县)港西北路009-14号,港西北路009-13号",3315,未知类型,暂无信息,暂无信息,暂无信息,1栋,64户
金微小区,(华容县华容县)三益路金微小区,2900,未知类型,暂无信息,暂无信息,暂无信息,2栋,66户
金瑞花园,(华容县华容县)港西北路007号,3454,未知类型,暂无信息,暂无信息,暂无信息,9栋,258户
银宇金都,(华容县华容县)港东中路118号,2791,未知类型,暂无信息,暂无信息,暂无信息,2栋,48户
东方金城,(华容县华容县)桥东路352-6号,2794,未知类型,暂无信息,暂无信息,暂无信息,7栋,161户
血防之家,(华容县华容县)金港湾路001号,2406,未知类型,暂无信息,暂无信息,暂无信息,3栋,64户
鑫城花苑,(华容县华容县)新民路031号,3198,未知类型,暂无信息,暂无信息,暂无信息,17栋,420户
粮校家属区,(华容县华容县)煤建巷014-1号,2552,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
华阳社区移民小区,(华容县华容县)迎宾北路36号,2739,未知类型,暂无信息,暂无信息,暂无信息,16栋,387户
容鑫花园,(华容县华容县)华容大道南路82号,3409,未知类型,暂无信息,暂无信息,暂无信息,22栋,320户
粤西社区,(岳阳县岳阳县)中湘路月西大楼,2419,未知类型,暂无信息,暂无信息,暂无信息,2栋,21户
西街社区第52平安小区,(平江县平江县)花溪巷32号,3096,未知类型,暂无信息,暂无信息,暂无信息,1栋,18户
谭家垅路A区,(平江县平江县)谭家垅路A区,3369,板楼,暂无信息,暂无信息,暂无信息,2栋,126户
平江县委机关新城住宅小区,(平江县平江县)民主街65号,3301,未知类型,暂无信息,暂无信息,暂无信息,5栋,108户
连云小区,(平江县平江县)连云路290号,3168,未知类型,暂无信息,暂无信息,暂无信息,14栋,445户
坪上社区,(平江县平江县)安全街106号,3822,未知类型,暂无信息,暂无信息,暂无信息,2栋,43户
平潜小区,(平江县平江县)民建路706号,3642,未知类型,暂无信息,暂无信息,暂无信息,2栋,72户
丽江小苑,(平江县平江县)月形岭街81号,3128,未知类型,暂无信息,暂无信息,暂无信息,2栋,71户
银联公寓,(湘阴县湘阴县)江东中路银联公寓,3126,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
茵草小区,(湘阴县湘阴县)东湖北路8号,3502,未知类型,暂无信息,暂无信息,暂无信息,3栋,48户
临江花园,(湘阴县湘阴县)冬茅西路临江花园,3223,塔板结合,暂无信息,暂无信息,暂无信息,2栋,42户
泰富时代,(湘阴县湘阴县)冬茅中路253号,3096,未知类型,暂无信息,暂无信息,暂无信息,3栋,45户
锦秀星城,(湘阴县湘阴县)太傅路锦秀星城,3679,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
旭东小区,(湘阴县湘阴县)旭东路旭东小区,3383,未知类型,暂无信息,暂无信息,暂无信息,2栋,36户
世纪花园,(湘阴县湘阴县)旭东南路世纪花园,3526,未知类型,暂无信息,暂无信息,暂无信息,5栋,133户
紫园小区,(岳阳楼区无效)求学路紫园小区,3712,未知类型,暂无信息,暂无信息,暂无信息,17栋,762户
望岳社区,(岳阳楼区七里山)老垅坡路望岳社区,3197,未知类型,暂无信息,暂无信息,暂无信息,4栋,4户
屈原路西175号,(岳阳楼区八字门)屈原路西175号,3157,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
茶场安置小区,(岳阳楼区八字门)旭园路茶场安置小区,3627,未知类型,暂无信息,暂无信息,暂无信息,2栋,56户
龟山湖小区,(岳阳楼区)奇西路龟山湖小区,3687,未知类型,暂无信息,暂无信息,暂无信息,6栋,92户
天舒山庄,(岳阳楼区洛王)冷水铺路辅路天舒山庄,3833,塔板结合,1.6元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,5栋,144户
谭家垅路A区,(平江县平江县)谭家垅路A区,3369,板楼,暂无信息,暂无信息,暂无信息,2栋,126户
银联公寓,(湘阴县湘阴县)江东中路银联公寓,3126,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
茵草小区,(湘阴县湘阴县)东湖北路8号,3502,未知类型,暂无信息,暂无信息,暂无信息,3栋,48户
锦秀星城,(湘阴县湘阴县)太傅路锦秀星城,3679,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
恒泰小区,(岳阳楼区无效)海关路恒泰小区,3352,板楼,暂无信息,暂无信息,暂无信息,16栋,626户
西街社区第52平安小区,(平江县平江县)花溪巷32号,3096,未知类型,暂无信息,暂无信息,暂无信息,1栋,18户
临江花园,(湘阴县湘阴县)冬茅西路临江花园,3223,塔板结合,暂无信息,暂无信息,暂无信息,2栋,42户
泰富时代,(湘阴县湘阴县)冬茅中路253号,3096,未知类型,暂无信息,暂无信息,暂无信息,3栋,45户
旭东小区,(湘阴县湘阴县)旭东路旭东小区,3383,未知类型,暂无信息,暂无信息,暂无信息,2栋,36户
世纪花园,(湘阴县湘阴县)旭东南路世纪花园,3526,未知类型,暂无信息,暂无信息,暂无信息,5栋,133户
畔湖湾居委会还建点丙区,(岳阳楼区齐家岭)齐家岭街道,3867,板楼,暂无信息,暂无信息,暂无信息,12栋,48户
畔湖湾居委会还建点B区,(岳阳楼区齐家岭)长咀巷畔湖湾居委会还建点B区,3276,未知类型,暂无信息,暂无信息,暂无信息,6栋,21户
南湖桥小区,(岳阳楼区鲤鱼嘴社区)学院路202号,3332,未知类型,暂无信息,暂无信息,暂无信息,28栋,273户
金山花苑,(岳阳楼区无效)奇西路金山花苑,3693,板楼,0.25元/平米/月,暂无信息,暂无信息,28栋,1156户
八字门社区西区,(岳阳楼区八字门)华强路八字门社区西区,3486,塔板结合,暂无信息,暂无信息, 陕西亿润经贸有限公司 ,41栋,359户
八字门居民点,(岳阳楼区八字门)白石岭北路388号,3749,塔楼/板楼,暂无信息,暂无信息,暂无信息,87栋,367户
洛王社区琵琶王,(岳阳楼区洛王)长虹路洛王社区琵琶王,3856,塔板结合,0.6元/平米/月,暂无信息,暂无信息,2栋,19户
李家巷18号,(岳阳楼区李家冲)李家巷18号,3131,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
羊角山小区,(岳阳楼区无效)白石岭南路羊角山小区,3132,未知类型,暂无信息,暂无信息,暂无信息,3栋,114户
羊角山安置点,(岳阳楼区)奇康路羊角山安置点,3286,未知类型,暂无信息,暂无信息,暂无信息,9栋,46户
畔湖湾居委会还建点甲区,(岳阳楼区齐家岭)畔湖湾社区甲区,3111,未知类型,暂无信息,暂无信息,暂无信息,11栋,29户
矮子坡安置点小区 ,(岳阳楼区南湖新区)赶山路矮子坡安置点小区 ,3750,未知类型,暂无信息,暂无信息,暂无信息,4栋,112户
学院路中学家属区,(岳阳楼区齐家岭)学院路中学家属区,3083,未知类型,暂无信息,暂无信息,暂无信息,2栋,6户
屈原路西387号,(岳阳楼区八字门)屈原路西387号,3716,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
太阳村小区,(华容县华容县)迎宾北路太阳村小区,2766,未知类型,暂无信息,暂无信息,暂无信息,3栋,61户
老教委小区,(平江县平江县)邓家山巷老教委小区,3798,未知类型,暂无信息,暂无信息,暂无信息,1栋,34户
南城墙巷,(华容县华容县)南城墙巷,2846,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
港西南路,(华容县华容县)港西南路,3280,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
新苗巷 007号,(华容县华容县)新苗巷 007号,2510,未知类型,暂无信息,暂无信息,暂无信息,1栋,5户
财源路,(华容县华容县)财源路,3135,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
三益路39号,(华容县华容县)三益路39号,2357,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
长安西路228号,(临湘市临湘市)长安西路228号,3056,平房,暂无信息,暂无信息,暂无信息,1栋,40户
华容水产家属院,(华容县华容县)港东南路华容水产家属院,3256,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
广厦社区,(华容县华容县)桥西路广厦社区,2803,未知类型,暂无信息,暂无信息,暂无信息,6栋,112户
港西南路159号,(华容县华容县)港西南路159号,2886,未知类型,暂无信息,暂无信息,暂无信息,1栋,5户
官偃巷007-1号,(华容县华容县)官偃巷007-1号,2438,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
岳阳县农业农村局宿舍,(岳阳县岳阳县)东方西路岳阳县农业农村局宿舍,3532,未知类型,暂无信息,暂无信息,暂无信息,8栋,122户
民生街35-1号,(平江县平江县)民生街35-1号,3188,未知类型,暂无信息,暂无信息,暂无信息,1栋,42户
矿产公司宿舍,(岳阳县岳阳县)文艺路矿产公司宿舍,2600,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
碧潭新村,(平江县平江县)石碧潭路141号,3022,未知类型,暂无信息,暂无信息,暂无信息,6栋,234户
富荣西路住宅楼,(岳阳县岳阳县)富荣西路住宅楼,3434,未知类型,暂无信息,暂无信息,暂无信息,2栋,32户
老街小区住宅楼,(岳阳县岳阳县)文艺路老街小区住宅楼,2359,未知类型,暂无信息,暂无信息,暂无信息,3栋,17户
粮食局单位宿舍,(湘阴县湘阴县)滨江社区,2703,未知类型,暂无信息,暂无信息,暂无信息,7栋,27户
财富小区,(华容县华容县)桥西路财富小区,2877,未知类型,暂无信息,暂无信息,暂无信息,4栋,78户
三益路026号,(华容县华容县)三益路026号,2699,未知类型,暂无信息,暂无信息,暂无信息,1栋,10户
文胜自来水厂家属院,(岳阳县岳阳县)兴荣东路文胜自来水厂家属院,2744,未知类型,暂无信息,暂无信息,暂无信息,4栋,48户
荣宛家园,(岳阳县岳阳县)庆丰路荣宛家园,3522,未知类型,暂无信息,暂无信息,暂无信息,3栋,92户
华茂大厦,(华容县华容县)华容大道东路华茂大厦,2968,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
范蠡中路,(华容县华容县)范蠡中路,2853,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
