小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
空港二村,(新北区奔牛)黄河西路11号,6723,未知类型,暂无信息,暂无信息,暂无信息,6栋,64户
怡巷花苑,(天宁区郑陆镇)迎宾南路怡巷花苑,5878,板楼,1.08元/平米/月,暂无信息,暂无信息,5栋,330户
临江花苑,(新北区春江)临江花苑100-1号,6593,未知类型,0.12元/平米/月,暂无信息,暂无信息,3栋,3户
申怡花苑,(天宁区郑陆镇)申浦路南196号,5413,板楼,0.7元/平米/月,暂无信息,暂无信息,5栋,86户
魏村花苑(北区),(新北区春江)沿江东路魏村花苑,7193,板楼/平房,0.3至0.5元/平米/月,高力国际,当地拆迁办,3栋,24户
美吉特黄金公寓,(天宁区青龙)青洋北路99-26号,6868,塔板结合,1.5元/平米/月,暂无信息,暂无信息,1栋,800户
邹新花园北区,(钟楼区邹区)岳阳路邹新花园,6851,板楼,0.3元/平米/月,暂无信息,上海三盛宏业投资（集团）有限责任公司,61栋,2308户
聚湖家园三期,(武进区湖塘镇)金鸡西路聚湖家园三期,7031,塔板结合,0.7至1.5元/平米/月,暂无信息,苏州翠湖置业,6栋,568户
金碧园,(金坛区东城街道)北环东路金碧园,7585,塔板结合,0.5元/平米/月,小区物业,暂无信息,9栋,199户
龚家名园,(武进区湖塘镇)聚湖东路226号,6333,塔板结合,0.7元/平米/月,暂无信息, 北京阳光兴业房地产开发有限公司 ,15栋,1040户
聚新家园A区,(武进区滆湖镇)锦润路2号,6960,板楼/塔板结合,0.7元/平米/月,暂无信息,暂无信息,80栋,2480户
丰乐花苑,(经开区遥观镇)戚大街32号,6601,板楼,0.5元/平米/月,常州市新天地物业管理有限公司,暂无信息,3栋,96户
永安花苑西区,(武进区湖塘镇)花园街向东滆湖路108号,7060,板楼,0.9至1.4元/平米/月,常州开元物业有限公司,常州市武进房地产有限公司,22栋,662户
蠡河新苑,(武进区滆湖镇)长顺路蠡河新苑,6728,板楼,0.7元/平米/月,暂无信息,暂无信息,34栋,1688户
长宏苑,(新北区春江)新港路3号,6114,塔楼/塔板结合,0.34至0.35元/平米/月,常州春江物业管理有限公司,上海上坤欣鼎置业有限公司,7栋,197户
松涛苑,(钟楼区北港)松涛路松涛苑,7390,板楼/塔板结合/平房,1元/平米/月,常州开元物业有限公司,常州天禄建设开发有限公司 ,13栋,2118户
新民家园,(新北区春江)圩塘11号,7431,板楼/塔板结合,0.3至1元/平米/月,南通市伟亿物业管理有限公司,常州市新龙腾房地产开发有限公司,37栋,1176户
东方二村,(金坛区东城街道)大通东路东方二村,5876,塔楼,1.2元/平米/月,常州金坛金盛物业管理有限公司,暂无信息,13栋,365户
运河花园,(钟楼区北港)玉龙南路运河花园,6881,塔板结合,0.8元/平米/月,暂无信息,暂无资料,66栋,2834户
南河花园小区东区,(武进区湖塘镇)武宜南路南河花园小区东区,5999,板楼,0.7元/平米/月,暂无信息,暂无信息,39栋,824户
金钻公寓,(天宁区茶山)清凉路139号,7445,塔楼,0.5元/平米/月,暂无信息,常州新城房产开发有限公司,1栋,240户
府北新村,(武进区湖塘镇)府北路1号,6964,板楼/塔板结合,0.7元/平米/月,暂无信息,常州市武进建设房地产开发有限公司,29栋,1165户
半岛珑庭二期,(金坛区东城街道)复兴路281号,7571,塔楼/塔板结合,1元/平米/月,暂无信息,常州利骏置业有限公司,4栋,76户
金源福地,(金坛区东城街道)北环东路117-13-1号,7048,塔板结合/平房,0.5元/平米/月,小区物业,无,22栋,580户
虹桥新邨,(金坛区东城街道)市场路228-7号,6295,塔板结合,0.5元/平米/月,小区物业,无,67栋,1861户
晨风小区,(金坛区东城街道)晨风路晨风小区,4625,塔板结合/平房,0.4至20元/平米/月,小区物业,暂无信息,11栋,560户
华城百鑫家园,(金坛区东城街道)月荷路华城百鑫家园,7234,塔楼/塔板结合,0.6至0.9元/平米/月,常州金坛金盛物业管理有限公司,华城房产,11栋,373户
金胜花园,(金坛区东城街道)汇贤南路2号,6160,塔楼/板楼/塔板结合,0.4至10元/平米/月,常州金坛金盛物业管理有限公司,无,19栋,448户
晓柳花苑二村,(武进区湖塘镇)武进区小留22号,5620,板楼,0.4元/平米/月,暂无信息,常州市武进城区房产开发有限公司,37栋,1254户
春风三村,(金坛区西城街道)联成路春风三村,6395,塔楼/塔板结合,0.4元/平米/月,常州金坛金盛物业管理有限公司,未知,39栋,1083户
金江苑三区,(金坛区东城街道)丰田路金江苑,6910,塔板结合,1元/平米/月,小区物业,暂无信息,16栋,497户
江村新村,(经开区横林镇)横玉路294号,4873,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
东门大街,(金坛区东城街道)东门大街,6614,板楼/塔板结合,0.1元/平米/月,暂无信息,暂无信息,6栋,42户
瑞丰花苑,(经开区横林镇)横林大道瑞丰花苑,6975,未知类型,暂无信息,暂无信息,暂无信息,43栋,1982户
沿河西路,(金坛区)沿河西路,6123,未知类型,0.8元/平米/月,暂无信息,暂无信息,5栋,77户
万和奥特莱斯,(金坛区东城街道)兴华路9号,4770,塔板结合,暂无信息,暂无信息,暂无信息,10栋,15户
风景英伦,(溧阳市溧阳)上林路风景英伦,6483,塔板结合,暂无信息,暂无信息,暂无信息,9栋,19户
黄山路,(新北区河海)黄山路398号-6,5091,未知类型,暂无信息,暂无信息,暂无信息,2栋,3户
南门商业街,(金坛区东城街道)南门商业街,7351,未知类型,暂无信息,暂无信息,暂无信息,1栋,180户
南河花园小区东区,(武进区湖塘镇)武宜南路南河花园小区东区,5999,板楼,0.7元/平米/月,暂无信息,暂无信息,39栋,824户
府北新村,(武进区湖塘镇)府北路1号,6964,板楼/塔板结合,0.7元/平米/月,暂无信息,常州市武进建设房地产开发有限公司,29栋,1165户
半岛珑庭二期,(金坛区东城街道)复兴路281号,7571,塔楼/塔板结合,1元/平米/月,暂无信息,常州利骏置业有限公司,4栋,76户
东方二村,(金坛区东城街道)大通东路东方二村,5876,塔楼,1.2元/平米/月,常州金坛金盛物业管理有限公司,暂无信息,13栋,365户
运河花园,(钟楼区北港)玉龙南路运河花园,6881,塔板结合,0.8元/平米/月,暂无信息,暂无资料,66栋,2834户
金钻公寓,(天宁区茶山)清凉路139号,7445,塔楼,0.5元/平米/月,暂无信息,常州新城房产开发有限公司,1栋,240户
南河花园小区北区,(武进区湖塘镇)凤林南路南河花园小区北区,6612,板楼,0.7元/平米/月,暂无信息,常州市武进建设房地产开发有限公司,48栋,1317户
翠园新村北区,(金坛区东城街道)翠北路翠园新村,6121,塔楼/板楼/塔板结合,0.2元/平米/月,小区物业,无,50栋,1463户
胡姬花园,(金坛区东城街道)晨风路31号,6888,塔板结合,0.5元/平米/月,小区物业,暂无信息,22栋,440户
