小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
德山监狱,(鼎城区德山)崇德路德山监狱,3686,未知类型,暂无信息,暂无信息,暂无信息,15栋,519户
建材薪城小区,(鼎城区桥南)金霞路627号,3812,板楼,0.8元/平米/月,常德安心物业公司,暂无信息,5栋,156户
丽景花园,(桃源县桃源县)桃花大道丽景花园,3420,未知类型,暂无信息,暂无信息,暂无信息,8栋,312户
和园,(安乡县安乡县)洞庭大道北段和园,3327,未知类型,暂无信息,暂无信息,暂无信息,13栋,692户
紫珑花园,(安乡县安乡县)围庵二路66号,3646,未知类型,暂无信息,暂无信息,暂无信息,14栋,448户
检苑名居,(安乡县安乡县)安乡大道1号,3447,未知类型,暂无信息,暂无信息,暂无信息,3栋,126户
中城豪园,(安乡县安乡县)和平路中城豪园,3336,未知类型,暂无信息,暂无信息,暂无信息,8栋,206户
南城茗都,(安乡县安乡县)南外街48号,3764,未知类型,暂无信息,暂无信息,暂无信息,13栋,598户
五总阳光,(安乡县安乡县)和平路五总阳光,2122,未知类型,暂无信息,暂无信息,暂无信息,11栋,300户
武源小区,(汉寿县汉寿县)龙阳中路武源小区,3459,未知类型,暂无信息,暂无信息,暂无信息,8栋,188户
龙泽苑,(汉寿县汉寿县)芙蓉西路77号,3849,未知类型,暂无信息,暂无信息,暂无信息,4栋,112户
金鹏大厦小区,(武陵区步行街)武陵大道190号,3728,板楼,0.8元/平米/月,暂无信息,暂无信息,1栋,24户
豪荟花园,(武陵区地区医院)紫缘路127,3896,板楼,0.8元/平米/月,暂无信息,暂无信息,1栋,40户
新村社区,(津市市津市市)万寿路35号,2446,未知类型,暂无信息,暂无信息,暂无信息,4栋,116户
洞庭春晓,(鼎城区)鼎城区,3236,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
香格里拉小区,(安乡县安乡县)深柳大道香格里拉小区,3696,未知类型,暂无信息,暂无信息,暂无信息,19栋,650户
五强花园,(武陵区五强溪)高车路五强花园,3574,板楼,暂无信息,万亚物业,洛阳中原置业有限公司,1栋,32户
水电八局生活小区,(鼎城区德山)凤滩路水电八局生活小区,3851,板楼,0.4元/平米/月,暂无信息,暂无信息,18栋,478户
鼎城区财政局宿舍,(鼎城区桥南)阳明路鼎城区财政局宿舍,3434,板楼,暂无信息,暂无信息,暂无信息,3栋,30户
盛世新天地,(澧县澧县)澧浦路盛世新天地,3256,未知类型,暂无信息,暂无信息,暂无信息,3栋,77户
新河小区,(澧县澧县)民政街45号,3676,未知类型,暂无信息,暂无信息,暂无信息,6栋,216户
康澧百合园,(澧县澧县)新河路康澧百合园,3865,未知类型,暂无信息,暂无信息,暂无信息,38栋,1708户
宏发花园,(澧县澧县)澧阳路677号,3499,未知类型,暂无信息,暂无信息,暂无信息,3栋,88户
善卷小区,(鼎城区德山)善卷路善卷小区,3225,板楼,暂无信息,暂无信息,暂无信息,8栋,204户
金安花园,(安乡县安乡县)沿河大道128号,3884,未知类型,暂无信息,暂无信息,暂无信息,24栋,995户
豪庭苑别墅,(临澧县临澧县)四季红路豪庭苑别墅,3895,未知类型,暂无信息,暂无信息,暂无信息,3栋,3户
后湖小区,(津市市津市市)车胤大道1099号,3035,未知类型,暂无信息,暂无信息,暂无信息,3栋,101户
西城名居,(津市市津市市)银苑路西城名居,3433,未知类型,暂无信息,暂无信息,暂无信息,5栋,218户
龙泉山庄,(临澧县临澧县)灵泉路龙泉山庄,2923,未知类型,暂无信息,暂无信息,暂无信息,1栋,61户
伟星星情湾,(临澧县临澧县)滨河东路伟星星情湾,3864,未知类型,暂无信息,暂无信息,暂无信息,5栋,5户
德山监狱,(鼎城区德山)崇德路德山监狱,3686,未知类型,暂无信息,暂无信息,暂无信息,15栋,519户
鑫湖缘房产综合楼,(鼎城区)湖南省鼎城区西洞庭管理区电力路1号,2544,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
华南社区,(武陵区)常德市武陵区芙蓉街道华南社区,2990,板楼,暂无信息,暂无信息,暂无信息,34栋,85户
东湖经济适用房住宅小区,(津市市津市市)人民路东湖经济适用房住宅小区,1917,未知类型,暂无信息,暂无信息,暂无信息,8栋,324户
中心家电城,(鼎城区桥南)善德街中心家电城,2974,未知类型,暂无信息,暂无信息,暂无信息,5栋,10户
宏宇国际,(石门县石门县)天门路宏宇国际,3401,未知类型,暂无信息,暂无信息,暂无信息,5栋,485户
漳江镇政府宿舍区,(桃源县桃源县)荷花路漳江镇政府宿舍区,3862,未知类型,暂无信息,暂无信息,暂无信息,4栋,40户
金华豪园,(澧县澧县)人民路金华豪园,3896,未知类型,暂无信息,暂无信息,暂无信息,3栋,97户
