小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
富力金港城南区,(花都花东镇)金谷北路富力金港城南区,6198,2008年建成 ,塔楼/板楼,2.8元/平米/月,暂无信息,富力地产,8栋,2167户
商业大道,(花都旧区)商业大道,7670,1984年建成 ,塔楼/板楼,0.5至1元/平米/月,暂无信息,无开发商,140栋,4764户
太平中学教师楼,(从化太平镇)广从南路太平中学教师楼,7237,1999年建成 ,塔楼/平房,暂无信息,无物业管理,暂无信息,6栋,80户
金联市场,(花都旧区)商业大道90号,7564,1992年建成 ,塔楼/板楼/塔板结合,0.5元/平米/月,无物业管理,无开发商,10栋,2725户
岗城大厦,(南沙大岗镇)解放路19号,6909,1995年建成 ,平房,2元/平米/月,暂无信息,无锡灵山房地产投资开发有限公司,2栋,192户
兰圃新村,(花都旧区)秀全大道40号,7517,1985年建成 ,塔楼,1元/平米/月,无物业管理服务,锦花物业,17栋,335户
颐和盛世,(花都炭步)炭步镇817乡道,7239,2011年建成 ,塔楼,2元/平米/月,广州颐和酒店物业管理有限公司,广州东湛房地产开发有限公司,85栋,2467户
金辉花园,(花都狮岭镇)金狮大道西17号,7402,2001年建成 ,塔楼,0.5元/平米/月,广州市富邦升辉物业管理有限公司,广州市花都区狮岭房地产综合开发公司,16栋,317户
回归路小区,(从化太平镇)回归路小区,7545,1990年建成 ,塔楼/板楼,暂无信息,无物业管理服务,无开发商,11栋,241户
夏街大道,(增城荔城中区)夏街大道,6890,1999年建成 ,塔楼/板楼/平房,3元/平米/月,暂无信息,无开发商,121栋,1294户
新光百德广场,(从化太平镇)广从南路546-7号,6575,2014年建成 ,塔楼,2.2元/平米/月,广东实地物业管理有限公司, 重庆汇东房地产开发有限公司,1栋,673户
碧桂园空港国际,(花都花东镇)花安中路1号,6912,2007年建成 ,塔楼/板楼,3至3.6元/平米/月,广州市碧桂园物业管理有限公司,广州安华物流有限公司,14栋,1928户
广丰东路,(增城荔城富鹏)广丰东路,7518,暂无信息 ,塔楼,暂无信息,无物业管理服务,暂无信息,11栋,277户
东成路,(从化河滨北路)从化东成路,7685,1992年建成 ,塔楼,暂无信息,无物业管理服务,无开发商,68栋,907户
广东动漫城,(从化神岗镇)一零五国道,6578,2010年建成 ,塔楼,1.8元/平米/月,佛山南海振鹏物业管理有限公司,广州从化动漫产业园发展有限公司,5栋,420户
帝园路,(增城荔城富鹏)帝园路,7728,1991年建成 ,塔楼/板楼,1元/平米/月,暂无信息,无开发商,38栋,302户
富和文明小区,(增城荔城富鹏)富和路富和文明小区,7304,1995年建成 ,塔楼/平房,0.8至2元/平米/月,暂无信息,无开发商,11栋,257户
富安路,(增城荔城富鹏)富安路,7801,2014年建成 ,塔楼/平房,1元/平米/月,无物业管理服务, 合肥万科瑞翔地产有限公司,32栋,1422户
彩虹苑,(从化太平镇)回归路6号,6707,2002年建成 ,塔楼,暂无信息,无物业管理服务,无开发商,3栋,141户
继枚路,(增城荔城中区)继枚路,7784,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,80栋,1171户
农业局大院,(增城荔城富鹏)荔城大道110号,7222,1996年建成 ,塔楼/板楼,0.6至2.2元/平米/月,私人承办物业, 陕西亿润经贸有限公司 ,7栋,194户
天桥路,(增城开发东区)天桥路,7376,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,285栋,2764户
周园路,(增城荔城富鹏)周园路,7312,1996年建成 ,塔楼/板楼/塔板结合,暂无信息,无物业管理服务,无,16栋,701户
沙园路(增城),(增城荔城富鹏)增城沙园路,6636,1992年建成 ,塔楼/板楼,3.45元/平米/月,暂无信息,无开发商,25栋,375户
富强路,(增城荔城富鹏)富强路,7543,1995年建成 ,塔楼,暂无信息,暂无信息,无开发商,33栋,579户
光明西路,(增城荔城中区)光明西路,7789,1992年建成 ,塔楼/板楼,1.5至2元/平米/月,暂无信息,无开发商,47栋,829户
园圃路,(增城荔城中区)园圃路,6757,1989年建成 ,塔楼/板楼/平房,暂无信息,无物业管理,无开发商,121栋,1275户
新村东路,(从化旧城区)新村东路,7737,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,6栋,204户
侨宏花园,(从化温泉镇)温泉西路22号,7042,2003年建成 ,塔楼,1.2元/平米/月,暂无信息,广州侨宏房地产开发建设有限公司,134栋,968户
建云东路,(从化新城片区)建云东路,7304,1995年建成 ,塔楼,1元/平米/月,暂无信息,无开发商,39栋,971户
解放路(增城),(增城荔城中区)解放路2号,6930,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,3栋,26户
太平花园,(从化太平镇)花园中路10号,7761,2001年建成 ,塔楼,暂无信息,暂无信息,"""浙江富园房地产开发有限公司",6栋,331户
小海南路,(从化江浦街)小海南路,7855,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,16栋,510户
龙井村,(从化江浦街)河东北路龙井村,6790,1986年建成 ,塔楼/板楼,暂无信息,无物业管理服务,无开发商,55栋,1558户
富逸华庭,(从化新城片区)新城东路80号,7277,2012年建成 ,塔楼,1元/平米/月,暂无信息,广州云星投资集团有限公司,1栋,216户
河东南路,(从化江浦街)河东南路,7429,暂无信息 ,塔楼,暂无信息,无物业管理服务,无开发商,33栋,912户
开园物业小区,(增城荔城富鹏)城丰路12号,7630,2008年建成 ,板楼,1.5元/平米/月,暂无信息,上海华群置业有限公司,12栋,290户
荔城大道,(增城荔城中区)荔城大道,6798,1996年建成 ,塔楼/塔板结合,暂无信息,广州市源林物业管理有限公司,无,160栋,1353户
富鹏物业小区,(增城荔城富鹏)菜园中路4号,6855,1988年建成 ,板楼/平房,暂无信息,富都城物业管理有限公司,开天集团,7栋,225户
河村东路,(番禺大石)广州市番禺区大石街河村三角市大街4巷5号,6740,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
友田茗轩,(花都狮岭镇)盘古南路6号,5643,2008年建成 ,塔楼,1.2元/平米/月,业主自筹物业,广州市友田房地产开发有限公司,7栋,111户
雅陶居商住楼,(增城荔城中区)夏街大道239号,7632,2002年建成 ,塔楼,暂无信息,广州市源林物业管理有限公司,无开发商,5栋,142户
华南商住小区,(花都旧区)华南路19号,7434,1997年建成 ,塔楼,0.5元/平米/月,大院管理,暂无信息,3栋,108户
开园路,(增城荔城富鹏)开园路,6818,1988年建成 ,塔楼/平房,3元/平米/月,无物业管理服务,开天集团,133栋,1722户
旗岭公馆,(花都狮岭镇)新花路1923号,6742,2011年建成 ,塔楼,1.2元/平米/月,单位代管物业,暂无信息,3栋,28户
增江大道,(增城荔城增江)增江大道中34号,6649,1998年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,11栋,175户
翠岗路,(增城荔城中区)翠岗路,7529,1996年建成 ,塔楼/板楼/平房,0.7至1.5元/平米/月,暂无信息,无开发商,18栋,295户
潭洲博爱商场,(南沙大岗镇)博爱路64号,6764,1998年建成 ,塔楼,0.5元/平米/月,无物业管理服务,无开发商,2栋,248户
大岗富华苑,(南沙大岗镇)兴业路82号,7679,2004年建成 ,塔楼,2.8元/平米/月,暂无信息,暂无信息,2栋,120户
永丰路,(增城荔城富鹏)永丰路,6978,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,4栋,92户
泰丰路,(增城荔城富鹏)泰丰路,7101,1994年建成 ,塔楼,2元/平米/月,无物业管理服务,广州市汇盈房地产开发有限公司,2栋,44户
回龙小区,(花都花东镇)281县道回龙小区,6068,1994年建成 ,塔楼,0.8元/平米/月,无物业管理服务,暂无信息,3栋,23户
友丰东路,(增城荔城富鹏)友丰东路,7771,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,5栋,136户
中田北路,(从化新城片区)中田北3巷,7362,暂无信息 ,板楼/平房,暂无信息,无物业管理服务,无开发商,20栋,453户
城郊安园街,(从化旧城区)城郊安园街,7007,暂无信息 ,板楼,暂无信息,无物业管理服务,无开发商,20栋,168户
花园中路,(从化太平镇)花园中路,7246,1998年建成 ,塔楼,暂无信息,无物业管理,无开发商,47栋,535户
前进路(增城),(增城荔城中区)前进路（增城）,7690,暂无信息 ,未知类型,暂无信息,无物业管理服务,暂无信息,29栋,560户
狮岭宝峰豪庭小区,(花都狮岭镇)宝峰南路19号,7796,2008年建成 ,塔板结合,1.2元/平米/月,广州市东悦物业管理公司,广东信托房产开发公司,1栋,174户
富国小区,(增城荔城富鹏)宏华南路2号,6896,1995年建成 ,塔楼,暂无信息,无物业管理服务,广州南方钢厂,3栋,33户
兴华路（增城区）,(增城荔城富鹏)兴华路,6450,1996年建成 ,塔楼/平房,暂无信息,无物业管理,无开发商,7栋,238户
泰丰路,(增城荔城富鹏)泰丰路,7101,1994年建成 ,塔楼,2元/平米/月,无物业管理服务,广州市汇盈房地产开发有限公司,2栋,44户
荔城大道,(增城荔城中区)荔城大道,6798,1996年建成 ,塔楼/塔板结合,暂无信息,广州市源林物业管理有限公司,无,160栋,1353户
太平花园,(从化太平镇)花园中路10号,7761,2001年建成 ,塔楼,暂无信息,暂无信息,"""浙江富园房地产开发有限公司",6栋,331户
小海南路,(从化江浦街)小海南路,7855,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,16栋,510户
光明西路,(增城荔城中区)光明西路,7789,1992年建成 ,塔楼/板楼,1.5至2元/平米/月,暂无信息,无开发商,47栋,829户
园圃路,(增城荔城中区)园圃路,6757,1989年建成 ,塔楼/板楼/平房,暂无信息,无物业管理,无开发商,121栋,1275户
富强路,(增城荔城富鹏)富强路,7543,1995年建成 ,塔楼,暂无信息,暂无信息,无开发商,33栋,579户
侨宏花园,(从化温泉镇)温泉西路22号,7042,2003年建成 ,塔楼,1.2元/平米/月,暂无信息,广州侨宏房地产开发建设有限公司,134栋,968户
