小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
裕隆公寓,"(固安固安)新源街278号,新源街280号",7565,2008年建成 ,塔板结合,1元/平米/月,固安县顺泰物业服务有限公司, 重庆桥达茂宸房地产开发有限公司,6栋,450户
紫金城,(广阳广阳)北凤道紫禁城,7304,2009年建成 ,塔楼/板楼,2.3元/平米/月,暂无信息,廊坊市盛德房地产开发有限公司,4栋,1100户
第6街区,(广阳广阳)丰盛路第6街区,7691,2005年建成 ,塔楼/板楼/塔板结合,1.5至1.8元/平米/月,华夏幸福基业物业服务有限公司,暂无信息,4栋,646户
上善颐园西区,(广阳广阳)银河路上善颐园西区,当前网页找不到元素（价格）,暂无信息 ,板楼,1.8元/平米/月,廊坊市新奥物业服务有限公司,廊坊新奥房地产开发有限公司,2栋,2户
K2狮子城银河湾公寓,(安次安次)银河南路K2狮子城二期北区,6846,2013年建成 ,塔楼,2.8元/平米/月,廊坊市乔戈里物业服务有限公司,暂无信息,12栋,2467户
五处家属楼,(香河香河)康平路五处家属楼,5899,2000年建成 ,板楼,暂无信息,暂无信息,香河县城镇房地产综合开发有限公司香河分公司,3栋,81户
燕都鑫城,(香河香河)京津路27号,7526,2005年建成 ,塔板结合,1.5元/平米/月,暂无信息,三强实业集团,13栋,2363户
苏荷糖,(广阳广阳)光明东道世锦名城,7224,2012年建成 ,塔楼/板楼,1.5至1.8元/平米/月,暂无信息,衡水圣龙房地产开发有限公司,14栋,2945户
钻石国际,(安次安次)常甫路8号,6955,2010年建成 ,塔楼,1.9元/平米/月,圣龙物业,廊坊市盛通房地产开发有限公司,1栋,627户
京津花园A区,(香河香河)双兴南路京津花园A区,6727,2005年建成 ,板楼/塔板结合,0.45至0.46元/平米/月,暂无信息,三强实业集团,26栋,1253户
裕龙小区,(香河香河)裕龙小区,7683,2000年建成 ,板楼,0.5至0.8元/平米/月,暂无信息,三强实业集团,7栋,321户
教师公寓,(廊坊经济技术开发区开发区其它)叶圣陶路教师公寓,6333,2000年建成 ,塔楼/板楼,0.6至1.6元/平米/月,暂无信息,重庆交院江南大学城置业有限公司,28栋,817户
县联社住宅小区,(香河香河)矬口村后县联社住宅小区,5537,2002年建成 ,板楼,暂无信息,暂无信息,三强实业集团,4栋,160户
