小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
大王屯北街,(龙亭区大王屯商圈)大王屯北街,3474,板楼,10元/平米/月,河南长基物业服务有限公司,河南民安置业集团,15栋,474户
药厂家属院,(禹王台区火车站商圈)东闸口街药厂家属院,3118,板楼,0.1元/平米/月,无物业,暂无信息,11栋,298户
仪北街,(顺河区顺河商圈)仪北街,3728,板楼,0.1至1元/平米/月,暂无信息,暂无信息,6栋,129户
福祥花园,(尉氏县尉氏县)文化西路福祥花园,3812,塔板结合,暂无信息,暂无信息,暂无信息,5栋,241户
一品百合,(杞县杞县)建设路一品百合,3718,未知类型,暂无信息,暂无信息,暂无信息,3栋,141户
阳光丽景,(通许县通许商圈)文卫路183号,3440,未知类型,暂无信息,暂无信息,暂无信息,10栋,339户
假日澜湾,(通许县通许商圈)文卫路假日澜湾,3750,未知类型,暂无信息,暂无信息,暂无信息,7栋,304户
凯旋城,(通许县通许商圈)行政路凯旋城,3536,未知类型,暂无信息,暂无信息,暂无信息,7栋,470户
祥奕景苑,(兰考县兰考县)文明路祥奕景苑,3770,未知类型,暂无信息,暂无信息,暂无信息,6栋,324户
富民园区,(兰考县兰考县)迎宾大道富民园区,3705,未知类型,暂无信息,暂无信息,暂无信息,15栋,702户
顺发苑,(顺河区海洋馆商圈)解放路顺发苑,2384,板楼,0.4元/平米/月,暂无信息,顺达物来集团,1栋,50户
裕华公寓,(鼓楼区相国寺商圈)中山路中段90号,3805,板楼,10元/平米/月,暂无信息,厦门金鹿经济建设发展公司,1栋,24户
汴东社区,(顺河区顺河商圈)公园路东街5号,3417,板楼,暂无信息,暂无信息,暂无信息,7栋,291户
文西小区,(祥符区世纪商圈)文化大道143号,2718,未知类型,暂无信息,暂无信息,暂无信息,13栋,328户
中山路南段60号华泰商住楼,(禹王台区火车站商圈)中山路南段60号,3934,板楼,1元/平米/月,祥和物业,南油物业,2栋,169户
东郊乡人民政府家属院,(顺河区东信商圈)新曹路东郊乡人民政府家属院,3083,未知类型,暂无信息,暂无信息,暂无信息,3栋,38户
宋门关南街34号,(顺河区海洋馆商圈)宋门关南街34号,2722,未知类型,暂无信息,暂无信息,暂无信息,3栋,68户
东郊二院家属院,(顺河区顺河商圈)汴京路东郊二院家属院,3783,板楼,暂无信息,暂无信息,暂无信息,5栋,128户
上城公馆,(杞县杞县)南关大街25号,2878,未知类型,暂无信息,暂无信息,暂无信息,15栋,924户
轴承厂家属院,(顺河区顺河商圈)新曹路25号,3738,板楼,暂无信息,暂无信息,暂无信息,7栋,208户
黄金公寓,(鼓楼区市政府商圈)西环路中段9号,3335,未知类型,暂无信息,暂无信息,暂无信息,3栋,195户
西后街3号院,(禹王台区火车站商圈)西后街3号院,3583,板楼,1元/平米/月,暂无信息,上好建设,1栋,102户
食品公司家属院,(禹王台区火车站商圈)新门关街43号,3730,板楼,1元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,3栋,46户
苹果园西北区,(顺河区铁塔商圈)东环北路苹果园西北区,2609,板楼,暂无信息,暂无信息,暂无信息,6栋,156户
新华住宅小区,(鼓楼区相国寺商圈)新华东街120号,3782,板楼,1.5元/平米/月,暂无信息,	西安大德房地产开发有限公司,6栋,131户
公园路锅炉厂家属楼,(顺河区顺河商圈)公园路锅炉厂家属楼,2443,未知类型,暂无信息,暂无信息,暂无信息,3栋,23户
化肥厂家属院,(顺河区顺河商圈)工农路化肥厂家属院,3558,未知类型,暂无信息,暂无信息,暂无信息,7栋,114户
钢丝绳厂家属楼,(顺河区顺河商圈)曹门关南街钢丝绳厂家属楼,3571,板楼,0.3元/平米/月,暂无信息,暂无信息,5栋,140户
胭脂河E区,(鼓楼区相国寺商圈)前新华街胭脂河E区,2990,塔板结合,1元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,2栋,79户
重工路26号院,(顺河区顺河商圈)重工路26号院,3213,板楼,暂无信息,暂无信息,暂无信息,7栋,180户
轴承厂家属院,(顺河区顺河商圈)新曹路25号,3738,板楼,暂无信息,暂无信息,暂无信息,7栋,208户
黄金公寓,(鼓楼区市政府商圈)西环路中段9号,3335,未知类型,暂无信息,暂无信息,暂无信息,3栋,195户
馆驿街小区,(鼓楼区相国寺商圈)馆驿街41号,3552,板楼/塔板结合,1元/平米/月,深圳市开元国际物业管理有限公司,张家口四方馆置业有限公司,7栋,338户
东郊乡人民政府家属院,(顺河区东信商圈)新曹路东郊乡人民政府家属院,3083,未知类型,暂无信息,暂无信息,暂无信息,3栋,38户
三胜社区,"(禹王台区火车站商圈)机场北路三胜社区, 机场北路西段3号",3523,塔板结合,1元/平米/月,暂无信息,三强实业集团,6栋,208户
中山路南段60号华泰商住楼,(禹王台区火车站商圈)中山路南段60号,3934,板楼,1元/平米/月,祥和物业,南油物业,2栋,169户
重工路26号院,(顺河区顺河商圈)重工路26号院,3213,板楼,暂无信息,暂无信息,暂无信息,7栋,180户
民生街78号,(禹王台区火车站商圈)民生街78号,2728,塔板结合,0.1元/平米/月,开封枫华物业服务有限公司, 西安保亿名卓置业有限公司,2栋,68户
劳动路社区,(顺河区顺河商圈)汴京路劳动路社区,3105,塔楼/塔板结合,暂无信息,暂无信息,暂无信息,15栋,215户
新华住宅小区,(鼓楼区相国寺商圈)新华东街120号,3782,板楼,1.5元/平米/月,暂无信息,	西安大德房地产开发有限公司,6栋,131户
土城中街202号,(龙亭区鼎立商圈)土城中街202号,3097,板楼,1元/平米/月,暂无信息,上海开封物业有限公司,3栋,47户
惠园新村南区,(鼓楼区相国寺商圈)中山路中段惠园新村南区,3653,未知类型,暂无信息,暂无信息,暂无信息,3栋,43户
顺河区外办楼,(顺河区顺河商圈)泰兴街顺河区外办楼,2610,未知类型,暂无信息,暂无信息,暂无信息,1栋,10户
开化社区,(顺河区顺河商圈)工农路开化社区,3337,板楼,暂无信息,暂无信息,暂无信息,20栋,1092户
药厂中区家属院,(禹王台区火车站商圈)机场北路药厂中区家属院,3129,未知类型,暂无信息,暂无信息,暂无信息,22栋,856户
劳动路44号院,(顺河区顺河商圈)劳动路44号院,3029,板楼,0.1元/平米/月,暂无信息,暂无信息,2栋,102户
仪北小区,(顺河区顺河商圈)仪北街31号,3553,板楼,0.3元/平米/月,暂无信息,暂无信息,18栋,430户
北郊乡政府家属院,(龙亭区开大商圈)北关街三街217号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,2栋,72户
赵屯新村,(龙亭区大王屯商圈)东赵屯路赵屯新村,2617,塔板结合,1元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,3栋,114户
禹南新村,(禹王台区火车站商圈)机场北路禹南新村,2756,未知类型,暂无信息,暂无信息,暂无信息,15栋,530户
铁塔西街六号院,(龙亭区龙亭商圈)铁塔西街6号,3681,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
