小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
玉林小区,(张北县张北县)公园路玉林小区,3679,板楼/塔板结合,0.42至19元/平米/月,张家口洁雅物业服务有限公司,上海玉林置业有限公司,14栋,772户
胜利路60号院,(宣化区宣化区)胜利路60号,2914,板楼,0.5至1元/平米/月,无物业管理服务,无开发商,13栋,846户
春晖小区,(宣化区宣化区)春阳街春辉小区,2849,板楼/塔板结合,0.5至3元/平米/月,张家口惠安苑物业管理有限公司,东汇房地产,28栋,2427户
中都时代花园,(张北县张北县)张库大道62号,3819,板楼,0.36至19元/平米/月,金碧物业,张北建兴投资有限公司,15栋,846户
顺城街2号院,(宣化区宣化区)顺城街2号,3929,板楼/塔板结合,0.1至1元/平米/月,暂无信息,宣化县泰鼎投资管理有限公司,41栋,2314户
鑫乡水岸家园,(张北县张北县)后洗公路鑫乡水岸家园,2763,板楼,0.36至0.5元/平米/月,张家口嘉家物业服务有限公司,淮安水岸风情置业有限公司,8栋,541户
泰生花园,(张北县张北县)兴华西路泰生花园,3555,板楼/塔板结合,0.45至30元/平米/月,张家口建张凯瑞物业服务有限公司,上海泰生置业发展有限公司,10栋,420户
宣府大街108号院,(宣化区宣化区)宣府大街108号,3893,板楼,暂无信息,暂无信息,暂无信息,2栋,96户
东关新民居小区,(张北县张北县)北辰东路东关新民居小区,3516,板楼/塔板结合,0.4至0.58元/平米/月,中瑞物业有限公司,河北宏昊房地产开发有限公司,13栋,490户
天顺小区,(张北县张北县)工业南街天顺小区,3797,板楼,0.5至4.3元/平米/月,暂无信息,张北县天顺房地产开发有限公司,3栋,278户
外贸小区,(张北县张北县)工业南街外贸小区,3898,板楼,0.4至0.5元/平米/月,张北安顺商贸有限公司,张北县弘景房地产开发有限公司张北分公司,3栋,312户
清华怡园,(张北县张北县)永义南大街清华怡园,4006,塔楼/板楼/塔板结合,0.38至0.5元/平米/月,张家口亿家物业服务有限公司,张北县弘景房地产开发有限公司张北分公司,11栋,649户
永康艺兴苑小区,(康保县康保县)永安大街永康艺兴苑小区,3063,未知类型,暂无信息,暂无信息,暂无信息,9栋,442户
富源小区,(沽源县沽源县)人民街富源小区,3482,未知类型,暂无信息,暂无信息,暂无信息,25栋,1231户
长春路11号院,(宣化区宣化区)长春路11号院,3845,板楼,0.2元/平米/月,无物业管理服务,无,1栋,60户
陈羊沟新民居,(张北县张北县)林荫大道陈羊沟新民居,3065,板楼,0.36至5元/平米/月,张运物业管理中心,张北县弘景房地产开发有限公司张北分公司,17栋,1349户
福安商住,(张北县张北县)张北镇定远西路2-5号,3906,板楼,0.45至3.6元/平米/月,暂无信息,物业和度娘都不知道开发商名称,6栋,528户
天宝花园,(张北县张北县)白山街2号,3541,板楼/塔板结合,0.3至20元/平米/月,张家口市天宝物业服务有限公司,张北建兴投资有限公司,5栋,157户
福安小区西区,(张北县张北县)永义北大街福安小区西区,3833,板楼,0.45元/平米/月,暂无信息,张北富达房地产开发公司,3栋,118户
燕赐福地5,(张北县张北县)兴和路38号,3753,板楼,0.4元/平米/月,暂无信息, 西安保亿名卓置业有限公司,7栋,198户
长河湾小区,(张北县张北县)永春北大街长河湾小区,3728,板楼,0.3至5元/平米/月,张北县永安物业服务有限公司,物业和度娘都不知道开发商名称,9栋,492户
温馨家园南区,(张北县张北县)北辰西路温馨家园北区,2804,板楼,0.3至20元/平米/月,张北县吉民物业服务有限公司,张北建兴投资有限公司,15栋,915户
新世纪小区,(张北县张北县)永春南大街18号,3888,板楼,0.3至0.5元/平米/月,郑州宾至新世纪物业服务有限公司怀来分公司,海城新世纪置业有限公司,6栋,298户
博苑小区,(张北县张北县)张库大道博苑小区,3314,板楼,0.45至0.5元/平米/月,暂无信息,张北县弘景房地产开发有限公司张北分公司,3栋,72户
顺达家园,(张北县张北县)北辰西路顺达家园,3884,板楼,0.45至0.7元/平米/月,暂无信息,暂无信息,4栋,252户
粮苑居,(张北县张北县)永义南大街粮苑居,3745,板楼,3.6元/平米/月,张家口天泰物业服务有限公司,物业和度娘都不知道开发商名称,2栋,80户
富鑫豪园,(张北县张北县)永泰街富鑫豪园,3906,板楼,0.3至5.28元/平米/月,张家口鑫生物业服务有限公司,张北县弘景房地产开发有限公司张北分公司,4栋,252户
新民西小区,(张北县张北县)师范西路新民西小区,3603,板楼,0.5至18元/平米/月,暂无信息,张北县弘景房地产开发有限公司张北分公司,2栋,102户
兴苑东小区,(张北县张北县)永义北大街兴苑东小区,4052,板楼,0.5至8元/平米/月,张北运凯达物业服务有限公司,河北兴苑房地产开发有限公司,7栋,402户
新村新民居西区,(张北县张北县)京都南大街新村新民居西区,3451,板楼/塔板结合,0.4至22元/平米/月,张家口市新景园物业服务有限公司第一分公司,张北县弘景房地产开发有限公司张北分公司,4栋,150户
工商行政管理家属楼,(张北县张北县)永义南大街工商行政管理家属楼,3270,板楼,8元/平米/月,暂无信息,暂无信息,3栋,120户
左庭右院第二季,(万全区万全区)张石高速左庭右院第二季,3861,板楼,1元/平米/月,暂无信息,暂无信息,13栋,595户
东土关街6号院,(宣化区宣化区)东土关街6号,3332,板楼,暂无信息,暂无信息,暂无信息,6栋,364户
福苑小区,(张北县张北县)园林路95号,3521,板楼,0.3至0.5元/平米/月,张北运凯达物业服务有限公司,张北县弘景房地产开发有限公司张北分公司,5栋,316户
宏升庄园,(怀安县怀安县)振兴西街宏升庄园,3786,未知类型,暂无信息,暂无信息,暂无信息,15栋,737户
电厂南四楼,(下花园下花园)公路街电厂南四楼,2332,板楼,0.55元/平米/月,暂无信息,暂无信息,1栋,48户
旧一中家属楼,(张北县张北县)永春南大街旧一中家属楼,3631,未知类型,暂无信息,暂无信息,暂无信息,3栋,141户
和平巷20号院,(宣化区宣化区)和平巷和平巷20号院,2890,未知类型,暂无信息,暂无信息,暂无信息,1栋,105户
亿嘉苑小区,(张北县张北县)永春南大街亿嘉苑小区,3701,未知类型,暂无信息,暂无信息,暂无信息,2栋,150户
张北人大家属楼,(张北县张北县)教育街张北人大家属楼,2767,板楼,3.6元/平米/月,张家口天泰物业服务有限公司,暂无资料,1栋,40户
汽配城小区,(张北县张北县)花溪路汽配城小区,3410,板楼,0.45至3.6元/平米/月,暂无信息,暂无信息,4栋,624户
温馨家园北区,(张北县张北县)北辰西路温馨家园北区,2654,板楼/塔板结合,0.56至8元/平米/月,张运物业管理中心,上海张园建设投资有限公司,8栋,966户
酵母厂家属楼,(张北县张北县)张库大道酵母厂家属楼,3120,板楼,8元/平米/月,暂无信息,暂无信息,1栋,40户
卫生局家属楼,(张北县张北县)永义南大街卫生局家属楼,3603,板楼,8元/平米/月,暂无信息,暂无信息,1栋,90户
张北田禾小区,(张北县张北县)兴和东路张北田禾小区,3787,板楼,0.4至0.45元/平米/月,张家口天实物业服务有限公司,贵州禾田房地产开发有限公司,3栋,124户
农行家属楼,(张北县张北县)永春南大街农行家属楼,3665,板楼,0.4元/平米/月,暂无信息,张北县弘景房地产开发有限公司张北分公司,3栋,81户
燕北家属楼,(张北县张北县)建安东路燕北家属楼,3879,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,30户
警官住宅小区,(张北县张北县)建安东路警官住宅小区,3673,未知类型,暂无信息,暂无信息,暂无信息,3栋,353户
义圣宫路18号院,(宣化区宣化区)义圣宫路18号院,3813,板楼,10元/平米/月,暂无信息,暂无信息,2栋,126户
弈府上城小区,(怀安县怀安县)振兴中街弈府上城小区,2623,未知类型,暂无信息,暂无信息,暂无信息,7栋,588户
城信家园,(康保县康保县)土产路11号,3256,未知类型,暂无信息,暂无信息,暂无信息,14栋,899户
文苑东区,(怀安县怀安县)长胜大街文苑东区,3617,未知类型,暂无信息,暂无信息,暂无信息,5栋,194户
水泥厂家属小区,(宣化区宣化区)宣府大街12号,3446,板楼,暂无信息,暂无信息,暂无信息,6栋,305户
新兴西路5号院,(宣化区宣化区)新兴西路5号,3807,未知类型,暂无信息,暂无信息,暂无信息,1栋,90户
胜利路30号院,(宣化区宣化区)胜利路30号,3547,板楼,暂无信息,无物业管理服务,无,3栋,162户
大北公寓,(宣化区宣化区)响家巷大北公寓,3769,塔楼/板楼,0.45至0.6元/平米/月,张家口市宣化江源物业服务有限公司,张家口市宣化正大房地产开发有限公司,16栋,767户
东土关街9号院,(宣化区宣化区)东土关街9号院,3724,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,72户
农业局家属楼,(张北县张北县)永义南大街农业局家属楼,2990,未知类型,0.5元/平米/月,暂无信息,暂无信息,2栋,40户
胜利路32号院,(宣化区宣化区)胜利路32号院,3777,未知类型,暂无信息,暂无信息,暂无信息,3栋,162户
新兴路4号,(宣化区宣化区)新兴路4号,3458,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,108户
弈府上城小区,(怀安县怀安县)振兴中街弈府上城小区,2623,未知类型,暂无信息,暂无信息,暂无信息,7栋,588户
聚民小区,(怀安县怀安县)柴怀路东15号,2373,未知类型,暂无信息,暂无信息,暂无信息,3栋,216户
水泥厂家属小区,(宣化区宣化区)宣府大街12号,3446,板楼,暂无信息,暂无信息,暂无信息,6栋,305户
新兴西路5号院,(宣化区宣化区)新兴西路5号,3807,未知类型,暂无信息,暂无信息,暂无信息,1栋,90户
胜利路30号院,(宣化区宣化区)胜利路30号,3547,板楼,暂无信息,无物业管理服务,无,3栋,162户
解放路26号院,(宣化区宣化区)解放路26号院,3314,未知类型,暂无信息,暂无信息,暂无信息,2栋,100户
铁路机务楼,(桥东区桥东区)德胜北街铁路机务楼,3166,未知类型,暂无信息,暂无信息,暂无信息,1栋,98户
西草市街6号院,(宣化区宣化区)西草市街6号院,3613,板楼,暂无信息,暂无信息,暂无信息,1栋,72户
税务局住宅楼,(下花园下花园)菜园街税务局住宅楼,3387,板楼,暂无信息,下花园区家园物业有限责任公司,暂无信息,1栋,1户
阳光第一城小区,(怀安县怀安县)东辰路阳光第一城小区,3057,未知类型,暂无信息,暂无信息,暂无信息,17栋,981户
铁路列检楼,(下花园下花园)花园街东二巷4号,3686,未知类型,暂无信息,暂无信息,暂无信息,1栋,90户
电力局家属楼,(张北县张北县)永义南大街电力局家属楼,3513,未知类型,暂无信息,暂无信息,暂无信息,2栋,21户
新兴路6号院,"(宣化区宣化区)新兴路6号院,新兴路6号",3579,板楼,暂无信息,暂无信息,暂无信息,1栋,19户
东城墙南路8号院,(宣化区宣化区)东城墙南路8号院,3487,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,90户
