小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
碧桂园十里银滩水蓝天,(惠东惠东沿海)碧桂园.十里银滩.水蓝天,7081,塔板结合,2.3元/平米/月,广东省惠州市碧桂园物业发展有限公司,碧桂园集团,9栋,6873户
碧桂园.十里银滩.海悦湾,(惠东惠东沿海)石化大道东碧桂园.十里银滩.海悦湾,7511,塔板结合,2.3元/平米/月,碧桂园物业发展有限公司,碧桂园集团,11栋,6034户
碧桂园.十里银滩.海逸湾北区,(惠东惠东沿海)石化大道东碧桂园.十里银滩.海逸湾,7381,塔板结合,2.3元/平米/月,广东碧桂园物业服务股份有限公司惠东分公司,碧桂园集团,4栋,2561户
都市广场,(惠阳区政府)人民四路53,7447,塔楼/板楼/塔板结合,1.2至4元/平米/月,惠州市玛斯兰德物业管理有限公司,上海中财置业发展有限公司,3栋,2285户
DADA的草地,(大亚湾大亚湾中心区)DADA的草地,7094,塔板结合,1.5至1.6元/平米/月,深圳市彩生活物业管理有限公司惠州分公司,光耀集团有限公司,10栋,2560户
枫叶雅堤,(惠阳白云新城)内环路64号,7543,塔楼/塔板结合,1.2至1.3元/平米/月,惠州山子物业, 深圳市万龙靓投资发展有限公司,7栋,651户
碧桂园.十里银滩.山林海一区,(惠东惠东沿海)碧桂园.十里银滩.山林海一区,6033,塔板结合,2.3元/平米/月,碧桂园物业管理有限公司,碧桂园集团,9栋,2813户
碧桂园.十里银滩.山林海二区,(惠东惠东沿海)碧桂园.十里银滩.山林海二区,6048,塔板结合,2.3元/平米/月,广东碧桂园物业服务股份有限公司惠东分公司,碧桂园控股有限公司,12栋,5361户
碧桂园十里银滩爱琴海,(惠东惠东沿海)207县道碧桂园十里银滩爱琴海,7787,塔板结合,2.3元/平米/月,碧桂园物业发展有限公司,暂无信息,8栋,3314户
碧桂园十里银滩海云天,(惠东惠东沿海)碧桂园.十里银滩.海云天,6845,塔板结合,2.3元/平米/月,暂无信息,暂无信息,3栋,3675户
富苑新村,(大亚湾灿邦)吉祥东路2号,6866,塔板结合,1至1.01元/平米/月,惠州市惠阳区富康实业物业管理有限公司, 陕西亿润经贸有限公司 ,9栋,321户
碧桂园十里银滩迎海北区,(惠东惠东沿海)石化大道东碧桂园十里银滩迎海,6846,塔板结合,2.3元/平米/月,广东省惠州市碧桂园物业发展有限公司,碧桂园集团,5栋,2800户
花样年花郡,(大亚湾大亚湾中心区)花样年花郡,7806,塔楼/塔板结合,1.2至1.4元/平米/月,花样年物业管理,花样年地产,18栋,1901户
渝景湾花园四期,"(大亚湾澳头)大亚湾, 洗马湖路2号",5967,塔板结合,1.5元/平米/月,惠州市大亚湾华宇实业有限公司, 深圳市万龙靓投资发展有限公司,3栋,602户
东方国际,(惠阳开城大润发)人民六路8,6864,塔板结合,1.2元/平米/月,嘉苑物业管理有限公司,东方洋铭国际边贸城有限公司,1栋,270户
海日大厦,(大亚湾澳头)海日大厦,6902,塔板结合,1.4元/平米/月,暂无信息,山西日日高房地产开发有限公司,1栋,320户
惠原小区,(惠阳区政府)淡水,7119,塔板结合,1.2至1.5元/平米/月,其他物业公司,惠州天地源房地产开发有限公司,13栋,880户
中恒世纪广场,(惠阳开城大润发)淡水人民五路琼苑大酒店北侧,7295,塔楼/塔板结合,1.2元/平米/月,中恒物业,广信集团,2栋,573户
中铭君豪公寓,(大亚湾万达)响水北路3,6076,塔楼/塔板结合,1.2元/平米/月,深圳彩生活物业管理公司,惠州市惠阳区金德明实业有限公司,4栋,781户
润福苑,(惠阳区政府)淡水土湖兴湖路,7737,塔板结合,1.2至1.5元/平米/月,惠州市润兴实业有限公司,惠州市润兴实业有限公司 ,2栋,238户
宏坤花园,(惠阳开城大润发)宏坤花园,5294,板楼,1元/平米/月,暂无信息,海伦市宏坤投资管理有限公司,8栋,224户
兴湖路22号,(惠阳草洋新区)兴湖路22号,6168,板楼/塔板结合,1.2至1.5元/平米/月,惠州乐郡物业管理有限公司, 合肥万科瑞翔地产有限公司,8栋,186户
庄士花园,(惠阳开城大润发)惠阳区开城大道南165号,7468,塔楼,1至1.2元/平米/月,惠州市京诚房地产开发有限公司,德丰地产,14栋,914户
锦惠大厦,(惠阳开城大润发)开城大道北6号,6241,塔楼,1.2至2.5元/平米/月,惠州市金宏泰贸有限公司, 重庆汇东房地产开发有限公司,3栋,472户
新际首座,(大亚湾大亚湾中心区)中兴五路118号,7050,塔板结合,1.3至1.86元/平米/月,深圳彩生活物业管理公司,惠州大亚湾新际房地产开发有限公司				,2栋,723户
第一城,(惠阳区政府)三阁小区,6769,塔板结合,1至1.2元/平米/月,暂无信息,广东粤丰投资集团,4栋,408户
嘉兴苑,(惠阳新行政区)嘉兴苑,7724,塔楼,1.5至1.51元/平米/月,暂无信息,广东嘉益企业有限公司,4栋,456户
金信楼,(惠阳草洋新区)大华2路46号,4850,平房,1.2元/平米/月,惠州大亚湾利家物业管理有限公司,湖北金信投资置业有限公司,1栋,35户
四季花语雅苑,(大亚湾澳头)新澳大道四季花语雅苑,7685,塔楼,1.3元/平米/月,凯盛物业,"""浙江富园房地产开发有限公司",4栋,394户
海天阳光花园,"(大亚湾澳头)海天阳光花园, 澳头新澳大道70号",7363,塔楼,1.2元/平米/月,惠州恒泰物业,大连长兴海天置业有限公司,4栋,762户
铁湖书院,(惠阳开城大润发)铁湖8村铁湖北路2号,7135,塔板结合,0.4至1.6元/平米/月,惠州市腾辉通实业有限公司,四川铁投湖锦置业有限公司,11栋,862户
欢洋苑,(惠阳开城大润发)开城大道南路20号,4901,塔板结合,0.4至1.2元/平米/月,暂无信息,秋弄开发有限公司,6栋,283户
东海花园,(惠阳开城大润发)开城大道东海花园,5621,塔板结合,0.7元/平米/月,东海花园物业,暂无信息,1栋,217户
康汇花园,(大亚湾大亚湾中心区)中兴五路108号,6794,塔楼,1.5至1.6元/平米/月,深圳彩生活物业管理公司,华人汇康（北京）置业有限公司,7栋,359户
中豪国际,(惠阳区政府)淡水镇白云三路广进酒店对面,5963,塔板结合,1.2元/平米/月,深圳彩生活物业管理公司,惠州市中豪实业有限公司 ,1栋,396户
玫瑰华庭,(惠阳草洋新区)承修四路,7036,板楼,1.2元/平米/月,玫瑰华庭物业, 重庆汇东房地产开发有限公司,5栋,159户
假日酒店公寓,(大亚湾澳头)大亚湾澳头镇安惠大道1号,6921,塔板结合,1.86元/平米/月,暂无信息,上海洲际房地产开发公司,2栋,1066户
恒和苑,"(惠阳三和经济开发区)联星路88号,御和一路2号",6014,塔楼,1元/平米/月,惠州市嘉诚物业开发有限公司,三门恒和房地产开发有限公司,4栋,104户
四海花园,(惠阳草洋新区)石湖路10号附近,6431,塔板结合,1元/平米/月,四海花园物业,暂无信息,10栋,354户
博雅苑,(惠阳开城大润发)博雅苑,7458,塔楼/板楼,1至1.2元/平米/月,惠州市昶晓实业有限公司,北京北大博雅投资有限公司,4栋,477户
锦上花,(惠阳开城大润发)淡水镇二路22号,7087,塔楼,1.2至1.81元/平米/月,深圳花样年物管顾问,惠州南海旅游公司,2栋,169户
华宇大厦,"(惠阳开城大润发)开南大道南125号, 开城大道南125号",6174,塔楼,1.2元/平米/月,暂无信息,华宇置业,1栋,153户
惠丰楼,(惠阳开城大润发)惠康东路1巷10,6355,塔板结合,1.81元/平米/月,暂无信息,德丰地产,1栋,64户
华彩公馆,(大亚湾大亚湾中心区)大亚湾澳头中兴北路169号,7385,板楼/塔板结合,1.25至1.32元/平米/月,深圳市彩生活物业管理有限公司惠州分公司, 海南华彩置业有限公司,2栋,298户
