小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
交通公寓,(天府新区南区仁寿)陵州路一段405号,3488,暂无信息 ,板楼,暂无信息,小区物管处,暂无信息,3栋,100户
甘孜州邮电小区,(温江温江老城)迎晖路71号,3503,1996年建成 ,板楼/塔板结合,1元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,2栋,40户
天府家园,(温江温江大学城)利兴路东段555号,3807,2000年建成 ,板楼,1元/平米/月,业主自筹物业,无开发商,87栋,3121户
都江堰市司法局家属区住宅楼,(都江堰都江堰)玉带桥街103号,4754,2005年建成 ,平房,12元/平米/月,暂无信息,东海县安康房地产开发有限公司,2栋,28户
龙潭湾,(都江堰都江堰)走马河西路上段256号,4092,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
银杏公寓(都江堰),(都江堰都江堰)外北街738号,4538,1990年建成 ,板楼/塔板结合,0.5至1.5元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,6栋,326户
江安东一街6号附2号院,(都江堰都江堰)江安东一街6号附2号,4622,2005年建成 ,塔楼,6元/平米/月,成都嘉宝物业, 重庆汇东房地产开发有限公司,1栋,24户
朝阳北路69号,(彭州彭州)朝阳北路69号,4487,1993年建成 ,板楼/塔板结合/平房,0.2元/平米/月,炎华置信物业管理有限公司,乐清新置信置业有限公司,7栋,215户
安居苑,(彭州彭州)西海北街48号,4853,1998年建成 ,板楼,0.5至0.8元/平米/月,无物业管理服务,无开发商,7栋,262户
湔水生活区,(彭州彭州)陈家路湔水生活区,4849,2000年建成 ,板楼,1.2元/平米/月,成都恒远房地产有限责任公司, 陕西亿润经贸有限公司 ,11栋,462户
瑞通花园,(彭州彭州)朝阳北路159号,4522,2000年建成 ,塔楼/板楼,0.5至0.6元/平米/月,置信物业,福田建设局,5栋,133户
西大街440号,(彭州彭州)西大街440号,4504,1995年建成 ,塔板结合/平房,0.5元/平米/月,暂无信息,福田城建有限公司,6栋,221户
北大街69号,(彭州彭州)北大街69号,4367,1998年建成 ,板楼,0.4元/平米/月,暂无信息,单位自建,3栋,85户
江安西二街13-15-3号,(都江堰都江堰)江安西二街13-15-3号,4058,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
草甸苑,(彭州彭州)新民东街8号,4782,1998年建成 ,板楼/塔板结合,0.5至30元/平米/月,成都成沁,成都铁路局,5栋,126户
光明街65号,(都江堰都江堰)光明街65号,4881,1995年建成 ,板楼,30元/平米/月,四川铁投晟瑞翔物业管理有限公司,哈尔滨浦发投资有限公司,1栋,35户
西南市街15号,(彭州彭州)西南市街15号,4839,2008年建成 ,平房,0.5元/平米/月,门卫物业,无,5栋,75户
南大街319号院,(彭州彭州)南大街319号,4677,1995年建成 ,板楼,0.9元/平米/月,暂无信息,无开发商,2栋,56户
西大街241号,(彭州彭州)西大街241号,4297,1995年建成 ,板楼,0.4元/平米/月,暂无信息,无,2栋,36户
金融街36号,(彭州彭州)金融街36号,4573,1993年建成 ,板楼,0.1元/平米/月,业主自筹物业,单位自建,1栋,106户
彭州市国税局住宅楼,(彭州彭州)翠湖路76号,4210,1995年建成 ,塔板结合,0.3至1.2元/平米/月,暂无信息,单位自建,2栋,54户
洪安苑,(彭州彭州)金彭中路189号,4589,2004年建成 ,板楼,0.3至1元/平米/月,暂无信息,无开发商,2栋,63户
彭州市审计局,(彭州彭州)利民巷4号,4685,2004年建成 ,平房,0.4元/平米/月,港中旅物业管理（深圳）有限公司,四川建筑公司,2栋,32户
金余北路,(彭州彭州)金余北路,4722,2003年建成 ,板楼,暂无信息,暂无信息,单位自建,69栋,345户
光明街27号,(都江堰都江堰)光明街27号,4566,2007年建成 ,平房,暂无信息,暂无信息,台湾开发商,1栋,32户
真武巷13号,(郫都郫县城区)真武巷13号,4001,2000年建成 ,板楼/塔板结合,1元/平米/月,成都万达商业广场管理有限公司,万达广场,2栋,48户
鱼凫嘉苑,(郫都郫县城区)胜利南街577号,4723,2000年建成 ,板楼,0.5元/平米/月,街道办事处（居委会）代管物业,无开发商,12栋,270户
勤俭巷101号,(新都新都城区)勤俭巷101号,4387,1996年建成 ,板楼,1元/平米/月,小区物业,成都置信集团,1栋,32户
状元街20号,(新都新都城区)状元街20号,4361,2010年建成 ,板楼,1.1元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1栋,41户
金珠湾,(金牛抚琴小区)二环路西三段139号,4856,2000年建成 ,塔楼,2元/平米/月,暂无信息,无开发商,1栋,147户
锦阳商厦,"(青羊太升路)提督街58号附5号, 提督街58号",4821,1997年建成 ,塔楼/板楼,10元/平米/月,成都三和锦阳物业有限公司,无开发商,1栋,279户
人防大厦,(郫都郫县万达)一环路东北段305号,4559,2000年建成 ,板楼,暂无信息,暂无信息,无,1栋,30户
南亭三巷14号,(新都新都城区)上南街155号,4646,1998年建成 ,板楼,0.4元/平米/月,暂无信息,金广物业,1栋,16户
汇都总部园,(高新西高新西)西芯大道5号,4452,2007年建成 ,板楼,0.5元/平米/月,四川东晨物业发展有限公司,东莞汇源集团 ,10栋,294户
电力家属院(温江),(温江温江老城)万春路139号,4672,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2栋,50户
