小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
红旗小区北区,(红旗区洪门)向阳路488号,3583,未知类型,暂无信息,暂无信息,暂无信息,9栋,320户
下河线南街,(牧野区胜利北街)下河线南街,3606,板楼/塔板结合,1元/平米/月,韬和物业管理有限公司,无,12栋,597户
河南省地矿局水文一队家属院东院,(牧野区二十七中)王村镇宏力大道267号,3440,板楼,暂无信息,无物业,无,9栋,341户
同乐花园小区,(卫滨区新乡站)中同路215号,3796,板楼,暂无信息,暂无信息,暂无信息,4栋,205户
龙悦湾,(牧野区北环外)纬一路,2913,板楼,0.8元/平米/月,暂无信息,暂无信息,5栋,52户
卫北市场华中89号院,(牧野区新乡站)解放大道商业银行家属院,3373,板楼,暂无信息,暂无信息,无,2栋,84户
卫滨区新建街二号院,(卫滨区新建街)新建街卫滨区新建街二号院,3156,板楼,暂无信息,暂无信息,物业和度娘都不知道开发商名称,3栋,115户
七六零厂生活区,(牧野区新乡站)建设中路七六零厂生活区,3193,板楼,暂无信息,暂无信息,河南民安置业集团,11栋,384户
惠丰社区,(卫滨区八里营)人民西路八里营惠丰社区,2920,板楼,暂无信息,暂无信息,暂无信息,5栋,72户
豫新6号院,(牧野区胜利北街)建设中路252号,2967,板楼,暂无信息,暂无信息,无,4栋,102户
新运十号院,(卫滨区市中心医院)解放路308号,3323,板楼,暂无信息,暂无信息,暂无信息,4栋,180户
工人北街,(牧野区二中)工人北街,3817,板楼,暂无信息,无物业管理服务,建业住宅集团,7栋,367户
卫滨区围巾厂家属院,(卫滨区新乡站)中同路410号,4583,板楼,暂无信息,无物业管理服务,单位自建,1栋,126户
市二建家属院,(红旗区汽车东站)渠东二路市二建家属院,2696,板楼,暂无信息,无物业管理服务,河南新乡置业集团有限公司,8栋,293户
新粮小区,(卫滨区新建街)解放大道南147号,2891,板楼,暂无信息,暂无信息,物业和度娘都不知道开发商名称,5栋,184户
和谐花园,(凤泉区凤泉区)凤辉线,3312,板楼,0.6元/平米/月,新乡市和谐物业有限公司,河南和谐置业有限公司,7栋,242户
红旗区广电局家属院,(卫滨区人民公园)健康路25号,3484,板楼,0.6元/平米/月,暂无信息,河南九合置业有限公司,3栋,114户
卫滨区水厂家属院,(卫滨区二十七中)中同大街卫滨区水厂家属院,3169,板楼,暂无信息,暂无信息,物业和度娘都不知道开发商名称,5栋,196户
土产日杂公司家属院,(牧野区新乡站)新乡市牧野区宏力大道卫北市场南口,2485,板楼,暂无信息,暂无信息,无开发商,1栋,50户
华源第二人民医院家属院,(牧野区二中)宏力大道388号,2836,板楼,暂无信息,暂无信息,无,2栋,90户
酒精厂家属院,(牧野区水产大世界)和平大道酒精厂家属院,3413,板楼,暂无信息,暂无信息,河南民安置业集团,2栋,80户
红旗区棉麻小区,(红旗区新悦城)华兰大道273号,3622,板楼,0.3元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,5栋,170户
水厂家属院,(牧野区胜利北街)和平大道水厂家属院,2906,未知类型,暂无信息,暂无信息,暂无信息,1栋,45户
黎明花园,(牧野区水产大世界)学院街419号,3596,板楼,0.5元/平米/月,暂无信息,建业集团,5栋,228户
豫新二号院生活C区,(牧野区胜利北街)建设中路豫新二号院生活C区,3787,板楼,暂无信息,暂无信息,暂无信息,3栋,143户
高村路二中小区,(卫滨区八里营)高村路,3585,板楼,暂无信息,暂无信息,暂无信息,2栋,37户
道清路67号,(红旗区光彩)道清路67号,3039,板楼,0.4至1.2元/平米/月,新橙物业管理有限公司,物业和度娘都不知道开发商名称,8栋,240户
中同东街145号,(卫滨区新乡站)中同东街145号,3631,板楼,暂无信息,暂无信息,暂无信息,1栋,48户
钢厂3号院,(牧野区水产大世界)前进路139号,3381,未知类型,暂无信息,暂无信息,暂无信息,3栋,150户
和平路二巷,(红旗区牧野公园)和平路二巷,3656,未知类型,暂无信息,暂无信息,暂无信息,3栋,31户
城上城,(获嘉县获嘉县)新华街城上城,3717,未知类型,暂无信息,暂无信息,暂无信息,20栋,590户
五福家园,(获嘉县获嘉县)振兴街五福家园,3352,板楼,暂无信息,暂无信息,暂无信息,6栋,190户
易居公馆,(获嘉县获嘉县)振兴街易居公馆,2843,未知类型,暂无信息,暂无信息,暂无信息,1栋,50户
恒杰世博庄园,(新乡县新乡县)中央大道恒杰世博庄园,3475,平房,暂无信息,暂无信息,暂无信息,9栋,286户
景园,(获嘉县获嘉县)学府街景园,2028,板楼,暂无信息,暂无信息,暂无信息,28栋,693户
福众花园,(获嘉县获嘉县)南干道福众花园,3377,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
丰泽苑,(原阳县原阳县)解放路丰泽苑,3859,板楼,暂无信息,暂无信息,暂无信息,10栋,224户
阳城人家,(原阳县原阳县)西干道2号,3744,未知类型,暂无信息,暂无信息,暂无信息,5栋,151户
京奥苑南区,(原阳县原阳县)黄河大道京奥苑南区,3697,板楼,1.5元/平米/月,暂无信息,暂无信息,9栋,99户
友谊新村,(卫辉市卫辉市)行政路友谊新村,3449,板楼,暂无信息,暂无信息,暂无信息,4栋,75户
锦绣温泉花园,(延津县延津县)棉东路锦绣温泉花园,3793,未知类型,暂无信息,暂无信息,暂无信息,28栋,1117户
红旗区日报社家属院,(红旗区牧野公园)平原路红旗区日报社家属院,3854,板楼,暂无信息,暂无信息,绿都地产,2栋,96户
卫滨区鑫鑫小区,(卫滨区八里营)人民西路卫滨区鑫鑫小区,3633,板楼,暂无信息,暂无信息,无,3栋,108户
六合园小区,(牧野区胜利北街)建北二路六合园小区,3263,板楼,暂无信息,暂无信息,河南民安置业集团,8栋,211户
红旗区四水厂家属院,(卫滨区新悦城)文化南路185号,3376,板楼,0.3元/平米/月,暂无信息,物业和度娘都不知道开发商名称,2栋,132户
高村路12-4号,(卫滨区二十七中)高村路12-4号楼东单元3层中户,2883,板楼,暂无信息,暂无信息,暂无信息,1栋,7户
罗庄街27号院,(牧野区二中)罗庄街27号院,3547,塔板结合,0.3元/平米/月,自属,暂无信息,2栋,162户
化纤厂3生活区,(凤泉区凤泉区)和谐路化纤厂3生活区,3334,未知类型,暂无信息,暂无信息,暂无信息,12栋,324户
客车厂家属院,(牧野区环宇)新辉东街客车厂家属院,3076,板楼,1元/平米/月,新乡市融通物业,无,1栋,72户
幸福街20号,(卫滨区八里营)幸福街20号,3608,板楼,暂无信息,暂无信息,无开发公司,1栋,30户
中原路123号院,(牧野区万达)中原路123号,3497,板楼,0.5元/平米/月,新乡市和田物业管理有限公司,新乡宝龙置业发展有限公司,1栋,30户
卫滨区新建街4号院,(卫滨区新建街)新建街4号院,2979,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
河南省地矿局环境一院西院,(牧野区二十七中)宏力大道267号,3173,板楼,暂无信息,暂无信息,暂无信息,4栋,110户
新粮大厦,(卫滨区新建街)解放大道143号,3292,未知类型,暂无信息,暂无信息,暂无信息,1栋,42户
西干道二巷,(牧野区黄岗)西干道二巷,2887,塔板结合,1元/平米/月,嘉宝物业,无,2栋,16户
劳动路崔家巷,(红旗区二中)劳动路崔家巷,3246,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
耿庄花园西区,(凤泉区凤泉区)区府路耿庄花园西区,3339,板楼,暂无信息,暂无信息,暂无信息,8栋,302户
珠峰花园,(牧野区北环外)西玛大道珠峰花园,2657,塔楼/板楼,0.3元/平米/月,暂无信息,暂无信息,15栋,112户
漂染厂家属院,(牧野区黄岗)北环路漂染厂家属院,2580,未知类型,暂无信息,暂无信息,暂无信息,4栋,156户
预制厂内,(牧野区黄岗)西干道二巷预制厂内,3471,板楼,暂无信息,无,无开发公司,1栋,78户
锦源小区,(延津县延津县)建设路锦源小区,3704,未知类型,暂无信息,暂无信息,暂无信息,4栋,120户
民安小区,(延津县延津县)西大街民安小区,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,11栋,578户
小黄屯小区,(凤泉区凤泉区)区府路小黄屯小区,3164,板楼,暂无信息,暂无信息,暂无信息,27栋,1869户
平原路303号,(红旗区牧野公园)平原路303号,3862,板楼,暂无信息,豫新物业,开发区建设集团建设开发分公司开发,1栋,24户
