小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
惠山万达商业广场,(惠山堰桥)吴韵路惠山万达商业广场小区,6565,塔板结合,1.95至3.25元/平米/月,大连万象美物业管理有限公司无锡万达分公司,上海能欣置业有限公司,5栋,2306户
香缤公寓,(梁溪广益)广益路307号,7141,塔板结合,2.5元/平米/月,无锡五洲物业管理有限公司,无锡市龙祥投资有限公司,1栋,330户
南禅寺步行街,(梁溪三阳广场)解放南路与中山路交汇处,6347,塔楼,3.2元/平米/月,暂无信息,市政建设,1栋,16户
名人国际南区,(江阴市澄江街道)迎宾路27号,6933,未知类型,1.5元/平米/月,暂无信息,暂无信息,1栋,238户
润洲家园,(惠山前洲)前石路润洲家园,7664,板楼,暂无信息,暂无信息,暂无信息,73栋,4049户
南苑七村,(江阴市高新区)水南路南苑七村,7479,塔板结合,暂无信息,江阴泰禾物业,暂无信息,25栋,720户
五洲国际广场·银河城,(梁溪广益)梁溪区广益路与江海路交汇处,7121,塔楼/板楼,0.5至3.5元/平米/月,无锡市五洲物业有限公司,无锡市龙祥投资有限公司,7栋,2627户
钱巷家园,(惠山洛社)惠洲大道钱巷家园,7223,板楼,暂无信息,暂无信息,暂无信息,7栋,160户
乙画苑,(惠山玉祁)惠山区玉祁镇，东至振祁路，南至暮桥路，北至规划新桥路,7492,板楼/塔板结合,1至1.5元/平米/月,无锡惠灵物业管理有限公司,保润（无锡）置业有限公司,4栋,161户
园区新村,(江阴市徐霞客镇)立丰路56号,5807,未知类型,暂无信息,暂无信息,暂无信息,72栋,72户
桃香苑B区,(惠山阳山)安阳山路桃香苑B区,7589,未知类型,暂无信息,暂无信息,暂无信息,18栋,759户
长福花苑,(江阴市周庄镇)培元路171号,6386,板楼,1.5元/平米/月,小区物业,恒基实业,5栋,126户
新桥花园(江阴市),(江阴市新桥镇)康宁路1号,5952,未知类型,暂无信息,暂无信息,暂无信息,53栋,1091户
长和馨苑,(江阴市周庄镇)长寿路9号,7762,塔板结合,1.5元/平米/月,宜兴市金张渚物业管理有限公司张渚农贸市场分公司,暂无信息,6栋,176户
长南新村,(江阴市周庄镇)长荣路80号,6108,板楼,1.2元/平米/月,宜兴市久盛物业管理有限公司,长阳城房产开发总司,10栋,356户
