小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
世茂江滨商业中心,(钱塘区沿江南)14号大街世茂江滨商业中心,当前网页找不到元素（价格）,暂无信息 ,塔楼/板楼,2.98至3元/平米/月,北京天鸿宝地物业管理经营有限公司,杭州世茂置业有限公司,5栋,2155户
保利湾天地,(钱塘区沿江南)22号大街保利湾天地,当前网页找不到元素（价格）,暂无信息 ,塔楼/板楼,2.23至2.95元/平米/月,保利物业管理有限公司杭州分公司,浙江保利房地产开发有限公司,9栋,2118户
万宝城,"(临平区东湖)荷禹路万宝城, 振兴西路126-5号, 振兴西路126-5-303号, 振兴西路126-5-304号",当前网页找不到元素（价格）,暂无信息 ,塔楼,3.9至4.56元/平米/月,绿城物业服务集团有限公司杭州第一分公司,浙江卓伟置业有限公司,6栋,4680户
东裕华庭,(钱塘区大江东)经五路东裕华庭,当前网页找不到元素（价格）,暂无信息 ,板楼,1.98至2.01元/平米/月,杭州天骐物业管理有限公司,纳智捷（杭州）置业有限公司,7栋,1861户
保利湾天地二期,(钱塘区沿江南)19号大街保利东湾天地二期,当前网页找不到元素（价格）,暂无信息 ,塔楼/板楼/平房,1至5元/平米/月,保利物业管理有限公司杭州分公司,浙江保利房地产开发有限公司,8栋,2002户
金隅空港公馆,(钱塘区沿江南)下沙经济技术开发区24号大街与19号交汇处东南角,当前网页找不到元素（价格）,暂无信息 ,塔板结合,2.6至2.65元/平米/月,深圳市公元物业管理有限公司杭州分公司,金隅（杭州）房地产开发有限公司,5栋,1115户
华元十六街区,(钱塘区高教园区西)2号大街22号,当前网页找不到元素（价格）,暂无信息 ,板楼/塔板结合,1.97至1.98元/平米/月,杭州海都物业有限公司,杭州华元房地产开发有限公司,2栋,869户
金沙居,(钱塘区高教园区东)学正路25号,当前网页找不到元素（价格）,暂无信息 ,塔楼,1.3元/平米/月,杭州海都物业有限公司,杭州中庆房地产发展有限公司,2栋,1113户
欣北钱江国际广场,(临平区塘栖)顺风路,当前网页找不到元素（价格）,暂无信息 ,塔楼/塔板结合,2.5至2.61元/平米/月,浙江新南北物业管理有限公司,浙江新宸宜投资有限公司  ,6栋,2928户
筑境花园,(临安临安)环北路289号,当前网页找不到元素（价格）,暂无信息 ,板楼,1.1至2.5元/平米/月,三佳物业管理有限公司,太原三佳房地产开发有限公司,75栋,1674户
盛泰名都中心,(钱塘区高教园区西)5号大街盛泰名都中心,当前网页找不到元素（价格）,暂无信息 ,板楼,1.2至2.4元/平米/月,浙江广厦物业管理有限公司,浙江盛泰房地产开发有限公司,3栋,1312户
盛泰时代山,(钱塘区高教园区西)4号大街盛泰时代山,当前网页找不到元素（价格）,暂无信息 ,塔板结合,2.59至2.6元/平米/月,杭州华元物业管理有限公司,浙江盛泰房地产开发有限公司,2栋,663户
杭州宏丰家居城宏丰公寓,(余杭闲林)五常荆山湾88号,当前网页找不到元素（价格）,暂无信息 ,板楼,1至1.7元/平米/月,杭州宏丰物业有限公司,杭州宏丰家居材料城有限公司,5栋,738户
吴越人家南区,(临安临安)临水路吴越人家南区,当前网页找不到元素（价格）,暂无信息 ,板楼/塔板结合,1至2元/平米/月,杭州铭成物业管理有限公司,"""浙江富园房地产开发有限公司",23栋,725户
西小河小区,(临平区塘栖)中心街4号,当前网页找不到元素（价格）,暂无信息 ,板楼/塔板结合,0.5至4元/平米/月,水北社区,无开发商,30栋,973户
西子阳光星城,(钱塘区高教园区西)4号大街15-2号,当前网页找不到元素（价格）,暂无信息 ,塔板结合,1.01至4元/平米/月,浙江西子物业管理有限公司,杭州市城建开发集团有限公司,2栋,551户
成龙官山邸,(临安临安)长桥路382号,当前网页找不到元素（价格）,暂无信息 ,板楼,1.5至3.5元/平米/月,浙江中都物业管理有限公司临安分公司  ,临安成龙房地产开发有限公司  ,39栋,340户
望梅路588号,(临平区东湖)望梅路588号,当前网页找不到元素（价格）,暂无信息 ,板楼,0.8至3元/平米/月,浙江中都物业管理有限公司临安分公司  ,杭州杭州湾房地产开发有限公司,16栋,793户
香山四季公馆,(萧山南部卧城)蜀山路与亚太路交汇处,当前网页找不到元素（价格）,暂无信息 ,板楼,2.2至2.3元/平米/月,杭州摩根物业管理有限公司,浙江鼎盛置业发展有限公司,5栋,921户
海联云客里,(临平区东湖)商贸城内望梅路580,当前网页找不到元素（价格）,暂无信息 ,塔楼/板楼,2.5至4.5元/平米/月,海联物业管理有限公司,海联控股集团有限公司 ,3栋,384户
万盛商贸城公寓,(临平区塘栖)顺风路与康信路交汇处,当前网页找不到元素（价格）,暂无信息 ,板楼/塔板结合,2.3至2.5元/平米/月,蓝盛物业管理有限公司,杭州清盛置业有限公司,3栋,547户
之江铭楼,(钱塘区高教园区西)6号大街之江铭楼,当前网页找不到元素（价格）,暂无信息 ,板楼,3.7元/平米/月,杭州东海物业有限公司,杭州久恒置业投资有限公司,1栋,384户
