小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
福川小区,(鹿寨县鹿寨县)建中东路34号,2851,塔板结合,暂无信息,暂无信息,暂无信息,1栋,33户
天地楼,(鹿寨县鹿寨县)太和街天地楼,3588,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
新华书店宿舍,(鹿寨县鹿寨县)南市街29号,3652,未知类型,暂无信息,暂无信息,暂无信息,1栋,54户
新兴家苑,(柳江区柳江商圈)泉南高速新兴家苑,3822,塔楼,0.5元/平米/月,暂无信息,暂无信息,42栋,1330户
新胜安置小区,(鹿寨县鹿寨县)飞鹿大道165号,3886,未知类型,暂无信息,暂无信息,暂无信息,4栋,10户
建中市场,(鹿寨县鹿寨县)建中东路2号,3342,塔楼/板楼/塔板结合,暂无信息,暂无信息,暂无信息,4栋,199户
印刷厂宿舍,(鹿寨县鹿寨县)广场路10号,3615,未知类型,暂无信息,暂无信息,暂无信息,2栋,96户
鹿寨县人民医院职工住宿区,(鹿寨县鹿寨县)政军路鹿寨县人民医院职工住宿区,3798,板楼,暂无信息,暂无信息,暂无信息,8栋,144户
元宝小区,(鹿寨县鹿寨县)通宝路元宝小区,3719,板楼,暂无信息,暂无信息,暂无信息,4栋,42户
桥头路,(鹿寨县鹿寨县)桥头路,2745,未知类型,暂无信息,暂无信息,暂无信息,1栋,6户
水电小区,(鹿寨县鹿寨县)飞鹿大道23号,3802,板楼,暂无信息,暂无信息,暂无信息,2栋,60户
碧绿星城D区,(融水苗族自治县融水苗族自治县)华强路碧绿星城D区,3432,未知类型,暂无信息,暂无信息,暂无信息,3栋,97户
碧绿星城C区,(融水苗族自治县融水苗族自治县)华强路93号,3508,未知类型,暂无信息,暂无信息,暂无信息,2栋,72户
碧绿星城A区,(融水苗族自治县融水苗族自治县)华强路93号,3558,未知类型,暂无信息,暂无信息,暂无信息,4栋,308户
叠翠苑,(融水苗族自治县融水苗族自治县)叠翠路41号,3328,板楼,暂无信息,暂无信息,暂无信息,2栋,20户
建中东路四巷8号,(鹿寨县鹿寨县)建中东路四巷8号,3143,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
建中西路二巷2号,(鹿寨县鹿寨县)建中西路二巷2号,3427,塔板结合,暂无信息,暂无信息,暂无信息,1栋,2户
阳光花园,(鹿寨县鹿寨县)建中南路29号,3874,板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,4栋,282户
富源壹号,(柳城县柳城县)河东大道431号,2970,未知类型,暂无信息,暂无信息,暂无信息,3栋,74户
锦华苑,(柳城县柳城县)河东大道190号,3502,未知类型,暂无信息,暂无信息,暂无信息,10栋,115户
柳城花苑,(柳城县柳城县)向阳路158号,3222,未知类型,暂无信息,暂无信息,暂无信息,10栋,278户
和兴小区,(融安县融安县)大桥东路358号,3202,未知类型,暂无信息,暂无信息,暂无信息,1栋,14户
京都商贸城,(融安县融安县)融江南路124号,3721,未知类型,暂无信息,暂无信息,暂无信息,3栋,304户
三〇九五小区,(融水苗族自治县融水苗族自治县)民族路1号,3352,未知类型,暂无信息,暂无信息,暂无信息,16栋,404户
柳泥小区,(柳南区河西商圈)柳太路62号,3117,塔楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,55栋,679户
柳长路15号之一,(柳北区万科城)柳长路15号之一,3611,未知类型,暂无信息,暂无信息,暂无信息,5栋,21户
隆升小区,(柳城县柳城县)柳糖路隆升小区,3536,未知类型,暂无信息,暂无信息,暂无信息,3栋,253户
莲花城三区,(鱼峰区龙潭公园)柳石路414号,3676,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
雄成国际,(柳城县柳城县)柳糖路49号,3612,未知类型,暂无信息,暂无信息,暂无信息,3栋,90户
电信宿舍,(鹿寨县鹿寨县)建中西路电信宿舍,3568,未知类型,暂无信息,暂无信息,暂无信息,8栋,89户
向阳路95号,(柳城县柳城县)向阳路95号,3683,未知类型,暂无信息,暂无信息,暂无信息,2栋,168户
白阳中路三巷17号,(柳城县柳城县)白阳中路三巷17号,3373,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
罐头厂路59号,(柳城县柳城县)罐头厂路59号,2928,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
江景豪庭,(柳城县柳城县)白阳西路23号,3730,未知类型,暂无信息,暂无信息,暂无信息,3栋,856户
柳堡路428号,(柳江区柳江商业广场)柳堡路428号,3756,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
城中路六巷13号,(柳城县柳城县)城中路六巷13号,3461,板楼,暂无信息,暂无信息,暂无信息,1栋,12户
融洲风情A区,(融水苗族自治县融水苗族自治县)民族路1号,3568,未知类型,暂无信息,暂无信息,暂无信息,14栋,384户
金冠苑玉座,(融水苗族自治县融水苗族自治县)金冠路金冠苑,3753,未知类型,暂无信息,暂无信息,暂无信息,2栋,24户
建中东路四巷8号,(鹿寨县鹿寨县)建中东路四巷8号,3143,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
广场路32号,(鹿寨县鹿寨县)广场路32号,3044,塔板结合,暂无信息,暂无信息,暂无信息,3栋,59户
东方上城,(融安县融安县)融江南路1号,2870,塔楼,1元/平米/月,暂无信息,暂无信息,49栋,2099户
河东大道五巷61号,(柳城县柳城县)河东大道五巷61号,2130,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
阳光丽园,(融水苗族自治县融水苗族自治县)大旗山路20号,3737,板楼,0.4元/平米/月,暂无信息,暂无信息,3栋,100户
朝阳西路47号,(融水苗族自治县融水苗族自治县)朝阳西路47号,3149,未知类型,暂无信息,暂无信息,暂无信息,2栋,45户
柳城大埔商贸城住宅小区,(柳城县柳城县)柳糖路11号,3313,未知类型,暂无信息,暂无信息,暂无信息,7栋,518户
明鑫苑,(鱼峰区柳东新区)柳州市鱼峰区民生南街49号,3634,未知类型,暂无信息,暂无信息,暂无信息,2栋,3户
馨怡花苑,(融水苗族自治县融水苗族自治县)华强路47号,3198,未知类型,暂无信息,暂无信息,暂无信息,3栋,48户
横山泰和苑小区,(融水苗族自治县融水苗族自治县)城南大道横山泰和苑小区,2675,未知类型,暂无信息,暂无信息,暂无信息,1栋,72户
建中北路32号,(鹿寨县鹿寨县)建中北路32号,3735,未知类型,暂无信息,暂无信息,暂无信息,1栋,15户
福星路33号之一,(融水苗族自治县融水苗族自治县)福星路33号之一,3007,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
太和街27号,(鹿寨县鹿寨县)太和街27号,3241,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
电信宿舍,(鹿寨县鹿寨县)建中西路电信宿舍,3568,未知类型,暂无信息,暂无信息,暂无信息,8栋,89户
三〇九五小区,(融水苗族自治县融水苗族自治县)民族路1号,3352,未知类型,暂无信息,暂无信息,暂无信息,16栋,404户
科委生活区,(柳城县柳城县)白阳南路30号,3299,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
柳城中学教师宿舍,(柳城县柳城县)白阳南路55号,3259,未知类型,暂无信息,暂无信息,暂无信息,5栋,120户
白阳南路136号,(柳城县柳城县)白阳南路136号,3649,未知类型,暂无信息,暂无信息,暂无信息,1栋,9户
白阳北路31-32号,(柳城县柳城县)白阳北路31-32号,3071,未知类型,暂无信息,暂无信息,暂无信息,1栋,2户
白阳北路二巷,(柳城县柳城县)白阳北路二巷,3269,未知类型,暂无信息,暂无信息,暂无信息,2栋,4户
城中路三巷,(柳城县柳城县)城中路三巷34号,3284,未知类型,暂无信息,暂无信息,暂无信息,2栋,24户
日田地王国际,(柳城县柳城县)向阳路18号,3603,塔楼,暂无信息,暂无信息,暂无信息,6栋,266户
柳城大埔商贸城住宅小区,(柳城县柳城县)柳糖路11号,3313,未知类型,暂无信息,暂无信息,暂无信息,7栋,518户
碧绿星城B区,(融水苗族自治县融水苗族自治县)华强路93号,3570,未知类型,暂无信息,暂无信息,暂无信息,2栋,108户
河东大道105号,(柳城县柳城县)河东大道105号,2755,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
融洲风情A区,(融水苗族自治县融水苗族自治县)民族路1号,3568,未知类型,暂无信息,暂无信息,暂无信息,14栋,384户
金冠苑玉座,(融水苗族自治县融水苗族自治县)金冠路金冠苑,3753,未知类型,暂无信息,暂无信息,暂无信息,2栋,24户
馨怡花苑,(融水苗族自治县融水苗族自治县)华强路47号,3198,未知类型,暂无信息,暂无信息,暂无信息,3栋,48户
拉堡民族新区,(柳江区昌厦荣府)柳州市柳江区拉堡民族新区3号,3340,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
融水商贸城,(融水苗族自治县融水苗族自治县)朝阳西路41号,3250,未知类型,暂无信息,暂无信息,暂无信息,1栋,27户
白阳东路20号,(柳城县柳城县)白阳东路20号,3301,未知类型,暂无信息,暂无信息,暂无信息,2栋,34户
