小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
桔园小区,(醴陵市醴陵市)立三大道桔园小区,3708,板楼,暂无信息,暂无信息,湖南省轻工盐业集团房地产开发有限责任公司,10栋,456户
瓷城大道89号,(醴陵市醴陵市)瓷城大道89号,2994,塔板结合,暂无信息,暂无信息, 重庆汇东房地产开发有限公司,1栋,36户
果园小区,(石峰区清石广场)果园路果园小区,3411,板楼,0.2至0.6元/平米/月,暂无信息,暂无信息,67栋,1445户
国光花园,(醴陵市醴陵市)花园庵1号,3519,塔板结合,暂无信息,暂无信息, 大理耀鹏房地产开发有限责任公司,7栋,280户
永胜小区,(醴陵市醴陵市)东风路永胜小区,3160,塔楼/板楼,暂无信息,小区业委会,上钞集团,6栋,277户
劳动村,(芦淞区三三一)南华一路劳动村,3363,未知类型,暂无信息,暂无信息,暂无信息,4栋,168户
迎新二村,(芦淞区三三一)株董路迎新二村,3813,未知类型,0.6元/平米/月,暂无信息,暂无信息,12栋,530户
龙山塘小区,(芦淞区中心广场)钟鼓岭路龙山塘小区,3075,塔楼,0.5元/平米/月,暂无信息,暂无信息,7栋,235户
凤凰村,(芦淞区三三一)姜园路凤凰村,2938,未知类型,暂无信息,暂无信息,暂无信息,15栋,386户
珉阁大厦,(芦淞区徐家桥商业步行街)芦淞路149号,3468,塔楼/板楼,暂无信息,暂无信息,上海珉珏置业有限公司,4栋,132户
庆云山一村,(芦淞区徐家桥商业步行街)芦淞路庆云山一村,3897,板楼,暂无信息,没物业,暂无信息,10栋,260户
嵩山公寓,(天元区庐山路)为民路12号,3885,板楼,0.3元/平米/月,暂无信息,暂无信息,2栋,97户
亲和府,(荷塘区向阳广场)桂花路22号,3430,未知类型,暂无信息,暂无信息,暂无信息,2栋,70户
株洲市强戒所干警生活区,(荷塘区向阳广场)新华东路株洲市强戒所干警生活区,3481,未知类型,暂无信息,暂无信息,暂无信息,3栋,57户
金园小区,(荷塘区新华东路)合泰路38号,3796,未知类型,暂无信息,暂无信息,暂无信息,7栋,341户
铁四院一分院,(荷塘区向阳广场)新华东路铁四院一分院,3400,未知类型,暂无信息,暂无信息,暂无信息,5栋,246户
大仙塘小区,(荷塘区荷塘区)康健路大仙塘小区,3894,板楼,暂无信息,暂无信息,暂无信息,24栋,586户
解放街193号,(芦淞区徐家桥商业步行街)沿江南路193号,3416,板楼,暂无信息,暂无信息,暂无信息,1栋,56户
烟山口小区,(荷塘区新华东路)新屋街烟山口小区,2771,塔板结合,10元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,9栋,304户
明德小区,(株洲县株洲县)双月路25号,3873,未知类型,0.6元/平米/月,暂无信息,暂无信息,6栋,182户
丽景佳园小区,(株洲县株洲县)伏波大道丽景佳园小区,3819,未知类型,暂无信息,暂无信息,暂无信息,4栋,70户
熙园小区,(株洲县株洲县)梅苑路熙园小区,3503,未知类型,16元/平米/月,暂无信息,暂无信息,7栋,180户
瑞和春天,(株洲县株洲县)梅苑路瑞和春天,4376,塔楼,1.25元/平米/月,暂无信息,暂无信息,2栋,283户
姚家岭小区,(株洲县株洲县)南江南路姚家岭小区,3398,未知类型,暂无信息,暂无信息,暂无信息,3栋,92户
朝阳小区(荷塘区),(荷塘区荷塘大道)同心东路朝阳小区(荷塘区),3543,板楼/平房,0.6至1.8元/平米/月,暂无信息,暂无信息,36栋,967户
金园大厦,(芦淞区徐家桥商业步行街)建宁街51号,3625,塔楼,0.85元/平米/月,业主委员,四川晋元实业有限公司,1栋,308户
欣月佳园,(芦淞区三三一)北沿路171号,3643,板楼,0.4至0.8元/平米/月,社区管理,暂无信息,33栋,1200户
家华豪庭,(株洲县株洲县)跃达大道家华豪庭,3638,塔楼,1.1元/平米/月,暂无信息,暂无信息,3栋,198户
碧玉家园,(醴陵市醴陵市)左权南路73号,3471,未知类型,暂无信息,暂无信息,暂无信息,1栋,52户
李家冲二村,(石峰区石峰公园)杉木塘路李家冲二村,3894,板楼,15至20元/平米/月,暂无信息,暂无信息,11栋,295户
拥军路2号,(芦淞区高家坳)拥军路2号,3625,未知类型,暂无信息,暂无信息,暂无信息,3栋,42户
杉木塘一村,(石峰区响石广场)杉塘路杉木塘一村,2979,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
碧山花园,(醴陵市醴陵市)泉湖路碧山花园,3270,板楼,暂无信息,暂无信息,暂无信息,3栋,12户
税务局宿舍,(荷塘区红旗广场)文化巷税务局宿舍,3963,塔楼,0.5至20元/平米/月,无物业管理服务,株洲财富兴园置业发展有限公司,3栋,88户
曹家巷一村,(石峰区田心)田红路曹家巷一村,3729,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
振兴家园,(醴陵市醴陵市)玉瓷路振兴家园,3731,塔楼/板楼,暂无信息,暂无信息,暂无信息,2栋,261户
姜湾上正街78号,(醴陵市醴陵市)姜湾上正街78号,3696,未知类型,暂无信息,暂无信息,暂无信息,1栋,18户
桠枝塘福利工厂,(芦淞区高家坳)株董路168号,4410,未知类型,暂无信息,暂无信息,暂无信息,5栋,180户
解放路东段,(醴陵市醴陵市)解放路东段,3493,板楼,暂无信息,暂无信息,开发区建设集团建设开发分公司开发,1栋,20户
中和街115号,(醴陵市醴陵市)中和街115号,3101,板楼,暂无信息,暂无信息,暂无信息,1栋,36户
藕塘冲,(荷塘区东湖)工学院通道藕塘冲,3118,未知类型,暂无信息,暂无信息,暂无信息,2栋,15户
凯旋门,(荷塘区工学院)合泰大街6号,3623,板楼,暂无信息,暂无信息,暂无信息,5栋,107户
锦绣幸福里,(醴陵市醴陵市)左权南路锦绣幸福里,3224,板楼,暂无信息,暂无信息,暂无信息,2栋,48户
大桥南路40号,(醴陵市醴陵市)大桥南路40号,3571,塔楼,暂无信息,无物业管理服务,暂无信息,3栋,56户
建中巷6号,(醴陵市醴陵市)建中巷6号,3871,未知类型,暂无信息,暂无信息,暂无信息,1栋,54户
凤凰街住宅区,(醴陵市醴陵市)凤凰街16号,3533,塔板结合,暂无信息,暂无信息,暂无信息,1栋,784户
漉浦华庭小区,(株洲县株洲县)漉浦大道漉浦华庭小区,3830,未知类型,暂无信息,暂无信息,暂无信息,1栋,144户
月光塘街30号,(醴陵市醴陵市)月光塘街30号,2683,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
株洲县教师村,(株洲县株洲县)伏波大道株洲县教师村,2399,未知类型,暂无信息,暂无信息,暂无信息,6栋,126户
港口街56号,(芦淞区九天国际广场)港口街56号,3377,未知类型,暂无信息,暂无信息,暂无信息,2栋,72户
株洲车辆厂同心村,(荷塘区荷塘大道)同心东路株洲车辆厂同心村,3681,未知类型,暂无信息,暂无信息,暂无信息,9栋,321户
太一街家属楼,(醴陵市醴陵市)滨河路17号,3561,板楼,暂无信息,株洲佳和物业管理有限公司, 上海招平房地产开发有限公司,5栋,211户
江源住宅楼,(醴陵市醴陵市)凤凰街江源住宅楼,3633,板楼,暂无信息,暂无信息,山西长江源房地产开发有限公司,2栋,42户
阳三焦厂,(醴陵市醴陵市)阳三红星街20号,3294,板楼,暂无信息,暂无信息,暂无信息,2栋,138户
方正花园小区,(醴陵市醴陵市)青云南路9号,3732,塔板结合,1元/平米/月,暂无信息,南京恒美家置业有限公司,3栋,78户
南门尚庭苑,(醴陵市醴陵市)中山南路95号,3835,塔楼,0.6元/平米/月,暂无信息,家和集团,2栋,56户
大力新村北区,(荷塘区向阳广场)宋家桥大力新村北区,3624,未知类型,暂无信息,暂无信息,暂无信息,11栋,296户
株洲市芦淞区楠竹小区,(芦淞区高家坳)芦淞路株洲市芦淞区楠竹小区,3286,板楼,暂无信息,暂无信息,暂无信息,2栋,20户
立三路1号,(醴陵市醴陵市)立三路1号,2207,塔楼,0.6元/平米/月,无物业管理服务,无,5栋,310户
陶机小区,(醴陵市醴陵市)阳三石路陶机小区,3624,板楼/平房,暂无信息,无物业管理服务,无开发公司,5栋,128户
解放路65号,(醴陵市醴陵市)解放路65号,3688,塔板结合,暂无信息,暂无信息,无,1栋,25户
泉塘小区,(醴陵市醴陵市)立三大道泉塘小区,3316,板楼/塔板结合,暂无信息,暂无信息,暂无信息,4栋,76户
裕丰广场二区,(荷塘区东湖)合泰路34号,2647,板楼,0.6元/平米/月,暂无信息,上海裕丰房产发展有限公司,1栋,16户
郭家祠堂,(荷塘区红旗广场)红旗南路郭家祠堂,4498,板楼,暂无信息,暂无信息,暂无信息,13栋,74户
王家巷7号,(醴陵市醴陵市)王家巷7号,2732,未知类型,暂无信息,暂无信息,暂无信息,1栋,9户
文化二村,(芦淞区龙泉)文化路文化二村,3023,未知类型,暂无信息,暂无信息,暂无信息,4栋,49户
解放路东段,(醴陵市醴陵市)解放路东段,3493,板楼,暂无信息,暂无信息,开发区建设集团建设开发分公司开发,1栋,20户
曹家巷一村,(石峰区田心)田红路曹家巷一村,3729,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
振兴家园,(醴陵市醴陵市)玉瓷路振兴家园,3731,塔楼/板楼,暂无信息,暂无信息,暂无信息,2栋,261户
锦绣怡乐大楼,(醴陵市醴陵市)泉湖路22号,3757,塔板结合,暂无信息,暂无信息,暂无信息,1栋,20户
鑫源广场,(醴陵市醴陵市)青云南路83号,3353,塔楼,1元/平米/月,暂无信息,上上地产,3栋,92户
南门尚庭苑,(醴陵市醴陵市)中山南路95号,3835,塔楼,0.6元/平米/月,暂无信息,家和集团,2栋,56户
江源住宅楼,(醴陵市醴陵市)凤凰街江源住宅楼,3633,板楼,暂无信息,暂无信息,山西长江源房地产开发有限公司,2栋,42户
