小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金禾苑2号阳光城,(临桂区临桂区)金水路106号,3800,板楼,0.6元/平米/月,暂无信息,富建集团有限公司,8栋,479户
欧洲小镇四区,(灵川灵川)八里三路欧洲小镇四区,3760,板楼,0.2元/平米/月,桂林市华尔物业管理公司,桂林市万鑫房地产开发有限公司,22栋,1483户
七彩小康城,(灵川灵川)八里四路10号,3795,板楼/塔板结合,0.36至0.98元/平米/月,灵川县铭军物业服务有限公司,暂无信息,24栋,1321户
嘉年华小区,(灵川灵川)灵川大道50号,3662,板楼,0.5元/平米/月,无物业公司,暂无信息,9栋,214户
龙福小区,(灵川灵川)八里一路龙福小区,3878,板楼/塔板结合,0.8元/平米/月,暂无信息,暂无信息,20栋,516户
大龙家园,(临桂区临桂区)鲁山路84号,3497,板楼,0.35至0.7元/平米/月,暂无信息,北京市大龙房地产开发公司,4栋,217户
迷你居小区,(灵川灵川)腾龙路2号,3429,板楼,0.5元/平米/月,暂无信息,暂无信息,5栋,254户
环城北一路29号,(叠彩区叠彩区)环城北一路29号,3484,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
桂康园,(临桂区临桂区)桂康路1号,3880,板楼,0.5元/平米/月,桂康园物业服务有限责任公司,暂无信息,3栋,136户
东坡园,(临桂区临桂区)金桂路东坡园,3544,塔楼/板楼,暂无信息,暂无信息,桂林兴盛房地产开发有限责任公司,114栋,395户
金茂小区,(临桂区临桂区)金山路36-1号,3779,塔楼,0.5元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1栋,42户
中仁新区,(临桂区临桂区)中仁路1号,3245,板楼,1.2元/平米/月,暂无信息,中庚集团,3栋,16户
佳兴苑,(灵川灵川)腾龙路6号,3877,板楼,暂无信息,暂无信息,暂无信息,3栋,72户
文华花园,(灵川灵川)川东一路100号,3590,板楼,0.4至0.8元/平米/月,桂林滨都房地产开发有限公司,文化集团,9栋,352户
南宅苑,(灵川灵川)川东一路南宅苑,3208,板楼,暂无信息,暂无信息,暂无信息,2栋,13户
金源小区,(临桂区临桂区)阳光北路6号,3429,板楼,1.2元/平米/月,暂无信息,金帆集团,4栋,144户
正大花园,(临桂区临桂区)榕山路53号,3339,塔楼,0.5元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,9栋,276户
金水湾花园,(临桂区临桂区)金水路196号,3821,塔板结合,0.5至0.8元/平米/月,桂林微笑天使物业服务有限公司, 陕西亿润经贸有限公司 ,23栋,718户
现代名都,(临桂区临桂区)人民路160号,3332,板楼,0.5元/平米/月,临桂县兴盛房地产开发有限责任公司,桂林临桂县佳登宝房地产开发有限公司,2栋,120户
全兴小区,(临桂区临桂区)金水路142号,3621,板楼,1元/平米/月,暂无信息, 商金源地产,3栋,126户
綠苑新城,(灵川灵川)川东一路綠苑新城,3449,塔楼,0.5元/平米/月,暂无信息,暂无信息,9栋,247户
正达花园小区,(临桂区临桂区)世纪东路19号,3707,板楼,0.8元/平米/月,暂无信息,厦门正达房地产开发公司,7栋,360户
鲁山居民区,(临桂区临桂区)桐兴巷鲁山居民区,1985,塔楼,0.8元/平米/月,广东碧桂园物业服务股份有限公司桂林分公司, 大理耀鹏房地产开发有限责任公司,8栋,34户
康泽园,(临桂区临桂区)阳光北路康澤園,2672,板楼,0.8元/平米/月,暂无信息,暂无信息,2栋,27户
八里街小区,(灵川灵川)灵川大道58-1号,3758,板楼,0.5元/平米/月,暂无信息,暂无信息,10栋,248户
泰和路11号,(叠彩区叠彩区)泰和路11号,3555,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
玉柴小区,(临桂区临桂区)鲁东路玉柴小区,3419,板楼/塔板结合,0.25元/平米/月,暂无信息,厦门福达建筑开发有限公司,12栋,284户
物资商住楼,(临桂区临桂区)建设路23号,2779,板楼,0.5元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,3栋,79户
农行宿舍楼,(灵川灵川)利民街农行宿舍楼,3149,未知类型,暂无信息,暂无信息,暂无信息,2栋,26户
八里一路79号,(灵川灵川)八里一路79号,3060,未知类型,暂无信息,暂无信息,暂无信息,1栋,21户
龙泽苑,(灵川灵川)聚宝巷1号,3662,塔板结合,1元/平米/月,暂无信息,暂无信息,2栋,117户
玉龙新都花园,(全州县全州县)桂黄北路113号,3650,未知类型,暂无信息,暂无信息,暂无信息,4栋,4户
锦江国际,(永福县永福县)东滨路锦江国际,2719,未知类型,暂无信息,暂无信息,暂无信息,3栋,4户
金霖园二期,(灵川灵川)灵川大道48号,3543,板楼,0.5元/平米/月,暂无信息,暂无信息,4栋,121户
金泽花园,(灵川灵川)八里五路60号,3444,板楼,0.3至0.5元/平米/月,暂无信息,暂无信息,4栋,149户
丽丰苑,(灵川灵川)八里六路2号,3593,板楼,0.5元/平米/月,暂无信息,暂无信息,8栋,271户
城中公寓,(兴安县兴安县)新兴街25号,2828,未知类型,暂无信息,暂无信息,暂无信息,1栋,10户
七彩花园南区,(灵川灵川)纬四路39号,3548,板楼,0.5至0.9元/平米/月,暂无信息,暂无信息,8栋,245户
交通大厦,(临桂区临桂区)世纪东路41号,3837,板楼,0.5至1元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,4栋,231户
和谐康城,(灵川灵川)灵川大道中路176号,3789,板楼,0.38至0.5元/平米/月,文华房地产开发有限公司,秦皇岛大和谐房地产开发有限公司,9栋,484户
创业兴城,(灵川灵川)灵川大道中路166号,3623,板楼,暂无信息,暂无信息,暂无信息,7栋,279户
水塔路南一里,(叠彩区叠彩区)水塔路南一里南巷水塔路南一里,3840,板楼,暂无信息,暂无信息,暂无信息,3栋,53户
三一0小区,(灵川灵川)八里三路三一0小区,3833,板楼,暂无信息,暂无信息,暂无信息,21栋,1410户
福园东区,(灵川灵川)灵北路19号,2838,未知类型,暂无信息,暂无信息,暂无信息,3栋,59户
九天圣龙,(兴安县兴安县)志玲路九天圣龙,3864,未知类型,暂无信息,暂无信息,暂无信息,8栋,139户
万和佳苑,(灵川灵川)八里六路万和佳苑,3492,未知类型,1.5元/平米/月,桂林市恒丰物业服务有限公司,桂林瑞辰房地产开发有限公司,4栋,388户
会元居民区,(临桂区临桂区)虎山路88号,3440,未知类型,暂无信息,暂无信息,暂无信息,53栋,160户
八里街开发区,(灵川灵川)延庆巷八里街开发区,2279,平房,暂无信息,暂无信息,暂无信息,2栋,22户
国税局集资楼,(临桂区临桂区)虎山路2-1号,3659,板楼,暂无信息,暂无信息,暂无信息,3栋,67户
崇信路57-7号,(象山区象山区)崇信路57-7号,3742,板楼,1.5元/平米/月,暂无信息,桂林花语置地投资有限公司,1栋,56户
新民街9号,(叠彩区叠彩区)新民街9号,3399,平房,0.3元/平米/月,暂无信息,暂无信息,1栋,6户
八里一路79号,(灵川灵川)八里一路79号,3060,未知类型,暂无信息,暂无信息,暂无信息,1栋,21户
虎山路朝阳巷14号,(临桂区临桂区)虎山路朝阳巷14号,2685,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
八里街小区,(灵川灵川)灵川大道58-1号,3758,板楼,0.5元/平米/月,暂无信息,暂无信息,10栋,248户
富华公寓,(灵川灵川)紫金巷富华公寓,2967,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,105户
新桂苑4号,(灵川灵川)八里二路新桂苑4号,2552,平房,暂无信息,暂无信息,暂无信息,2栋,8户
中仁新区,(临桂区临桂区)中仁路1号,3245,板楼,1.2元/平米/月,暂无信息,中庚集团,3栋,16户
大龙家园,(临桂区临桂区)鲁山路84号,3497,板楼,0.35至0.7元/平米/月,暂无信息,北京市大龙房地产开发公司,4栋,217户
迷你居小区,(灵川灵川)腾龙路2号,3429,板楼,0.5元/平米/月,暂无信息,暂无信息,5栋,254户
环城北一路29号,(叠彩区叠彩区)环城北一路29号,3484,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
灵川县第四中学学区房,(灵川灵川)桂黄公路灵川县第四中学学区房,2355,未知类型,暂无信息,暂无信息,暂无信息,1栋,6户
文华阁,(灵川灵川)灵西路68号,3138,板楼,0.9元/平米/月,暂无信息,桂林市永康房地产有限公司,1栋,36户
椿地秋苑,(临桂区临桂区)榕山路椿地秋苑,3693,塔板结合,暂无信息,暂无信息,暂无信息,4栋,356户
会元居民区,(临桂区临桂区)虎山路88号,3440,未知类型,暂无信息,暂无信息,暂无信息,53栋,160户
新桂苑4号,(灵川灵川)八里二路新桂苑4号,2552,平房,暂无信息,暂无信息,暂无信息,2栋,8户
富华公寓,(灵川灵川)紫金巷富华公寓,2967,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,105户
横塘路77号小区,(七星区七星区)横塘路77号,3858,未知类型,暂无信息,暂无信息,暂无信息,5栋,138户
开元尚居,(灵川灵川)灵川大道北路102号,3160,板楼,0.8元/平米/月,暂无信息,暂无信息,6栋,144户
