小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
蔡甸大街194号,(蔡甸蔡甸城区)蔡甸大街194号,6853,2000年建成 ,板楼,0.5元/平米/月,暂无信息,武汉市蔡甸城建投资开发有限公司,5栋,226户
广场花园,(蔡甸蔡甸城区)汉阳大街930号,7033,2005年建成 ,板楼,0.3至0.6元/平米/月,暂无信息,武银联房地产开发有限公司,7栋,242户
万科金色城市16地块,(洪山白沙洲)万科金色城市16地块,7780,2012年建成 ,板楼,3.5元/平米/月,武汉市万科物业服务有限公司,万科,3栋,1357户
佳运环湖花园,(新洲阳逻)环湖路1号,5928,2000年建成 ,塔楼/板楼/塔板结合,0.5至2.1元/平米/月,暂无信息,武汉巍巍房地产开发有限公司,46栋,3546户
幸福港湾,(蔡甸蔡甸城区)汉阳大街幸福港湾,6451,2000年建成 ,塔楼/板楼,0.5至1.2元/平米/月,武汉悦凯物业管理有限公司,湖北建新大地房地产开发有限公司,7栋,258户
和居名爵,(沌口开发区沌口)创业路77号,6544,2002年建成 ,板楼,1.5元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",2栋,658户
武汉经开万达广场,(沌口开发区沌口)东风大道111号,7253,2000年建成 ,塔楼/塔板结合,3.9至18元/平米/月,武汉万达物业管理有限公司,万达集团,14栋,4025户
汉江壹号,(蔡甸蔡甸城区)同心路7号,7232,2005年建成 ,塔楼,0.6元/平米/月,武汉新久物业管理有限公司,武汉市巨泓房地产开发有限公司,1栋,126户
莱茵城,(新洲阳逻)永平街75号,5232,2000年建成 ,塔楼/板楼,1.1至1.2元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",14栋,976户
东港国际广场,(新洲阳逻)平江西路南（客运站旁）,6535,2012年建成 ,塔楼/板楼,1至1.2元/平米/月,武汉鸿翔物业管理有限公司,武汉鸿翔地产集团有限公司,10栋,2190户
新澳城市印象,(新洲阳逻)汉施公路与余泊路交汇处,7238,2010年建成 ,板楼,1.5元/平米/月,武汉新澳物业管理有限公司,武汉新澳房地产开发有限公司,6栋,1462户
东方佳园,(新洲阳逻)平江东路448号,5494,2005年建成 ,塔板结合,1元/平米/月,暂无信息,武汉五环集团,18栋,1097户
东方御景,(蔡甸蔡甸城区)义勇路480号,7237,2011年建成 ,板楼,1.2元/平米/月,暂无信息,武汉市齐联房地产开发有限公司,2栋,262户
汉口北1号公馆,(黄陂汉口北)汉口北大道汉口北1号公馆,4715,2014年建成 ,塔楼/塔板结合,1.8元/平米/月,武汉卓尔物业管理有限公司,武汉汉口北商贸市场投资有限公司,6栋,2868户
广场花城,(蔡甸蔡甸城区)新天大道7号,7608,2005年建成 ,板楼,0.55元/平米/月,暂无信息,上海三和房地产经纪有限公司,25栋,1065户
欣隆湖滨半岛,(新洲阳逻)余泊路8号,7428,2003年建成 ,板楼,1.2至2元/平米/月,武汉贵阁物业管理有限责任公司,武汉欣隆房地产开发有限公司,38栋,2273户
泊湖湾,(新洲阳逻)高新街与环湖路交汇处,7384,2013年建成 ,板楼,1.1至1.5元/平米/月,武汉世纪万达物业管理有限公司,武汉欣诚开置业有限公司,26栋,1652户
