小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
怡景园,(汉台区汉台区)学会巷怡景园,当前网页找不到元素（价格）,板楼/塔板结合/平房,0.25至10元/平米/月,无物业管理服务,李顺记营造厂,7栋,305户
中园城,(南郑区南郑区)油坊街290号,当前网页找不到元素（价格）,板楼,0.45元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,13栋,457户
锦桥园小区,(汉台区汉台区)东一环路锦桥园小区,当前网页找不到元素（价格）,板楼/塔板结合,0.35至0.8元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,5栋,156户
兴汉小区,(汉台区汉台区)华阳路59号,当前网页找不到元素（价格）,板楼/塔板结合,0.3至0.6元/平米/月,鼎峰物业,天津禹洲兴汉房地产开发有限公司,12栋,659户
东方小区,(南郑区南郑区)康家营巷东方小区,当前网页找不到元素（价格）,板楼,0.5元/平米/月,民乐花园小区物业,开发区建设集团建设开发分公司开发,14栋,620户
鸿海苑,(南郑区南郑区)艺苑路鸿海苑,当前网页找不到元素（价格）,板楼,0.45至4.5元/平米/月,汉中和顺物业公司,开发区建设集团建设开发分公司开发,11栋,430户
汉中供电局家属住宅区,(汉台区汉台区)供电大道汉中供电局家属住宅区,当前网页找不到元素（价格）,板楼/塔板结合,0.5元/平米/月,供电局物业公司, 陕西亿润经贸有限公司 ,15栋,476户
世纪园小区,(汉台区汉台区)供电大道世纪园小区,当前网页找不到元素（价格）,板楼/塔板结合,0.3至3.5元/平米/月,合欣物业,诸暨祥生祥鹏置业有限公司,12栋,524户
汉中市汉台区盐业管理局家属院,(汉台区汉台区)北团结街215号,当前网页找不到元素（价格）,板楼,0.4元/平米/月,无物业管理服务,无,2栋,96户
青龍公寓,(汉台区汉台区)青龙路77号,当前网页找不到元素（价格）,板楼,0.4元/平米/月,暂无信息,包头市广建东方明城置业有限公司,1栋,41户
广建晨昕怡园小区,(南郑区南郑区)艺苑路广建晨昕怡园小区,当前网页找不到元素（价格）,板楼,0.9至1.2元/平米/月,自持物业,开发区建设集团建设开发分公司开发,4栋,323户
东城房地产开发有限公司三号小区,(汉台区汉台区)莲湖路东城房地产开发有限公司三号小区,当前网页找不到元素（价格）,板楼,0.35至0.6元/平米/月,无物业管理服务,金辉地产,6栋,376户
桂花园小区,(汉台区汉台区)西一环路781号,当前网页找不到元素（价格）,板楼,0.45元/平米/月,莲湖房地产开发有限公司,宁波绿城桂花园房地产开发有限公司,3栋,210户
暄和园小区,(南郑区南郑区)渔营路暄和园小区,当前网页找不到元素（价格）,板楼,0.45元/平米/月,汉中温馨物业服务有限公司,山西恒利轩投资有限公司,6栋,140户
虎桥小区,(汉台区汉台区)聚春巷72号,当前网页找不到元素（价格）,板楼,0.5元/平米/月,虎桥小区物业,航东地产,3栋,143户
新华小区,(南郑区南郑区)新华路2号,当前网页找不到元素（价格）,塔楼/板楼,0.4至0.45元/平米/月,暂无信息,牡丹江裕华园置业开发有限公司,8栋,351户
诗兿園,(南郑区南郑区)油坊街诗兿園,当前网页找不到元素（价格）,板楼,0.45元/平米/月,佳苑物业,北京艺苑房地产开发公司,9栋,330户
国税局家属院,(汉台区汉台区)西环路国税局家属院,当前网页找不到元素（价格）,塔板结合,0.3元/平米/月,暂无信息,暂无信息,1栋,66户
兴达三号小区,(汉台区汉台区)蓬湖东路兴达三号小区,当前网页找不到元素（价格）,板楼,0.35元/平米/月,汉丰小区物业,广东碧桂园物业服务股份有限公司洛阳分公司1,3栋,160户
天燕小区,(汉台区汉台区)邮电西巷天燕小区,当前网页找不到元素（价格）,板楼,0.1至0.5元/平米/月,暂无信息,汉中北辰置业有限公司,7栋,341户
锦园聚春园,(汉台区汉台区)虎头桥路辅路锦园聚春园,当前网页找不到元素（价格）,板楼/塔板结合,0.5至1元/平米/月,汉中和顺物业公司,汉中市中辉实业开发有限公司,10栋,356户
长青小区,(汉台区汉台区)聚春巷99号,当前网页找不到元素（价格）,板楼,0.5元/平米/月,长青物业,陕西阳光集团,3栋,157户
站前路小区,(汉台区汉台区)站前路小区,当前网页找不到元素（价格）,板楼/塔板结合,0.2至4元/平米/月,无物业管理服务,无开发商,11栋,457户
太白路搬迁楼,(汉台区汉台区)太白路搬迁楼,当前网页找不到元素（价格）,板楼,0.4元/平米/月,暂无信息,汉中市中辉实业开发有限公司,1栋,48户
蓝馨苑,(汉台区汉台区)站前路蓝馨苑,当前网页找不到元素（价格）,板楼,0.35元/平米/月,和谐阳光,明珠居委开发,3栋,118户
菊园小区,(南郑区南郑区)将军巷菊园小区,当前网页找不到元素（价格）,板楼,0.45元/平米/月,润吉物业,开发区建设集团建设开发分公司开发,15栋,564户
汉前小区,(汉台区汉台区)兴汉路汉前小区,当前网页找不到元素（价格）,板楼/平房,0.3至1元/平米/月,无物业管理服务,无,10栋,332户
汉江春晓小区,(南郑区南郑区)汉山路汉江春晓小区,当前网页找不到元素（价格）,板楼,0.45元/平米/月,合欣物业,襄阳汉江恒玖地产有限责任公司,4栋,118户
汉江建材开发公司明珠路小区,(汉台区汉台区)康复路汉江建材开发公司明珠路小区,当前网页找不到元素（价格）,板楼,0.2至1元/平米/月,绿都置业, 陕西亿润经贸有限公司 ,11栋,391户
北苑小区家园,(汉台区汉台区)梁州路北苑小区家园,当前网页找不到元素（价格）,板楼/塔板结合/平房,0.15至0.5元/平米/月,仁和物业,诸暨祥生祥鹏置业有限公司,11栋,461户
凤栖小区,(汉台区汉台区)站前路9-10号,当前网页找不到元素（价格）,板楼/塔板结合/平房,0.3至0.5元/平米/月,无,无,5栋,250户
兴汉路住宅小区,(汉台区汉台区)兴汉路住宅小区,当前网页找不到元素（价格）,板楼,0.35至0.4元/平米/月,汉中泽伟房物业,汉中北辰置业有限公司,3栋,102户
望江路啤酒厂家属院,(汉台区汉台区)望江路1045号,当前网页找不到元素（价格）,板楼,0.3至0.35元/平米/月,无物业管理服务,诸暨祥生祥合置业有限公司,4栋,222户
椰岛广场,(汉台区汉台区)椰岛东巷椰岛广场,当前网页找不到元素（价格）,板楼,0.8元/平米/月,无物业管理服务,海南椰岛房地产开发有限公司,2栋,37户
东兴大厦小区,(汉台区汉台区)兴汉路东兴大厦小区,当前网页找不到元素（价格）,板楼,0.33元/平米/月,暂无信息,绿地控股集团杭州东城房地产开发有限公司,1栋,47户
林产品公司家属院,(汉台区汉台区)兴汉路3号,当前网页找不到元素（价格）,板楼/塔板结合,0.4元/平米/月,暂无信息,暂无信息,3栋,67户
秦峰小区,(汉台区汉台区)东塔南路秦峰小区,当前网页找不到元素（价格）,板楼/塔板结合,0.35至0.5元/平米/月,西安臻誉物业, 五指山水墨雨林置业有限公司,6栋,89户
公路段家属楼,(南郑区南郑区)劳动南路公路段家属楼,当前网页找不到元素（价格）,板楼,2.5元/平米/月,暂无信息,汉中北辰置业有限公司,1栋,30户
金枫苑,(南郑区南郑区)天汉大道380号,当前网页找不到元素（价格）,塔板结合,1元/平米/月,暂无信息,赵陵铺赵二街村民委员会,1栋,36户
团结二区,(汉台区汉台区)南团结街团结二区,当前网页找不到元素（价格）,板楼,0.35至0.5元/平米/月,圣华物业,武汉团结房地产开发有限责任公司,4栋,168户
东城房产公司一号小区,(汉台区汉台区)莲湖路东城房产公司一号小区,当前网页找不到元素（价格）,板楼,0.4元/平米/月,暂无信息,暂无信息,5栋,282户
汉城公馆,(南郑区南郑区)南郑大道汉城公馆,当前网页找不到元素（价格）,板楼,0.45至0.5元/平米/月,暂无,开发区建设集团建设开发分公司开发,6栋,251户
市检察家属院,(汉台区汉台区)将坛中路81号,当前网页找不到元素（价格）,板楼/塔板结合,0.3元/平米/月,自持物业,河南十建建设工程有限公司,4栋,75户
黄家塘什字小区,(汉台区汉台区)天台路黄家塘什字小区,当前网页找不到元素（价格）,板楼/塔板结合,0.3元/平米/月,暂无信息,中新房建设投资有限公司,5栋,92户
九街坊居民小区,(汉台区汉台区)人民巷九街坊居民小区,当前网页找不到元素（价格）,板楼,0.3元/平米/月,暂无信息,无开发商,10栋,451户
幸福嘉苑B区,(南郑区南郑区)南郑大道幸福嘉苑B区,当前网页找不到元素（价格）,塔板结合,0.5元/平米/月,暂无信息,暂无信息,3栋,4户
佳艺大厦,(南郑区南郑区)艺苑路佳艺大厦,当前网页找不到元素（价格）,板楼,0.5元/平米/月,佳苑物业,暂无信息,1栋,26户
北城新苑,(汉台区汉台区)汉武路北城新苑,当前网页找不到元素（价格）,塔楼/板楼/塔板结合,0.45元/平米/月,汉中和顺物业有限公司,北业集团,6栋,438户
教師小區,(汉台区汉台区)米仓路91号,当前网页找不到元素（价格）,板楼/塔板结合,暂无信息,无物业管理服务,金辉集团,3栋,140户
朝阳小区,(汉台区汉台区)莲湖东路朝阳小区,当前网页找不到元素（价格）,板楼/平房,0.3至0.4元/平米/月,仁和物业, 重庆桥达茂宸房地产开发有限公司,10栋,511户
中鼎小区,(汉台区汉台区)天台路570号,当前网页找不到元素（价格）,平房,0.3元/平米/月,暂无信息,暂无信息,1栋,60户
广厦小区,(汉台区汉台区)东塔南路45号,当前网页找不到元素（价格）,板楼,0.35至0.8元/平米/月,陕西广厦集团发展有限公司,北京广厦富城置业有限公司,10栋,329户
汉中市七中家属院,(汉台区汉台区)建宁巷汉中市七中家属院,当前网页找不到元素（价格）,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,72户
金鑫三小区,(洋县洋县)文明路332号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,4栋,190户
文明小区东区,(汉台区汉台区)汉前中巷文明小区东区,当前网页找不到元素（价格）,板楼,0.35至0.4元/平米/月,丽景物业,无开发商,8栋,281户
蓮湖小區,(汉台区汉台区)莲湖东路71号,当前网页找不到元素（价格）,板楼/塔板结合,0.35至1.2元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,4栋,187户
丰苑小区,(汉台区汉台区)汉丰路100号,当前网页找不到元素（价格）,板楼,0.39元/平米/月,陕西丰辉房地产开发有限公司, 陕西亿润经贸有限公司 ,2栋,54户
嘉祥小区,(汉台区汉台区)莲湖路162号,当前网页找不到元素（价格）,板楼/塔板结合,0.3至0.9元/平米/月,万佳物业,四川省聚丰房地产开发有限责任公司1,3栋,150户
江南花园,(南郑区南郑区)天汉大道58号,当前网页找不到元素（价格）,板楼,0.45元/平米/月,圣水江南物业,南宫市江南置业有限公司,6栋,207户
新星家园,(汉台区汉台区)西环路新星家园,当前网页找不到元素（价格）,板楼,0.3至1元/平米/月,青龙物业管理,北银置业有限公司,5栋,317户
惠民小区,(汉台区汉台区)青龙路惠民小区,当前网页找不到元素（价格）,板楼/塔板结合,0.5元/平米/月,熠东房地产,上海中静房地产发展有限公司；中华企业股份有限公司,7栋,510户
丰苑小区,(汉台区汉台区)汉丰路100号,当前网页找不到元素（价格）,板楼,0.39元/平米/月,陕西丰辉房地产开发有限公司, 陕西亿润经贸有限公司 ,2栋,54户
朝阳新世纪,(南郑区南郑区)天汉大道朝阳新世纪,当前网页找不到元素（价格）,塔楼,0.9元/平米/月,朝阳物业,开发区建设集团建设开发分公司开发,1栋,50户
朝阳小区,(汉台区汉台区)莲湖东路朝阳小区,当前网页找不到元素（价格）,板楼/平房,0.3至0.4元/平米/月,仁和物业, 重庆桥达茂宸房地产开发有限公司,10栋,511户
