小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
新升苑,(鹤山市鹤山市)新城路308号,3718,塔楼/板楼/塔板结合/平房,0.5至2元/平米/月,江门良和物业管理服务有限公司,众开集团,123栋,1575户
银山花苑,(鹤山市鹤山市)岗贝苑24号,3799,板楼/平房,0.5元/平米/月,自持物业,鹤山市弘时置业有限公司,6栋,152户
人民一巷,(鹤山市鹤山市)人民一巷,2555,塔楼/板楼/塔板结合/平房,0.5至0.8元/平米/月,鹤山市安誉物业管理有限公司,北京人民电气投资有限公司,41栋,539户
中东西大道76号,(鹤山市鹤山市)中东西大道76号,3646,塔楼/板楼/塔板结合,暂无信息,鹤山市文盈物业发展有限公司,鹤山市文盈物业发展有限公司,10栋,168户
新华花苑,(台山市台山市)站西路15号,3743,未知类型,暂无信息,暂无信息,暂无信息,6栋,293户
莱茵花园,(鹤山市鹤山市)新业路莱茵花园,3728,塔楼/板楼,0.4至0.8元/平米/月,鹤山市港富物业发展有限公司,鹤山市兆盈物业发展有限公司,26栋,345户
恒晖花园,(鹤山市鹤山市)新城路恒晖花园,2592,塔楼/板楼/塔板结合/平房,0.5至0.8元/平米/月,鹤山市兆基物业发展有限公司,鹤山市弘时置业有限公司,31栋,512户
乐民邨,(鹤山市鹤山市)新华路乐民邨,3182,塔楼/板楼/塔板结合/平房,0.5至0.8元/平米/月,鹤山市兆基物业发展有限公司,鹤山市兆盈物业发展有限公司,82栋,1103户
恒昌花园,(鹤山市鹤山市)人民东路28号,2986,塔楼/板楼/塔板结合/平房,0.38至0.8元/平米/月,暂无信息,鹤山市弘时置业有限公司,31栋,550户
长塘一街,(鹤山市鹤山市)人民路长塘一街,2675,板楼,0.5元/平米/月,江门市江河实业发展有限公司,经纬置地有限公司,38栋,477户
新城路,(鹤山市鹤山市)新城路63号,2596,板楼/塔板结合,暂无信息,鹤山市港富物业发展有限公司,鹤山市弘时置业有限公司,11栋,175户
花园新村北,(蓬江区白沙农林)白沙大道西花园新村北,3484,板楼,暂无信息,暂无信息,暂无信息,15栋,143户
东郊南区安全文明小区,(开平市开平市)东郊路东郊南区安全文明小区,3615,未知类型,暂无信息,暂无信息,暂无信息,23栋,247户
中山二巷,(鹤山市鹤山市)中山二巷,2910,板楼/塔板结合/平房,0.5至2元/平米/月,鹤山市松鹤物业管理有限公司,鹤山市坚美房地产开发有限公司,14栋,178户
越塘,(鹤山市鹤山市)人民路越塘,3141,未知类型,暂无信息,暂无信息,暂无信息,4栋,73户
新风路,(鹤山市鹤山市)新风路,3413,板楼/塔板结合/平房,暂无信息,鹤山市文盈物业发展有限公司,鹤山市弘时置业有限公司,14栋,250户
崇德路,(鹤山市鹤山市)崇德路,2625,塔板结合/平房,暂无信息,鹤山市港富物业发展有限公司,厦门嵩海房地产开发公司,3栋,30户
桂林苑,(鹤山市鹤山市)中山路88号,2729,塔楼/板楼/塔板结合/平房,0.5至1.5元/平米/月,鹤山市兆基物业发展有限公司,鹤山市文盈物业发展有限公司,65栋,693户
