小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金宸国际花园,(江阴市澄江街道)江阴市花北路南侧、北潮河路东侧（项目现场）,16674,板楼/塔板结合,2.2至2.5元/平米/月,江苏华高物业服务有限公司,江苏华强房地产开发有限公司,44栋,2354户
米兰阳光花苑,(江阴市璜土镇)小湖路米兰阳光,9317,塔板结合,暂无信息,暂无信息,暂无信息,8栋,861户
金美林花园,(江阴市璜土镇)祥龙路金美林花园,9563,板楼/平房,1.2至1.6元/平米/月,常州市博爱物业服务有限公司江阴分公司,暂无信息,23栋,1687户
水畔兰庭,(江阴市祝塘镇)祝塘镇环东路西侧、青祝河南侧,7467,塔楼/板楼/塔板结合,1.9元/平米/月,金科物业江阴分公司,江苏阳光置业发展有限公司,19栋,1039户
梅園,(江阴市澄江街道)毗陵东路785号,19059,塔板结合,2.4元/平米/月,江阴市好管家物业管理有限公司,暂无信息,7栋,356户
东方明珠,(江阴市澄江街道)文定路40号,11618,板楼/塔板结合,0.5至2.5元/平米/月,江苏大唐物业管理有限公司,江阴开发商,5栋,247户
名人国际南区,(江阴市澄江街道)迎宾路27号,6933,未知类型,1.5元/平米/月,暂无信息,暂无信息,1栋,238户
名人国际北区,(江阴市澄江街道)迎宾路21号,39323,未知类型,暂无信息,暂无信息,暂无信息,3栋,90户
青果花苑,(江阴市澄江街道)青果路139号,23172,板楼,0.25元/平米/月,江阴市纵横物业管理有限公司,山西隆利昌投资有限公司,17栋,526户
名都大厦,(江阴市澄江街道)人民中路5号,24792,塔楼,3元/平米/月,暂无信息,暂无信息,1栋,72户
南门首府,(江阴市澄江街道)环城南路188号,25592,板楼/塔板结合,2至2.78元/平米/月,江阴市弘佳物业管理有限公司,暂无信息,8栋,746户
河北街238号小区,(江阴市澄江街道)河北街238号,11303,板楼,0.25元/平米/月,江阴市建设物业管理有限公司,江阴市良晨置业有限公司,10栋,414户
塔南家苑,(江阴市澄江街道)大安路265号,20078,板楼/塔板结合,0.5元/平米/月,江苏美泉物业管理有限公司,暂无信息,6栋,624户
中街居委居民新村住宅小区,(江阴市澄江街道)南街145弄55号,32830,塔板结合,暂无信息,无物业,暂无信息,12栋,324户
北干宿舍,(江阴市澄江街道)寿山路114号,39355,未知类型,暂无信息,暂无信息,暂无信息,7栋,150户
德辉新河湾东区,(江阴市澄江街道)长庆路德辉新河湾,19515,塔板结合,2.5元/平米/月,绿地物业,暂无信息,3栋,168户
文定一村(南)住宅小区,(江阴市澄江街道)文定路165号,11936,塔楼/板楼/塔板结合,0.25至0.3元/平米/月,江苏大桥物业管理有限公司,暂无信息,16栋,404户
财盛新村,(江阴市澄江街道)文定路40号,11035,未知类型,暂无信息,暂无信息,暂无信息,11栋,204户
财富国际,(江阴市澄江街道)世新路116号,10428,板楼/平房,2.5元/平米/月,江阴市建设物业管理有限公司,江阴大润发置业有限公司,3栋,511户
绿城锦园,(江阴市南闸街道)站西路762号,10644,塔板结合,1.7至2.3元/平米/月,广东中奥物业管理有限公司江阴分公司,暂无信息,41栋,854户
南苑七村,(江阴市高新区)水南路南苑七村,7479,塔板结合,暂无信息,江阴泰禾物业,暂无信息,25栋,720户
